date,Transaction,single_value,value
2003-06-25 00:00:00,lost Darius Songaila to SAC,2672,2672
2003-06-25 00:00:00,added Brandon Hunter to BOS,0,2672
2003-06-25 00:00:00,added Orien Greene to BOS,0,2672
2003-06-26 00:00:00,added Troy Bell to BOS,0,2672
2003-06-26 00:00:00,added Dahntay Jones to BOS,0,2672
2003-06-26 00:00:00,added Brandon Hunter to BOS,-974,1698
2003-06-26 00:00:00,lost Troy Bell to MEM,666,2364
2003-06-26 00:00:00,lost Dahntay Jones to MEM,15333,17698
2003-06-26 00:00:00,added Marcus Banks to BOS,-6658,11040
2003-06-26 00:00:00,added Kendrick Perkins to BOS,-9317,1722
2003-07-25 00:00:00,added Mike James to BOS,505,2228
2003-07-29 00:00:00,lost J.R. Bremer to CLE,1692,3920
2003-07-29 00:00:00,lost Bruno Šundov to CLE,406,4326
2003-07-29 00:00:00,lost Ryan Gomes to CLE,0,4326
2003-07-29 00:00:00,added Jumaine Jones to BOS,-1268,3058
2003-10-20 00:00:00,lost Tony Delk to DAL,152,3211
2003-10-20 00:00:00,lost Antoine Walker to DAL,-1420,1791
2003-10-20 00:00:00,added Raef LaFrentz to BOS,3913,5704
2003-10-20 00:00:00,added Chris Mills to BOS,0,5704
2003-10-20 00:00:00,added Jiří Welsch to BOS,-3536,2168
2003-10-20 00:00:00,added Delonte West to BOS,0,2168
2003-12-15 00:00:00,lost Tony Battie to CLE,2247,4415
2003-12-15 00:00:00,lost Kedrick Brown to CLE,-336,4079
2003-12-15 00:00:00,lost Eric Williams to CLE,3295,7374
2003-12-15 00:00:00,added Ricky Davis to BOS,-1667,5707
2003-12-15 00:00:00,added Chris Mihm to BOS,-3286,2420
2003-12-15 00:00:00,added Michael Stewart to BOS,-525,1895
2003-12-15 00:00:00,added Ryan Gomes to BOS,0,1895
2004-02-19 00:00:00,lost Mike James to DET,0,1895
2004-02-19 00:00:00,lost Chris Mills to ATL,0,1895
2004-02-19 00:00:00,added Chucky Atkins to BOS,-555,1340
2004-02-19 00:00:00,added Lindsey Hunter to BOS,0,1340
2004-02-19 00:00:00,added Tony Allen to BOS,0,1340
2004-06-24 00:00:00,added Al Jefferson to BOS,-3024,-1684
2004-06-24 00:00:00,added Delonte West to BOS,6195,4511
2004-06-24 00:00:00,added Tony Allen to BOS,-2327,2183
2004-06-24 00:00:00,added Justin Reed to BOS,-2640,-456
2004-08-06 00:00:00,lost Chucky Atkins to LAL,3193,2736
2004-08-06 00:00:00,lost Jumaine Jones to LAL,732,3468
2004-08-06 00:00:00,lost Chris Mihm to LAL,10290,13759
2004-08-06 00:00:00,added Rick Fox to BOS,0,13759
2004-08-06 00:00:00,added Gary Payton to BOS,1016,14775
2004-08-06 00:00:00,added Rajon Rondo to BOS,40961,55736
2004-08-14 00:00:00,added Dana Barros to BOS,0,55736
2004-08-16 00:00:00,added Tom Gugliotta to BOS,-763,54973
2005-02-08 00:00:00,lost Walter McCarty to PHO,1200,56174
2005-02-08 00:00:00,added Aaron Gray to BOS,0,56174
2005-02-24 00:00:00,lost Tom Gugliotta to ATL,2393,58567
2005-02-24 00:00:00,lost Gary Payton to ATL,0,58567
2005-02-24 00:00:00,lost Michael Stewart to ATL,710,59278
2005-02-24 00:00:00,lost Rajon Rondo to ATL,1005,60283
2005-02-24 00:00:00,added Antoine Walker to BOS,-578,59704
2005-02-24 00:00:00,lost Jiří Welsch to CLE,1536,61240
2005-02-24 00:00:00,added Rudy Fernández to BOS,0,61240
2005-03-04 00:00:00,added Gary Payton to BOS,1016,62256
2005-06-28 00:00:00,added Gerald Green to BOS,-7373,54883
2005-06-28 00:00:00,added Ryan Gomes to BOS,-4836,50047
2005-06-28 00:00:00,added Orien Greene to BOS,-5434,44613
2005-08-02 00:00:00,lost Antoine Walker to MIA,5665,50278
2005-08-02 00:00:00,added Albert Miralles to BOS,0,50278
2005-08-02 00:00:00,added Qyntel Woods to BOS,0,50278
2005-08-02 00:00:00,added Edin Bavčić to BOS,0,50278
2005-08-02 00:00:00,added Nikola Peković to BOS,0,50278
2005-08-02 00:00:00,added Curtis Borchardt to BOS,0,50278
2005-08-02 00:00:00,added Brian Scalabrine to BOS,-10368,39909
2005-08-19 00:00:00,added Will Bynum to BOS,0,39909
2005-09-30 00:00:00,lost Edin Bavčić to NOK,0,39909
2005-09-30 00:00:00,added Dan Dickau to BOS,-561,39348
2006-01-26 00:00:00,lost Marcus Banks to MIN,859,40207
2006-01-26 00:00:00,lost Mark Blount to MIN,11473,51680
2006-01-26 00:00:00,lost Ricky Davis to MIN,-780,50900
2006-01-26 00:00:00,lost Justin Reed to MIN,5887,56787
2006-01-26 00:00:00,lost Craig Smith to MIN,5653,62441
2006-01-26 00:00:00,lost Nikola Peković to MIN,4677,67118
2006-01-26 00:00:00,added Dwayne Jones to BOS,-417,66700
2006-01-26 00:00:00,added Michael Olowokandi to BOS,-2205,64494
2006-01-26 00:00:00,added Wally Szczerbiak to BOS,58,64553
2006-01-26 00:00:00,added Jonny Flynn to BOS,0,64553
2006-06-28 00:00:00,added Randy Foye to BOS,0,64553
2006-06-28 00:00:00,lost Rudy Fernández to PHO,0,64553
2006-06-28 00:00:00,added Brian Grant to BOS,0,64553
2006-06-28 00:00:00,added Rajon Rondo to BOS,40961,105514
2006-06-28 00:00:00,lost Aaron Gray to DEN,0,105514
2006-06-28 00:00:00,added Leon Powe to BOS,-2942,102572
2006-06-28 00:00:00,lost Dan Dickau to POR,976,103549
2006-06-28 00:00:00,lost Randy Foye to POR,0,103549
2006-06-28 00:00:00,lost Raef LaFrentz to POR,2756,106306
2006-06-28 00:00:00,added Theo Ratliff to BOS,-123,106183
2006-06-28 00:00:00,added Sebastian Telfair to BOS,-6627,99555
2006-07-06 00:00:00,added Allan Ray to BOS,-1917,97638
2006-10-13 00:00:00,lost Dwayne Jones to CLE,1924,99562
2006-10-13 00:00:00,added Luke Jackson to BOS,0,99562
2007-04-04 00:00:00,added Kevinn Pinkney to BOS,-250,99312
2007-06-28 00:00:00,added Jeff Green to BOS,-6513,92798
2007-06-28 00:00:00,added Gabe Pruitt to BOS,-1261,91537
2007-06-28 00:00:00,lost Jeff Green to SEA,9237,100775
2007-06-28 00:00:00,lost Wally Szczerbiak to SEA,-826,99949
2007-06-28 00:00:00,lost Delonte West to SEA,2035,101984
2007-06-28 00:00:00,added Ray Allen to BOS,34582,136567
2007-06-28 00:00:00,added Glen Davis to BOS,-14986,121581
2007-07-31 00:00:00,lost Ryan Gomes to MIN,8665,130246
2007-07-31 00:00:00,lost Gerald Green to MIN,1718,131964
2007-07-31 00:00:00,lost Al Jefferson to MIN,-10429,121535
2007-07-31 00:00:00,lost Theo Ratliff to MIN,321,121856
2007-07-31 00:00:00,lost Sebastian Telfair to MIN,15603,137460
2007-07-31 00:00:00,lost Wayne Ellington to MIN,11701,149162
2007-07-31 00:00:00,lost Jonny Flynn to MIN,12976,162138
2007-07-31 00:00:00,added Kevin Garnett to BOS,60106,222244
2007-08-01 00:00:00,added Eddie House to BOS,7502,229746
2007-08-06 00:00:00,added Scot Pollard to BOS,-380,229366
2007-08-27 00:00:00,added James Posey to BOS,4552,233918
2007-09-27 00:00:00,added Dahntay Jones to BOS,0,233918
2008-02-27 00:00:00,added P.J. Brown to BOS,-564,233354
2008-03-03 00:00:00,added Sam Cassell to BOS,-777,232577
2008-06-26 00:00:00,added J.R. Giddens to BOS,-387,232189
2008-06-26 00:00:00,added Semih Erden to BOS,-1221,230967
2008-06-26 00:00:00,added Henry Walker to BOS,-1117,229850
2008-07-16 00:00:00,added Patrick O'Bryant to BOS,-604,229246
2008-08-22 00:00:00,added Darius Miles to BOS,0,229246
2009-02-17 00:00:00,lost Sam Cassell to SAC,0,229246
2009-02-19 00:00:00,lost Patrick O'Bryant to TOR,851,230097
2009-02-24 00:00:00,added Mikki Moore to BOS,-1368,228729
2009-02-27 00:00:00,added Stephon Marbury to BOS,-2525,226203
2009-06-25 00:00:00,added Lester Hudson to BOS,-231,225972
2009-07-08 00:00:00,added Rasheed Wallace to BOS,0,225972
2009-08-08 00:00:00,added Shelden Williams to BOS,-835,225137
2009-09-02 00:00:00,added Marquis Daniels to BOS,-3467,221669
2010-02-18 00:00:00,lost J.R. Giddens to NYK,686,222355
2010-02-18 00:00:00,lost Eddie House to NYK,2151,224507
2010-02-18 00:00:00,lost Henry Walker to NYK,2934,227442
2010-02-18 00:00:00,added Marcus Landry to BOS,-104,227338
2010-02-18 00:00:00,added Nate Robinson to BOS,-2184,225153
2010-03-06 00:00:00,added Michael Finley to BOS,94,225247
2010-04-13 00:00:00,added Oliver Lafayette to BOS,-41,225206
2010-06-24 00:00:00,added Avery Bradley to BOS,-12957,212248
2010-06-24 00:00:00,added Luke Harangody to BOS,-1253,210995
2010-07-10 00:00:00,added Jermaine O'Neal to BOS,-3235,207759
2010-08-03 00:00:00,added Von Wafer to BOS,-774,206985
2010-08-04 00:00:00,added Shaquille O'Neal to BOS,225,207211
2010-09-01 00:00:00,added Delonte West to BOS,815,208026
2010-10-06 00:00:00,added Mario West to BOS,0,208026
2011-02-24 00:00:00,lost Semih Erden to CLE,2123,210149
2011-02-24 00:00:00,lost Luke Harangody to CLE,1810,211960
2011-02-24 00:00:00,added Jeff Withey to BOS,0,211960
2011-02-24 00:00:00,lost Kendrick Perkins to OKC,18220,230180
2011-02-24 00:00:00,lost Nate Robinson to OKC,387,230567
2011-02-24 00:00:00,added Jeff Green to BOS,-6513,224053
2011-02-24 00:00:00,added Nenad Krstić to BOS,-995,223058
2011-02-24 00:00:00,added Fab Melo to BOS,0,223058
2011-02-24 00:00:00,added Álex Abrines to BOS,0,223058
2011-02-24 00:00:00,lost Marquis Daniels to SAC,0,223058
2011-02-24 00:00:00,added Chris Johnson to BOS,-12,223045
2011-03-02 00:00:00,added Troy Murphy to BOS,-231,222813
2011-03-03 00:00:00,added Sasha Pavlović to BOS,-1823,220990
2011-03-06 00:00:00,added Carlos Arroyo to BOS,-570,220420
2011-06-23 00:00:00,added MarShon Brooks to BOS,-160,220260
2011-06-23 00:00:00,added E'Twaun Moore to BOS,-794,219465
2011-06-23 00:00:00,lost MarShon Brooks to NJN,5505,224971
2011-06-23 00:00:00,added JaJuan Johnson to BOS,-1162,223809
2011-06-23 00:00:00,added Russ Smith to BOS,0,223809
2011-12-09 00:00:00,added Marquis Daniels to BOS,-1500,222308
2011-12-09 00:00:00,added Chris Wilcox to BOS,-1010,221298
2011-12-09 00:00:00,lost Albert Miralles to MIL,0,221298
2011-12-09 00:00:00,added Keyon Dooling to BOS,-2846,218452
2011-12-09 00:00:00,added Greg Stiemsma to BOS,1072,219524
2011-12-12 00:00:00,added Mike Sweetney to BOS,0,219524
2011-12-12 00:00:00,lost Glen Davis to ORL,9431,228955
