date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1976-06-08 00:00:00,added Robert Parish to GSW,5566.800000000001,5566,5.4,5.4,draft,Robert Parish
1976-06-08 00:00:00,added Sonny Parker to GSW,19827.6,25394,10.5,15.9,draft,Sonny Parker
1976-06-08 00:00:00,added Marshall Rogers to GSW,-1214.4,24180,-0.3,15.6,draft,Marshall Rogers
1976-06-08 00:00:00,added Jeff Fosnes to GSW,0.0,24180,0.0,15.6,draft,Jeff Fosnes
1976-06-08 00:00:00,added Carl Bird to GSW,0.0,24180,0.0,15.6,draft,Carl Bird
1976-06-08 00:00:00,added Dwayne Barnett to GSW,0.0,24180,0.0,15.6,draft,Dwayne Barnett
1976-06-08 00:00:00,added Gene Cunningham to GSW,0.0,24180,0.0,15.6,draft,Gene Cunningham
1976-06-08 00:00:00,added Jesse Campbell to GSW,0.0,24180,0.0,15.6,draft,Jesse Campbell
1976-06-08 00:00:00,added Stan Boskovich to GSW,0.0,24180,0.0,15.6,draft,Stan Boskovich
1976-06-08 00:00:00,added Howard Smith to GSW,0.0,24180,0.0,15.6,draft,Howard Smith
1976-06-08 00:00:00,added Ken Smith to GSW,0.0,24180,0.0,15.6,draft,Ken Smith
1977-01-18 00:00:00,lost George Johnson to BUF,-633.0,23547,-0.7,14.9,trade,George Johnson
1977-01-18 00:00:00,added Wesley Cox to GSW,0.0,23547,0.0,14.9,trade,Wesley Cox
1977-02-24 00:00:00,added Larry McNeill to GSW,-540.2,23006,0.0,14.9,signing,Larry McNeill
1977-06-10 00:00:00,added Rickey Green to GSW,-3184.2,19822,-0.3,14.6,draft,Rickey Green
1977-06-10 00:00:00,added Wesley Cox to GSW,-4882.5,14940,-0.8999999999999999,13.7,draft,Wesley Cox
1977-06-10 00:00:00,added Ricky Love to GSW,0.0,14940,0.0,13.7,draft,Ricky Love
1977-06-10 00:00:00,added Marlon Redmond to GSW,0.0,14940,0.0,13.7,draft,Marlon Redmond
1977-06-10 00:00:00,added Roy Smith to GSW,0.0,14940,0.0,13.7,draft,Roy Smith
