date,Transaction,single_value,value
2004-06-24 00:00:00,added Rafael Araújo to TOR,-10074,-10074
2004-06-24 00:00:00,added Albert Miralles to TOR,0,-10074
2004-06-24 00:00:00,lost Albert Miralles to MIA,0,-10074
2004-06-24 00:00:00,added Pape Sow to TOR,-4972,-15046
2004-06-24 00:00:00,added Uroš Slokar to TOR,0,-15046
2004-07-14 00:00:00,added Rafer Alston to TOR,2445,-12601
2004-08-18 00:00:00,added Loren Woods to TOR,-2913,-15514
2004-12-17 00:00:00,lost Vince Carter to NJN,-56724,-72238
2004-12-17 00:00:00,added Alonzo Mourning to TOR,0,-72238
2004-12-17 00:00:00,added Aaron Williams to TOR,-2211,-74449
2004-12-17 00:00:00,added Eric Williams to TOR,-3813,-78263
2004-12-17 00:00:00,added Joey Graham to TOR,0,-78263
2004-12-17 00:00:00,added Renaldo Balkman to TOR,0,-78263
2005-04-09 00:00:00,added Omar Cook to TOR,162,-78100
2005-06-28 00:00:00,added Charlie Villanueva to TOR,-2124,-80225
2005-06-28 00:00:00,added Joey Graham to TOR,-16058,-96284
2005-06-28 00:00:00,added Roko Ukić to TOR,-4094,-100378
2005-06-28 00:00:00,added Uroš Slokar to TOR,-403,-100781
2005-08-03 00:00:00,added José Calderón to TOR,27187,-73593
2005-10-04 00:00:00,lost Rafer Alston to HOU,-2432,-76026
2005-10-04 00:00:00,added Mike James to TOR,5265,-70761
2005-11-16 00:00:00,added Darrick Martin to TOR,-2064,-72826
