date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1979-08-31 00:00:00,added Kevin Restani to SAS,-3677.1,-3677,0.6,0.6
1979-09-13 00:00:00,lost Mike Green to KCK,1147.5,-2529,0.1,0.7
1979-09-13 00:00:00,added Michael Wiley to SAS,0.0,-2529,0.0,0.7
1979-10-05 00:00:00,lost Butch Carter to LAL,2755.2,225,0.4,1.1
1979-10-05 00:00:00,added Irv Kiffin to SAS,-1823.2,-1597,-0.5,0.6000000000000001
1980-01-17 00:00:00,lost Billy Paultz to HOU,-0.0,-1597,-0.0,0.6000000000000001
1980-01-17 00:00:00,added John Shumate to SAS,-261.60000000000014,-1859,0.6,1.2000000000000002
1980-01-17 00:00:00,added LaVon Mercer to SAS,0.0,-1859,0.0,1.2000000000000002
1980-02-22 00:00:00,added Harry Davis to SAS,-153.0,-2012,-0.1,1.1
1980-03-09 00:00:00,added Johnny Moore to SAS,31532.3,29520,14.5,15.6
1980-03-22 00:00:00,added Tim Bassett to SAS,-244.8,29275,0.0,15.6
1980-06-10 00:00:00,added Reggie Johnson to SAS,-6700.800000000001,22574,-0.5,15.1
1980-06-10 00:00:00,added Michael Wiley to SAS,-216.8,22357,0.1,15.2
1980-06-10 00:00:00,added LaVon Mercer to SAS,0.0,22357,0.0,15.2
1980-06-10 00:00:00,added Rich Yonakor to SAS,-126.0,22231,0.1,15.3
1980-06-10 00:00:00,added Calvin Roberts to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Gib Hinz to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Dean Uthoff to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Alan Zahn to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Bill Bailey to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Al Williams to SAS,0.0,22231,0.0,15.3
1980-06-10 00:00:00,added Steve Schall to SAS,0.0,22231,0.0,15.3
1980-06-19 00:00:00,added Edmund Lawrence to SAS,0.0,22231,0.0,15.3
1980-08-15 00:00:00,added George Johnson to SAS,3727.2,25958,2.8,18.1
1980-09-26 00:00:00,lost Claude Gregory to WSB,28.4,25987,-0.0,18.1
1980-09-26 00:00:00,lost Dwight Anderson to WSB,-0.0,25987,-0.0,18.1
1980-09-26 00:00:00,added Dave Corzine to SAS,-565.1,25422,1.9,20.0
1980-10-07 00:00:00,lost Mike Evans to MIL,2345.4,27767,0.1,20.1
1980-11-24 00:00:00,lost John Shumate to SEA,44.8,27812,-0.0,20.1
1980-11-24 00:00:00,added Mark Radford to SAS,0.0,27812,0.0,20.1
1980-12-19 00:00:00,lost Mike Gale to POR,-0.0,27812,-0.0,20.1
1980-12-19 00:00:00,lost Ricky Pierce to POR,-0.0,27812,-0.0,20.1
1980-12-19 00:00:00,added Ron Brewer to SAS,-2858.0,24954,0.5,20.6
1981-02-08 00:00:00,added Gus Gerard to SAS,-425.7,24528,0.0,20.6
1981-06-09 00:00:00,added Gene Banks to SAS,9066.6,33595,6.9,27.5
1981-06-09 00:00:00,added Ed Rains to SAS,-3617.8,29977,-0.5,27.0
1981-06-09 00:00:00,added Tom Baker to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Earl Belcher to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Mike Rhodes to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Northern Shavers to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Mark Minderman to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Bob Bartholomew to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Leonel Marquetti to SAS,0.0,29977,0.0,27.0
1981-06-09 00:00:00,added Alvin Brooks to SAS,0.0,29977,0.0,27.0
1981-06-16 00:00:00,lost James Silas to CLE,1012.9,30990,-0.5,26.5
1981-06-16 00:00:00,lost Rich Yonakor to CLE,-0.0,30990,-0.0,26.5
1981-06-16 00:00:00,added Oliver Robinson to SAS,0.0,30990,0.0,26.5
1981-10-28 00:00:00,lost Les Craft to CLE,-0.0,30990,-0.0,26.5
1981-10-28 00:00:00,added Mike Bratz to SAS,-484.8,30505,0.7,27.2
1981-12-23 00:00:00,lost Ron Brewer to CLE,6256.5,36762,0.3,27.5
1981-12-23 00:00:00,lost Reggie Johnson to CLE,1048.9,37811,-0.0,27.5
1981-12-23 00:00:00,added Mike Mitchell to SAS,-27083.9,10727,0.9999999999999998,28.5
1981-12-23 00:00:00,added Roger Phegley to SAS,-3087.2000000000003,7639,-0.1,28.4
1981-12-29 00:00:00,added Steve Hayes to SAS,-285.0,7354,0.0,28.4
1982-02-16 00:00:00,lost Roosevelt Chapman to KCK,-0.0,7354,-0.0,28.4
1982-02-16 00:00:00,added John Lambert to SAS,-785.9,6569,-0.1,28.3
1982-03-08 00:00:00,added Rich Yonakor to SAS,0.0,6569,0.0,28.3
1982-03-29 00:00:00,added Rich Yonakor to SAS,-126.0,6443,0.1,28.4
1982-06-29 00:00:00,added Oliver Robinson to SAS,-735.0,5708,-0.1,28.3
1982-06-29 00:00:00,added Willie Redden to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Tony Grier to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Clarence Swannegan to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Jaime Pena to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Delonte Taylor to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Chris Faggi to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Harry O'Brien to SAS,0.0,5708,0.0,28.3
1982-06-29 00:00:00,added Keith White to SAS,0.0,5708,0.0,28.3
1982-07-22 00:00:00,lost Dave Corzine to CHI,9501.1,15209,-5.1000000000000005,23.2
1982-07-22 00:00:00,lost Mark Olberding to CHI,4905.900000000001,20115,0.3,23.5
1982-07-22 00:00:00,added Artis Gilmore to SAS,0.0,20115,0.0,23.5
1982-09-27 00:00:00,lost George Johnson to ATL,-414.9,19700,-0.3,23.2
1982-09-27 00:00:00,added Jim Johnstone to SAS,-291.6,19408,-0.1,23.099999999999994
1982-09-27 00:00:00,added Darrell Lockhart to SAS,0.0,19408,0.0,23.099999999999994
1982-09-27 00:00:00,added Manute Bol to SAS,0.0,19408,0.0,23.099999999999994
1982-10-16 00:00:00,added Mike Dunleavy to SAS,-485.7,18922,0.7,23.799999999999997
1982-10-18 00:00:00,added Bill Willoughby to SAS,-2761.2000000000003,16161,-0.2,23.599999999999994
1983-01-18 00:00:00,lost Brant Weidner to CHI,-0.0,16161,-0.0,23.599999999999994
1983-01-18 00:00:00,added Coby Dietrick to SAS,0.0,16161,0.0,23.599999999999994
1983-02-09 00:00:00,added Mike Sanders to SAS,-707.4,15454,0.0,23.599999999999994
1983-02-10 00:00:00,lost Eric Turner to DET,-0.0,15454,-0.0,23.599999999999994
1983-02-10 00:00:00,lost Andre Goode to DET,-0.0,15454,-0.0,23.599999999999994
1983-02-10 00:00:00,added Edgar Jones to SAS,-3680.6,11773,0.5,24.099999999999994
1983-03-04 00:00:00,added Geoff Crompton to SAS,0.0,11773,0.0,24.099999999999994
1983-03-08 00:00:00,lost Mike Bratz to CHI,644.0,12417,0.1,24.2
1983-03-08 00:00:00,added Brant Weidner to SAS,0.0,12417,0.0,24.2
1983-03-14 00:00:00,added Geoff Crompton to SAS,-429.2,11988,0.0,24.2
1983-03-23 00:00:00,added Robert Smith to SAS,-125.0,11863,0.0,24.2
1983-04-06 00:00:00,added Billy Paultz to SAS,0.0,11863,0.0,24.2
1983-06-28 00:00:00,added John Paxson to SAS,-2415.3,9448,0.2,24.399999999999995
1983-06-28 00:00:00,added Darrell Lockhart to SAS,-68.60000000000001,9379,0.0,24.399999999999995
1983-06-28 00:00:00,added Kevin Williams to SAS,-720.0,8659,-0.1,24.299999999999997
1983-06-28 00:00:00,added Brant Weidner to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Jeff Pehl to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Ricky Hooker to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Keith Williams to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Norvell Brown to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Gary Gaspard to SAS,0.0,8659,0.0,24.299999999999997
1983-06-28 00:00:00,added Lamar Heard to SAS,0.0,8659,0.0,24.299999999999997
1983-07-11 00:00:00,added Dave Batton to SAS,-130.20000000000002,8529,0.0,24.299999999999997
1983-10-17 00:00:00,added Keith Edmonson to SAS,-1094.1,7435,0.0,24.299999999999997
1983-11-04 00:00:00,lost Everette Stephens to PHI,-0.0,7435,-0.0,24.299999999999997
1983-11-04 00:00:00,added Mark McNamara to SAS,-3903.3,3531,-0.4,23.899999999999995
1983-12-04 00:00:00,added John Lucas to SAS,4517.5,8049,2.0,25.899999999999995
1984-01-02 00:00:00,added Bob Miller to SAS,-32.0,8017,0.0,25.899999999999995
1984-01-12 00:00:00,added Dave Robisch to SAS,0.0,8017,0.0,25.899999999999995
1984-01-20 00:00:00,lost Manute Bol to GSW,3268.1,11285,-0.7999999999999999,25.099999999999994
1984-01-20 00:00:00,added Ron Brewer to SAS,-3827.1,7458,-0.5,24.599999999999994
1984-01-21 00:00:00,lost Keith Edmonson to DEN,494.9,7953,0.1,24.7
1984-01-21 00:00:00,added Joe Binion to SAS,0.0,7953,0.0,24.7
1984-02-26 00:00:00,added Steve Lingenfelter to SAS,-67.2,7886,0.0,24.7
