date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1986-06-17 00:00:00,added Dwayne Polee to LAC,-133.8,-133,0.0,0.0
1986-06-17 00:00:00,added John Brownlee to LAC,0.0,-133,0.0,0.0
1986-06-17 00:00:00,added Steffond Johnson to LAC,0.0,-133,0.0,0.0
1986-06-17 00:00:00,added Tim Kempton to LAC,-3556.8,-3690,-0.4,-0.4
1986-06-17 00:00:00,added Johnny Brown to LAC,0.0,-3690,0.0,-0.4
1986-08-19 00:00:00,lost Junior Bridgeman to SAC,-0.0,-3690,-0.0,-0.4
1986-08-19 00:00:00,lost Franklin Edwards to SAC,2717.0,-973,0.5,0.0999999999999999
1986-08-19 00:00:00,lost Derek Smith to SAC,7606.0,6632,0.3,0.3999999999999999
1986-08-19 00:00:00,added Larry Drew to LAC,-10972.4,-4340,-1.0,-0.6000000000000001
1986-08-19 00:00:00,added Mike Woodson to LAC,-8355.8,-12695,0.3,-0.3000000000000001
1986-08-19 00:00:00,added Hersey Hawkins to LAC,0.0,-12695,0.0,-0.3000000000000001
1986-08-19 00:00:00,added Jay Edwards to LAC,0.0,-12695,0.0,-0.3000000000000001
1986-11-11 00:00:00,added Geoff Huston to LAC,-2140.0,-14835,-0.3,-0.6000000000000001
1986-11-17 00:00:00,added Kenny Fields to LAC,-3605.0,-18440,-0.4,-1.0
1986-12-29 00:00:00,added Quintin Dailey to LAC,-6894.4,-25335,0.2,-0.8
1987-01-16 00:00:00,lost Cedric Maxwell to HOU,-916.0,-26251,-1.1,-1.9
1987-01-16 00:00:00,added Joe Wolf to LAC,0.0,-26251,0.0,-1.9
1987-01-16 00:00:00,added Chucky Brown to LAC,0.0,-26251,0.0,-1.9
1987-01-29 00:00:00,lost Kurt Nimphius to DET,720.2,-25531,-0.0,-1.9
1987-01-29 00:00:00,added Ken Norman to LAC,0.0,-25531,0.0,-1.9
1987-01-29 00:00:00,added Norris Coleman to LAC,0.0,-25531,0.0,-1.9
1987-01-30 00:00:00,added Steffond Johnson to LAC,-2293.2000000000003,-27824,-0.5,-2.4000000000000004
1987-02-11 00:00:00,lost Chucky Brown to CHI,-0.0,-27824,-0.0,-2.4000000000000004
