date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1987-10-09 00:00:00,added Ray Tolbert to NYK,-424.8,-424,0.0,0.0,signing,Ray Tolbert
1987-10-15 00:00:00,lost Jawann Oldham to SAC,1797.4,1372,-0.0,0.0,trade,Jawann Oldham
1987-10-15 00:00:00,added Fennis Dembo to NYK,0.0,1372,0.0,0.0,trade,Fennis Dembo
1987-10-29 00:00:00,lost Ron Moore to DET,335.0,1707,0.1,0.1,trade,Ron Moore
1987-10-29 00:00:00,lost Fennis Dembo to DET,799.2,2506,0.2,0.3,trade,Fennis Dembo
1987-10-29 00:00:00,added Sidney Green to NYK,-10132.4,-7625,-0.8,-0.5,trade,Sidney Green
1987-11-12 00:00:00,added Johnny Newman to NYK,-2954.2,-10579,2.4000000000000004,1.9000000000000004,signing,Johnny Newman
1987-11-12 00:00:00,lost Rory Sparrow to CHI,4072.0,-6507,0.5,2.4000000000000004,trade,Rory Sparrow
1987-11-12 00:00:00,added Greg Butler to NYK,0.0,-6507,0.0,2.4000000000000004,trade,Greg Butler
1987-11-30 00:00:00,added Rick Carlisle to NYK,-306.0,-6813,0.0,2.4000000000000004,signing,Rick Carlisle
1987-12-11 00:00:00,added Billy Donovan to NYK,-1346.8,-8160,-0.2,2.2,signing,Billy Donovan
1988-03-02 00:00:00,added Carey Scurry to NYK,50.4,-8110,0.0,2.2,signing,Carey Scurry
1988-03-13 00:00:00,added Sedric Toney to NYK,0.0,-8110,0.0,2.2,signing,Sedric Toney
1988-03-23 00:00:00,added Sedric Toney to NYK,-83.39999999999999,-8193,0.1,2.3000000000000003,signing,Sedric Toney
1988-06-27 00:00:00,lost Bill Cartwright to CHI,35849.7,27656,3.8,6.1,trade,Bill Cartwright
1988-06-27 00:00:00,lost Will Perdue to CHI,20862.7,48518,1.7000000000000002,7.8,trade,Will Perdue
1988-06-27 00:00:00,lost Derrick Lewis to CHI,-0.0,48518,-0.0,7.8,trade,Derrick Lewis
1988-06-27 00:00:00,added Charles Oakley to NYK,11201.699999999995,59720,14.699999999999998,22.5,trade,Charles Oakley
1988-06-27 00:00:00,added Rod Strickland to NYK,0.0,59720,0.0,22.5,trade,Rod Strickland
1988-06-27 00:00:00,added Phil Stinnie to NYK,0.0,59720,0.0,22.5,trade,Phil Stinnie
1988-06-28 00:00:00,added Rod Strickland to NYK,4210.400000000001,63930,2.2,24.7,draft,Rod Strickland
1988-06-28 00:00:00,added Greg Butler to NYK,-2017.9,61913,-0.4,24.3,draft,Greg Butler
1988-06-28 00:00:00,added Phil Stinnie to NYK,0.0,61913,0.0,24.3,draft,Phil Stinnie
1988-10-03 00:00:00,added Eddie Lee Wilkins to NYK,-15204.0,46709,-2.7,21.6,signing,Eddie Lee Wilkins
1988-12-20 00:00:00,added Pete Myers to NYK,-510.6,46198,0.1,21.7,signing,Pete Myers
1989-02-23 00:00:00,lost Byron Irvin to POR,-488.0,45710,-0.4,21.3,trade,Byron Irvin
1989-02-23 00:00:00,added Kiki Vandeweghe to NYK,-3723.7,41986,1.2,22.5,trade,Kiki Vandeweghe
1989-06-27 00:00:00,added Brian Quinnett to NYK,-5054.4,36932,-0.5,22.0,draft,Brian Quinnett
1990-02-21 00:00:00,lost Rod Strickland to SAS,-11254.8,25677,-5.5,16.5,trade,Rod Strickland
1990-02-21 00:00:00,added Maurice Cheeks to NYK,5200.7,30878,2.7,19.2,trade,Maurice Cheeks
1990-02-22 00:00:00,lost Jimmy Oliver to CHH,-0.0,30878,-0.0,19.2,trade,Jimmy Oliver
1990-02-22 00:00:00,added Stuart Gray to NYK,-1312.0,29566,-0.3,18.9,trade,Stuart Gray
1990-06-27 00:00:00,added Jerrod Mustaf to NYK,-4125.0,25441,-0.6,18.3,draft,Jerrod Mustaf
1990-10-01 00:00:00,added John Starks to NYK,31653.8,57095,16.7,35.0,signing,John Starks
1990-10-01 00:00:00,added Greg Grant to NYK,-353.1,56741,0.0,35.0,signing,Greg Grant
1990-10-01 00:00:00,added Earl Cureton to NYK,0.0,56741,0.0,35.0,signing,Earl Cureton
