date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1990-08-01 00:00:00,lost Danny Schayes to MIL,9246.8,9246,0.1999999999999999,0.1999999999999999
1990-08-01 00:00:00,added Terry Mills to DEN,-669.6,8577,0.0,0.1999999999999999
1990-08-03 00:00:00,added Orlando Woolridge to DEN,546.9,9124,1.1,1.3
1990-08-17 00:00:00,added Clifford Lett to DEN,0.0,9124,0.0,1.3
1990-09-04 00:00:00,added Stephen Thompson to DEN,0.0,9124,0.0,1.3
1990-09-18 00:00:00,added Corey Gaines to DEN,-271.2,8852,0.0,1.3
1990-09-26 00:00:00,added Jawann Oldham to DEN,0.0,8852,0.0,1.3
1990-09-28 00:00:00,added Anthony Cook to DEN,-4199.4,4653,-0.5,0.8
1990-10-04 00:00:00,added Jim Farmer to DEN,0.0,4653,0.0,0.8
1990-10-05 00:00:00,added Joe Wolf to DEN,-15733.899999999998,-11080,-2.3,-1.4999999999999998
1990-10-24 00:00:00,added Avery Johnson to DEN,35.799999999999955,-11044,0.8,-0.6999999999999997
1990-12-28 00:00:00,added Tim Legler to DEN,-1258.0,-12302,-0.2,-0.8999999999999997
1990-12-28 00:00:00,added Anthony Mason to DEN,-50.4,-12353,0.0,-0.8999999999999997
1991-01-04 00:00:00,added Reggie Williams to DEN,15940.399999999998,3587,10.3,9.4
1991-01-23 00:00:00,lost Walter Davis to POR,965.8,4553,-0.0,9.4
1991-01-23 00:00:00,lost Reggie Smith to POR,1957.6,6510,0.3,9.7
1991-01-23 00:00:00,lost Terry Mills to NJN,4083.0,10593,-0.1,9.6
1991-01-23 00:00:00,added Greg Anderson to DEN,-13384.3,-2790,-1.7,7.899999999999999
1991-01-23 00:00:00,added Bryant Stith to DEN,0.0,-2790,0.0,7.899999999999999
1991-02-12 00:00:00,added Craig Neal to DEN,-1025.0,-3815,-0.2,7.699999999999999
1991-03-07 00:00:00,added Jim Farmer to DEN,0.0,-3815,0.0,7.699999999999999
1991-03-17 00:00:00,added Jim Farmer to DEN,-1550.5,-5366,-0.2,7.499999999999999
1991-06-11 00:00:00,lost Michael Adams to WSB,-2694.0,-8060,-4.5,2.999999999999999
1991-06-11 00:00:00,lost LaBradford Smith to WSB,9171.0,1110,1.1,4.099999999999999
1991-06-11 00:00:00,lost John Best to WSB,-0.0,1110,-0.0,4.099999999999999
1991-06-11 00:00:00,added Mark Macon to DEN,0.0,1110,0.0,4.099999999999999
1991-06-26 00:00:00,added Dikembe Mutombo to DEN,25253.3,26364,13.5,17.599999999999998
1991-06-26 00:00:00,added Mark Macon to DEN,-15569.600000000002,10794,-2.1,15.499999999999998
1991-06-26 00:00:00,lost Russ Millard to LAC,-0.0,10794,-0.0,15.499999999999998
1991-06-26 00:00:00,added Winston Garland to DEN,-2871.7000000000003,7922,0.4,15.9
1991-07-01 00:00:00,lost Blair Rasmussen to ATL,8309.5,16232,1.0,16.9
1991-07-01 00:00:00,added Josh Grant to DEN,0.0,16232,0.0,16.9
1991-07-01 00:00:00,added Kevin Brooks to DEN,-6047.6,10184,-1.0,15.9
1991-07-01 00:00:00,added Rodney Dent to DEN,0.0,10184,0.0,15.9
1991-08-13 00:00:00,lost Orlando Woolridge to DET,2385.8,12570,-1.2000000000000002,14.7
1991-08-13 00:00:00,added Scott Hastings to DEN,-3785.9,8784,-0.4,14.3
1991-08-13 00:00:00,added Robert Werdann to DEN,0.0,8784,0.0,14.3
1991-08-15 00:00:00,added Howard Wright to DEN,0.0,8784,0.0,14.3
1991-11-01 00:00:00,added Walter Davis to DEN,74.10000000000001,8858,0.4,14.7
1992-02-27 00:00:00,added Steve Scheffler to DEN,0.0,8858,0.0,14.7
1992-03-17 00:00:00,added Steve Scheffler to DEN,-73.60000000000001,8785,0.0,14.7
1992-06-24 00:00:00,added LaPhonso Ellis to DEN,-4777.0,4008,4.7,19.4
1992-06-24 00:00:00,added Bryant Stith to DEN,-9427.9,-5419,4.3,23.7
1992-06-24 00:00:00,added Robert Werdann to DEN,-1266.5,-6686,-0.2,23.5
1992-09-30 00:00:00,added Gary Plummer to DEN,-4348.3,-11034,-0.7,22.8
1992-10-23 00:00:00,lost Kevin Thompson to POR,469.8,-10564,0.1,22.9
1992-10-23 00:00:00,added Robert Pack to DEN,-418.5,-10983,2.4,25.3
1993-02-05 00:00:00,added Tom Hammonds to DEN,-16984.6,-27967,-1.6,23.7
1993-06-30 00:00:00,lost John Best to NJN,-0.0,-27967,-0.0,23.7
1993-06-30 00:00:00,added Rodney Rogers to DEN,-1057.8,-29025,1.6,25.3
1993-06-30 00:00:00,added Josh Grant to DEN,0.0,-29025,0.0,25.3
1993-06-30 00:00:00,lost Josh Grant to GSW,878.5999999999999,-28146,-0.0,25.3
1993-06-30 00:00:00,lost Anthony Miller to GSW,-0.0,-28146,-0.0,25.3
1993-06-30 00:00:00,added Darnell Mee to DEN,-823.8,-28970,-0.1,25.2
1993-08-19 00:00:00,lost Anthony Cook to ORL,17.6,-28953,-0.0,25.2
1993-08-19 00:00:00,lost Todd Lichti to ORL,30.0,-28923,-0.0,25.2
1993-08-19 00:00:00,lost Rodney Dent to ORL,-0.0,-28923,-0.0,25.2
1993-08-19 00:00:00,added Bison Dele to DEN,-2045.3,-30968,0.9,26.1
1993-11-19 00:00:00,lost Marcus Liberty to DET,2000.2,-28968,0.4,26.5
1993-11-19 00:00:00,lost Mark Macon to DET,3158.5,-25809,0.1,26.6
1993-11-19 00:00:00,added Alvin Robertson to DEN,0.0,-25809,0.0,26.6
1993-11-20 00:00:00,added Adonis Jordan to DEN,0.0,-25809,0.0,26.6
1993-11-29 00:00:00,added Mark Randall to DEN,-341.0,-26150,0.0,26.6
1994-01-11 00:00:00,added Adonis Jordan to DEN,-418.7,-26569,-0.1,26.5
1994-01-21 00:00:00,added Roy Marble to DEN,-502.4,-27071,-0.1,26.399999999999995
1994-02-15 00:00:00,added Jim Farmer to DEN,-420.5,-27492,-0.1,26.299999999999997
1994-06-29 00:00:00,added Jalen Rose to DEN,-381.3999999999999,-27873,1.8,28.099999999999994
1994-08-02 00:00:00,added Reggie Slater to DEN,-708.0,-28581,0.0,28.099999999999994
1994-09-29 00:00:00,added Cliff Levingston to DEN,-1876.0,-30457,-0.2,27.899999999999995
1994-10-04 00:00:00,added Dale Ellis to DEN,-7004.4,-37462,1.9,29.799999999999997
1995-02-23 00:00:00,added Mark Randall to DEN,0.0,-37462,0.0,29.799999999999997
1995-03-03 00:00:00,added Eldridge Recasner to DEN,-11.7,-37473,0.0,29.799999999999997
1995-03-14 00:00:00,added Greg Grant to DEN,0.0,-37473,0.0,29.799999999999997
1995-03-17 00:00:00,added Mark Randall to DEN,-401.7000000000001,-37875,-0.1,29.699999999999992
1995-04-05 00:00:00,added Greg Grant to DEN,-679.4999999999999,-38555,-0.1,29.59999999999999
1995-06-28 00:00:00,added Brent Barry to DEN,0.0,-38555,0.0,29.59999999999999
1995-06-28 00:00:00,added Anthony Pelle to DEN,0.0,-38555,0.0,29.59999999999999
1995-06-28 00:00:00,lost Brent Barry to LAC,-5283.700000000001,-43838,-3.5,26.09999999999999
1995-06-28 00:00:00,lost Rodney Rogers to LAC,6710.900000000001,-37127,-2.3,23.79999999999999
1995-06-28 00:00:00,added Antonio McDyess to DEN,-3052.8,-40180,5.4,29.19999999999999
1995-06-28 00:00:00,added Randy Woods to DEN,108.0,-40072,0.1,29.29999999999999
1995-09-19 00:00:00,lost Bison Dele to LAC,1294.2,-38778,-0.8,28.49999999999999
1995-09-19 00:00:00,added Elmore Spencer to DEN,-403.2,-39181,-0.1,28.399999999999988
1995-09-26 00:00:00,added Rastko Cvetković to DEN,-528.0,-39709,-0.1,28.299999999999983
1995-10-02 00:00:00,added Nate Driggers to DEN,0.0,-39709,0.0,28.299999999999983
1995-10-30 00:00:00,lost Robert Pack to WSB,-2168.0,-41877,-1.1,27.199999999999985
1995-10-30 00:00:00,added Don MacLean to DEN,-1439.1,-43316,0.2,27.399999999999984
1995-10-30 00:00:00,added Doug Overton to DEN,-2003.1,-45319,-0.2,27.199999999999985
1995-12-26 00:00:00,added Reggie Slater to DEN,-31.2,-45351,0.0,27.199999999999985
1996-03-07 00:00:00,added Matt Fish to DEN,0.0,-45351,0.0,27.199999999999985
1996-03-27 00:00:00,added Matt Fish to DEN,81.89999999999999,-45269,0.1,27.299999999999983
1996-03-29 00:00:00,added Greg Grant to DEN,-752.1,-46021,-0.1,27.199999999999985
1996-06-13 00:00:00,lost Mahmoud Abdul-Rauf to SAC,8031.6,-37989,0.8,27.999999999999982
1996-06-13 00:00:00,added Šarūnas Marčiulionis to DEN,-1224.0,-39213,-0.2,27.799999999999983
1996-06-13 00:00:00,added Jeff McInnis to DEN,0.0,-39213,0.0,27.799999999999983
1996-06-13 00:00:00,lost Jalen Rose to IND,-7894.9000000000015,-47108,-7.800000000000001,19.999999999999982
1996-06-13 00:00:00,lost Reggie Williams to IND,333.3,-46775,0.1,20.099999999999987
1996-06-13 00:00:00,lost Erick Dampier to IND,3892.4,-42882,0.4,20.499999999999982
1996-06-13 00:00:00,added Mark Jackson to DEN,1400.6999999999998,-41482,1.4,21.899999999999984
1996-06-13 00:00:00,added Ricky Pierce to DEN,-1320.0,-42802,0.0,21.899999999999984
1996-06-13 00:00:00,added Efthimis Rentzias to DEN,0.0,-42802,0.0,21.899999999999984
1996-06-26 00:00:00,added Efthimis Rentzias to DEN,0.0,-42802,0.0,21.899999999999984
1996-06-26 00:00:00,added Jeff McInnis to DEN,35.1,-42767,0.1,21.999999999999982
1996-07-17 00:00:00,added Ervin Johnson to DEN,-1039.6,-43806,1.1,23.099999999999987
1996-09-19 00:00:00,added Ed Stokes to DEN,0.0,-43806,0.0,23.099999999999987
1996-10-01 00:00:00,added Darvin Ham to DEN,-1471.1,-45277,-0.2,22.899999999999988
1996-10-01 00:00:00,added Eric Murdock to DEN,627.0,-44650,0.2,23.099999999999987
1996-10-03 00:00:00,added Rich King to DEN,0.0,-44650,0.0,23.099999999999987
1996-10-16 00:00:00,added LaSalle Thompson to DEN,-1155.0,-45805,-0.2,22.899999999999988
1996-11-21 00:00:00,added Brooks Thompson to DEN,-1151.7,-46957,0.2,23.099999999999987
1996-12-12 00:00:00,added Melvin Booker to DEN,-354.9,-47312,-0.1,22.999999999999982
1996-12-22 00:00:00,added Aaron Williams to DEN,-55.0,-47367,0.0,22.999999999999982
1997-01-07 00:00:00,added Elmer Bennett to DEN,-796.5,-48163,-0.2,22.799999999999983
1997-01-24 00:00:00,added Kenny Smith to DEN,0.0,-48163,0.0,22.799999999999983
1997-02-03 00:00:00,added Kenny Smith to DEN,-1569.6,-49733,-0.1,22.699999999999985
2004-06-22 00:00:00,,0.0,-49733,0.0,22.699999999999985
2004-06-22 00:00:00,lost Shaun Livingston to LAC,4932.5,-44800,-0.8,21.899999999999984
2004-06-22 00:00:00,lost Lionel Chalmers to LAC,2294.9,-42506,0.4,22.299999999999983
2004-06-22 00:00:00,added Emeka Okafor to CHA,0.0,-42506,0.0,22.299999999999983
2004-06-22 00:00:00,added Sean May to CHA,0.0,-42506,0.0,22.299999999999983
2004-06-23 00:00:00,lost Zaza Pachulia to MIL,3509.1000000000004,-38996,-1.3,20.999999999999982
2004-06-23 00:00:00,added Bernard Robinson to CHA,0.0,-38996,0.0,20.999999999999982
2004-06-23 00:00:00,lost Sasha Pavlović to CLE,15979.3,-23017,1.2000000000000002,22.19999999999998
2004-06-23 00:00:00,added Jared Dudley to CHA,-1139.6,-24157,0.6000000000000001,22.799999999999983
2004-06-24 00:00:00,added Emeka Okafor to CHA,-4596.099999999999,-28753,4.5,27.299999999999983
2004-06-24 00:00:00,added Bernard Robinson to CHA,-4059.1,-32812,-0.1,27.19999999999998
2004-07-14 00:00:00,lost Daniel Ewing to LAC,5100.8,-27711,0.4,27.59999999999998
2004-07-14 00:00:00,lost Paul Davis to LAC,3105.0,-24606,0.5,28.09999999999998
2004-07-14 00:00:00,added Melvin Ely to CHA,-11219.2,-35825,-1.2,26.89999999999998
2004-07-14 00:00:00,added Eddie House to CHA,780.0,-35045,0.3,27.19999999999998
2004-07-14 00:00:00,added Jason Hart to CHA,2264.4,-32781,1.5,28.69999999999998
2004-08-03 00:00:00,added Omar Cook to CHA,0.0,-32781,0.0,28.69999999999998
2004-08-16 00:00:00,lost Predrag Drobnjak to ATL,4592.0,-28189,0.4,29.09999999999998
2004-08-16 00:00:00,added Ronny Turiaf to CHA,0.0,-28189,0.0,29.09999999999998
2004-08-31 00:00:00,added Brevin Knight to CHA,5517.6,-22671,4.1,33.19999999999998
2004-09-16 00:00:00,added Steve Smith to CHA,381.6,-22290,0.4,33.59999999999998
2004-11-01 00:00:00,lost Brandon Hunter to ORL,1344.0,-20946,0.2,33.79999999999998
2004-11-01 00:00:00,added Keith Bogans to CHA,-7832.9,-28779,-0.7,33.09999999999998
2004-12-06 00:00:00,lost Ronny Turiaf to LAL,175.0,-28604,-1.4,31.69999999999998
2004-12-06 00:00:00,lost Patrick Beverley to LAL,2179.8,-26424,-0.1,31.59999999999998
2004-12-06 00:00:00,added Kareem Rush to CHA,-6057.6,-32481,-0.5,31.09999999999998
2005-02-23 00:00:00,added Matt Carroll to CHA,-12831.9,-45313,0.5,31.59999999999998
2005-02-24 00:00:00,lost Steve Smith to MIA,444.6,-44869,0.1,31.69999999999998
2005-02-24 00:00:00,added Malik Allen to CHA,-542.0,-45411,0.0,31.69999999999998
2005-02-28 00:00:00,added Cory Alexander to CHA,-683.4,-46094,-0.1,31.59999999999998
2005-06-28 00:00:00,added Raymond Felton to CHA,-6030.2,-52124,5.3,36.89999999999998
2005-06-28 00:00:00,added Sean May to CHA,-2089.0,-54213,0.2999999999999999,37.19999999999997
2005-08-02 00:00:00,lost Jason Hart to SAC,3974.6,-50239,0.6,37.799999999999976
2005-08-02 00:00:00,added Ryan Hollins to CHA,0.0,-50239,0.0,37.799999999999976
2005-08-02 00:00:00,added Jake Voskuhl to CHA,-3599.2,-53838,-0.5,37.299999999999976
2005-08-09 00:00:00,added Alan Anderson to CHA,0.0,-53838,0.0,37.299999999999976
2005-08-09 00:00:00,added Alan Anderson to CHA,-1861.2,-55699,-0.2,37.09999999999997
2005-08-31 00:00:00,added Kevin Burleson to CHA,-2108.0,-57807,-0.4,36.69999999999997
2005-10-26 00:00:00,lost Sun Yue to LAL,543.1999999999999,-57264,0.1,36.799999999999976
2005-10-26 00:00:00,added Jumaine Jones to CHA,-3551.3,-60815,0.2,36.99999999999998
2006-02-09 00:00:00,lost Keith Bogans to HOU,1702.4,-59113,-0.1,36.89999999999998
2006-02-09 00:00:00,added Lonny Baxter to CHA,-618.8000000000001,-59732,-0.1,36.799999999999976
2006-06-28 00:00:00,added Adam Morrison to CHA,-14864.1,-74596,-2.2,34.59999999999997
2006-06-28 00:00:00,added Ryan Hollins to CHA,-3445.1,-78041,-0.4,34.199999999999974
2006-07-19 00:00:00,added Othella Harrington to CHA,-3331.2,-81372,-0.6,33.59999999999997
2006-08-14 00:00:00,added Jake Voskuhl to CHA,-4067.7,-85440,-0.5,33.09999999999997
2006-09-11 00:00:00,added Walter Herrmann to CHA,574.8000000000001,-84865,0.7,33.799999999999976
2006-11-28 00:00:00,added Derek Anderson to CHA,-791.2,-85656,0.6,34.39999999999998
2007-01-03 00:00:00,lost Bernard Robinson to NJN,-151.7,-85808,-0.1,34.299999999999976
2007-01-03 00:00:00,added Jeff McInnis to CHA,-11194.2,-97002,-1.7999999999999998,32.49999999999998
2007-02-13 00:00:00,lost Melvin Ely to SAS,507.0,-96495,0.1,32.59999999999998
2007-02-13 00:00:00,added Eric Williams to CHA,-389.4,-96884,-0.1,32.49999999999998
2007-02-13 00:00:00,added Robert Vaden to CHA,0.0,-96884,0.0,32.49999999999998
2007-03-16 00:00:00,added Alan Anderson to CHA,-1152.0,-98036,-0.2,32.299999999999976
