date,Transaction,single_value,value
2010-09-24 00:00:00,added Garret Siler to PHO,-585.8,-585
2010-11-16 00:00:00,added Earl Barron to PHO,-3162.7,-3748
2010-12-18 00:00:00,lost Earl Clark to ORL,4267.900000000001,519
2010-12-18 00:00:00,lost Jason Richardson to ORL,-4184.1,-3664
2010-12-18 00:00:00,lost Hedo Türkoğlu to ORL,-782.5000000000002,-4447
2010-12-18 00:00:00,added Vince Carter to PHO,-554.8000000000001,-5002
2010-12-18 00:00:00,added Marcin Gortat to PHO,5348.8,346
2010-12-18 00:00:00,added Mickaël Piétrus to PHO,-826.8,-479
2010-12-18 00:00:00,added Nikola Mirotić to PHO,0.0,-479
2011-01-09 00:00:00,added Zabian Dowdell to PHO,-1051.2,-1531
2011-02-24 00:00:00,lost Goran Dragić to HOU,-4727.4,-6258
2011-02-24 00:00:00,lost Nikola Mirotić to HOU,-0.0,-6258
2011-02-24 00:00:00,added Aaron Brooks to PHO,-520.3000000000001,-6778
2011-06-23 00:00:00,added Markieff Morris to PHO,-8081.200000000001,-14860
2011-12-09 00:00:00,added Sebastian Telfair to PHO,-2515.0,-17375
2011-12-09 00:00:00,added Shannon Brown to PHO,-3643.2,-21018
2011-12-13 00:00:00,added Ronnie Price to PHO,-4238.1,-25256
2011-12-13 00:00:00,added Marcus Landry to PHO,0.0,-25256
2011-12-29 00:00:00,added Michael Redd to PHO,-2002.0,-27258
2012-06-28 00:00:00,added Kendall Marshall to PHO,-3650.4,-30908
2012-07-11 00:00:00,lost Steve Nash to LAL,475.9999999999999,-30432
2012-07-11 00:00:00,added Nemanja Nedović to PHO,0.0,-30432
2012-07-11 00:00:00,added Alex Oriakhi to PHO,0.0,-30432
2012-07-11 00:00:00,added Johnny O'Bryant to PHO,0.0,-30432
2012-07-11 00:00:00,added Mikal Bridges to PHO,12121.2,-18311
2012-07-15 00:00:00,added Luis Scola to PHO,-1092.0,-19403
2012-07-19 00:00:00,added Goran Dragić to PHO,14192.1,-5211
2012-07-20 00:00:00,added Michael Beasley to PHO,-7303.8,-12515
2012-07-27 00:00:00,lost Robin Lopez to NOH,-1281.6,-13796
2012-07-27 00:00:00,lost Hakim Warrick to NOH,-98.0,-13894
2012-07-27 00:00:00,lost Johnny O'Bryant to MIN,-0.0,-13894
2012-07-27 00:00:00,added Wesley Johnson to PHO,-3144.9,-17039
2012-07-27 00:00:00,added Semi Ojeleye to PHO,0.0,-17039
2012-07-27 00:00:00,added Jerome Dyson to PHO,0.0,-17039
2012-07-27 00:00:00,added Brad Miller to PHO,0.0,-17039
2012-07-27 00:00:00,added Rade Zagorac to PHO,0.0,-17039
2012-08-01 00:00:00,added P.J. Tucker to PHO,-3446.0,-20485
2012-08-15 00:00:00,added Jermaine O'Neal to PHO,-1337.7,-21823
2012-10-01 00:00:00,added Othyus Jeffers to PHO,0.0,-21823
2012-10-01 00:00:00,added Ike Diogu to PHO,0.0,-21823
2012-10-01 00:00:00,added Solomon Jones to PHO,0.0,-21823
2012-10-01 00:00:00,added Luke Zeller to PHO,-417.6,-22241
2012-10-01 00:00:00,added Diante Garrett to PHO,-655.6,-22896
2013-02-21 00:00:00,lost Sebastian Telfair to TOR,314.5,-22582
2013-02-21 00:00:00,added Hamed Haddadi to PHO,-1527.5,-24109
2013-02-21 00:00:00,added Lamar Patterson to PHO,0.0,-24109
2013-02-21 00:00:00,lost Isaiah Canaan to HOU,1223.1999999999998,-22886
2013-02-21 00:00:00,added Marcus Morris to PHO,-523.5000000000002,-23410
