date,Transaction,single_value,value
2022-06-23,added Christian Braun to DEN,0.0,0
2022-06-23,lost JaMychal Green to OKC,-0.0,0
2022-06-23,added Peyton Watson to DEN,0.0,0
2022-06-23,added Maxwell Lewis to DEN,0.0,0
2022-06-23,added Tyler Kolek to DEN,0.0,0
2022-07-03,added Christian Braun to DEN,-5729.299999999999,-5729
2022-07-03,added Peyton Watson to DEN,-6622.200000000001,-12351
2022-07-03,added Collin Gillespie to DEN,0.0,-12351
2022-07-06,lost Will Barton to WAS,2111.4,-10240
2022-07-06,lost Monte Morris to WAS,-847.5,-11087
2022-07-06,added Kentavious Caldwell-Pope to DEN,-5743.799999999999,-16831
2022-07-06,added Ish Smith to DEN,-2626.8,-19458
2022-07-06,lost Tyler Kolek to POR,-0.0,-19458
2022-07-06,added Ismael Kamagate to DEN,0.0,-19458
2022-07-07,added Vlatko Čančar to DEN,-1600.1999999999998,-21058
2022-07-07,added Bruce Brown to DEN,-1140.0,-22198
2022-07-09,added Davon Reed to DEN,-1921.5,-24119
2022-07-11,added DeAndre Jordan to DEN,-1054.8,-25174
2022-07-19,added Jack White to DEN,-125.4,-25300
2022-08-25,added Justin Tillman to DEN,0.0,-25300
2022-09-26,added Grant Golden to DEN,0.0,-25300
2022-10-10,added Chasson Randle to DEN,0.0,-25300
2022-10-10,added Grant Golden to DEN,0.0,-25300
2023-02-09,lost Davon Reed to LAL,-116.1,-25416
2023-02-09,lost Bones Hyland to LAC,1494.3,-23921
2023-02-09,added Thomas Bryant to DEN,-1353.0,-25274
2023-02-14,added Reggie Jackson to DEN,-1626.8999999999996,-26901
2023-06-22,added Maxwell Lewis to DEN,0.0,-26901
2023-06-23,lost Maxwell Lewis to LAL,1666.0,-25235
2023-06-23,added Jalen Pickett to DEN,0.0,-25235
2023-06-23,added Julian Strawther to DEN,0.0,-25235
2023-06-23,added Hunter Tyson to DEN,0.0,-25235
2023-06-23,added Kevin McCullar Jr. to DEN,0.0,-25235
2023-07-06,added Hunter Tyson to DEN,-2323.2,-27559
2023-07-06,added Julian Strawther to DEN,-9489.2,-37048
2023-07-06,added Jalen Pickett to DEN,-1182.4,-38230
2023-07-06,added Justin Holiday to DEN,-1379.2,-39609
2023-07-16,added Reggie Jackson to DEN,-5814.400000000001,-45424
2023-07-17,added Collin Gillespie to DEN,-607.5,-46031
2023-07-18,added Braxton Key to DEN,126.0,-45905
2023-07-18,added James Huff to DEN,63.7,-45842
2023-07-20,added DeAndre Jordan to DEN,-673.1999999999999,-46515
2024-02-08,lost Ismael Kamagate to LAC,-0.0,-46515
2024-06-26,added Ryan Dunn to DEN,0.0,-46515
2024-06-26,lost Ryan Dunn to PHO,5191.2,-41324
2024-06-26,lost Kevin McCullar Jr. to PHO,-0.0,-41324
2024-06-26,added DaRon Holmes to DEN,0.0,-41324
2024-06-26,lost future 2nd round pick to PHO,-0.0,-41324
2024-06-26,lost future 2nd round pick to PHO,-0.0,-41324
2024-07-03,added Trey Alexander to DEN,-1199.0,-42523
2024-07-06,lost future 2nd round pick to MIN,-0.0,-42523
2024-07-06,lost future 2nd round pick to DAL,-0.0,-42523
2024-07-06,lost Reggie Jackson to CHO,-0.0,-42523
2024-07-06,lost future 2nd round pick to CHO,-0.0,-42523
2024-07-06,lost future 2nd round pick to CHO,-0.0,-42523
2024-07-06,added future 2nd round pick to DEN,0.0,-42523
2024-07-06,added Vlatko Cancar to DEN,-844.8000000000001,-43367
2024-07-09,added DeRon Holmes to DEN,0.0,-43367
2024-07-10,added P.J. Hall to DEN,-92.4,-43460
2024-07-12,added Dario Saric to DEN,-1008.0,-44468
2024-07-24,added DeAndre Jordan to DEN,-914.2,-45382
2024-07-26,added Russell Westbrook to DEN,-2202.2000000000003,-47584
2024-07-30,added Spencer Jones to DEN,-1062.5,-48647
