date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1990-06-27 00:00:00,added Kendall Gill to CHA,0.0,0,0.0,0.0,draft,Kendall Gill
1990-06-27 00:00:00,added Steve Scheffler to CHA,0.0,0,0.0,0.0,draft,Steve Scheffler
1990-07-26 00:00:00,added Steve Scheffler to CHA,0.0,0,0.0,0.0,signing,Steve Scheffler
1990-07-28 00:00:00,added Johnny Newman to CHA,0.0,0,0.0,0.0,signing,Johnny Newman
1990-08-29 00:00:00,added Jim Les to CHA,0.0,0,0.0,0.0,signing,Jim Les
1991-01-04 00:00:00,lost Armen Gilliam to PHI,6738.199999999999,6738,-1.5,-1.5,trade,Armen Gilliam
1991-01-04 00:00:00,lost Dave Hoppen to PHI,673.6,7411,0.2,-1.3,trade,Dave Hoppen
1991-01-04 00:00:00,added Mike Gminski to CHA,0.0,7411,0.0,-1.3,trade,Mike Gminski
1991-01-14 00:00:00,added Earl Cureton to CHA,0.0,7411,0.0,-1.3,signing,Earl Cureton
1991-01-22 00:00:00,added Scott Haffner to CHA,0.0,7411,0.0,-1.3,signing,Scott Haffner
1991-01-22 00:00:00,added Jeff Sanders to CHA,0.0,7411,0.0,-1.3,signing,Jeff Sanders
1991-01-29 00:00:00,lost Alex Holcombe to SAC,-0.0,7411,-0.0,-1.3,trade,Alex Holcombe
1991-01-29 00:00:00,lost Dejan Bodiroga to SAC,-0.0,7411,-0.0,-1.3,trade,Dejan Bodiroga
1991-01-29 00:00:00,added Eric Leckner to CHA,0.0,7411,0.0,-1.3,trade,Eric Leckner
1991-02-11 00:00:00,added Scott Haffner to CHA,0.0,7411,0.0,-1.3,signing,Scott Haffner
1997-02-20 00:00:00,,0.0,7411,0.0,-1.3,,
1997-02-20 00:00:00,lost Mark Jackson to IND,-20310.7,-12898,-8.7,-10.0,trade,Mark Jackson
1997-02-20 00:00:00,lost LaSalle Thompson to IND,259.0,-12639,-0.0,-10.0,trade,LaSalle Thompson
1997-02-20 00:00:00,added Vincent Askew to DEN,-137.70000000000002,-12777,0.0,-10.0,trade,Vincent Askew
1997-02-20 00:00:00,added Eddie Johnson to DEN,0.0,-12777,0.0,-10.0,trade,Eddie Johnson
