date,Transaction,single_value,value
1996-06-26 00:00:00,added Kerry Kittles to BRK,37658.09999999999,37658
1996-07-16 00:00:00,lost Greg Graham to SEA,906.2,38564
1996-07-16 00:00:00,added Vincent Askew to BRK,-63.7,38500
1996-07-31 00:00:00,added Robert Pack to BRK,-1134.0,37366
1996-08-07 00:00:00,added David Benoit to BRK,-2157.3,35209
1996-09-10 00:00:00,added Tony Massenburg to BRK,-8206.800000000001,27002
1996-09-24 00:00:00,added Adrian Caldwell to BRK,-1550.4,25452
1996-09-27 00:00:00,added William Cunningham to BRK,-1658.3000000000002,23793
1996-10-09 00:00:00,added Xavier McDaniel to BRK,-6093.0,17700
1996-11-04 00:00:00,lost Vincent Askew to IND,1397.4,19098
1996-11-04 00:00:00,added Reggie Williams to BRK,-133.6,18964
1996-12-10 00:00:00,added Evric Gray to BRK,-386.4,18578
1996-12-21 00:00:00,added Lloyd Daniels to BRK,0.0,18578
1997-01-09 00:00:00,added Lloyd Daniels to BRK,-564.0,18014
1997-01-30 00:00:00,added Jack Haley to BRK,0.0,18014
1997-02-17 00:00:00,lost Shawn Bradley to DAL,-8308.8,9705
1997-02-17 00:00:00,lost Ed O'Bannon to DAL,1365.0,11070
1997-02-17 00:00:00,lost Robert Pack to DAL,3616.9,14687
1997-02-17 00:00:00,lost Khalid Reeves to DAL,5394.6,20081
1997-02-17 00:00:00,added Sam Cassell to BRK,12718.8,32800
1997-02-17 00:00:00,added Chris Gatling to BRK,-5028.9,27771
1997-02-17 00:00:00,added Jim Jackson to BRK,-231.0,27540
1997-02-17 00:00:00,added George McCloud to BRK,0.0,27540
1997-02-17 00:00:00,added Eric Montross to BRK,-2869.6,24671
1997-02-20 00:00:00,added Jack Haley to BRK,-251.6,24419
1997-02-20 00:00:00,lost George McCloud to LAL,629.2,25048
1997-02-20 00:00:00,added Joe Kleine to BRK,-1812.0,23236
1997-02-20 00:00:00,added Anthony Parker to BRK,0.0,23236
1997-06-25 00:00:00,added Tim Thomas to BRK,0.0,23236
1997-06-25 00:00:00,added Anthony Parker to BRK,0.0,23236
1997-06-27 00:00:00,lost Jim Jackson to PHI,2682.0,25918
1997-06-27 00:00:00,lost Eric Montross to PHI,2089.4,28008
1997-06-27 00:00:00,lost Anthony Parker to PHI,-234.1,27774
1997-06-27 00:00:00,lost Tim Thomas to PHI,1077.5,28851
1997-06-27 00:00:00,added Michael Cage to BRK,503.7,29355
1997-06-27 00:00:00,added Lucious Harris to BRK,-6214.900000000001,23140
1997-06-27 00:00:00,added Don MacLean to BRK,-630.0,22510
1997-06-27 00:00:00,added Keith Van Horn to BRK,-737.7000000000003,21772
1997-10-02 00:00:00,added Jack Haley to BRK,0.0,21772
1997-10-31 00:00:00,added Sherman Douglas to BRK,-3154.4999999999995,18618
1998-01-08 00:00:00,added Jack Haley to BRK,0.0,18618
1998-02-19 00:00:00,lost David Benoit to ORL,745.1999999999999,19363
1998-02-19 00:00:00,lost Yinka Dare to ORL,-0.0,19363
1998-02-19 00:00:00,lost Kevin Edwards to ORL,297.0,19660
1998-02-19 00:00:00,lost Matt Harpring to ORL,1692.1999999999998,21352
1998-02-19 00:00:00,added Brian Evans to BRK,-111.10000000000002,21241
1998-02-19 00:00:00,added Rony Seikaly to BRK,-1921.6,19319
1998-03-07 00:00:00,added David Vaughn to BRK,0.0,19319
1998-03-29 00:00:00,added David Vaughn to BRK,-1219.5,18100
1998-04-15 00:00:00,added Jack Haley to BRK,-622.1999999999999,17478
1999-01-21 00:00:00,added Steve Goodrich to BRK,-500.0,16978
1999-01-21 00:00:00,added Earl Boykins to BRK,-173.4,16804
1999-01-21 00:00:00,lost Michael Cage to SEA,-0.0,16804
1999-01-21 00:00:00,lost Don MacLean to SEA,1715.5,18520
1999-01-21 00:00:00,added Jim McIlvaine to BRK,-4114.900000000001,14405
1999-01-21 00:00:00,added Eric Murdock to BRK,-641.6,13763
1999-01-21 00:00:00,added Kevin Salvadori to BRK,0.0,13763
1999-02-03 00:00:00,added Scott Burrell to BRK,1963.8,15727
1999-02-16 00:00:00,added Damon Jones to BRK,275.1,16002
1999-03-03 00:00:00,added Doug Overton to BRK,0.0,16002
1999-03-11 00:00:00,lost Brian Evans to MIN,148.8,16151
1999-03-11 00:00:00,lost Wally Szczerbiak to MIN,-14230.8,1920
1999-03-11 00:00:00,lost Sam Cassell to MIL,-23266.0,-21345
1999-03-11 00:00:00,lost Chris Gatling to MIL,2074.8,-19270
1999-03-11 00:00:00,added Elliot Perry to NJN,-2927.7,-22198
1999-03-11 00:00:00,added Chris Carr to NJN,-982.8,-23181
1999-03-11 00:00:00,added Bill Curley to NJN,0.0,-23181
1999-03-11 00:00:00,added Stephon Marbury to NJN,21488.1,-1692
1999-03-12 00:00:00,added Doug Overton to BRK,-2319.6,-4012
