date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1968-06-04 00:00:00,added Gary Gregor to PHO,0.0,0,0.0,0.0,draft,Gary Gregor
1968-06-04 00:00:00,added Dick Cunningham to PHO,0.0,0,0.0,0.0,draft,Dick Cunningham
1968-06-04 00:00:00,added Art Beatty to PHO,0.0,0,0.0,0.0,draft,Art Beatty
1968-06-04 00:00:00,added Rich Jones to PHO,0.0,0,0.0,0.0,draft,Rich Jones
1968-06-04 00:00:00,added Harry Hollines to PHO,0.0,0,0.0,0.0,draft,Harry Hollines
1968-06-04 00:00:00,added Rod Knowles to PHO,0.0,0,0.0,0.0,draft,Rod Knowles
1968-06-04 00:00:00,added Charles Parks to PHO,0.0,0,0.0,0.0,draft,Charles Parks
1968-06-04 00:00:00,added Brian Clare to PHO,0.0,0,0.0,0.0,draft,Brian Clare
1968-06-04 00:00:00,added Merv Jackson to PHO,0.0,0,0.0,0.0,draft,Merv Jackson
1968-06-04 00:00:00,added Lee Davis to PHO,0.0,0,0.0,0.0,draft,Lee Davis
1968-06-04 00:00:00,added Ron Boone to PHO,0.0,0,0.0,0.0,draft,Ron Boone
1968-06-04 00:00:00,added Bill Davis to PHO,0.0,0,0.0,0.0,draft,Bill Davis
1968-06-04 00:00:00,added Pat Hobart to PHO,0.0,0,0.0,0.0,draft,Pat Hobart
1968-08-27 00:00:00,lost Em Bryant to BOS,-0.0,0,-0.0,0.0,trade,Em Bryant
1968-08-27 00:00:00,added Gene Williams to PHO,0.0,0,0.0,0.0,trade,Gene Williams
1968-09-11 00:00:00,lost Dennis Hamilton to ATL,-0.0,0,-0.0,0.0,trade,Dennis Hamilton
1968-09-11 00:00:00,added Lloyd Kerr to PHO,0.0,0,0.0,0.0,trade,Lloyd Kerr
1968-09-12 00:00:00,lost Dick Cunningham to MIL,-0.0,0,-0.0,0.0,trade,Dick Cunningham
1968-09-12 00:00:00,added John Arthurs to PHO,0.0,0,0.0,0.0,trade,John Arthurs
1968-10-18 00:00:00,added Ed Biedenbach to PHO,0.0,0,0.0,0.0,signing,Ed Biedenbach
1968-12-17 00:00:00,lost McCoy McLemore to DET,-0.0,0,-0.0,0.0,trade,McCoy McLemore
1968-12-17 00:00:00,added Jim Fox to PHO,0.0,0,0.0,0.0,trade,Jim Fox
1968-12-17 00:00:00,added Lamar Green to PHO,0.0,0,0.0,0.0,trade,Lamar Green
