date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
1995-06-28 00:00:00,lost Shawn Respert to POR,-0.0,0,-0.0,0.0,trade,Shawn Respert
1995-06-28 00:00:00,added Randolph Childress to DET,0.0,0,0.0,0.0,trade,Randolph Childress
1995-06-28 00:00:00,added Theo Ratliff to DET,0.0,0,0.0,0.0,trade,Theo Ratliff
1995-06-28 00:00:00,added Don Reid to DET,0.0,0,0.0,0.0,trade,Don Reid
1995-06-28 00:00:00,added Theo Ratliff to DET,-230.9000000000001,-230,1.7000000000000002,1.7000000000000002,draft,Theo Ratliff
1995-06-28 00:00:00,added Randolph Childress to DET,-294.0,-524,-0.1,1.6,draft,Randolph Childress
1995-06-28 00:00:00,added Lou Roe to DET,-1116.0,-1640,-0.1,1.5,draft,Lou Roe
1995-06-28 00:00:00,added Don Reid to DET,-5443.7,-7084,0.3,1.8,draft,Don Reid
1995-09-20 00:00:00,lost Randolph Childress to POR,2012.5,-5072,0.3,2.1,trade,Randolph Childress
1995-09-20 00:00:00,lost Bill Curley to POR,-0.0,-5072,-0.0,2.1,trade,Bill Curley
1995-09-20 00:00:00,added Otis Thorpe to DET,-2733.0,-7805,2.1,4.2,trade,Otis Thorpe
1995-10-05 00:00:00,added Steve Bardo to DET,-319.8,-8124,0.0,4.2,signing,Steve Bardo
1996-01-31 00:00:00,added Michael Curry to DET,0.0,-8124,0.0,4.2,signing,Michael Curry
1996-02-22 00:00:00,added Michael Curry to DET,-1123.5,-9248,0.0999999999999996,4.3,signing,Michael Curry
1996-06-26 00:00:00,added Jerome Williams to DET,4450.0,-4798,4.0,8.3,draft,Jerome Williams
1996-06-28 00:00:00,lost Eddie Elisma to SEA,-0.0,-4798,-0.0,8.3,trade,Eddie Elisma
1996-06-28 00:00:00,added Ron Riley to DET,0.0,-4798,0.0,8.3,trade,Ron Riley
1996-07-15 00:00:00,added Michael Curry to DET,-26704.3,-31502,-2.8,5.500000000000001,signing,Michael Curry
1996-07-15 00:00:00,lost Alain Digbeau to ATL,-0.0,-31502,-0.0,5.500000000000001,trade,Alain Digbeau
1996-07-15 00:00:00,lost Cal Bowdler to ATL,4418.1,-27084,0.4,5.900000000000001,trade,Cal Bowdler
1996-07-15 00:00:00,lost Dion Glover to ATL,10446.6,-16638,-0.2,5.700000000000001,trade,Dion Glover
1996-07-15 00:00:00,lost Lari Ketner to ATL,-0.0,-16638,-0.0,5.700000000000001,trade,Lari Ketner
1996-07-15 00:00:00,added Stacey Augmon to DET,-963.6,-17601,-0.1,5.600000000000001,trade,Stacey Augmon
1996-07-15 00:00:00,added Grant Long to DET,-1512.5,-19114,0.6000000000000001,6.200000000000001,trade,Grant Long
1996-08-05 00:00:00,added Rick Mahorn to DET,-4712.2,-23826,-0.7,5.500000000000001,signing,Rick Mahorn
1996-08-30 00:00:00,added Litterial Green to DET,-124.4,-23950,0.1,5.6000000000000005,signing,Litterial Green
1996-09-17 00:00:00,added Kenny Smith to DET,140.8,-23809,0.1,5.7,signing,Kenny Smith
1997-01-24 00:00:00,lost Stacey Augmon to POR,191.7999999999998,-23618,-2.5,3.2,trade,Stacey Augmon
1997-01-24 00:00:00,added Randolph Childress to DET,-294.0,-23912,-0.1,3.1,trade,Randolph Childress
1997-01-24 00:00:00,added Reggie Jordan to DET,0.0,-23912,0.0,3.1,trade,Reggie Jordan
1997-01-24 00:00:00,added Aaron McKie to DET,1133.4,-22778,0.8999999999999999,4.0,trade,Aaron McKie
1997-06-25 00:00:00,added Scot Pollard to DET,-634.0,-23412,0.0,4.0,draft,Scot Pollard
1997-06-25 00:00:00,added Charles O'Bannon to DET,-821.4000000000001,-24234,0.0,4.0,draft,Charles O'Bannon
1997-08-07 00:00:00,lost Otis Thorpe to VAN,3777.6,-20456,0.2,4.2,trade,Otis Thorpe
1997-08-07 00:00:00,added Darko Miličić to DET,-4136.200000000001,-24592,-0.7,3.5,trade,Darko Miličić
1997-08-16 00:00:00,added Bison Dele to DET,-1177.0,-25769,1.6,5.1,signing,Bison Dele
1997-10-25 00:00:00,added Malik Sealy to DET,-984.6,-26754,0.6,5.699999999999999,signing,Malik Sealy
1997-12-18 00:00:00,lost Aaron McKie to PHI,-11420.4,-38174,-9.8,-4.100000000000001,trade,Aaron McKie
1997-12-18 00:00:00,lost Theo Ratliff to PHI,-8964.6,-47139,-5.999999999999999,-10.1,trade,Theo Ratliff
1997-12-18 00:00:00,lost Carlos Delfino to PHI,-0.0,-47139,-0.0,-10.1,trade,Carlos Delfino
1997-12-18 00:00:00,added Eric Montross to DET,-9941.8,-57081,-1.6,-11.7,trade,Eric Montross
1997-12-18 00:00:00,added Jerry Stackhouse to DET,24238.9,-32842,12.3,0.5999999999999996,trade,Jerry Stackhouse
1997-12-18 00:00:00,added Alex Acker to DET,-459.5,-33301,-0.1,0.4999999999999996,trade,Alex Acker
1998-01-17 00:00:00,added Steve Henson to DET,-265.5,-33567,0.0,0.4999999999999996,signing,Steve Henson
