date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2013-06-27 00:00:00,added Rudy Gobert to DEN,0.0,0,0.0,0.0
2013-06-27 00:00:00,lost Rudy Gobert to UTA,-73173.1,-73173,-27.7,-27.7
2013-06-27 00:00:00,added Erick Green to DEN,0.0,-73173,0.0,-27.7
2013-06-27 00:00:00,lost Kosta Koufos to MEM,3641.1,-69532,-0.4,-28.1
2013-06-27 00:00:00,added Darrell Arthur to DEN,-5394.8,-74926,-0.3,-28.4
2013-06-27 00:00:00,added Joffrey Lauvergne to DEN,-3166.4,-78093,-0.1,-28.5
2013-07-10 00:00:00,lost Sviatoslav Mykhailiuk to UTA,2910.6,-75182,0.4,-28.1
2013-07-10 00:00:00,lost Andre Iguodala to GSW,-17153.7,-92336,-10.3,-38.400000000000006
2013-07-10 00:00:00,added Thomas Welsh to DEN,0.0,-92336,0.0,-38.400000000000006
2013-07-10 00:00:00,added Randy Foye to DEN,-4020.9,-96357,1.3,-37.10000000000001
2013-07-11 00:00:00,added J.J. Hickson to DEN,-5818.3,-102175,0.4,-36.70000000000001
2013-07-26 00:00:00,added Nate Robinson to DEN,-921.9,-103097,0.5,-36.20000000000001
2013-07-27 00:00:00,added Timofey Mozgov to DEN,-3120.3,-106217,0.5,-35.70000000000001
2014-02-20 00:00:00,lost Andre Miller to WAS,-14.100000000000025,-106231,-0.5,-36.20000000000001
2014-02-20 00:00:00,lost David Michineau to PHI,-0.0,-106231,-0.0,-36.20000000000001
2014-02-20 00:00:00,added Jan Veselý to DEN,214.2,-106017,0.2,-36.00000000000001
2014-02-20 00:00:00,lost Jordan Hamilton to HOU,349.0,-105668,-0.1,-36.10000000000001
2014-02-20 00:00:00,added Aaron Brooks to DEN,-1261.5,-106930,0.1,-36.00000000000001
2014-06-26 00:00:00,added Doug McDermott to DEN,0.0,-106930,0.0,-36.00000000000001
2014-06-26 00:00:00,added Nikola Jokić to DEN,0.0,-106930,0.0,-36.00000000000001
2014-06-26 00:00:00,added Devyn Marble to DEN,0.0,-106930,0.0,-36.00000000000001
2014-06-26 00:00:00,lost Doug McDermott to CHI,9586.7,-97343,0.7,-35.300000000000004
2014-06-26 00:00:00,lost Anthony Randolph to CHI,-0.0,-97343,-0.0,-35.300000000000004
2014-06-26 00:00:00,added Gary Harris to DEN,0.0,-97343,0.0,-35.300000000000004
2014-06-26 00:00:00,added Jusuf Nurkić to DEN,0.0,-97343,0.0,-35.300000000000004
2014-06-26 00:00:00,added Sir'Dominic Pointer to DEN,0.0,-97343,0.0,-35.300000000000004
2014-06-27 00:00:00,lost Evan Fournier to ORL,10479.3,-86864,-4.3,-39.6
2014-06-27 00:00:00,lost Devyn Marble to ORL,2542.2,-84321,0.4,-39.2
2014-06-27 00:00:00,added Arron Afflalo to DEN,-3325.0,-87646,0.1,-39.1
2014-07-08 00:00:00,added Gary Harris to DEN,-4758.4,-92405,1.3,-37.8
2014-07-31 00:00:00,added Jusuf Nurkić to DEN,-6369.4,-98774,-0.3,-38.1
2014-08-01 00:00:00,added Erick Green to DEN,-1822.5,-100597,-0.2,-38.3
2014-08-15 00:00:00,added Jerrelle Benimon to DEN,0.0,-100597,0.0,-38.3
2014-09-30 00:00:00,added Alonzo Gee to DEN,-494.1000000000001,-101091,0.1999999999999999,-38.1
2014-09-30 00:00:00,added Marcus Williams to DEN,0.0,-101091,0.0,-38.1
2015-01-07 00:00:00,lost Timofey Mozgov to CLE,1512.0,-99579,-0.8999999999999999,-39.0
2015-01-07 00:00:00,lost Sir'Dominic Pointer to CLE,-0.0,-99579,-0.0,-39.0
2015-01-07 00:00:00,added Furkan Korkmaz to DEN,0.0,-99579,0.0,-39.0
2015-01-07 00:00:00,added Harry Giles to DEN,0.0,-99579,0.0,-39.0
2015-01-13 00:00:00,lost Nate Robinson to BOS,-0.0,-99579,-0.0,-39.0
2015-01-13 00:00:00,added Jameer Nelson to DEN,0.0,-99579,0.3,-38.7
2015-02-19 00:00:00,lost Arron Afflalo to POR,2857.6,-96721,0.4,-38.3
2015-02-19 00:00:00,lost Alonzo Gee to POR,483.2000000000001,-96238,-0.0,-38.3
2015-02-19 00:00:00,added Will Barton to DEN,819.5999999999995,-95418,0.5,-37.8
2015-02-19 00:00:00,added Victor Claver to DEN,0.0,-95418,0.0,-37.8
2015-02-19 00:00:00,added Thomas Robinson to DEN,0.0,-95418,0.0,-37.8
2015-02-19 00:00:00,added Malik Beasley to DEN,0.0,-95418,0.0,-37.8
2015-02-19 00:00:00,lost Chukwudiebere Maduabum to PHI,-0.0,-95418,-0.0,-37.8
2015-02-19 00:00:00,lost JaVale McGee to PHI,469.7,-94949,0.1,-37.7
2015-02-19 00:00:00,lost Furkan Korkmaz to PHI,10709.7,-84239,8.326672684688674e-17,-37.7
2015-02-19 00:00:00,added Cenk Akyol to DEN,0.0,-84239,0.0,-37.7
2015-04-12 00:00:00,added Jamaal Franklin to DEN,-72.8,-84312,0.0,-37.7
2015-06-25 00:00:00,added Emmanuel Mudiay to DEN,0.0,-84312,0.0,-37.7
2015-06-25 00:00:00,added Nikola Radičević to DEN,0.0,-84312,0.0,-37.7
2015-07-12 00:00:00,added Nikola Jokić to DEN,38492.79999999999,-45819,12.899999999999991,-24.80000000000001
2015-07-20 00:00:00,lost Ty Lawson to HOU,4821.599999999999,-40997,0.6,-24.20000000000001
2015-07-20 00:00:00,lost Isaiah Hartenstein to HOU,782.1,-40215,-0.1,-24.30000000000001
2015-07-20 00:00:00,added Joey Dorsey to DEN,0.0,-40215,0.0,-24.30000000000001
2015-07-20 00:00:00,added Nick Johnson to DEN,0.0,-40215,0.0,-24.30000000000001
2015-07-20 00:00:00,added Kostas Papanikolaou to DEN,0.0,-40215,0.0,-24.30000000000001
2015-07-20 00:00:00,added Pablo Prigioni to DEN,0.0,-40215,0.0,-24.30000000000001
2015-07-20 00:00:00,added Juan Hernangómez to DEN,0.0,-40215,0.0,-24.30000000000001
2015-07-31 00:00:00,added Emmanuel Mudiay to DEN,-15816.8,-56032,-1.9,-26.20000000000001
2015-08-07 00:00:00,added Darrell Arthur to DEN,-1212.8000000000002,-57245,0.4,-25.80000000000001
2015-08-07 00:00:00,added Will Barton to DEN,5174.700000000001,-52070,4.800000000000001,-21.00000000000001
2015-08-07 00:00:00,added Jameer Nelson to DEN,-7198.0,-59268,-0.3,-21.30000000000001
2015-09-15 00:00:00,added Matt Janning to DEN,0.0,-59268,0.0,-21.30000000000001
2015-09-15 00:00:00,added Oleksiy Pecherov to DEN,0.0,-59268,0.0,-21.30000000000001
2015-09-15 00:00:00,added Devin Sweetney to DEN,0.0,-59268,0.0,-21.30000000000001
2015-09-30 00:00:00,added Mike Miller to DEN,-969.8000000000002,-60238,0.0,-21.30000000000001
2015-11-05 00:00:00,added Kostas Papanikolaou to DEN,-1323.0,-61561,-0.2,-21.50000000000001
2016-01-12 00:00:00,added Sean Kilpatrick to DEN,-311.6,-61873,0.0,-21.50000000000001
2016-02-18 00:00:00,lost Randy Foye to OKC,1315.6,-60557,-0.0,-21.50000000000001
2016-02-18 00:00:00,added D.J. Augustin to DEN,724.9000000000001,-59832,0.5,-21.00000000000001
2016-02-18 00:00:00,added Steve Novak to DEN,0.0,-59832,0.0,-21.00000000000001
2016-02-18 00:00:00,added Petr Cornelie to DEN,0.0,-59832,0.0,-21.00000000000001
2016-02-18 00:00:00,added Daniel Hamilton to DEN,0.0,-59832,0.0,-21.00000000000001
2016-02-22 00:00:00,added JaKarr Sampson to DEN,-1688.4,-61521,-0.2,-21.20000000000001
2016-03-03 00:00:00,added Axel Toupane to DEN,0.0,-61521,0.0,-21.20000000000001
2016-03-24 00:00:00,added Axel Toupane to DEN,-1433.5,-62954,-0.2,-21.40000000000001
2016-06-23 00:00:00,added Jamal Murray to DEN,0.0,-62954,0.0,-21.40000000000001
2016-06-23 00:00:00,added Juan Hernangómez to DEN,0.0,-62954,0.0,-21.40000000000001
2016-06-23 00:00:00,added Malik Beasley to DEN,0.0,-62954,0.0,-21.40000000000001
2016-06-23 00:00:00,added Petr Cornelie to DEN,0.0,-62954,0.0,-21.40000000000001
2016-06-23 00:00:00,added Daniel Hamilton to DEN,0.0,-62954,0.0,-21.40000000000001
2016-06-23 00:00:00,lost Daniel Hamilton to OKC,-64.39999999999999,-63018,-0.0,-21.40000000000001
2016-07-09 00:00:00,added Darrell Arthur to DEN,-811.1999999999999,-63830,0.1999999999999999,-21.20000000000001
2016-07-11 00:00:00,added Malik Beasley to DEN,-4289.9,-68120,0.6000000000000001,-20.60000000000001
2016-07-19 00:00:00,added Jamal Murray to DEN,-2829.2999999999997,-70949,2.700000000000001,-17.900000000000006
2016-07-21 00:00:00,added Mike Miller to DEN,-226.5,-71175,0.0,-17.900000000000006
2016-07-28 00:00:00,added Juan Hernangómez to DEN,-4686.5,-75862,0.3000000000000001,-17.600000000000005
2016-08-16 00:00:00,added D.J. Kennedy to DEN,0.0,-75862,0.0,-17.600000000000005
2016-08-30 00:00:00,lost Joffrey Lauvergne to OKC,1182.4,-74679,-0.1,-17.700000000000006
2016-08-30 00:00:00,added Vlatko Čančar to DEN,0.0,-74679,0.0,-17.700000000000006
