date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2021-12-26 00:00:00,added Jarron Cumberland to POR,-79.19999999999999,-79,0.0,0.0,signing,Jarron Cumberland
2021-12-26 00:00:00,added Brandon Williams to POR,0.0,-79,0.0,0.0,signing,Brandon Williams
2021-12-26 00:00:00,added Cameron McGriff to POR,-184.0,-263,0.0,0.0,signing,Cameron McGriff
2021-12-28 00:00:00,added Reggie Perry to POR,0.0,-263,0.0,0.0,signing,Reggie Perry
2022-02-04 00:00:00,lost Robert Covington to LAC,-3569.9,-3833,-1.6,-1.6,trade,Robert Covington
2022-02-04 00:00:00,lost Norman Powell to LAC,-3408.8,-7241,-3.7,-5.300000000000001,trade,Norman Powell
2022-02-04 00:00:00,added Eric Bledsoe to POR,0.0,-7241,0.0,-5.300000000000001,trade,Eric Bledsoe
2022-02-04 00:00:00,added Keon Johnson to POR,-5618.4,-12860,-1.0,-6.300000000000001,trade,Keon Johnson
2022-02-04 00:00:00,added Justise Winslow to POR,-2762.8,-15623,-0.2,-6.500000000000001,trade,Justise Winslow
2022-02-08 00:00:00,lost CJ McCollum to NOP,-10198.300000000005,-25821,-6.499999999999999,-13.0,trade,CJ McCollum
2022-02-08 00:00:00,lost Larry Nance Jr. to NOP,-4848.2,-30669,-2.6,-15.6,trade,Larry Nance Jr.
2022-02-08 00:00:00,lost Tony Snell to NOP,720.2,-29949,-0.0,-15.6,trade,Tony Snell
2022-02-08 00:00:00,added Nickeil Alexander-Walker to POR,0.0,-29949,0.0,-15.6,trade,Nickeil Alexander-Walker
2022-02-08 00:00:00,added Josh Hart to POR,409.8,-29539,1.2000000000000002,-14.4,trade,Josh Hart
2022-02-08 00:00:00,added Didi Louzada to POR,-878.4,-30418,-0.2,-14.599999999999998,trade,Didi Louzada
2022-02-08 00:00:00,added Tomas Satoransky to POR,0.0,-30418,0.0,-14.599999999999998,trade,Tomas Satoransky
2022-02-09 00:00:00,lost Nickeil Alexander-Walker to UTA,-10.700000000000015,-30428,-0.3,-14.9,multitrade,Nickeil Alexander-Walker
2022-02-09 00:00:00,lost Tomas Satoransky to SAS,11.7,-30417,-0.0,-14.9,multitrade,Tomas Satoransky
2022-02-09 00:00:00,added Elijah Hughes to POR,-2833.6000000000004,-33250,-0.6,-15.499999999999998,multitrade,Elijah Hughes
2022-02-09 00:00:00,added Joe Ingles to POR,0.0,-33250,0.0,-15.499999999999998,multitrade,Joe Ingles
2022-02-09 00:00:00,added Jabari Walker to POR,0.0,-33250,0.0,-15.499999999999998,multitrade,Jabari Walker
2022-02-22 00:00:00,added Drew Eubanks to POR,0.0,-33250,0.0,-15.499999999999998,signing,Drew Eubanks
2022-02-22 00:00:00,added Brandon Williams to POR,-3648.0,-36898,-0.6,-16.099999999999998,signing,Brandon Williams
2022-03-14 00:00:00,added Drew Eubanks to POR,0.0,-36898,0.0,-16.099999999999998,signing,Drew Eubanks
2022-03-14 00:00:00,added Kris Dunn to POR,0.0,-36898,0.0,-16.099999999999998,signing,Kris Dunn
2022-03-24 00:00:00,added Drew Eubanks to POR,0.0,-36898,0.0,-16.099999999999998,signing,Drew Eubanks
2022-03-30 00:00:00,added Reggie Perry to POR,-672.6,-37571,-0.1,-16.2,signing,Reggie Perry
2022-04-03 00:00:00,added Drew Eubanks to POR,-975.0,-38546,0.0999999999999999,-16.099999999999998,signing,Drew Eubanks
2022-04-03 00:00:00,added Kris Dunn to POR,-1814.4,-40360,-0.3,-16.4,signing,Kris Dunn
2022-06-23 00:00:00,added Shaedon Sharpe to POR,0.0,-40360,0.0,-16.4,draft,Shaedon Sharpe
2022-06-23 00:00:00,added Gabriele Procida to POR,0.0,-40360,0.0,-16.4,draft,Gabriele Procida
2022-06-23 00:00:00,added Jabari Walker to POR,0.0,-40360,0.0,-16.4,draft,Jabari Walker
2022-07-01 00:00:00,added Shaedon Sharpe to POR,-11988.7,-52349,-0.5,-16.9,signing,Shaedon Sharpe
2022-07-06 00:00:00,lost Gabriele Procida to DET,-0.0,-52349,-0.0,-16.9,trade,Gabriele Procida
2022-07-06 00:00:00,added Jerami Grant to POR,-449.2000000000003,-52798,1.0,-15.9,trade,Jerami Grant
2022-07-06 00:00:00,added Ismael Kamagate to POR,0.0,-52798,0.0,-15.9,trade,Ismael Kamagate
2022-07-06 00:00:00,lost Ismael Kamagate to DEN,-0.0,-52798,-0.0,-15.9,trade,Ismael Kamagate
2022-07-06 00:00:00,added Tyler Kolek to POR,0.0,-52798,0.0,-15.9,trade,Tyler Kolek
2022-07-06 00:00:00,added Jusuf Nurkić to POR,139.1,-52659,0.7,-15.2,signing,Jusuf Nurkić
2022-07-06 00:00:00,added Gary Payton II to POR,-153.0,-52812,0.1,-15.1,signing,Gary Payton II
2022-07-06 00:00:00,added Anfernee Simons to POR,-2300.9,-55113,2.4000000000000004,-12.7,signing,Anfernee Simons
2022-07-07 00:00:00,added Drew Eubanks to POR,158.4,-54954,0.8,-11.9,signing,Drew Eubanks
2022-07-13 00:00:00,added Jabari Walker to POR,-10231.9,-65186,-1.0,-12.9,signing,Jabari Walker
2022-08-02 00:00:00,added Jared Rhoden to POR,0.0,-65186,0.0,-12.9,signing,Jared Rhoden
2022-08-03 00:00:00,added Isaiah Miller to POR,0.0,-65186,0.0,-12.9,signing,Isaiah Miller
2022-08-03 00:00:00,added Norvel Pelle to POR,0.0,-65186,0.0,-12.9,signing,Norvel Pelle
2022-09-07 00:00:00,added Olivier Sarr to POR,0.0,-65186,0.0,-12.9,signing,Olivier Sarr
2022-09-07 00:00:00,added Devontae Cacok to POR,0.0,-65186,0.0,-12.9,signing,Devontae Cacok
2022-09-23 00:00:00,added Wesley Iwundu to POR,0.0,-65186,0.0,-12.9,signing,Wesley Iwundu
2022-10-20 00:00:00,added John Butler to POR,-1370.2,-66557,-0.2,-13.099999999999998,signing,John Butler
2022-11-18 00:00:00,added Ibou Badji to POR,0.0,-66557,0.0,-13.099999999999998,signing,Ibou Badji
2023-02-09 00:00:00,lost Dani Diez to NYK,-0.0,-66557,-0.0,-13.099999999999998,multitrade,Dani Diez
2023-02-09 00:00:00,lost Bojan Dubljevic to NYK,-0.0,-66557,-0.0,-13.099999999999998,multitrade,Bojan Dubljevic
2023-02-09 00:00:00,lost Josh Hart to NYK,-10563.6,-77120,-5.9,-19.0,multitrade,Josh Hart
2023-02-09 00:00:00,added Ryan Arcidiacono to POR,-1372.4,-78493,-0.3,-19.3,multitrade,Ryan Arcidiacono
2023-02-09 00:00:00,added Cam Reddish to POR,-2373.6,-80866,-0.3,-19.6,multitrade,Cam Reddish
2023-02-09 00:00:00,added Ante Tomic to POR,0.0,-80866,0.0,-19.6,multitrade,Ante Tomic
2023-02-09 00:00:00,added Kris Murray to POR,0.0,-80866,0.0,-19.6,multitrade,Kris Murray
2023-02-09 00:00:00,added Matisse Thybulle to POR,-730.8000000000002,-81597,0.0999999999999998,-19.5,multitrade,Matisse Thybulle
2023-02-09 00:00:00,lost Gary Payton II to GSW,-2479.2,-84076,-1.5,-21.0,multitrade,Gary Payton II
2023-02-09 00:00:00,added Rayan Rupert to POR,0.0,-84076,0.0,-21.0,multitrade,Rayan Rupert
2023-02-09 00:00:00,added Oso Ighodaro to POR,0.0,-84076,0.0,-21.0,multitrade,Oso Ighodaro
2023-02-09 00:00:00,added Kevin Knox to POR,-1651.4,-85728,-0.2,-21.2,multitrade,Kevin Knox
2023-03-30 00:00:00,added Shaquille Harrison to POR,12.0,-85716,0.1,-21.1,signing,Shaquille Harrison
2023-03-30 00:00:00,added Skylar Mays to POR,0.0,-85716,0.0,-21.1,signing,Skylar Mays
2023-04-01 00:00:00,added Jeenathan Williams to POR,-381.0,-86097,0.0,-21.1,signing,Jeenathan Williams
2023-04-04 00:00:00,added Justin Minaya to POR,-801.0,-86898,-0.1999999999999999,-21.3,signing,Justin Minaya
2023-04-09 00:00:00,added Chance Comanche to POR,-157.5,-87055,0.0,-21.3,signing,Chance Comanche
2023-04-09 00:00:00,added Skylar Mays to POR,0.0,-87055,0.1,-21.2,signing,Skylar Mays
