date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1996-09-27 00:00:00,added Matt Bullard to HOU,1895.4,1895,2.8,2.8
1996-10-01 00:00:00,added Matt Maloney to HOU,-5016.8,-3121,1.2000000000000002,4.0
1996-10-01 00:00:00,added Joe Stephens to HOU,0.0,-3121,0.0,4.0
1996-11-27 00:00:00,added Elmer Bennett to HOU,188.8,-2932,0.1,4.1
1997-02-12 00:00:00,added Joe Stephens to HOU,-107.1,-3039,0.0,4.1
1997-03-01 00:00:00,added Sedale Threatt to HOU,-935.2,-3974,-0.1,4.0
1997-03-03 00:00:00,added Eddie Johnson to HOU,-3858.8,-7833,0.1,4.1
1997-06-25 00:00:00,added Rodrick Rhodes to HOU,-6154.2,-13987,-1.0,3.1
1997-06-25 00:00:00,added Serge Zwikker to HOU,0.0,-13987,0.0,3.1
1997-07-26 00:00:00,added Joe Stephens to HOU,-7.4,-13995,0.0,3.1
1997-10-28 00:00:00,lost Sam Mack to VAN,3379.0,-10616,-0.1,3.0
1997-10-28 00:00:00,added Jake Voskuhl to HOU,0.0,-10616,0.0,3.0
1998-06-09 00:00:00,lost Kevin Willis to TOR,13708.6,3092,1.6,4.6
1998-06-09 00:00:00,added Roy Rogers to HOU,0.0,3092,0.0,4.6
1998-06-09 00:00:00,added Bryce Drew to HOU,0.0,3092,0.0,4.6
1998-06-09 00:00:00,added Mirsad Türkcan to HOU,0.0,3092,0.0,4.6
1998-06-24 00:00:00,added Michael Dickerson to HOU,-3271.8,-179,0.0,4.6
1998-06-24 00:00:00,added Bryce Drew to HOU,-5140.8,-5320,-0.5,4.1
1998-06-24 00:00:00,added Mirsad Türkcan to HOU,0.0,-5320,0.0,4.1
1998-06-24 00:00:00,added Cuttino Mobley to HOU,6914.799999999999,1594,10.1,14.2
1999-01-21 00:00:00,added John Coker to HOU,0.0,1594,0.0,14.2
1999-01-21 00:00:00,lost Mirsad Türkcan to PHI,-0.0,1594,-0.0,14.2
1999-01-21 00:00:00,added Carlos Delfino to HOU,2364.6,3959,1.5,15.7
1999-01-21 00:00:00,added Anthony Miller to HOU,-423.3,3535,0.0,15.7
1999-01-22 00:00:00,lost Roy Rogers to CHI,-0.0,3535,-0.0,15.7
1999-01-22 00:00:00,lost Jake Voskuhl to CHI,1415.7,4951,0.3,16.0
1999-01-22 00:00:00,added Scottie Pippen to HOU,5027.5,9978,2.3,18.3
1999-01-22 00:00:00,added Antoine Carr to HOU,-881.6,9097,-0.1,18.2
1999-02-05 00:00:00,added Stanley Roberts to HOU,-415.8,8681,-0.1,18.1
1999-03-11 00:00:00,lost Rodrick Rhodes to VAN,1402.2,10083,0.3,18.4
1999-03-11 00:00:00,added Sam Mack to HOU,1720.4,11804,0.7,19.1
1999-06-30 00:00:00,added Kenny Thomas to HOU,-9840.4,1963,0.9,20.0
1999-06-30 00:00:00,added Tyrone Washington to HOU,0.0,1963,0.0,20.0
1999-06-30 00:00:00,added Venson Hamilton to HOU,0.0,1963,0.0,20.0
1999-08-27 00:00:00,lost Antoine Carr to VAN,1127.1,3090,0.2,20.2
1999-08-27 00:00:00,lost Michael Dickerson to VAN,5759.6,8850,-1.4,18.8
1999-08-27 00:00:00,lost Othella Harrington to VAN,14437.5,23288,1.6,20.4
1999-08-27 00:00:00,lost Brent Price to VAN,1861.0,25149,0.2,20.6
1999-08-27 00:00:00,lost Marcus Banks to VAN,-0.0,25149,-0.0,20.6
1999-08-27 00:00:00,added Don MacLean to HOU,0.0,25149,0.0,20.6
1999-08-27 00:00:00,added Jason Collins to HOU,0.0,25149,0.0,20.6
1999-08-27 00:00:00,added Steve Francis to HOU,42187.1,67336,18.1,38.7
1999-08-27 00:00:00,added Tony Massenburg to HOU,-250.7,67085,0.0,38.7
1999-09-02 00:00:00,added Thomas Hamilton to HOU,-1092.0,65993,-0.1,38.6
1999-09-29 00:00:00,added Shandon Anderson to HOU,-2308.4,63685,2.0,40.6
1999-10-02 00:00:00,lost Scottie Pippen to POR,-21239.4,42445,-9.8,30.8
1999-10-02 00:00:00,added Stacey Augmon to HOU,0.0,42445,0.0,30.8
1999-10-02 00:00:00,added Kelvin Cato to HOU,-1959.1,40486,3.1,33.9
1999-10-02 00:00:00,added Ed Gray to HOU,0.0,40486,0.0,33.9
1999-10-02 00:00:00,added Carlos Rogers to HOU,97.10000000000002,40583,0.8999999999999999,34.8
