,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
12,Reggie Johnson,added Reggie Johnson to SAS,-6700.800000000001,-0.5,1980-06-10 00:00:00,1,SAS,/players/j/johnsre01.html,9.0,draft,-6700.800000000001,-0.5,0.0,0.0,False,-6700.800000000001,-0.5,22574.5,15.1,-46,-46,15,15,-14349.6,-0.5,0.0,3.4
13,Michael Wiley,added Michael Wiley to SAS,-216.8,0.1,1980-06-10 00:00:00,1,SAS,/players/w/wileymi01.html,9.0,draft,-216.8,0.1,0.0,0.0,False,-216.8,0.1,22357.7,15.2,14,-22,39,39,-256.8,0.6,0.0,0.0
15,Rich Yonakor,added Rich Yonakor to SAS,-126.0,0.1,1980-06-10 00:00:00,1,SAS,/players/y/yonakri01.html,9.0,draft,-126.0,0.1,0.0,0.0,False,-126.0,0.1,22231.7,15.299999999999999,34,0,61,61,-126.0,0.1,0.0,0.0
35,Gene Banks,added Gene Banks to SAS,9066.599999999999,6.9,1981-06-09 00:00:00,1,SAS,/players/b/banksge01.html,18.0,draft,9066.599999999999,6.9,0.0,0.0,False,9066.599999999999,6.9,33595.3,27.5,17,22,28,28,9151.8,8.7,0.0,0.2
36,Ed Rains,added Ed Rains to SAS,-3617.7999999999997,-0.5,1981-06-09 00:00:00,1,SAS,/players/r/rainsed01.html,18.0,draft,-3617.7999999999997,-0.5,0.0,0.0,False,-3617.7999999999997,-0.5,29977.500000000004,27.0,-31,-31,30,30,-3623.1,-0.5,0.0,0.1
59,Oliver Robinson,added Oliver Robinson to SAS,-735.0,-0.1,1982-06-29 00:00:00,1,SAS,/players/r/robinol01.html,26.0,draft,-735.0,-0.1,0.0,0.0,False,-735.0,-0.1,5708.0000000000055,28.299999999999997,-37,-37,24,24,-735.0,-0.1,0.0,0.2
89,John Paxson,added John Paxson to SAS,-2415.3,0.2,1983-06-28 00:00:00,1,SAS,/players/p/paxsojo01.html,41.0,draft,-2415.3,0.2,0.0,0.0,False,-2415.3,0.2,9448.100000000006,24.399999999999995,2,-42,19,19,-22434.100000000002,3.0,0.0,2.2
90,Darrell Lockhart,added Darrell Lockhart to SAS,-68.60000000000001,0.0,1983-06-28 00:00:00,1,SAS,/players/l/lockhda01.html,41.0,draft,-68.60000000000001,0.0,0.0,0.0,False,-68.60000000000001,0.0,9379.500000000005,24.399999999999995,-26,-26,35,35,-68.60000000000001,0.0,0.0,0.0
91,Kevin Williams,added Kevin Williams to SAS,-720.0,-0.1,1983-06-28 00:00:00,1,SAS,/players/w/willike01.html,41.0,draft,-720.0,-0.1,0.0,0.0,False,-720.0,-0.1,8659.500000000005,24.299999999999994,-15,-15,46,46,-10314.5,-1.1,0.0,0.0
92,Brant Weidner,added Brant Weidner to SAS,0.0,0.0,1983-06-28 00:00:00,1,SAS,/players/w/weidnbr01.html,41.0,draft,-186.20000000000002,-0.1,0.0,0.0,False,0.0,0.0,8659.500000000005,24.299999999999994,29,29,90,90,-186.20000000000002,-0.1,0.0,0.0
113,Alvin Robertson,added Alvin Robertson to SAS,37487.799999999996,15.799999999999999,1984-06-19 00:00:00,1,SAS,/players/r/roberal01.html,57.0,draft,37487.799999999996,15.799999999999999,0.0,0.0,False,37487.799999999996,15.799999999999999,45187.7,40.39999999999999,1,2,7,7,64139.4,28.3,19680.5,19.3
116,Ozell Jones,added Ozell Jones to SAS,-710.4000000000001,0.3,1984-06-19 00:00:00,1,SAS,/players/j/jonesoz01.html,57.0,draft,-710.4000000000001,0.3,0.0,0.0,False,-710.4000000000001,0.3,44477.299999999996,40.69999999999999,68,29,90,90,-906.0,0.2,0.0,0.0
143,Alfredrick Hughes,added Alfredrick Hughes to SAS,-4936.2,-0.8,1985-06-18 00:00:00,1,SAS,/players/h/hugheri01.html,67.0,draft,-4936.2,-0.8,0.0,0.0,False,-4936.2,-0.8,39261.6,35.7,-47,-47,14,14,-4936.2,-0.8,4039.2,11.5
144,Mike Brittain,added Mike Brittain to SAS,-1664.3999999999999,-0.3,1985-06-18 00:00:00,1,SAS,/players/b/brittmi01.html,67.0,draft,-1902.1999999999998,-0.3,0.0,0.0,False,-1664.3999999999999,-0.3,37597.2,35.400000000000006,-32,-32,29,29,-1884.8,-0.4,0.0,0.0
145,Tyrone Corbin,added Tyrone Corbin to SAS,-2362.2,-0.2,1985-06-18 00:00:00,1,SAS,/players/c/corbity01.html,67.0,draft,-2362.2,-0.2,0.0,0.0,False,-2362.2,-0.2,35235.0,35.2,22,-26,35,35,-8297.1,12.0,0.0,0.0
146,Scott Roth,added Scott Roth to SAS,0.0,0.0,1985-06-18 00:00:00,1,SAS,/players/r/rothsc01.html,67.0,draft,-2088.0,-0.3,0.0,0.0,False,0.0,0.0,35235.0,35.2,21,21,82,82,-5933.4,-0.6,0.0,0.0
163,Johnny Dawkins,added Johnny Dawkins to SAS,-4039.2,1.5,1986-06-17 00:00:00,1,SAS,/players/d/dawkijo01.html,79.0,draft,-4039.2,1.5,0.0,0.0,False,-4039.2,1.5,25461.0,40.2,-4,-51,10,10,-13373.1,4.2,8262.0,9.2
164,Kevin Duckworth,added Kevin Duckworth to SAS,-573.4,-0.1,1986-06-17 00:00:00,1,SAS,/players/d/duckwke01.html,79.0,draft,-573.4,-0.1,0.0,0.0,False,-573.4,-0.1,24887.6,40.1,-28,-28,33,33,-66355.59999999999,-7.6,0.0,0.0
165,Forrest McKenzie,added Forrest McKenzie to SAS,0.0,0.0,1986-06-17 00:00:00,1,SAS,/players/m/mckenfo01.html,79.0,draft,-705.6,-0.2,0.0,0.0,False,0.0,0.0,24887.6,40.1,-13,-13,48,48,-705.6,-0.2,0.0,0.0
