,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Dwayne Polee,added Dwayne Polee to LAC,-133.8,0.0,1986-06-17 00:00:00,1,LAC,/players/p/poleedw01.html,0.0,draft,-133.8,0.0,0.0,0.0,False,-133.8,0.0,-133.8,0.0,21,35,54,54,-133.8,0.0,-8089.825000000001,-0.25833333333333336
3,Steffond Johnson,added Steffond Johnson to LAC,0.0,0.0,1986-06-17 00:00:00,1,LAC,/players/j/johnsst02.html,0.0,draft,-2293.2000000000003,-0.5,0.0,0.0,False,0.0,0.0,-133.8,0.0,46,69,100,100,-2293.2000000000003,-0.5,,
4,Tim Kempton,added Tim Kempton to LAC,-3556.7999999999997,-0.4,1986-06-17 00:00:00,1,LAC,/players/k/kemptti01.html,0.0,draft,-3556.7999999999997,-0.4,0.0,0.0,False,-3556.7999999999997,-0.4,-3690.6,-0.4,61,69,124,124,-14280.4,-1.7,,
25,Reggie Williams,added Reggie Williams to LAC,-9286.1,-1.2,1987-06-22 00:00:00,1,LAC,/players/w/willire01.html,11.0,draft,-9286.1,-1.2,0.0,0.0,False,-9286.1,-1.2,-43965.9,-4.4,-7,-6,4,4,3202.6000000000004,9.0,16762.015384615384,13.921153846153846
26,Joe Wolf,added Joe Wolf to LAC,-20000.3,-3.1,1987-06-22 00:00:00,1,LAC,/players/w/wolfjo01.html,11.0,draft,-20000.3,-3.1,0.0,0.0,False,-20000.3,-3.1,-63966.2,-7.5,-42,-40,13,13,-46252.799999999996,-6.7,4178.817307692307,7.438461538461539
27,Ken Norman,added Ken Norman to LAC,-7647.700000000001,4.9,1987-06-22 00:00:00,1,LAC,/players/n/normake01.html,11.0,draft,-7647.700000000001,4.9,0.0,0.0,False,-7647.700000000001,4.9,-71613.9,-2.5999999999999996,5,-29,19,19,-18992.0,4.9,-7013.663461538462,2.4749999999999996
28,Norris Coleman,added Norris Coleman to LAC,-3060.1,-0.6,1987-06-22 00:00:00,1,LAC,/players/c/colemno01.html,11.0,draft,-3060.1,-0.6,0.0,0.0,False,-3060.1,-0.6,-74674.0,-3.1999999999999997,-6,1,38,38,-3060.1,-0.6,-4376.612195121951,1.1585365853658536
31,Martin Nessley,added Martin Nessley to LAC,-2360.0,-0.4,1987-06-22 00:00:00,1,LAC,/players/n/nesslma01.html,11.0,draft,-2360.0,-0.4,0.0,0.0,False,-2360.0,-0.4,-77034.0,-3.5999999999999996,73,80,116,116,-2755.2,-0.5,,
40,Danny Manning,added Danny Manning to LAC,23830.3,12.399999999999999,1988-06-28 00:00:00,1,LAC,/players/m/mannida01.html,19.0,draft,23830.3,12.399999999999999,0.0,0.0,False,23830.3,12.399999999999999,-56464.7,8.299999999999999,-5,-5,1,1,24202.0,18.4,58792.95576923077,26.090384615384615
42,Tom Garrick,added Tom Garrick to LAC,0.0,0.0,1988-06-28 00:00:00,1,LAC,/players/g/garrito01.html,19.0,draft,-5834.9,0.6,0.0,0.0,False,0.0,0.0,-56464.7,8.299999999999999,21,12,45,45,-6605.2,0.7,-2571.505,2.71
43,Rob Lock,added Rob Lock to LAC,-1023.0000000000001,-0.2,1988-06-28 00:00:00,1,LAC,/players/l/lockro01.html,19.0,draft,-1023.0000000000001,-0.2,0.0,0.0,False,-1023.0000000000001,-0.2,-57487.7,8.1,11,31,51,51,-1023.0000000000001,-0.2,-4091.5480000000007,0.7423076923076922
64,Jeff Martin,added Jeff Martin to LAC,-8605.6,-0.7999999999999999,1989-06-27 00:00:00,1,LAC,/players/m/martije01.html,37.0,draft,-8605.6,-0.7999999999999999,0.0,0.0,False,-8605.6,-0.7999999999999999,-110183.69999999998,-5.2,-9,-6,31,31,-8592.0,-0.8,-3285.8106382978726,1.8851063829787233
65,Jay Edwards,added Jay Edwards to LAC,-104.0,0.0,1989-06-27 00:00:00,1,LAC,/players/e/edwarja02.html,37.0,draft,-104.0,0.0,0.0,0.0,False,-104.0,0.0,-110287.69999999998,-5.2,9,20,33,33,-104.0,0.0,-5807.491836734694,0.8020408163265306
82,Bo Kimble,added Bo Kimble to LAC,-7031.6,-1.1,1990-06-27 00:00:00,1,LAC,/players/k/kimblbo01.html,49.0,draft,-7031.6,-1.1,0.0,0.0,False,-7031.6,-1.1,-87065.69999999998,0.899999999999999,-33,-17,8,8,-7615.2,-1.2,-2449.6250000000005,7.1692307692307695
83,Loy Vaught,added Loy Vaught to LAC,-20432.600000000002,2.7,1990-06-27 00:00:00,1,LAC,/players/v/vaughlo01.html,49.0,draft,-20432.600000000002,2.7,0.0,0.0,False,-20432.600000000002,2.7,-107498.29999999999,3.599999999999999,-1,-31,13,13,-25489.5,2.2,4178.817307692307,7.438461538461539
96,LeRon Ellis,added LeRon Ellis to LAC,-957.9000000000001,-0.2,1991-06-26 00:00:00,1,LAC,/players/e/ellisle02.html,56.0,draft,-957.9000000000001,-0.2,0.0,0.0,False,-957.9000000000001,-0.2,-114878.19999999998,-3.100000000000002,-3,2,22,22,-2999.5,-0.3,-4228.009803921569,2.911764705882353
97,Elliot Perry,added Elliot Perry to LAC,-231.0,0.0,1991-06-26 00:00:00,1,LAC,/players/p/perryel01.html,56.0,draft,-231.0,0.0,0.0,0.0,False,-231.0,0.0,-115109.19999999998,-3.100000000000002,24,12,37,37,-4750.5,3.6,-5676.155555555555,0.9622222222222222
112,Randy Woods,added Randy Woods to LAC,-1696.9,0.1,1992-06-24 00:00:00,1,LAC,/players/w/woodsra01.html,69.0,draft,-1696.9,0.1,0.0,0.0,False,-1696.9,0.1,-120827.99999999999,-3.900000000000001,-9,-3,16,16,-1639.5,0.1,2861.9961538461544,5.5442307692307695
113,Elmore Spencer,added Elmore Spencer to LAC,-11568.2,-1.5,1992-06-24 00:00:00,1,LAC,/players/s/spencel01.html,69.0,draft,-11568.2,-1.5,0.0,0.0,False,-11568.2,-1.5,-132396.19999999998,-5.4,-20,-11,25,25,-12148.599999999999,-1.7,-457.34705882352927,3.282352941176471
135,Terry Dehere,added Terry Dehere to LAC,-12832.2,-0.4000000000000002,1993-06-30 00:00:00,1,LAC,/players/d/deherte01.html,79.0,draft,-12832.2,-0.4000000000000002,0.0,0.0,False,-12832.2,-0.4000000000000002,-142936.69999999998,-7.200000000000001,-25,-25,13,13,-18993.0,-1.1,4178.817307692307,7.438461538461539
148,Lamond Murray,added Lamond Murray to LAC,-15561.0,0.9,1994-06-29 00:00:00,1,LAC,/players/m/murrala01.html,91.0,draft,-15561.0,0.9,0.0,0.0,False,-15561.0,0.9,-162910.29999999996,-1.7000000000000015,-7,-34,7,7,-22172.399999999998,4.0,1764.421153846154,9.205769230769231
171,Lorenzen Wright,added Lorenzen Wright to LAC,-14133.2,-1.0,1996-06-26 00:00:00,1,LAC,/players/w/wrighlo02.html,105.0,draft,-14133.2,-1.0,0.0,0.0,False,-14133.2,-1.0,-231301.9,-7.8999999999999995,-38,-40,7,7,-48191.0,-3.0,1764.421153846154,9.205769230769231
178,Maurice Taylor,added Maurice Taylor to LAC,-20533.0,-2.6,1997-06-25 00:00:00,1,LAC,/players/t/tayloma01.html,111.0,draft,-20533.0,-2.6,0.0,0.0,False,-20533.0,-2.6,-263720.4,-10.699999999999998,-33,-33,14,14,-47966.4,-5.3,458.98269230769256,5.673076923076923
192,Michael Olowokandi,added Michael Olowokandi to LAC,-44485.8,-6.4,1998-06-24 00:00:00,1,LAC,/players/o/olowomi01.html,121.0,draft,-44485.8,-6.4,0.0,0.0,False,-44485.8,-6.4,-318807.2,-17.799999999999997,-55,-55,1,1,-60393.399999999994,-8.5,58792.95576923077,26.090384615384615
193,Brian Skinner,added Brian Skinner to LAC,-9526.7,-1.1,1998-06-24 00:00:00,1,LAC,/players/s/skinnbr01.html,121.0,draft,-9526.7,-1.1,0.0,0.0,False,-9526.7,-1.1,-328333.9,-18.9,-27,-30,22,22,-27275.0,-1.5,-4228.009803921569,2.911764705882353
200,Lamar Odom,added Lamar Odom to LAC,12668.0,8.2,1999-06-30 00:00:00,1,LAC,/players/o/odomla01.html,129.0,draft,12668.0,8.2,0.0,0.0,False,12668.0,8.2,-330487.0,-10.899999999999999,-4,-3,4,4,61048.899999999994,31.4,16762.015384615384,13.921153846153846
221,Darius Miles,added Darius Miles to LAC,269.70000000000005,2.3,2000-06-28 00:00:00,1,LAC,/players/m/milesda01.html,144.0,draft,269.70000000000005,2.3,0.0,0.0,False,269.70000000000005,2.3,-322906.29999999993,-8.999999999999996,-9,-31,3,3,-11730.0,3.0,36512.18653846154,19.432692307692307
222,Quentin Richardson,added Quentin Richardson to LAC,804.0000000000014,3.8,2000-06-28 00:00:00,1,LAC,/players/r/richaqu01.html,144.0,draft,804.0000000000014,3.8,0.0,0.0,False,804.0000000000014,3.8,-322102.29999999993,-5.199999999999997,12,-11,18,18,-8314.0,8.5,-2208.129411764706,4.674509803921569
223,Marko Jarić,added Marko Jarić to LAC,975.6,2.7,2000-06-28 00:00:00,1,LAC,/players/j/jaricma01.html,144.0,draft,975.6,2.7,0.0,0.0,False,975.6,2.7,-321126.69999999995,-2.4999999999999964,21,2,30,30,-7872.2,3.8,1155.8166666666668,3.452083333333333
252,Chris Wilcox,added Chris Wilcox to LAC,-8048.4000000000015,-0.30000000000000004,2002-06-26 00:00:00,1,LAC,/players/w/wilcoch01.html,162.0,draft,-8048.4000000000015,-0.30000000000000004,0.0,0.0,False,-8048.4000000000015,-0.30000000000000004,-290093.10000000003,12.900000000000013,-7,-33,8,8,-19958.4,1.2,-2449.6250000000005,7.1692307692307695
253,Melvin Ely,added Melvin Ely to LAC,-5051.4,-0.6000000000000001,2002-06-26 00:00:00,1,LAC,/players/e/elyme01.html,162.0,draft,-5051.4,-0.6000000000000001,0.0,0.0,False,-5051.4,-0.6000000000000001,-295144.50000000006,12.300000000000013,-36,-31,12,12,-24020.0,-3.1,-3400.758823529412,5.207843137254902
264,Chris Kaman,added Chris Kaman to LAC,-30064.0,-0.19999999999999996,2003-06-26 00:00:00,1,LAC,/players/k/kamanch01.html,169.0,draft,-30064.0,-0.19999999999999996,0.0,0.0,False,-30064.0,-0.19999999999999996,-317862.60000000003,14.100000000000014,-20,-40,6,6,-37319.799999999996,0.4,3203.9826923076926,7.598076923076923
279,Shaun Livingston,added Shaun Livingston to LAC,-4932.5,0.8,2004-06-24 00:00:00,1,LAC,/players/l/livinsh01.html,180.0,draft,-4932.5,0.8,0.0,0.0,False,-4932.5,0.8,-331659.8000000001,15.500000000000014,-16,-38,4,4,-17188.0,4.3,16762.015384615384,13.921153846153846
280,Lionel Chalmers,added Lionel Chalmers to LAC,-2294.9,-0.4,2004-06-24 00:00:00,1,LAC,/players/c/chalmli01.html,180.0,draft,-2294.9,-0.4,0.0,0.0,False,-2294.9,-0.4,-333954.7000000001,15.100000000000014,-1,11,33,33,-2294.9,-0.4,-5807.491836734694,0.8020408163265306
296,Yaroslav Korolev,added Yaroslav Korolev to LAC,-879.3,-0.1,2005-06-28 00:00:00,1,LAC,/players/k/korolya01.html,192.0,draft,-879.3,-0.1,0.0,0.0,False,-879.3,-0.1,-345614.7000000002,15.400000000000018,-29,-8,12,12,-873.6,-0.1,-3400.758823529412,5.207843137254902
297,Daniel Ewing,added Daniel Ewing to LAC,-5100.8,-0.4,2005-06-28 00:00:00,1,LAC,/players/e/ewingda01.html,192.0,draft,-5100.8,-0.4,0.0,0.0,False,-5100.8,-0.4,-350715.5000000002,15.000000000000018,-14,0,32,32,-5049.0,-0.4,-2577.223404255319,1.325531914893617
312,Paul Davis,added Paul Davis to LAC,-3105.0,-0.5,2006-06-28 00:00:00,1,LAC,/players/d/davispa01.html,203.0,draft,-3105.0,-0.5,0.0,0.0,False,-3105.0,-0.5,-365264.30000000016,17.900000000000013,-4,9,34,34,-2948.4,-0.4,-3950.7720930232563,0.8837209302325582
313,Guillermo Díaz,added Guillermo Díaz to LAC,-52.199999999999996,0.0,2006-06-28 00:00:00,1,LAC,/players/d/diazgu01.html,203.0,draft,-52.199999999999996,0.0,0.0,0.0,False,-52.199999999999996,0.0,-365316.5000000002,17.900000000000013,26,40,52,52,-52.199999999999996,0.0,-4979.063888888889,0.075
323,Al Thornton,added Al Thornton to LAC,-23417.1,-2.8000000000000003,2007-06-28 00:00:00,1,LAC,/players/t/thornal01.html,213.0,draft,-23417.1,-2.8000000000000003,0.0,0.0,False,-23417.1,-2.8000000000000003,-395055.8000000002,16.40000000000001,-34,-29,14,14,-28959.0,-3.2,458.98269230769256,5.673076923076923
334,Eric Gordon,added Eric Gordon to LAC,1147.1,4.1000000000000005,2008-06-26 00:00:00,1,LAC,/players/g/gordoer01.html,223.0,draft,1147.1,4.1000000000000005,0.0,0.0,False,1147.1,4.1000000000000005,-408740.90000000026,19.40000000000001,-5,-40,7,7,-23107.2,9.0,1764.421153846154,9.205769230769231
335,DeAndre Jordan,added DeAndre Jordan to LAC,25982.0,17.3,2008-06-26 00:00:00,1,LAC,/players/j/jordade01.html,223.0,draft,25982.0,17.3,0.0,0.0,False,25982.0,17.3,-382758.90000000026,36.70000000000001,30,29,35,35,30621.800000000003,22.1,-4038.9866666666667,1.6822222222222223
