,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
27,Dikembe Mutombo,added Dikembe Mutombo to DEN,25253.3,13.5,1991-06-26 00:00:00,1,DEN,/players/m/mutomdi01.html,20.0,draft,25253.3,13.5,0.0,0.0,False,25253.3,13.5,26364.299999999996,17.599999999999998,3,2,4,4,62544.7,33.9
28,Mark Macon,added Mark Macon to DEN,-15569.600000000002,-2.1,1991-06-26 00:00:00,1,DEN,/players/m/maconma01.html,20.0,draft,-15569.600000000002,-2.1,0.0,0.0,False,-15569.600000000002,-2.1,10794.699999999993,15.499999999999998,-32,-29,8,8,-18566.600000000002,-2.2
42,LaPhonso Ellis,added LaPhonso Ellis to DEN,-4777.0,4.7,1992-06-24 00:00:00,1,DEN,/players/e/ellisla01.html,30.0,draft,-4777.0,4.7,0.0,0.0,False,-4777.0,4.7,4008.299999999994,19.4,-12,-38,5,5,-17616.0,4.6
43,Bryant Stith,added Bryant Stith to DEN,-9427.900000000001,4.3,1992-06-24 00:00:00,1,DEN,/players/s/stithbr01.html,30.0,draft,-9427.900000000001,4.3,0.0,0.0,False,-9427.900000000001,4.3,-5419.600000000008,23.7,-3,-24,13,13,-13133.6,4.9
44,Robert Werdann,added Robert Werdann to DEN,-1266.5,-0.2,1992-06-24 00:00:00,1,DEN,/players/w/werdaro01.html,30.0,draft,-1266.5,-0.2,0.0,0.0,False,-1266.5,-0.2,-6686.100000000008,23.5,11,25,46,46,-1719.8999999999999,-0.3
50,Rodney Rogers,added Rodney Rogers to DEN,-1057.8,1.6,1993-06-30 00:00:00,1,DEN,/players/r/rogerro01.html,35.0,draft,-1057.8,1.6,0.0,0.0,False,-1057.8,1.6,-29025.500000000007,25.3,1,-18,9,9,-6561.9,9.7
67,Jalen Rose,added Jalen Rose to DEN,-381.39999999999986,1.8,1994-06-29 00:00:00,1,DEN,/players/r/roseja01.html,44.0,draft,-381.39999999999986,1.8,0.0,0.0,False,-381.39999999999986,1.8,-27873.70000000001,28.099999999999994,4,-12,13,13,-5585.0,12.3
103,Jeff McInnis,added Jeff McInnis to DEN,35.1,0.1,1996-06-26 00:00:00,1,DEN,/players/m/mcinnje01.html,67.0,draft,35.1,0.1,0.0,0.0,False,35.1,0.1,-42767.00000000001,21.999999999999986,6,-7,37,37,-33446.700000000004,-0.3
125,Emeka Okafor,added Emeka Okafor to CHA,-4596.099999999999,4.5,2004-06-24 00:00:00,1,CHA,/players/o/okafoem01.html,85.0,draft,-4596.099999999999,4.5,0.0,0.0,False,-4596.099999999999,4.5,-28753.3,27.299999999999983,-15,-37,2,2,-11433.0,6.8
126,Bernard Robinson,added Bernard Robinson to CHA,-4059.1000000000004,-0.1,2004-06-24 00:00:00,1,CHA,/players/r/robinbe01.html,85.0,draft,-4059.1000000000004,-0.1,0.0,0.0,False,-4059.1000000000004,-0.1,-32812.4,27.19999999999998,19,18,45,45,-3818.0,0.0
146,Raymond Felton,added Raymond Felton to CHA,-6030.2,5.3,2005-06-28 00:00:00,1,CHA,/players/f/feltora01.html,97.0,draft,-6030.2,5.3,0.0,0.0,False,-6030.2,5.3,-52124.80000000001,36.89999999999998,-6,-41,5,5,-17297.399999999998,10.1
147,Sean May,added Sean May to CHA,-2089.0,0.29999999999999993,2005-06-28 00:00:00,1,CHA,/players/m/mayse01.html,97.0,draft,-2089.0,0.29999999999999993,0.0,0.0,False,-2089.0,0.29999999999999993,-54213.80000000001,37.199999999999974,-17,-15,13,13,-3175.6,0.2
158,Adam Morrison,added Adam Morrison to CHA,-14864.099999999999,-2.2,2006-06-28 00:00:00,1,CHA,/players/m/morriad01.html,105.0,draft,-14864.099999999999,-2.2,0.0,0.0,False,-14864.099999999999,-2.2,-74596.20000000001,34.59999999999997,-48,-44,3,3,-16390.0,-2.4
159,Ryan Hollins,added Ryan Hollins to CHA,-3445.1,-0.4,2006-06-28 00:00:00,1,CHA,/players/h/holliry01.html,105.0,draft,-3445.1,-0.4,0.0,0.0,False,-3445.1,-0.4,-78041.30000000002,34.199999999999974,-2,-1,50,50,-25149.399999999998,-3.2
