,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
2,Wesley Person,added Wesley Person to PHO,1288.6,3.8,1994-06-29 00:00:00,1,PHO,/players/p/persowe01.html,1.0,draft,1288.6,3.8,0.0,0.0,False,1288.6,3.8,1098.1,3.8,18,17,23,23,18654.3,15.2,18654.3,15.2
3,Antonio Lang,added Antonio Lang to PHO,-583.0,-0.1,1994-06-29 00:00:00,1,PHO,/players/l/langan02.html,1.0,draft,-583.0,-0.1,0.0,0.0,False,-583.0,-0.1,515.0999999999999,3.6999999999999997,-7,5,29,29,-5301.0,-0.6,-5301.0,-0.6
17,Michael Finley,added Michael Finley to PHO,-562.8000000000001,1.9,1995-06-28 00:00:00,1,PHO,/players/f/finlemi01.html,11.0,draft,-562.8000000000001,1.9,0.0,0.0,False,-562.8000000000001,1.9,-10234.699999999999,5.400000000000002,18,17,21,21,37996.0,28.8,37996.0,28.8
18,Mario Bennett,added Mario Bennett to PHO,-598.0,0.0,1995-06-28 00:00:00,1,PHO,/players/b/bennema01.html,11.0,draft,-598.0,0.0,0.0,0.0,False,-598.0,0.0,-10832.699999999999,5.400000000000002,7,14,27,27,-484.8,0.2,-484.8,0.2
19,Chris Carr,added Chris Carr to PHO,-3068.0,-0.5,1995-06-28 00:00:00,1,PHO,/players/c/carrch01.html,11.0,draft,-3068.0,-0.5,0.0,0.0,False,-3068.0,-0.5,-13900.699999999999,4.900000000000002,13,17,56,56,-13515.0,-1.1,-13515.0,-1.1
29,Steve Nash,added Steve Nash to PHO,85005.49999999999,33.0,1996-06-26 00:00:00,1,PHO,/players/n/nashst01.html,19.0,draft,85005.49999999999,33.0,0.0,0.0,False,85005.49999999999,33.0,57055.999999999985,32.2,11,11,15,15,114207.0,48.2,114207.0,48.2
31,Ben Davis,added Ben Davis to PHO,-646.8,-0.1,1996-06-26 00:00:00,1,PHO,/players/d/davisbe01.html,19.0,draft,-754.5999999999999,-0.1,0.0,0.0,False,-646.8,-0.1,56409.19999999998,32.1,17,26,43,43,-847.0,-0.1,-847.0,-0.1
101,Shawn Marion,added Shawn Marion to PHO,103916.9,38.8,1999-06-30 00:00:00,1,PHO,/players/m/mariosh01.html,55.0,draft,103916.9,38.8,0.0,0.0,False,103916.9,38.8,79788.59999999998,27.800000000000004,7,6,9,9,108261.90000000001,47.6,108261.90000000001,47.6
116,Jake Tsakalidis,added Jake Tsakalidis to PHO,-11225.5,-1.3,2000-06-28 00:00:00,1,PHO,/players/t/tsakaja01.html,66.0,draft,-11225.5,-1.3,0.0,0.0,False,-11225.5,-1.3,101167.89999999997,37.7,-12,-14,25,25,-15515.5,-1.4,-15515.5,-1.4
134,Alton Ford,added Alton Ford to PHO,-3348.5,-0.6,2001-06-27 00:00:00,1,PHO,/players/f/fordal02.html,79.0,draft,-3348.5,-0.6,0.0,0.0,False,-3348.5,-0.6,95696.69999999997,39.5,11,22,51,51,-3353.6000000000004,-0.6,,
