,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
109,Corky Calhoun,added Corky Calhoun to PHO,-4716.4,0.0,1972-04-10 00:00:00,1,PHO,/players/c/calhoco01.html,27.0,draft,-4716.4,0.0,0.0,0.0,False,-4716.4,0.0,-3395.7,0.2,0,0,,,0.0,0.0,,
111,Don Buse,added Don Buse to PHO,0.0,0.0,1972-04-10 00:00:00,1,PHO,/players/b/busedo01.html,27.0,draft,5082.0,5.1,0.0,0.0,False,0.0,0.0,-3395.7,0.2,0,0,,,0.0,0.0,,
130,Mike Bantom,added Mike Bantom to PHO,-8786.100000000002,-2.7755575615628914e-17,1973-04-24 00:00:00,1,PHO,/players/b/bantomi01.html,32.0,draft,-8786.100000000002,-2.7755575615628914e-17,0.0,0.0,False,-8786.100000000002,-2.7755575615628914e-17,-12181.800000000003,0.19999999999999998,-1,-53,8.0,8.0,-15780.0,5.7,1593.6000000000001,6.2
131,Gary Melchionni,added Gary Melchionni to PHO,-3544.5,0.5,1973-04-24 00:00:00,1,PHO,/players/m/melchga01.html,32.0,draft,-3544.5,0.5,0.0,0.0,False,-3544.5,0.5,-15726.300000000003,0.7,11,-28,33.0,33.0,-3614.0,0.5,0.0,0.0
132,Joe Reaves,added Joe Reaves to PHO,-163.4,0.0,1973-04-24 00:00:00,1,PHO,/players/r/reavejo01.html,32.0,draft,-163.4,0.0,0.0,0.0,False,-163.4,0.0,-15889.700000000003,0.7,-19,-19,42.0,42.0,-163.4,0.0,0.0,0.0
138,Jim Owens,added Jim Owens to PHO,-1397.0,0.0,1973-04-24 00:00:00,1,PHO,/players/o/owensji01.html,32.0,draft,-1397.0,0.0,0.0,0.0,False,-1397.0,0.0,-17286.700000000004,0.7,67,67,128.0,128.0,-1385.8,0.0,0.0,0.0
155,John Shumate,added John Shumate to PHO,2139.0,1.0,1974-05-28 00:00:00,1,PHO,/players/s/shumajo01.html,37.0,draft,2139.0,1.0,0.0,0.0,False,2139.0,1.0,-26131.2,-10.500000000000002,-10,-4,4.0,4.0,9201.0,6.9,30559.199999999997,18.7
156,Fred Saunders,added Fred Saunders to PHO,-2446.4,0.0,1974-05-28 00:00:00,1,PHO,/players/s/saundfr01.html,37.0,draft,-2446.4,0.0,0.0,0.0,False,-2446.4,0.0,-28577.600000000002,-10.500000000000002,-30,-30,31.0,31.0,-7247.5,-0.4,0.0,0.2
158,Earl Williams,added Earl Williams to PHO,-1664.0,0.1,1974-05-28 00:00:00,1,PHO,/players/w/williea01.html,37.0,draft,-1664.0,0.1,0.0,0.0,False,-1664.0,0.1,-30241.600000000002,-10.400000000000002,17,-12,49.0,49.0,-2823.0,0.2,0.0,0.0
185,Alvan Adams,added Alvan Adams to PHO,75934.5,32.9,1975-05-29 00:00:00,1,PHO,/players/a/adamsal01.html,44.0,draft,75934.5,32.9,0.0,0.0,False,75934.5,32.9,88771.7,38.9,3,3,4.0,4.0,76168.4,33.0,32820.2,20.0
