,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Mateen Cleaves,added Mateen Cleaves to DET,-6593.6,-1.0,2000-06-28 00:00:00,1,DET,/players/c/cleavma01.html,0.0,draft,-6593.6,-1.0,0.0,0.0,False,-6593.6,-1.0,-6593.6,-1.0,-26,-19,14,14,-10432.8,-1.7,458.98269230769256,5.673076923076923
2,Brian Cardinal,added Brian Cardinal to DET,-707.8,-0.1,2000-06-28 00:00:00,1,DET,/players/c/cardibr01.html,0.0,draft,-707.8,-0.1,0.0,0.0,False,-707.8,-0.1,-7301.400000000001,-1.1,33,35,44,44,-647.7,3.2,-5610.820000000001,0.21666666666666667
30,Rodney White,added Rodney White to DET,-580.5,-0.1,2001-06-27 00:00:00,1,DET,/players/w/whitero02.html,11.0,draft,-580.5,-0.1,0.0,0.0,False,-580.5,-0.1,19893.499999999993,14.6,-17,-27,9,9,-7378.8,-0.1,7117.088461538462,10.288461538461538
31,Mehmet Okur,added Mehmet Okur to DET,1687.0,1.9,2001-06-27 00:00:00,1,DET,/players/o/okurme01.html,11.0,draft,1687.0,1.9,0.0,0.0,False,1687.0,1.9,21580.499999999993,16.5,27,31,38,38,20271.9,14.5,-4376.612195121951,1.1585365853658536
43,Tayshaun Prince,added Tayshaun Prince to DET,18919.800000000003,18.000000000000004,2002-06-26 00:00:00,1,DET,/players/p/princta01.html,18.0,draft,18919.800000000003,18.000000000000004,0.0,0.0,False,18919.800000000003,18.000000000000004,49042.4,42.400000000000006,18,18,23,23,9472.8,18.0,-6142.385714285715,3.489795918367347
59,Darko Miličić,added Darko Miličić to DET,-4136.200000000001,-0.7,2003-06-26 00:00:00,1,DET,/players/m/milicda01.html,25.0,draft,-4136.200000000001,-0.7,0.0,0.0,False,-4136.200000000001,-0.7,140159.5,83.6,-40,-34,2,2,-20731.2,-0.9,14438.939215686274,12.956862745098038
60,Carlos Delfino,added Carlos Delfino to DET,-3436.0,0.3999999999999999,2003-06-26 00:00:00,1,DET,/players/d/delfica01.html,25.0,draft,-3436.0,0.3999999999999999,0.0,0.0,False,-3436.0,0.3999999999999999,136723.5,84.0,11,16,25,25,5790.0,7.2,-457.34705882352927,3.282352941176471
94,Jason Maxiell,added Jason Maxiell to DET,-23421.199999999997,-1.0,2005-06-28 00:00:00,1,DET,/players/m/maxieja01.html,44.0,draft,-23421.199999999997,-1.0,0.0,0.0,False,-23421.199999999997,-1.0,91065.59999999999,75.89999999999999,-26,-28,26,26,-28447.5,-1.4,-2125.2829787234045,2.621276595744681
95,Amir Johnson,added Amir Johnson to DET,-241.79999999999973,0.7999999999999999,2005-06-28 00:00:00,1,DET,/players/j/johnsam01.html,44.0,draft,-241.79999999999973,0.7999999999999999,0.0,0.0,False,-241.79999999999973,0.7999999999999999,90823.79999999999,76.69999999999999,46,46,56,56,5496.9,10.6,-980.8923076923077,1.1576923076923076
96,Alex Acker,added Alex Acker to DET,-459.5,-0.1,2005-06-28 00:00:00,1,DET,/players/a/ackeral01.html,44.0,draft,-459.5,-0.1,0.0,0.0,False,-459.5,-0.1,90364.29999999999,76.6,16,36,60,60,-1240.2,-0.2,1764.8733333333332,2.4
107,Will Blalock,added Will Blalock to DET,-962.8,-0.2,2006-06-28 00:00:00,1,DET,/players/b/blalowi01.html,51.0,draft,-962.8,-0.2,0.0,0.0,False,-962.8,-0.2,91342.7,74.99999999999999,28,44,60,60,-962.8,-0.2,1764.8733333333332,2.4
117,Rodney Stuckey,added Rodney Stuckey to DET,-11587.0,4.199999999999999,2007-06-28 00:00:00,1,DET,/players/s/stuckro01.html,58.0,draft,-11587.0,4.199999999999999,0.0,0.0,False,-11587.0,4.199999999999999,77923.9,78.9,2,-20,15,15,-16101.0,4.9,1540.9620000000002,5.3420000000000005
118,Arron Afflalo,added Arron Afflalo to DET,-4663.4,-0.1,2007-06-28 00:00:00,1,DET,/players/a/afflaar01.html,58.0,draft,-4663.4,-0.1,0.0,0.0,False,-4663.4,-0.1,73260.5,78.80000000000001,7,-19,27,27,-31243.5,2.4,-3893.5960000000005,2.536
143,Austin Daye,added Austin Daye to DET,-6611.400000000001,0.10000000000000003,2009-06-25 00:00:00,1,DET,/players/d/dayeau01.html,70.0,draft,-6611.400000000001,0.10000000000000003,0.0,0.0,False,-6611.400000000001,0.10000000000000003,35854.6,71.59999999999998,-19,-21,15,15,-8264.0,0.0,1540.9620000000002,5.3420000000000005
144,DaJuan Summers,added DaJuan Summers to DET,-3996.5,-0.7,2009-06-25 00:00:00,1,DET,/players/s/summeda01.html,70.0,draft,-3996.5,-0.7,0.0,0.0,False,-3996.5,-0.7,31858.1,70.89999999999998,-11,7,35,35,-4756.0,-0.8,-4038.9866666666667,1.6822222222222223
145,Jonas Jerebko,added Jonas Jerebko to DET,-5601.3,1.6,2009-06-25 00:00:00,1,DET,/players/j/jerebjo01.html,70.0,draft,-5601.3,1.6,0.0,0.0,False,-5601.3,1.6,26256.8,72.49999999999997,17,-3,39,39,-11323.0,2.9,-4749.286486486487,1.2783783783783782
157,Greg Monroe,added Greg Monroe to DET,16306.2,10.1,2010-06-24 00:00:00,1,DET,/players/m/monrogr01.html,78.0,draft,16306.2,10.1,0.0,0.0,False,16306.2,10.1,28512.2,80.89999999999996,1,0,7,7,24738.0,15.3,1764.421153846154,9.205769230769231
160,Brandon Knight,added Brandon Knight to DET,-12599.400000000001,-0.8,2011-06-23 00:00:00,1,DET,/players/k/knighbr03.html,80.0,draft,-12599.400000000001,-0.8,0.0,0.0,False,-12599.400000000001,-0.8,16924.399999999998,81.19999999999996,-14,-41,8,8,-21123.2,1.4,-2449.6250000000005,7.1692307692307695
161,Kyle Singler,added Kyle Singler to DET,-12338.699999999999,-0.19999999999999998,2011-06-23 00:00:00,1,DET,/players/s/singlky01.html,80.0,draft,-12338.699999999999,-0.19999999999999998,0.0,0.0,False,-12338.699999999999,-0.19999999999999998,4585.699999999999,80.99999999999996,-17,-13,33,33,-19485.0,-0.9,-5807.491836734694,0.8020408163265306
162,Vernon Macklin,added Vernon Macklin to DET,162.0,0.1,2011-06-23 00:00:00,1,DET,/players/m/macklve01.html,80.0,draft,162.0,0.1,0.0,0.0,False,162.0,0.1,4747.699999999999,81.09999999999995,21,38,52,52,162.0,0.1,-4979.063888888889,0.075
169,Andre Drummond,added Andre Drummond to DET,0.0,0.0,2012-06-28 00:00:00,1,DET,/players/d/drumman01.html,85.0,draft,27643.6,16.1,0.0,0.0,False,0.0,0.0,4557.899999999999,80.99999999999996,4,4,9,9,24220.0,18.5,7117.088461538462,10.288461538461538
170,Khris Middleton,added Khris Middleton to DET,-902.5,0.0,2012-06-28 00:00:00,1,DET,/players/m/middlkh01.html,85.0,draft,-902.5,0.0,0.0,0.0,False,-902.5,0.0,3655.3999999999987,80.99999999999996,33,33,39,39,16676.1,16.6,-4749.286486486487,1.2783783783783782
171,Kim English,added Kim English to DET,-1709.4,-0.2,2012-06-28 00:00:00,1,DET,/players/e/engliki01.html,85.0,draft,-1709.4,-0.2,0.0,0.0,False,-1709.4,-0.2,1945.9999999999986,80.79999999999995,7,26,44,44,-1709.4,-0.2,-5610.820000000001,0.21666666666666667
179,Kentavious Caldwell-Pope,added Kentavious Caldwell-Pope to DET,0.0,0.0,2013-06-27 00:00:00,1,DET,/players/c/caldwke01.html,92.0,draft,-9856.2,2.3,0.0,0.0,False,0.0,0.0,35464.899999999994,97.09999999999995,-2,-39,8,8,-24291.9,7.3,-2449.6250000000005,7.1692307692307695
180,Tony Mitchell,added Tony Mitchell to DET,0.0,0.0,2013-06-27 00:00:00,1,DET,/players/m/mitchto02.html,92.0,draft,31.6,0.0,0.0,0.0,False,0.0,0.0,35464.899999999994,97.09999999999995,9,24,37,37,31.6,0.0,-5676.155555555555,0.9622222222222222
181,Peyton Siva,added Peyton Siva to DET,0.0,0.0,2013-06-27 00:00:00,1,DET,/players/s/sivape01.html,92.0,draft,-1433.6000000000001,-0.2,0.0,0.0,False,0.0,0.0,35464.899999999994,97.09999999999995,19,35,56,56,-1433.6000000000001,-0.2,-980.8923076923077,1.1576923076923076
