,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,James Johnson,added James Johnson to CHI,-2235.0,-0.2,2009-06-25 00:00:00,1,CHI,/players/j/johnsja01.html,0.0,draft,-2235.0,-0.2,0.0,0.0,False,-2235.0,-0.2,-2235.0,-0.2,2,2,16,16,6224.400000000001,9.3,6224.400000000001,9.3
2,Taj Gibson,added Taj Gibson to CHI,-11383.7,4.3,2009-06-25 00:00:00,1,CHI,/players/g/gibsota01.html,0.0,draft,-11383.7,4.3,0.0,0.0,False,-11383.7,4.3,-13618.7,4.1,9,-21,26,26,-20718.9,6.5,-20718.9,6.5
44,Jimmy Butler,added Jimmy Butler to CHI,18211.199999999997,8.399999999999999,2011-06-23 00:00:00,1,CHI,/players/b/butleji01.html,26.0,draft,49602.5,18.9,0.0,0.0,False,18211.199999999997,8.399999999999999,50043.899999999994,22.9,29,28,30,30,140414.40000000002,50.1,140414.40000000002,50.1
53,Marquis Teague,added Marquis Teague to CHI,-4155.4,-0.8,2012-06-28 00:00:00,1,CHI,/players/t/teaguma01.html,32.0,draft,-4155.4,-0.8,0.0,0.0,False,-4155.4,-0.8,41602.69999999999,21.7,-19,-5,29,29,-5908.5,-1.0,-5908.5,-1.0
66,Tony Snell,added Tony Snell to CHI,0.0,0.0,2013-06-27 00:00:00,1,CHI,/players/s/snellto01.html,45.0,draft,-10381.4,-0.6,0.0,0.0,False,0.0,0.0,15380.899999999992,15.499999999999998,-12,-28,20,20,-26184.0,-0.1,-26184.0,-0.1
67,Erik Murphy,added Erik Murphy to CHI,-533.1999999999999,-0.1,2013-06-27 00:00:00,1,CHI,/players/m/murpher01.html,45.0,draft,-533.1999999999999,-0.1,0.0,0.0,False,-533.1999999999999,-0.1,14847.699999999992,15.399999999999999,17,33,49,49,-533.1999999999999,-0.1,-533.1999999999999,-0.1
90,Cameron Bairstow,added Cameron Bairstow to CHI,0.0,0.0,2014-06-26 00:00:00,1,CHI,/players/b/bairsca01.html,61.0,draft,-1348.5,-0.2,0.0,0.0,False,0.0,0.0,8672.999999999993,18.499999999999996,13,33,49,49,-1352.7,-0.3,-1352.7,-0.3
109,Bobby Portis,added Bobby Portis to CHI,0.0,0.0,2015-06-25 00:00:00,1,CHI,/players/p/portibo01.html,76.0,draft,-4831.1,0.8999999999999999,0.0,0.0,False,0.0,0.0,40059.600000000006,27.8,9,-9,22,22,-5929.200000000001,5.9,-5929.200000000001,5.9
130,Denzel Valentine,added Denzel Valentine to CHI,0.0,0.0,2016-06-23 00:00:00,1,CHI,/players/v/valende01.html,89.0,draft,-8405.8,0.2,0.0,0.0,False,0.0,0.0,48998.80000000002,37.9,-5,-29,14,14,-9152.3,0.2,-9152.3,0.2
131,Paul Zipser,added Paul Zipser to CHI,0.0,0.0,2016-06-23 00:00:00,1,CHI,/players/z/zipsepa01.html,89.0,draft,-8735.6,-1.3,0.0,0.0,False,0.0,0.0,48998.80000000002,37.9,-4,8,48,48,-8668.4,-1.4,-8668.4,-1.4
159,Jordan Bell,added Jordan Bell to CHI,5.4,0.0,2017-06-22 00:00:00,1,CHI,/players/b/belljo01.html,105.0,draft,5.4,0.0,0.0,0.0,False,5.4,0.0,42813.10000000002,39.10000000000001,17,21,38,38,387.40000000000003,1.1,387.40000000000003,1.1
195,Wendell Carter Jr.,added Wendell Carter Jr. to CHI,0.0,0.0,2018-06-21 00:00:00,1,CHI,/players/c/cartewe01.html,126.0,draft,-5582.4,0.2,0.0,0.0,False,0.0,0.0,733.3000000000171,34.90000000000001,-8,-25,7,7,-3111.2999999999997,4.4,-3111.2999999999997,4.4
196,Chandler Hutchison,added Chandler Hutchison to CHI,0.0,0.0,2018-06-21 00:00:00,1,CHI,/players/h/hutchch01.html,126.0,draft,-5500.7,-0.6,0.0,0.0,False,0.0,0.0,733.3000000000171,34.90000000000001,-31,-17,22,22,-6981.0,-0.9,-6981.0,-0.9
228,Coby White,added Coby White to CHI,0.0,0.0,2019-06-20 00:00:00,1,CHI,/players/w/whiteco01.html,150.0,draft,-19109.9,1.5,0.0,0.0,False,0.0,0.0,6024.200000000019,48.000000000000014,-9,-48,7,7,-18726.0,1.6,-18726.0,1.6
229,Daniel Gafford,added Daniel Gafford to CHI,0.0,0.0,2019-06-20 00:00:00,1,CHI,/players/g/gaffoda01.html,150.0,draft,-715.1,0.30000000000000004,0.0,0.0,False,0.0,0.0,6024.200000000019,48.000000000000014,33,33,38,38,13384.800000000001,7.2,13384.800000000001,7.2
