,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Brian Evans,added Brian Evans to ORL,-631.9,0.1,1996-06-26 00:00:00,1,ORL,/players/e/evansbr01.html,0.0,draft,-631.9,0.1,0.0,0.0,False,-631.9,0.1,-631.9,0.1,7,9,27,27,-877.6,0.3,-877.6,0.3
2,Amal McCaskill,added Amal McCaskill to ORL,-610.4,-0.1,1996-06-26 00:00:00,1,ORL,/players/m/mccasam01.html,0.0,draft,-610.4,-0.1,0.0,0.0,False,-610.4,-0.1,-1242.3,0.0,13,23,49,49,-4549.6,-0.7,-4549.6,-0.7
19,Johnny Taylor,added Johnny Taylor to ORL,-1205.0,-0.2,1997-06-25 00:00:00,1,ORL,/players/t/taylojo01.html,12.0,draft,-1205.0,-0.2,0.0,0.0,False,-1205.0,-0.2,-133015.30000000002,-38.30000000000001,-14,-9,17,17,-3464.0,-0.4,-3464.0,-0.4
45,Michael Doleac,added Michael Doleac to ORL,-11276.4,-1.0,1998-06-24 00:00:00,1,ORL,/players/d/doleami01.html,26.0,draft,-11276.4,-1.0,0.0,0.0,False,-11276.4,-1.0,-105625.00000000001,-25.500000000000014,-43,-41,12,12,-32519.300000000003,-3.7,-32519.300000000003,-3.7
47,Matt Harpring,added Matt Harpring to ORL,-1692.1999999999998,0.2,1998-06-24 00:00:00,1,ORL,/players/h/harprma01.html,26.0,draft,-1692.1999999999998,0.2,0.0,0.0,False,-1692.1999999999998,0.2,-107317.20000000001,-25.300000000000015,0,-26,15,15,-10550.4,6.2,-10550.4,6.2
48,Miles Simon,added Miles Simon to ORL,0.0,0.0,1998-06-24 00:00:00,1,ORL,/players/s/simonmi01.html,26.0,draft,-330.59999999999997,-0.1,0.0,0.0,False,0.0,0.0,-107317.20000000001,-25.300000000000015,8,28,42,42,-330.59999999999997,-0.1,-330.59999999999997,-0.1
110,Mike Miller,added Mike Miller to ORL,-754.1,2.9000000000000004,2000-06-28 00:00:00,1,ORL,/players/m/millemi01.html,54.0,draft,-754.1,2.9000000000000004,0.0,0.0,False,-754.1,2.9000000000000004,-138531.39999999997,-26.500000000000014,3,2,5,5,22249.600000000002,19.8,22249.600000000002,19.8
111,Keyon Dooling,added Keyon Dooling to ORL,-5735.799999999999,0.6,2000-06-28 00:00:00,1,ORL,/players/d/doolike01.html,54.0,draft,-5735.799999999999,0.6,0.0,0.0,False,-5735.799999999999,0.6,-144267.19999999995,-25.900000000000013,-16,-36,10,10,-28268.0,-0.2,-28268.0,-0.2
136,Steven Hunter,added Steven Hunter to ORL,-5235.6,-0.5,2001-06-27 00:00:00,1,ORL,/players/h/huntest01.html,68.0,draft,-5235.6,-0.5,0.0,0.0,False,-5235.6,-0.5,-130504.79999999994,-33.80000000000002,-22,-24,15,15,-13783.9,-0.5,-13783.9,-0.5
137,Jeryl Sasser,added Jeryl Sasser to ORL,-2631.1,-0.1,2001-06-27 00:00:00,1,ORL,/players/s/sasseje01.html,68.0,draft,-2631.1,-0.1,0.0,0.0,False,-2631.1,-0.1,-133135.89999999994,-33.90000000000002,-4,-4,22,22,-2652.5,-0.1,-2652.5,-0.1
177,Reece Gaines,added Reece Gaines to ORL,-2220.4,-0.4,2003-06-26 00:00:00,1,ORL,/players/g/gainere01.html,92.0,draft,-2220.4,-0.4,0.0,0.0,False,-2220.4,-0.4,-209353.99999999985,-72.00000000000003,-23,-8,15,15,-3690.5,-0.6,-3690.5,-0.6
178,Zaza Pachulia,added Zaza Pachulia to ORL,-3851.2,-0.6,2003-06-26 00:00:00,1,ORL,/players/p/pachuza01.html,92.0,draft,-3851.2,-0.6,0.0,0.0,False,-3851.2,-0.6,-213205.19999999987,-72.60000000000002,22,-2,42,42,-33360.0,2.9,-33360.0,2.9
