,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
1,Greg Anthony,added Greg Anthony to NYK,7266.200000000001,4.9,1991-06-26 00:00:00,1,NYK,/players/a/anthogr01.html,2.0,draft,7266.200000000001,4.9,0.0,0.0,False,7266.200000000001,4.9,7266.200000000001,4.9,5,5,12,12,20605.0,13.3
19,Hubert Davis,added Hubert Davis to NYK,6621.3,4.6,1992-06-24 00:00:00,1,NYK,/players/d/davishu01.html,12.0,draft,6621.3,4.6,0.0,0.0,False,6621.3,4.6,22770.6,18.1,2,-19,20,20,-13628.7,4.2
38,Monty Williams,added Monty Williams to NYK,-2333.0,-0.30000000000000004,1994-06-29 00:00:00,1,NYK,/players/w/willimo01.html,22.0,draft,-2333.0,-0.30000000000000004,0.0,0.0,False,-2333.0,-0.30000000000000004,20397.499999999996,26.799999999999994,2,-14,24,24,-13723.2,0.3
39,Charlie Ward,added Charlie Ward to NYK,29906.8,14.4,1994-06-29 00:00:00,1,NYK,/players/w/wardch01.html,22.0,draft,29906.8,14.4,0.0,0.0,False,29906.8,14.4,50304.299999999996,41.199999999999996,20,22,26,26,29568.0,14.5
61,John Wallace,added John Wallace to NYK,-3257.4999999999995,-0.1,1996-06-26 00:00:00,1,NYK,/players/w/wallajo01.html,38.0,draft,-3257.4999999999995,-0.1,0.0,0.0,False,-3257.4999999999995,-0.1,37708.2,32.59999999999999,-22,-19,18,18,-16586.100000000002,-1.0
62,Walter McCarty,added Walter McCarty to NYK,-864.0,-0.1,1996-06-26 00:00:00,1,NYK,/players/m/mccarwa01.html,38.0,draft,-864.0,-0.1,0.0,0.0,False,-864.0,-0.1,36844.2,32.499999999999986,0,-19,19,19,-17635.8,0.8
98,DeMarco Johnson,added DeMarco Johnson to NYK,-381.1,-0.1,1998-06-24 00:00:00,1,NYK,/players/j/johnsde02.html,59.0,draft,-381.1,-0.1,0.0,0.0,False,-381.1,-0.1,28947.1,46.99999999999999,4,23,38,38,-381.1,-0.1
132,Michael Redd,added Michael Redd to MIL,46791.2,21.5,2000-06-28 00:00:00,1,MIL,/players/r/reddmi01.html,75.0,draft,46791.2,21.5,0.0,0.0,False,46791.2,21.5,94452.1,85.89999999999999,42,42,43,43,44228.8,21.4
133,Jason Hart,added Jason Hart to MIL,-102.0,0.0,2000-06-28 00:00:00,1,MIL,/players/h/hartja01.html,75.0,draft,-102.0,0.0,0.0,0.0,False,-102.0,0.0,94350.1,85.89999999999999,34,24,49,49,-6346.8,1.0
154,Marcus Haislip,added Marcus Haislip to MIL,-2838.6,-0.30000000000000004,2002-06-26 00:00:00,1,MIL,/players/h/haislma01.html,88.0,draft,-2838.6,-0.30000000000000004,0.0,0.0,False,-2838.6,-0.30000000000000004,88828.9,88.3,-24,-7,13,13,-4013.8,-0.6
