,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Larry Hughes,added Larry Hughes to PHI,1278.4,1.4,1998-06-24 00:00:00,1,PHI,/players/h/hughela01.html,0.0,draft,1278.4,1.4,0.0,0.0,False,1278.4,1.4,1278.4,1.4,-2,-15,8,8,-2236.8,10.7,-2236.8,10.7
2,Casey Shaw,added Casey Shaw to PHI,-417.2,-0.1,1998-06-24 00:00:00,1,PHI,/players/s/shawca01.html,0.0,draft,-417.2,-0.1,0.0,0.0,False,-417.2,-0.1,861.2,1.2999999999999998,3,21,37,37,-417.2,-0.1,-417.2,-0.1
19,Todd MacCulloch,added Todd MacCulloch to PHI,-59.700000000000045,0.5999999999999999,1999-06-30 00:00:00,1,PHI,/players/m/maccuto01.html,11.0,draft,-628.1,0.8999999999999999,0.0,0.0,False,-59.700000000000045,0.5999999999999999,-483.29999999999785,1.5999999999999996,28,33,47,47,1031.7,2.0,1031.7,2.0
36,Speedy Claxton,added Speedy Claxton to PHI,-611.2,0.6,2000-06-28 00:00:00,1,PHI,/players/c/claxtsp01.html,22.0,draft,-611.2,0.6,0.0,0.0,False,-611.2,0.6,5961.9000000000015,3.3,10,3,20,20,-2564.4,3.6,-2564.4,3.6
54,Samuel Dalembert,added Samuel Dalembert to PHI,-17253.600000000002,3.4000000000000004,2001-06-27 00:00:00,1,PHI,/players/d/dalemsa01.html,34.0,draft,-17253.600000000002,3.4000000000000004,0.0,0.0,False,-17253.600000000002,3.4000000000000004,1462.0999999999985,8.0,11,-16,26,26,-23810.600000000002,4.6,-23810.600000000002,4.6
55,Damone Brown,added Damone Brown to PHI,-743.6999999999999,-0.1,2001-06-27 00:00:00,1,PHI,/players/b/brownda02.html,34.0,draft,-743.6999999999999,-0.1,0.0,0.0,False,-743.6999999999999,-0.1,718.3999999999986,7.9,-3,9,37,37,-3018.6,-0.6,-3018.6,-0.6
56,Alvin Jones,added Alvin Jones to PHI,-1096.1999999999998,-0.2,2001-06-27 00:00:00,1,PHI,/players/j/jonesal01.html,34.0,draft,-1096.1999999999998,-0.2,0.0,0.0,False,-1096.1999999999998,-0.2,-377.8000000000012,7.7,26,37,57,57,-1096.1999999999998,-0.2,-1096.1999999999998,-0.2
118,Andre Iguodala,added Andre Iguodala to PHI,60789.600000000006,26.900000000000002,2004-06-24 00:00:00,1,PHI,/players/i/iguodan01.html,64.0,draft,60789.600000000006,26.900000000000002,0.0,0.0,False,60789.600000000006,26.900000000000002,24585.90000000001,45.1,8,8,9,9,82964.7,41.3,82964.7,41.3
138,Lou Williams,added Lou Williams to PHI,16374.8,9.1,2005-06-28 00:00:00,1,PHI,/players/w/willilo02.html,72.0,draft,16374.8,9.1,0.0,0.0,False,16374.8,9.1,55707.100000000006,55.00000000000001,42,42,45,45,37945.6,23.2,37945.6,23.2
167,Thaddeus Young,added Thaddeus Young to PHI,4971.499999999999,9.100000000000001,2007-06-28 00:00:00,1,PHI,/players/y/youngth01.html,92.0,draft,4971.499999999999,9.100000000000001,0.0,0.0,False,4971.499999999999,9.100000000000001,56418.50000000001,62.7,6,6,12,12,16506.0,20.7,16506.0,20.7
210,Jordan Williams,added Jordan Williams to BRK,-1333.5,0.0,2011-06-23 00:00:00,1,BRK,/players/w/willijo03.html,109.0,draft,-1333.5,0.0,0.0,0.0,False,-1333.5,0.0,17718.000000000022,32.20000000000001,3,13,36,36,-1333.5,0.0,-1333.5,0.0
257,Mason Plumlee,added Mason Plumlee to BRK,1449.3,1.9,2013-06-27 00:00:00,1,BRK,/players/p/plumlma01.html,141.0,draft,1449.3,1.9,0.0,0.0,False,1449.3,1.9,-148627.39999999997,-8.599999999999989,18,17,22,22,22468.8,15.0,22468.8,15.0
320,Chris McCullough,added Chris McCullough to BRK,0.0,0.0,2015-06-25 00:00:00,1,BRK,/players/m/mcculch01.html,173.0,draft,-1084.8,0.0,0.0,0.0,False,0.0,0.0,-191442.6,-18.299999999999983,-2,9,29,29,-1330.0,-0.1,-1330.0,-0.1
