,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Scott May,added Scott May to CHI,-6990.200000000001,1.5999999999999999,1976-06-08 00:00:00,1,CHI,/players/m/maysc01.html,0.0,draft,-6990.200000000001,1.5999999999999999,0.0,0.0,False,-6990.200000000001,1.5999999999999999,-6990.200000000001,1.5999999999999999,-13,-37,2,2,-5620.299999999999,2.7,39.0,15.0
2,Willie Smith,added Willie Smith to CHI,-53.900000000000006,0.0,1976-06-08 00:00:00,1,CHI,/players/s/smithwi02.html,0.0,draft,-53.900000000000006,0.0,0.0,0.0,False,-53.900000000000006,0.0,-7044.1,1.5999999999999999,-3,3,18,18,-240.0,0.6,15.0,21.0
5,Keith Starr,added Keith Starr to CHI,-396.5,-0.1,1976-06-08 00:00:00,1,CHI,/players/s/starrke01.html,0.0,draft,-396.5,-0.1,0.0,0.0,False,-396.5,-0.1,-7440.6,1.4999999999999998,17,33,52,52,-396.5,-0.1,19.0,34.0
19,Mike Brown,added Mike Brown to CHI,-7422.299999999999,-1.1,1985-06-18 00:00:00,1,CHI,/players/b/brownmi01.html,6.0,draft,-7422.299999999999,-1.1,0.0,0.0,False,-7422.299999999999,-1.1,-10518.3,1.4999999999999996,4,5,69,69,-39459.6,-4.4,,
41,Brad Sellers,added Brad Sellers to CHI,-10695.3,0.2,1986-06-17 00:00:00,1,CHI,/players/s/sellebr01.html,21.0,draft,-10695.3,0.2,0.0,0.0,False,-10695.3,0.2,-46376.8,5.2,-41,-48,9,9,-15738.800000000001,-0.4,57.0,50.0
42,Larry Krystkowiak,added Larry Krystkowiak to CHI,-889.7,-0.1,1986-06-17 00:00:00,1,CHI,/players/k/krystla01.html,21.0,draft,-889.7,-0.1,0.0,0.0,False,-889.7,-0.1,-47266.5,5.1000000000000005,-34,-37,28,28,-24561.9,-1.6,65.0,62.0
46,Pete Myers,added Pete Myers to CHI,139.5,0.1,1986-06-17 00:00:00,1,CHI,/players/m/myerspe01.html,21.0,draft,-7374.5,-0.1,0.0,0.0,False,139.5,0.1,-47127.0,5.2,63,64,120,120,-15097.5,-0.8,,
75,Horace Grant,added Horace Grant to CHI,35494.1,18.0,1987-06-22 00:00:00,1,CHI,/players/g/grantho01.html,36.0,draft,35494.1,18.0,0.0,0.0,False,35494.1,18.0,5459.499999999985,24.6,4,4,10,10,54069.399999999994,33.0,6.0,6.0
77,Tony White,added Tony White to CHI,-12.2,0.0,1987-06-22 00:00:00,1,CHI,/players/w/whiteto01.html,36.0,draft,-12.2,0.0,0.0,0.0,False,-12.2,0.0,5447.299999999986,24.6,-9,-5,33,33,-3137.4,-0.5,38.0,42.0
79,Jack Haley,added Jack Haley to CHI,-2018.2,-0.3,1987-06-22 00:00:00,1,CHI,/players/h/haleyja01.html,36.0,draft,-2175.0,-0.3,0.0,0.0,False,-2018.2,-0.3,3429.099999999986,24.3,26,28,79,79,-22029.600000000002,-3.9,,
