,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
37,Brian Cook,added Brian Cook to LAL,-2929.8,1.2999999999999998,2003-06-26 00:00:00,1,LAL,/players/c/cookbr01.html,24.0,draft,-2929.8,1.2999999999999998,0.0,0.0,False,-2929.8,1.2999999999999998,-34971.3,1.2,-1,-16,24,24,-9038.4,0.5,-78.6,0.6
38,Luke Walton,added Luke Walton to LAL,-6073.099999999999,2.7,2003-06-26 00:00:00,1,LAL,/players/w/waltolu01.html,24.0,draft,-6073.099999999999,2.7,0.0,0.0,False,-6073.099999999999,2.7,-41044.4,3.9000000000000004,11,-9,32,32,-9685.0,2.5,-3143.4,0.0
47,Sasha Vujačić,added Sasha Vujačić to LAL,-4014.2000000000003,1.8999999999999997,2004-06-24 00:00:00,1,LAL,/players/v/vujacsa01.html,33.0,draft,-4014.2000000000003,1.8999999999999997,0.0,0.0,False,-4014.2000000000003,1.8999999999999997,-38021.0,10.9,5,-23,27,27,-8908.0,2.3,0.0,0.0
67,Andrew Bynum,added Andrew Bynum to LAL,15589.3,9.200000000000001,2005-06-28 00:00:00,1,LAL,/players/b/bynuman01.html,40.0,draft,15589.3,9.200000000000001,0.0,0.0,False,15589.3,9.200000000000001,-61747.79999999999,12.200000000000005,-2,3,10,10,14965.999999999998,9.1,5496.9,10.6
68,Ronny Turiaf,added Ronny Turiaf to LAL,-175.0,1.4,2005-06-28 00:00:00,1,LAL,/players/t/turiaro01.html,40.0,draft,-175.0,1.4,0.0,0.0,False,-175.0,1.4,-61922.79999999999,13.600000000000005,16,26,37,37,2406.0,4.7,-5049.0,0.0
69,Von Wafer,added Von Wafer to LAL,-1022.0,-0.2,2005-06-28 00:00:00,1,LAL,/players/w/wafervo01.html,40.0,draft,-1022.0,-0.2,0.0,0.0,False,-1022.0,-0.2,-62944.79999999999,13.400000000000006,7,4,39,39,-4455.0,0.1,-7152.999999999999,0.0
80,Jordan Farmar,added Jordan Farmar to LAL,-3344.8,1.8999999999999997,2006-06-28 00:00:00,1,LAL,/players/f/farmajo01.html,47.0,draft,-3983.2000000000003,2.1999999999999997,0.0,0.0,False,-3344.8,1.8999999999999997,-89038.99999999999,7.100000000000004,13,-11,26,26,-4920.0,3.7,-1258.1,0.0
88,Javaris Crittenton,added Javaris Crittenton to LAL,-735.3,-0.1,2007-06-28 00:00:00,1,LAL,/players/c/crittja01.html,52.0,draft,-735.3,-0.1,0.0,0.0,False,-735.3,-0.1,-95764.09999999999,8.200000000000005,-33,-23,19,19,-7782.6,-1.0,0.0,2.7
89,Sun Yue,added Sun Yue to LAL,-543.1999999999999,-0.1,2007-06-28 00:00:00,1,LAL,/players/y/yuesu01.html,52.0,draft,-543.1999999999999,-0.1,0.0,0.0,False,-543.1999999999999,-0.1,-96307.29999999999,8.100000000000005,-1,13,40,40,-543.1999999999999,-0.1,-6131.8,-0.1
90,Marc Gasol,added Marc Gasol to LAL,2283.8999999999996,1.1,2007-06-28 00:00:00,1,LAL,/players/g/gasolma01.html,52.0,draft,2283.8999999999996,1.1,0.0,0.0,False,2283.8999999999996,1.1,-94023.4,9.200000000000005,44,45,48,48,89028.90000000001,36.5,-16126.8,-0.4
113,Patrick Beverley,added Patrick Beverley to LAL,-2179.8,0.1,2009-06-25 00:00:00,1,LAL,/players/b/beverpa01.html,63.0,draft,-2179.8,0.1,0.0,0.0,False,-2179.8,0.1,-131660.09999999998,2.2000000000000024,30,31,42,42,12382.3,12.1,-6123.0,0.0
121,Devin Ebanks,added Devin Ebanks to LAL,-3416.1000000000004,-0.5,2010-06-24 00:00:00,1,LAL,/players/e/ebankde01.html,68.0,draft,-3416.1000000000004,-0.5,0.0,0.0,False,-3416.1000000000004,-0.5,-130163.69999999998,5.600000000000002,-11,-1,43,43,-3412.7999999999997,-0.5,-3048.5,-0.1
122,Derrick Caracter,added Derrick Caracter to LAL,-1526.5,-0.3,2010-06-24 00:00:00,1,LAL,/players/c/caracde01.html,68.0,draft,-1526.5,-0.3,0.0,0.0,False,-1526.5,-0.3,-131690.19999999998,5.3000000000000025,6,24,58,58,-1526.5,-0.3,-27649.0,-1.7
133,Darius Morris,added Darius Morris to LAL,-4186.8,-0.6000000000000001,2011-06-23 00:00:00,1,LAL,/players/m/morrida01.html,74.0,draft,-4186.8,-0.6000000000000001,0.0,0.0,False,-4186.8,-0.6000000000000001,-138921.19999999998,6.900000000000002,-16,0,41,41,-7466.4,-1.2,-7466.4,-0.1
134,Andrew Goudelock,added Andrew Goudelock to LAL,-2095.0,-0.3,2011-06-23 00:00:00,1,LAL,/players/g/goudean01.html,74.0,draft,-2190.4,-0.3,0.0,0.0,False,-2095.0,-0.3,-141016.19999999998,6.600000000000002,-2,14,46,46,-2375.0,-0.3,-13115.4,-0.1
154,Robert Sacre,added Robert Sacre to LAL,-1786.3999999999996,-0.40000000000000013,2012-06-28 00:00:00,1,LAL,/players/s/sacrero01.html,82.0,draft,-11144.3,-1.4000000000000001,0.0,0.0,False,-1786.3999999999996,-0.40000000000000013,-139342.3,8.100000000000001,4,12,60,60,-10980.0,-1.4,-52259.8,-4.5
172,Ryan Kelly,added Ryan Kelly to LAL,0.0,0.0,2013-06-27 00:00:00,1,LAL,/players/k/kellyry01.html,91.0,draft,-7681.9,-0.4,0.0,0.0,False,0.0,0.0,-143764.1,6.600000000000001,-7,5,48,48,-8125.0,-0.5,-11712.0,-0.2
187,Julius Randle,added Julius Randle to LAL,0.0,0.0,2014-06-26 00:00:00,1,LAL,/players/r/randlju01.html,104.0,draft,-8131.4,1.2999999999999998,0.0,0.0,False,0.0,0.0,-176918.0,5.999999999999999,4,2,7,7,22738.0,17.0,10052.0,12.5
208,D'Angelo Russell,added D'Angelo Russell to LAL,0.0,0.0,2015-06-25 00:00:00,1,LAL,/players/r/russeda01.html,124.0,draft,-4519.900000000001,3.0000000000000004,0.0,0.0,False,0.0,0.0,-212530.5,10.4,-3,-6,2,2,11247.0,12.4,41596.200000000004,18.1
209,Larry Nance Jr.,added Larry Nance Jr. to LAL,1178.9999999999995,2.2,2015-06-25 00:00:00,1,LAL,/players/n/nancela02.html,124.0,draft,1178.9999999999995,2.2,0.0,0.0,False,1178.9999999999995,2.2,-211351.5,12.600000000000001,19,21,27,27,15104.4,10.3,0.0,0.1
210,Anthony Brown,added Anthony Brown to LAL,0.0,0.0,2015-06-25 00:00:00,1,LAL,/players/b/brownan02.html,124.0,draft,-3294.5,-0.5,0.0,0.0,False,0.0,0.0,-211351.5,12.600000000000001,-19,-5,34,34,-3886.2,-0.6,-927.6,0.0
222,Brandon Ingram,added Brandon Ingram to LAL,0.0,0.0,2016-06-23 00:00:00,1,LAL,/players/i/ingrabr01.html,137.0,draft,-15917.6,-0.9999999999999999,0.0,0.0,False,0.0,0.0,-220163.8,18.900000000000002,-9,-9,2,2,1631.6000000000001,8.6,39274.0,19.6
223,Ivica Zubac,added Ivica Zubac to LAL,0.0,0.0,2016-06-23 00:00:00,1,LAL,/players/z/zubaciv01.html,137.0,draft,-1958.5,0.2,0.0,0.0,False,0.0,0.0,-220163.8,18.900000000000002,22,24,32,32,12090.6,9.8,-2727.9,-0.1
