,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Blue Edwards,added Blue Edwards to UTA,-9461.9,0.8000000000000002,1989-06-27 00:00:00,1,UTA,/players/e/edwarbl01.html,0.0,draft,-9461.9,0.8000000000000002,0.0,0.0,False,-9461.9,0.8000000000000002,-9461.9,0.8000000000000002,3,-23,21,21,-29454.4,1.9,-29454.4,1.9
14,Walter Palmer,added Walter Palmer to UTA,-663.0,-0.1,1990-06-27 00:00:00,1,UTA,/players/p/palmewa01.html,7.0,draft,-663.0,-0.1,0.0,0.0,False,-663.0,-0.1,-19288.700000000004,0.8000000000000003,6,19,33,33,-1400.3,-0.2,-1400.3,-0.2
23,Eric Murdock,added Eric Murdock to UTA,-334.59999999999997,0.2,1991-06-26 00:00:00,1,UTA,/players/m/murdoer01.html,16.0,draft,-334.59999999999997,0.2,0.0,0.0,False,-334.59999999999997,0.2,-27591.200000000004,0.10000000000000028,13,15,21,21,23764.0,12.1,23764.0,12.1
24,Isaac Austin,added Isaac Austin to UTA,-2328.8,-0.4,1991-06-26 00:00:00,1,UTA,/players/a/austiis01.html,16.0,draft,-2328.8,-0.4,0.0,0.0,False,-2328.8,-0.4,-29920.000000000004,-0.2999999999999997,13,9,48,48,-20875.0,-1.0,-20875.0,-1.0
44,Luther Wright,added Luther Wright to UTA,-1131.6000000000001,-0.2,1993-06-30 00:00:00,1,UTA,/players/w/wrighlu01.html,30.0,draft,-1131.6000000000001,-0.2,0.0,0.0,False,-1131.6000000000001,-0.2,-56063.299999999996,-6.299999999999999,-14,-2,18,18,-1131.6000000000001,-0.2,-1131.6000000000001,-0.2
45,Bryon Russell,added Bryon Russell to UTA,9125.999999999998,10.7,1993-06-30 00:00:00,1,UTA,/players/r/russebr01.html,30.0,draft,9125.999999999998,10.7,0.0,0.0,False,9125.999999999998,10.7,-46937.299999999996,4.4,38,40,45,45,7922.0,11.8,7922.0,11.8
61,Jamie Watson,added Jamie Watson to UTA,-1461.0,0.2,1994-06-29 00:00:00,1,UTA,/players/w/watsoja01.html,41.0,draft,-1461.0,0.2,0.0,0.0,False,-1461.0,0.2,-1155.700000000009,25.599999999999998,23,31,47,47,-1872.0,0.2,-1872.0,0.2
72,Greg Ostertag,added Greg Ostertag to UTA,-8112.9,5.1,1995-06-28 00:00:00,1,UTA,/players/o/ostergr01.html,48.0,draft,-8112.9,5.1,0.0,0.0,False,-8112.9,5.1,-21846.100000000013,30.199999999999996,14,-7,28,28,-8851.8,5.1,-8851.8,5.1
80,Shandon Anderson,added Shandon Anderson to UTA,-4002.5999999999995,1.0,1996-06-26 00:00:00,1,UTA,/players/a/andersh01.html,55.0,draft,-4002.5999999999995,1.0,0.0,0.0,False,-4002.5999999999995,1.0,-66094.40000000001,28.499999999999993,37,14,54,54,-20729.8,3.0,-20729.8,3.0
92,Jacque Vaughn,added Jacque Vaughn to UTA,-8953.599999999999,-0.7000000000000001,1997-06-25 00:00:00,1,UTA,/players/v/vaughja01.html,63.0,draft,-8953.599999999999,-0.7000000000000001,0.0,0.0,False,-8953.599999999999,-0.7000000000000001,20231.300000000007,64.59999999999998,-19,-19,27,27,-43037.2,-4.5,-43037.2,-4.5
113,Lavor Postell,added Lavor Postell to NYK,-2213.6000000000004,-0.30000000000000004,2000-06-28 00:00:00,1,NYK,/players/p/postela01.html,78.0,draft,-2213.6000000000004,-0.30000000000000004,0.0,0.0,False,-2213.6000000000004,-0.30000000000000004,12140.000000000007,63.499999999999986,9,25,39,39,-2230.0,-0.3,-2230.0,-0.3
161,Mike Sweetney,added Mike Sweetney to NYK,-4365.3,-0.1,2003-06-26 00:00:00,1,NYK,/players/s/sweetmi01.html,95.0,draft,-4365.3,-0.1,0.0,0.0,False,-4365.3,-0.1,-77849.29999999999,37.699999999999996,-29,-22,9,9,-9747.0,-0.6,-9747.0,-0.6
