,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
40,Jarrett Allen,added Jarrett Allen to BRK,0.0,0.0,2017-06-22 00:00:00,1,BRK,/players/a/allenja01.html,33.0,draft,7292.4,4.800000000000001,0.0,0.0,False,0.0,0.0,-42037.6,-2.300000000000001,18,18,22,22,38450.4,17.7,-39.6,0.9
73,Džanan Musa,added Džanan Musa to BRK,0.0,0.0,2018-06-21 00:00:00,1,BRK,/players/m/musadz01.html,51.0,draft,-2423.6000000000004,-0.4,0.0,0.0,False,0.0,0.0,-31980.500000000004,4.499999999999999,-21,-3,29,29,-2419.6,-0.4,-1104.3000000000002,0.4
74,Rodions Kurucs,added Rodions Kurucs to BRK,0.0,0.0,2018-06-21 00:00:00,1,BRK,/players/k/kurucro01.html,51.0,draft,-5279.6,-0.30000000000000004,0.0,0.0,False,0.0,0.0,-31980.500000000004,4.499999999999999,-10,1,40,40,-5888.4,-0.4,-6735.6,0.0
108,Nicolas Claxton,added Nicolas Claxton to BRK,0.0,0.0,2019-06-20 00:00:00,1,BRK,/players/c/claxtni01.html,71.0,draft,10909.4,6.800000000000001,0.0,0.0,False,0.0,0.0,-38878.200000000004,11.5,23,25,31,31,10431.2,6.8,-3600.6,-0.1
184,Cameron Thomas,added Cameron Thomas to BRK,0.0,0.0,2021-07-29 00:00:00,1,BRK,/players/t/thomaca02.html,125.0,draft,-8891.8,0.19999999999999996,0.0,0.0,False,0.0,0.0,-16392.200000000008,23.599999999999984,0,-24,27,27,-8964.0,0.3,-1491.0,0.3
185,Kessler Edwards,added Kessler Edwards to BRK,0.0,0.0,2021-07-29 00:00:00,1,BRK,/players/e/edwarke02.html,125.0,draft,-4516.9,-0.7,0.0,0.0,False,0.0,0.0,-16392.200000000008,23.599999999999984,-3,-2,44,44,-6539.5,-0.5,-5672.0,-0.2
187,RaiQuan Gray,added RaiQuan Gray to BRK,0.0,0.0,2021-07-29 00:00:00,1,BRK,/players/g/grayra01.html,125.0,draft,-70.0,0.0,0.0,0.0,False,0.0,0.0,-16392.200000000008,23.599999999999984,28,48,59,59,214.6,0.1,-17394.899999999998,-1.7
269,Noah Clowney,added Noah Clowney to BRK,0.0,0.0,2023-06-22 00:00:00,1,BRK,/players/c/clownno01.html,182.0,draft,-4635.400000000001,-0.5,0.0,0.0,False,0.0,0.0,-93584.0,16.699999999999974,-21,-18,21,21,-4518.400000000001,-0.4,-1107.0,0.0
270,Dariq Whitehead,added Dariq Whitehead to BRK,0.0,0.0,2023-06-22 00:00:00,1,BRK,/players/w/whiteda01.html,182.0,draft,-640.6000000000001,0.0,0.0,0.0,False,0.0,0.0,-93584.0,16.699999999999974,-5,1,22,22,-1107.0,-0.1,-1129.8,0.0
271,Jalen Wilson,added Jalen Wilson to BRK,0.0,0.0,2023-06-22 00:00:00,1,BRK,/players/w/wilsoja03.html,182.0,draft,-10435.2,-1.4,0.0,0.0,False,0.0,0.0,-93584.0,16.699999999999974,0,-1,51,51,-9971.5,-1.1,-9645.0,-1.1
