,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
4,Kent Benson,added Kent Benson to MIL,2133.7,3.0,1977-06-10 00:00:00,1,MIL,/players/b/bensoke01.html,1.0,draft,2133.7,3.0,0.0,0.0,False,2133.7,3.0,1300.2999999999997,1.4,-14,-11,1,1,3143.8,8.8,78190.2,37.0
5,Marques Johnson,added Marques Johnson to MIL,77972.6,28.8,1977-06-10 00:00:00,1,MIL,/players/j/johnsma01.html,1.0,draft,77972.6,28.8,0.0,0.0,False,77972.6,28.8,79272.90000000001,30.2,1,2,3,3,78190.2,31.7,50008.9,27.0
6,Ernie Grunfeld,added Ernie Grunfeld to MIL,-2751.5,0.8,1977-06-10 00:00:00,1,MIL,/players/g/grunfer01.html,1.0,draft,-2751.5,0.8,0.0,0.0,False,-2751.5,0.8,76521.40000000001,31.0,-9,-50,11,11,-6458.0,4.9,7990.0,12.1
20,George Johnson,added George Johnson to MIL,-578.5,0.4,1978-06-09 00:00:00,1,MIL,/players/j/johnsge03.html,8.0,draft,-578.5,0.4,0.0,0.0,False,-578.5,0.4,72155.50000000001,28.5,-7,-49,12,12,-13829.199999999999,1.4,0.0,4.1
21,Pat Cummings,added Pat Cummings to MIL,-7683.200000000001,-0.4,1978-06-09 00:00:00,1,MIL,/players/c/cummipa01.html,8.0,draft,-7683.200000000001,-0.4,0.0,0.0,False,-7683.200000000001,-0.4,64472.30000000002,28.1,-2,-2,59,59,-36290.0,-1.9,0.0,0.0
22,Otis Howard,added Otis Howard to MIL,-112.19999999999999,0.0,1978-06-09 00:00:00,1,MIL,/players/h/howarot01.html,8.0,draft,-112.19999999999999,0.0,0.0,0.0,False,-112.19999999999999,0.0,64360.10000000002,28.1,19,19,80,80,-452.0,-0.1,0.0,0.0
44,Sidney Moncrief,added Sidney Moncrief to MIL,85883.09999999999,32.9,1979-06-25 00:00:00,1,MIL,/players/m/moncrsi01.html,19.0,draft,85883.09999999999,32.9,0.0,0.0,False,85883.09999999999,32.9,149130.6,63.2,3,3,5,5,85655.0,33.1,22581.6,15.4
77,Alton Lister,added Alton Lister to MIL,-3949.3,3.7999999999999994,1981-06-09 00:00:00,1,MIL,/players/l/listeal01.html,30.0,draft,-3949.3,3.7999999999999994,0.0,0.0,False,-3949.3,3.7999999999999994,161886.1,60.69999999999999,5,-40,21,21,-26551.0,3.1,0.0,1.4
97,Paul Pressey,added Paul Pressey to MIL,53246.9,22.200000000000003,1982-06-29 00:00:00,1,MIL,/players/p/presspa01.html,40.0,draft,53246.9,22.200000000000003,0.0,0.0,False,53246.9,22.200000000000003,228221.3,83.1,16,16,20,20,51113.4,22.8,0.0,1.5
98,Fred Roberts,added Fred Roberts to MIL,-11394.1,1.7,1982-06-29 00:00:00,1,MIL,/players/r/roberfr01.html,40.0,draft,-11394.1,1.7,0.0,0.0,False,-11394.1,1.7,216827.19999999998,84.8,7,-34,27,27,-23524.800000000003,1.5,0.0,0.0
119,Randy Breuer,added Randy Breuer to MIL,-8763.600000000002,2.0,1983-06-28 00:00:00,1,MIL,/players/b/breuera01.html,50.0,draft,-8763.600000000002,2.0,0.0,0.0,False,-8763.600000000002,2.0,193959.59999999995,84.39999999999999,0,-43,18,18,-16248.7,2.3,0.0,2.3
138,Kenny Fields,added Kenny Fields to MIL,-2277.5,0.2,1984-06-19 00:00:00,1,MIL,/players/f/fieldke01.html,58.0,draft,-2277.5,0.2,0.0,0.0,False,-2277.5,0.2,189757.69999999995,86.1,-40,-40,21,21,-5922.400000000001,-0.1,0.0,0.2
162,Jerry Reynolds,added Jerry Reynolds to MIL,1772.0,1.9000000000000001,1985-06-18 00:00:00,1,MIL,/players/r/reynoje01.html,67.0,draft,1772.0,1.9000000000000001,0.0,0.0,False,1772.0,1.9000000000000001,212406.49999999988,96.4,5,11,22,22,5027.4,5.4,0.0,2.3
176,Scott Skiles,added Scott Skiles to MIL,-1025.0,-0.2,1986-06-17 00:00:00,1,MIL,/players/s/skilesc01.html,75.0,draft,-1025.0,-0.2,0.0,0.0,False,-1025.0,-0.2,209676.89999999988,96.5,10,-39,22,22,-6715.6,6.7,0.0,1.4
177,Keith Smith,added Keith Smith to MIL,-2535.5,-0.4,1986-06-17 00:00:00,1,MIL,/players/s/smithke03.html,75.0,draft,-2535.5,-0.4,0.0,0.0,False,-2535.5,-0.4,207141.39999999988,96.1,-16,-16,45,45,-2535.5,-0.4,0.0,0.0
211,Mitch Richmond,added Mitch Richmond to GSW,1635.6999999999998,4.8,1988-06-28 00:00:00,1,GSW,/players/r/richmmi01.html,96.0,draft,1635.6999999999998,4.8,0.0,0.0,False,1635.6999999999998,4.8,240586.79999999993,116.2,1,1,5,5,48032.6,29.3,30605.0,23.2
223,Tim Hardaway,added Tim Hardaway to GSW,42087.5,18.599999999999998,1989-06-27 00:00:00,1,GSW,/players/h/hardati01.html,105.0,draft,42087.5,18.599999999999998,0.0,0.0,False,42087.5,18.599999999999998,280712.19999999995,136.3,13,13,14,14,94940.6,39.6,0.0,4.9
248,Tyrone Hill,added Tyrone Hill to GSW,-14719.600000000002,-1.1,1990-06-27 00:00:00,1,GSW,/players/h/hillty01.html,120.0,draft,-14719.600000000002,-1.1,0.0,0.0,False,-14719.600000000002,-1.1,104061.49999999994,75.70000000000005,-6,-40,11,11,-42537.2,0.8,0.0,4.5
249,Les Jepsen,added Les Jepsen to GSW,-965.9999999999999,-0.2,1990-06-27 00:00:00,1,GSW,/players/j/jepsele01.html,120.0,draft,-965.9999999999999,-0.2,0.0,0.0,False,-965.9999999999999,-0.2,103095.49999999994,75.50000000000004,-3,11,28,28,-1536.0,-0.3,-7706.400000000001,-0.2
250,Kevin Pritchard,added Kevin Pritchard to GSW,-3865.0,-0.6,1990-06-27 00:00:00,1,GSW,/players/p/pritcke01.html,120.0,draft,-3865.0,-0.6,0.0,0.0,False,-3865.0,-0.6,99230.49999999994,74.90000000000005,-1,12,34,34,-4500.0,-0.6,-12121.199999999999,-0.5
265,Chris Gatling,added Chris Gatling to GSW,-3498.0,2.0,1991-06-26 00:00:00,1,GSW,/players/g/gatlich01.html,133.0,draft,-3498.0,2.0,0.0,0.0,False,-3498.0,2.0,109728.79999999994,79.40000000000006,1,-29,16,16,-15136.000000000002,3.2,0.0,1.0
266,Victor Alexander,added Victor Alexander to GSW,-11859.9,-0.09999999999999998,1991-06-26 00:00:00,1,GSW,/players/a/alexavi01.html,133.0,draft,-11859.9,-0.09999999999999998,0.0,0.0,False,-11859.9,-0.09999999999999998,97868.89999999995,79.30000000000007,-18,-25,17,17,-12661.000000000002,-0.3,0.0,0.3
282,Latrell Sprewell,added Latrell Sprewell to GSW,15133.6,11.9,1992-06-24 00:00:00,1,GSW,/players/s/sprewla01.html,142.0,draft,15133.6,11.9,0.0,0.0,False,15133.6,11.9,74669.39999999995,74.20000000000006,20,16,24,24,14108.0,21.0,-1631.6999999999998,0.6
318,Clifford Rozier,added Clifford Rozier to GSW,-8588.4,-1.1,1994-06-29 00:00:00,1,GSW,/players/r/roziecl01.html,168.0,draft,-8588.4,-1.1,0.0,0.0,False,-8588.4,-1.1,10342.399999999956,49.200000000000045,-33,-29,16,16,-10444.0,-1.1,0.0,1.8
320,Dwayne Morton,added Dwayne Morton to GSW,-1382.5,-0.1,1994-06-29 00:00:00,1,GSW,/players/m/mortodw01.html,168.0,draft,-1382.5,-0.1,0.0,0.0,False,-1382.5,-0.1,8959.899999999956,49.100000000000044,8,21,45,45,-1382.5,-0.1,-10444.0,-0.6
