,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Andre Miller,added Andre Miller to CLE,23740.799999999996,10.0,1999-06-30 00:00:00,1,CLE,/players/m/millean02.html,0.0,draft,23740.799999999996,10.0,0.0,0.0,False,23740.799999999996,10.0,23740.799999999996,10.0,2,0,8,8,52348.4,33.4,-2449.6250000000005,7.1692307692307695
2,Trajan Langdon,added Trajan Langdon to CLE,-1837.6,0.4,1999-06-30 00:00:00,1,CLE,/players/l/langdtr01.html,0.0,draft,-1837.6,0.4,0.0,0.0,False,-1837.6,0.4,21903.199999999997,10.4,-10,-12,11,11,-1911.8000000000002,0.4,5135.794,8.416
3,A.J. Bramlett,added A.J. Bramlett to CLE,-969.9,-0.2,1999-06-30 00:00:00,1,CLE,/players/b/bramlaj01.html,0.0,draft,-969.9,-0.2,0.0,0.0,False,-969.9,-0.2,20933.299999999996,10.200000000000001,8,21,39,39,-969.9,-0.2,-4749.286486486487,1.2783783783783782
42,DeSagana Diop,added DeSagana Diop to CLE,-8308.900000000001,-1.0,2001-06-27 00:00:00,1,CLE,/players/d/diopde01.html,26.0,draft,-8308.900000000001,-1.0,0.0,0.0,False,-8308.900000000001,-1.0,-11138.000000000004,5.400000000000004,-13,-32,8,8,-15965.699999999999,0.2,-2449.6250000000005,7.1692307692307695
43,Brendan Haywood,added Brendan Haywood to CLE,-749.6999999999999,-0.1,2001-06-27 00:00:00,1,CLE,/players/h/haywobr01.html,26.0,draft,-749.6999999999999,-0.1,0.0,0.0,False,-749.6999999999999,-0.1,-11887.700000000004,5.300000000000004,3,-23,20,20,-26152.0,2.9,-4239.598039215686,3.2019607843137257
44,Jeff Trepagnier,added Jeff Trepagnier to CLE,-84.7,0.0,2001-06-27 00:00:00,1,CLE,/players/t/trepaje01.html,26.0,draft,-84.7,0.0,0.0,0.0,False,-84.7,0.0,-11972.400000000005,5.300000000000004,9,21,36,36,-756.0,-0.1,-1094.5780487804877,2.3609756097560974
60,Dajuan Wagner,added Dajuan Wagner to CLE,-10906.900000000001,-1.5999999999999999,2002-06-26 00:00:00,1,CLE,/players/w/wagneda02.html,35.0,draft,-10906.900000000001,-1.5999999999999999,0.0,0.0,False,-10906.900000000001,-1.5999999999999999,-41764.70000000001,4.400000000000006,-39,-26,6,6,-10789.800000000001,-1.6,3203.9826923076926,7.598076923076923
61,Carlos Boozer,added Carlos Boozer to CLE,5443.2,3.7,2002-06-26 00:00:00,1,CLE,/players/b/boozeca01.html,35.0,draft,5443.2,3.7,0.0,0.0,False,5443.2,3.7,-36321.500000000015,8.100000000000005,34,33,35,35,37661.399999999994,23.1,-4038.9866666666667,1.6822222222222223
79,LeBron James,added LeBron James to CLE,288816.10000000003,89.5,2003-06-26 00:00:00,1,CLE,/players/j/jamesle01.html,44.0,draft,288816.10000000003,89.5,0.0,0.0,False,288816.10000000003,89.5,237612.10000000003,93.7,0,0,1,1,501058.0,156.5,58792.95576923077,26.090384615384615
80,Jason Kapono,added Jason Kapono to CLE,-1110.2,-0.1,2003-06-26 00:00:00,1,CLE,/players/k/kaponja01.html,44.0,draft,-1110.2,-0.1,0.0,0.0,False,-1110.2,-0.1,236501.90000000002,93.60000000000001,-12,-7,31,31,-23576.8,-1.3,-3285.8106382978726,1.8851063829787233
102,Luke Jackson,added Luke Jackson to CLE,-1238.5,-0.2,2004-06-24 00:00:00,1,CLE,/players/j/jackslu02.html,54.0,draft,-1238.5,-0.2,0.0,0.0,False,-1238.5,-0.2,202917.10000000006,86.40000000000005,-22,-14,10,10,-2678.8,-0.3,3127.3153846153846,8.221153846153847
