,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
10,James Robinson,added James Robinson to POR,-7230.799999999999,0.19999999999999998,1993-06-30 00:00:00,1,POR,/players/r/robinja02.html,7.0,draft,-7230.799999999999,0.19999999999999998,0.0,0.0,False,-7230.799999999999,0.19999999999999998,3258.6000000000004,3.3000000000000007,-2,-13,21,21,-13870.0,0.0
11,Kevin Thompson,added Kevin Thompson to POR,-469.79999999999995,-0.1,1993-06-30 00:00:00,1,POR,/players/t/thompke01.html,7.0,draft,-469.79999999999995,-0.1,0.0,0.0,False,-469.79999999999995,-0.1,2788.8,3.2000000000000006,19,36,48,48,-469.79999999999995,-0.1
18,Brian Grant,added Brian Grant to SAC,0.0,0.0,1994-06-29 00:00:00,1,SAC,/players/g/grantbr01.html,12.0,draft,-4194.200000000001,1.5,0.0,0.0,False,0.0,0.0,-19314.7,-3.799999999999999,-4,-31,8,8,-17133.600000000002,6.2
19,Michael Smith,added Michael Smith to SAC,-306.70000000000005,3.0,1994-06-29 00:00:00,1,SAC,/players/s/smithmi02.html,12.0,draft,-306.70000000000005,3.0,0.0,0.0,False,-306.70000000000005,3.0,-19621.4,-0.7999999999999989,22,21,35,35,-1055.2,5.1
20,Lawrence Funderburke,added Lawrence Funderburke to SAC,-2302.5000000000005,1.7,1994-06-29 00:00:00,1,SAC,/players/f/fundela01.html,12.0,draft,-2302.5000000000005,1.7,0.0,0.0,False,-2302.5000000000005,1.7,-21923.9,0.900000000000001,35,34,51,51,-2363.0,1.8
27,Corliss Williamson,added Corliss Williamson to SAC,-26732.2,-1.5000000000000002,1995-06-28 00:00:00,1,SAC,/players/w/willico02.html,19.0,draft,-26732.2,-1.5000000000000002,0.0,0.0,False,-26732.2,-1.5000000000000002,-54120.4,0.900000000000001,-12,-34,13,13,-37498.0,-0.1
28,Tyus Edney,added Tyus Edney to SAC,-7768.200000000001,0.0,1995-06-28 00:00:00,1,SAC,/players/e/edneyty01.html,19.0,draft,-7768.200000000001,0.0,0.0,0.0,False,-7768.200000000001,0.0,-61888.600000000006,0.900000000000001,30,17,47,47,-7114.5,0.7
43,Peja Stojaković,added Peja Stojaković to SAC,41767.6,19.4,1996-06-26 00:00:00,1,SAC,/players/s/stojape01.html,25.0,draft,41767.6,19.4,0.0,0.0,False,41767.6,19.4,-30440.100000000013,21.9,7,7,14,14,51235.399999999994,26.2
53,Tariq Abdul-Wahad,added Tariq Abdul-Wahad to SAC,-8218.2,-1.0,1997-06-25 00:00:00,1,SAC,/players/a/abdulta01.html,36.0,draft,-8218.2,-1.0,0.0,0.0,False,-8218.2,-1.0,-41903.70000000001,20.399999999999995,-26,-24,11,11,-14421.0,-1.2
54,Anthony Johnson,added Anthony Johnson to SAC,-9970.400000000001,-1.4,1997-06-25 00:00:00,1,SAC,/players/j/johnsan02.html,36.0,draft,-11651.400000000001,-1.5999999999999999,0.0,0.0,False,-9970.400000000001,-1.4,-51874.10000000001,18.999999999999996,24,-1,40,40,-23328.0,2.0
70,Jason Williams,added Jason Williams to SAC,-8423.0,1.4,1998-06-24 00:00:00,1,SAC,/players/w/willija02.html,45.0,draft,-8423.0,1.4,0.0,0.0,False,-8423.0,1.4,-3543.2000000000116,39.19999999999999,0,-2,7,7,4637.6,12.9
71,Jerome James,added Jerome James to SAC,-457.8,-0.1,1998-06-24 00:00:00,1,SAC,/players/j/jamesje01.html,45.0,draft,-457.8,-0.1,0.0,0.0,False,-457.8,-0.1,-4001.000000000012,39.09999999999999,-18,-15,36,36,-23377.9,-3.5
81,Ryan Robertson,added Ryan Robertson to SAC,-135.0,0.0,1999-06-30 00:00:00,1,SAC,/players/r/roberry01.html,57.0,draft,-135.0,0.0,0.0,0.0,False,-135.0,0.0,30887.399999999994,59.59999999999998,18,30,45,45,-135.0,0.0
90,Hedo Türkoğlu,added Hedo Türkoğlu to SAC,-1424.5,1.9,2000-06-28 00:00:00,1,SAC,/players/t/turkohe01.html,64.0,draft,-1424.5,1.9,0.0,0.0,False,-1424.5,1.9,23362.199999999997,61.69999999999997,13,14,16,16,24025.5,19.6
91,Jabari Smith,added Jabari Smith to SAC,-395.20000000000005,0.0,2000-06-28 00:00:00,1,SAC,/players/s/smithja01.html,64.0,draft,-1688.8000000000002,-0.2,0.0,0.0,False,-395.20000000000005,0.0,22966.999999999996,61.69999999999997,11,23,45,45,-4570.9,-0.6
96,Gerald Wallace,added Gerald Wallace to SAC,-3356.3,-0.1,2001-06-27 00:00:00,1,SAC,/players/w/wallage01.html,68.0,draft,-3356.3,-0.1,0.0,0.0,False,-3356.3,-0.1,55600.49999999999,80.79999999999998,19,21,25,25,44515.8,23.5
133,Kevin Martin,added Kevin Martin to SAC,13655.7,8.600000000000001,2004-06-24 00:00:00,1,SAC,/players/m/martike02.html,90.0,draft,13655.7,8.600000000000001,0.0,0.0,False,13655.7,8.600000000000001,105393.79999999999,112.0,19,20,26,26,21559.0,16.1
148,Francisco García,added Francisco García to SAC,-933.5999999999999,4.9,2005-06-28 00:00:00,1,SAC,/players/g/garcifr01.html,97.0,draft,-933.5999999999999,4.9,0.0,0.0,False,-933.5999999999999,4.9,87299.19999999998,116.80000000000001,5,0,23,23,-1185.3,5.7
162,Quincy Douby,added Quincy Douby to SAC,-5364.1,-0.6,2006-06-28 00:00:00,1,SAC,/players/d/doubyqu01.html,105.0,draft,-5364.1,-0.6,0.0,0.0,False,-5364.1,-0.6,87465.59999999999,122.20000000000002,-22,-13,19,19,-5372.5,-0.6
169,Spencer Hawes,added Spencer Hawes to SAC,-12878.899999999998,-0.7000000000000001,2007-06-28 00:00:00,1,SAC,/players/h/hawessp01.html,112.0,draft,-12878.899999999998,-0.7000000000000001,0.0,0.0,False,-12878.899999999998,-0.7000000000000001,58648.40000000001,123.10000000000002,-7,-28,10,10,-17095.100000000002,3.4
181,Jason Thompson,added Jason Thompson to SAC,-38604.5,-2.4,2008-06-26 00:00:00,1,SAC,/players/t/thompja02.html,119.0,draft,-38604.5,-2.4,0.0,0.0,False,-38604.5,-2.4,-5077.999999999993,117.60000000000004,-39,-39,12,12,-38529.4,-2.4
205,Tyreke Evans,added Tyreke Evans to SAC,6094.3,6.2,2009-06-25 00:00:00,1,SAC,/players/e/evansty01.html,127.0,draft,6094.3,6.2,0.0,0.0,False,6094.3,6.2,-28571.2,116.80000000000001,-7,-4,4,4,14593.6,13.1
206,Omri Casspi,added Omri Casspi to SAC,-5122.3,2.3,2009-06-25 00:00:00,1,SAC,/players/c/casspom01.html,127.0,draft,-5122.3,2.3,0.0,0.0,False,-5122.3,2.3,-33693.5,119.10000000000001,3,-16,23,23,-9567.2,3.5
226,DeMarcus Cousins,added DeMarcus Cousins to SAC,34526.899999999994,16.200000000000003,2010-06-24 00:00:00,1,SAC,/players/c/couside01.html,137.0,draft,34526.899999999994,16.200000000000003,0.0,0.0,False,34526.899999999994,16.200000000000003,-21748.000000000007,128.8,1,2,5,5,46819.2,21.6
227,Hassan Whiteside,added Hassan Whiteside to SAC,-1431.4,0.0,2010-06-24 00:00:00,1,SAC,/players/w/whiteha01.html,137.0,draft,-1431.4,0.0,0.0,0.0,False,-1431.4,0.0,-23179.40000000001,128.8,26,27,33,33,31612.5,14.5
242,Tyler Honeycutt,added Tyler Honeycutt to SAC,-616.0,-0.1,2011-06-23 00:00:00,1,SAC,/players/h/honeyty01.html,148.0,draft,-616.0,-0.1,0.0,0.0,False,-616.0,-0.1,-23252.400000000012,131.60000000000002,-2,16,35,35,-612.0,-0.1
243,Isaiah Thomas,added Isaiah Thomas to SAC,10376.2,5.7,2011-06-23 00:00:00,1,SAC,/players/t/thomais02.html,148.0,draft,10376.2,5.7,0.0,0.0,False,10376.2,5.7,-12876.200000000012,137.3,51,54,60,60,32722.2,16.1
254,Thomas Robinson,added Thomas Robinson to SAC,-4530.4,-0.7,2012-06-28 00:00:00,1,SAC,/players/r/robinth01.html,154.0,draft,-4530.4,-0.7,0.0,0.0,False,-4530.4,-0.7,-20960.000000000007,137.6,-49,-44,5,5,-14714.0,-1.6
255,Orlando Johnson,added Orlando Johnson to SAC,-525.0,-0.1,2012-06-28 00:00:00,1,SAC,/players/j/johnsor01.html,154.0,draft,-525.0,-0.1,0.0,0.0,False,-525.0,-0.1,-21485.000000000007,137.5,4,12,36,36,-2668.7999999999997,-0.1
