,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
18,Charles Smith,added Charles Smith to MIA,-518.4,-0.1,1997-06-25 00:00:00,1,MIA,/players/s/smithch04.html,12.0,draft,-518.4,-0.1,0.0,0.0,False,-518.4,-0.1,3778.5000000000005,5.0,7,5,26,26,-2170.3,0.4
47,Tim James,added Tim James to MIA,-115.0,0.0,1999-06-30 00:00:00,1,MIA,/players/j/jamesti01.html,35.0,draft,-115.0,0.0,0.0,0.0,False,-115.0,0.0,15091.1,10.499999999999998,-8,3,25,25,-1827.0,-0.3
48,Rodney Buford,added Rodney Buford to MIA,-1158.0,-0.1,1999-06-30 00:00:00,1,MIA,/players/b/buforro01.html,35.0,draft,-1158.0,-0.1,0.0,0.0,False,-1158.0,-0.1,13933.1,10.399999999999999,8,12,53,53,-15891.599999999999,-1.9
59,Eddie House,added Eddie House to MIA,-5162.9,0.6000000000000001,2000-06-28 00:00:00,1,MIA,/players/h/houseed01.html,43.0,draft,-5162.9,0.6000000000000001,0.0,0.0,False,-5162.9,0.6000000000000001,-9904.999999999998,7.999999999999998,29,32,37,37,0.0,6.1
60,Ernest Brown,added Ernest Brown to MIA,-382.2,-0.1,2000-06-28 00:00:00,1,MIA,/players/b/browner01.html,43.0,draft,-382.2,-0.1,0.0,0.0,False,-382.2,-0.1,-10287.199999999999,7.899999999999999,30,45,52,52,-382.2,-0.1
83,Ken Johnson,added Ken Johnson to MIA,-1060.8,-0.2,2001-06-27 00:00:00,1,MIA,/players/j/johnske03.html,52.0,draft,-1060.8,-0.2,0.0,0.0,False,-1060.8,-0.2,18066.300000000007,23.6,18,32,49,49,-1060.8,-0.2
105,Caron Butler,added Caron Butler to MIA,-4458.0,1.4,2002-06-26 00:00:00,1,MIA,/players/b/butleca01.html,70.0,draft,-4458.0,1.4,0.0,0.0,False,-4458.0,1.4,-23259.499999999993,21.200000000000003,3,-15,10,10,-5666.6,12.6
106,Rasual Butler,added Rasual Butler to MIA,-5522.0,0.30000000000000004,2002-06-26 00:00:00,1,MIA,/players/b/butlera01.html,70.0,draft,-5522.0,0.30000000000000004,0.0,0.0,False,-5522.0,0.30000000000000004,-28781.499999999993,21.500000000000004,40,9,53,53,-24106.6,2.6
109,Dwyane Wade,added Dwyane Wade to MIA,0.0,0.0,2003-06-26 00:00:00,1,MIA,/players/w/wadedw01.html,73.0,draft,173811.1,60.10000000000001,0.0,0.0,False,0.0,0.0,-33118.299999999996,21.300000000000004,3,3,5,5,178865.0,62.8
110,Jerome Beasley,added Jerome Beasley to MIA,-26.0,0.0,2003-06-26 00:00:00,1,MIA,/players/b/beaslje01.html,73.0,draft,-26.0,0.0,0.0,0.0,False,-26.0,0.0,-33144.299999999996,21.300000000000004,5,21,33,33,-26.0,0.0
122,Dorell Wright,added Dorell Wright to MIA,996.9000000000001,2.5,2004-06-24 00:00:00,1,MIA,/players/w/wrighdo01.html,85.0,draft,996.9000000000001,2.5,0.0,0.0,False,996.9000000000001,2.5,-34141.099999999984,42.30000000000001,7,10,19,19,11052.0,9.1
144,Wayne Simien,added Wayne Simien to MIA,-2245.2,-0.30000000000000004,2005-06-28 00:00:00,1,MIA,/players/s/simiewa01.html,97.0,draft,-2245.2,-0.30000000000000004,0.0,0.0,False,-2245.2,-0.30000000000000004,-50583.89999999998,32.70000000000001,-16,2,29,29,-2230.8,-0.3
196,Michael Beasley,added Michael Beasley to MIA,-9212.2,0.49999999999999994,2008-06-26 00:00:00,1,MIA,/players/b/beaslmi01.html,127.0,draft,-9212.2,0.49999999999999994,0.0,0.0,False,-9212.2,0.49999999999999994,10970.400000000005,79.70000000000003,-23,-47,2,2,-23635.1,0.9
