,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
19,Lionel Simmons,added Lionel Simmons to SAC,-508.0999999999997,6.6000000000000005,1990-06-27 00:00:00,1,SAC,/players/s/simmoli01.html,4.0,draft,-508.0999999999997,6.6000000000000005,0.0,0.0,False,-508.0999999999997,6.6000000000000005,-11738.000000000002,-0.5999999999999988,-2,-2,7,7,0.0,6.7,1764.421153846154,9.205769230769231
20,Travis Mays,added Travis Mays to SAC,-4075.5,0.0,1990-06-27 00:00:00,1,SAC,/players/m/maystr01.html,4.0,draft,-4075.5,0.0,0.0,0.0,False,-4075.5,0.0,-15813.500000000002,-0.5999999999999988,-18,-12,14,14,-7706.400000000001,-0.5,458.98269230769256,5.673076923076923
21,Duane Causwell,added Duane Causwell to SAC,-15940.000000000002,0.19999999999999996,1990-06-27 00:00:00,1,SAC,/players/c/causwdu01.html,4.0,draft,-15940.000000000002,0.19999999999999996,0.0,0.0,False,-15940.000000000002,0.19999999999999996,-31753.500000000004,-0.3999999999999988,-17,-25,18,18,-21640.699999999997,-0.7,-2208.129411764706,4.674509803921569
22,Anthony Bonner,added Anthony Bonner to SAC,-13813.099999999999,-1.0,1990-06-27 00:00:00,1,SAC,/players/b/bonnean01.html,4.0,draft,-13813.099999999999,-1.0,0.0,0.0,False,-13813.099999999999,-1.0,-45566.600000000006,-1.3999999999999988,3,-15,23,23,-14744.0,0.1,-6142.385714285715,3.489795918367347
43,Billy Owens,added Billy Owens to SAC,-2236.5,1.9,1991-06-26 00:00:00,1,SAC,/players/o/owensbi01.html,17.0,draft,-2236.5,1.9,0.0,0.0,False,-2236.5,1.9,-50400.30000000002,-4.899999999999997,-8,-18,3,3,-3523.8,7.8,36512.18653846154,19.432692307692307
44,Pete Chilcutt,added Pete Chilcutt to SAC,-5652.799999999999,-0.10000000000000003,1991-06-26 00:00:00,1,SAC,/players/c/chilcpe01.html,17.0,draft,-5652.799999999999,-0.10000000000000003,0.0,0.0,False,-5652.799999999999,-0.10000000000000003,-56053.10000000002,-4.9999999999999964,10,-7,27,27,-15109.2,0.3,-3893.5960000000005,2.536
45,Randy Brown,added Randy Brown to SAC,-6109.400000000001,0.6,1991-06-26 00:00:00,1,SAC,/players/b/brownra02.html,17.0,draft,-6109.400000000001,0.6,0.0,0.0,False,-6109.400000000001,0.6,-62162.50000000002,-4.399999999999997,13,-10,31,31,-21912.7,0.2,-3285.8106382978726,1.8851063829787233
65,Walt Williams,added Walt Williams to SAC,823.400000000001,3.8,1992-06-24 00:00:00,1,SAC,/players/w/williwa02.html,30.0,draft,823.400000000001,3.8,0.0,0.0,False,823.400000000001,3.8,-20604.90000000002,23.200000000000006,-3,-2,7,7,9409.0,11.8,1764.421153846154,9.205769230769231
77,Bobby Hurley,added Bobby Hurley to SAC,-18673.800000000003,-2.8,1993-06-30 00:00:00,1,SAC,/players/h/hurlebo01.html,40.0,draft,-18673.800000000003,-2.8,0.0,0.0,False,-18673.800000000003,-2.8,-43957.30000000003,17.70000000000001,-36,-32,7,7,-22518.0,-3.5,1764.421153846154,9.205769230769231
78,Evers Burns,added Evers Burns to SAC,-786.5,-0.1,1993-06-30 00:00:00,1,SAC,/players/b/burnsev01.html,40.0,draft,-786.5,-0.1,0.0,0.0,False,-786.5,-0.1,-44743.80000000003,17.60000000000001,2,15,31,31,-786.5,-0.1,-3285.8106382978726,1.8851063829787233
80,Mike Peplowski,added Mike Peplowski to SAC,-2934.8,-0.4,1993-06-30 00:00:00,1,SAC,/players/p/peplomi01.html,40.0,draft,-2934.8,-0.4,0.0,0.0,False,-2934.8,-0.4,-47678.600000000035,17.20000000000001,18,29,52,52,-3172.5,-0.4,-4979.063888888889,0.075
