,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
12,Monte Towe,added Monte Towe to DEN,0.0,0.0,1975-06-16 00:00:00,1,DEN,/players/t/towemo01.html,10.0,draft,-1840.5,-0.3,0.0,0.0,False,0.0,0.0,34194.9,10.1,13,33,57,57,-1840.5,-0.3,-1840.5,-0.3
13,Marvin Webster,added Marvin Webster to DEN,0.0,0.0,1975-06-16 00:00:00,1,DEN,/players/w/webstma01.html,10.0,draft,1148.4,1.0,0.0,0.0,False,0.0,0.0,34194.9,10.1,-7,-19,3,3,-1296.6000000000001,6.2,-1296.6000000000001,6.2
54,Tom LaGarde,added Tom LaGarde to DEN,-4774.0,-0.8,1977-06-10 00:00:00,1,DEN,/players/l/lagarto01.html,31.0,draft,-4774.0,-0.8,0.0,0.0,False,-4774.0,-0.8,36153.6,19.89999999999999,-53,-51,9,9,-18582.0,-1.6,-18582.0,-1.6
55,Anthony Roberts,added Anthony Roberts to DEN,-12574.400000000001,-1.5,1977-06-10 00:00:00,1,DEN,/players/r/roberan01.html,31.0,draft,-14130.7,-1.9,0.0,0.0,False,-12574.400000000001,-1.5,23579.199999999997,18.39999999999999,-43,-37,21,21,-16241.400000000001,-2.3,-16241.400000000001,-2.3
56,Robert Smith,added Robert Smith to DEN,-2304.0,0.4,1977-06-10 00:00:00,1,DEN,/players/s/smithro01.html,31.0,draft,-2304.0,0.4,0.0,0.0,False,-2304.0,0.4,21275.199999999997,18.79999999999999,34,14,65,65,-5924.2,0.1,,
73,Mike Evans,added Mike Evans to DEN,-16036.5,-0.39999999999999997,1978-06-09 00:00:00,1,DEN,/players/e/evansmi01.html,39.0,draft,-16036.5,-0.39999999999999997,0.0,0.0,False,-16036.5,-0.39999999999999997,16330.799999999996,17.899999999999988,-42,-41,21,21,-23659.2,-1.1,-23659.2,-1.1
103,Gary Garland,added Gary Garland to DEN,-2875.6,-0.2,1979-06-25 00:00:00,1,DEN,/players/g/garlaga01.html,53.0,draft,-2875.6,-0.2,0.0,0.0,False,-2875.6,-0.2,-35677.799999999996,-0.4000000000000056,-8,-1,30,30,-2875.6,-0.2,-2875.6,-0.2
124,James Ray,added James Ray to DEN,-3781.8,-0.6,1980-06-10 00:00:00,1,DEN,/players/r/rayja01.html,64.0,draft,-3781.8,-0.6,0.0,0.0,False,-3781.8,-0.6,32193.399999999998,36.09999999999999,-47,-27,5,5,-3793.5,-0.6,-3793.5,-0.6
125,Carl Nicks,added Carl Nicks to DEN,-2366.4,-0.4,1980-06-10 00:00:00,1,DEN,/players/n/nicksca01.html,64.0,draft,-2366.4,-0.4,0.0,0.0,False,-2366.4,-0.4,29826.999999999996,35.69999999999999,-32,-20,23,23,-11605.5,-1.6,-11605.5,-1.6
126,Jawann Oldham,added Jawann Oldham to DEN,-105.0,0.0,1980-06-10 00:00:00,1,DEN,/players/o/oldhaja01.html,64.0,draft,-105.0,0.0,0.0,0.0,False,-105.0,0.0,29721.999999999996,35.69999999999999,-11,-4,41,41,-12578.4,-0.6,-12578.4,-0.6
129,Ronnie Valentine,added Ronnie Valentine to DEN,-885.6,-0.2,1980-06-10 00:00:00,1,DEN,/players/v/valenro01.html,64.0,draft,-885.6,-0.2,0.0,0.0,False,-885.6,-0.2,28836.399999999998,35.499999999999986,11,35,51,51,-885.6,-0.2,-885.6,-0.2
166,Rob Williams,added Rob Williams to DEN,-10533.899999999998,-1.0,1982-06-29 00:00:00,1,DEN,/players/w/williro02.html,78.0,draft,-10533.899999999998,-1.0,0.0,0.0,False,-10533.899999999998,-1.0,-179412.0,-26.200000000000014,-35,-34,19,19,-10437.7,-0.9,-10437.7,-0.9
179,Howard Carter,added Howard Carter to DEN,-2683.2,-0.3,1983-06-28 00:00:00,1,DEN,/players/c/carteho01.html,82.0,draft,-2683.2,-0.3,0.0,0.0,False,-2683.2,-0.3,-206114.1,-25.100000000000016,-33,-17,15,15,-3770.0,-0.6,-3770.0,-0.6
211,Benoit Benjamin,added Benoit Benjamin to LAC,-2804.8,5.6000000000000005,1985-06-18 00:00:00,1,LAC,/players/b/benjabe01.html,95.0,draft,-2804.8,5.6000000000000005,0.0,0.0,False,-2804.8,5.6000000000000005,-272881.30000000005,-46.700000000000024,-16,-55,3,3,-24102.100000000002,4.8,-24102.100000000002,4.8
