,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
71,Darrell Allums,added Darrell Allums to DAL,-1545.6,-0.3,1980-06-10 00:00:00,1,DAL,/players/a/allumda01.html,33.0,draft,-1545.6,-0.3,0.0,0.0,False,-1545.6,-0.3,-68639.4,-47.500000000000014,-98,-74,103,103,-1545.6,-0.3,,
74,Clarence Kea,added Clarence Kea to DAL,0.0,0.0,1980-06-10 00:00:00,1,DAL,/players/k/keacl01.html,33.0,draft,-1569.4,-0.2,0.0,0.0,False,0.0,0.0,-68639.4,-47.500000000000014,-27,-9,169,169,-1609.2,-0.2,,
102,Mark Aguirre,added Mark Aguirre to DAL,39660.6,19.6,1981-06-09 00:00:00,1,DAL,/players/a/aguirma01.html,48.0,draft,39660.6,19.6,0.0,0.0,False,39660.6,19.6,-36543.200000000004,-26.50000000000002,-2,-2,1,1,41595.0,24.4,110509.2,43.5
103,Rolando Blackman,added Rolando Blackman to DAL,16501.7,19.0,1981-06-09 00:00:00,1,DAL,/players/b/blackro01.html,48.0,draft,16501.7,19.0,0.0,0.0,False,16501.7,19.0,-20041.500000000004,-7.500000000000021,3,4,9,9,12834.800000000001,19.8,2095.9,11.2
104,Jay Vincent,added Jay Vincent to DAL,-7675.5,3.5999999999999996,1981-06-09 00:00:00,1,DAL,/players/v/vinceja01.html,48.0,draft,-7675.5,3.5999999999999996,0.0,0.0,False,-7675.5,3.5999999999999996,-27717.000000000004,-3.9000000000000217,7,-192,24,24,-20222.8,2.6,0.0,1.1
105,Elston Turner,added Elston Turner to DAL,-7596.599999999999,-0.30000000000000004,1981-06-09 00:00:00,1,DAL,/players/t/turneel01.html,48.0,draft,-7596.599999999999,-0.30000000000000004,0.0,0.0,False,-7596.599999999999,-0.30000000000000004,-35313.600000000006,-4.2000000000000215,-74,-171,43,43,-18012.0,0.0,0.0,0.0
125,Bill Garnett,added Bill Garnett to DAL,1140.6,1.8,1982-06-29 00:00:00,1,DAL,/players/g/garnebi02.html,55.0,draft,1140.6,1.8,0.0,0.0,False,1140.6,1.8,-108026.2,-31.70000000000002,-15,-194,4,4,-4208.0,1.6,51113.4,22.8
126,Corny Thompson,added Corny Thompson to DAL,-3068.0,-0.5,1982-06-29 00:00:00,1,DAL,/players/t/thompco01.html,55.0,draft,-3068.0,-0.5,0.0,0.0,False,-3068.0,-0.5,-111094.2,-32.20000000000002,-157,-142,50,50,-3068.0,-0.5,0.0,0.0
134,Dale Ellis,added Dale Ellis to DAL,-4833.0,0.5,1983-06-28 00:00:00,1,DAL,/players/e/ellisda01.html,57.0,draft,-4833.0,0.5,0.0,0.0,False,-4833.0,0.5,-115927.2,-31.700000000000017,5,3,9,9,20866.8,22.9,7554.599999999999,10.7
135,Derek Harper,added Derek Harper to DAL,64437.69999999998,30.2,1983-06-28 00:00:00,1,DAL,/players/h/harpede01.html,57.0,draft,64437.69999999998,30.2,0.0,0.0,False,64437.69999999998,30.2,-51489.500000000015,-1.5000000000000178,9,8,11,11,68014.8,35.7,0.0,6.9
136,Mark West,added Mark West to DAL,-1272.6,-0.3,1983-06-28 00:00:00,1,DAL,/players/w/westma01.html,57.0,draft,-1272.6,-0.3,0.0,0.0,False,-1272.6,-0.3,-52762.10000000001,-1.8000000000000178,6,-193,30,30,-36383.4,1.1,0.0,0.2
155,Sam Perkins,added Sam Perkins to DAL,8206.3,10.0,1984-06-19 00:00:00,1,DAL,/players/p/perkisa01.html,62.0,draft,8206.3,10.0,0.0,0.0,False,8206.3,10.0,-42482.40000000001,5.999999999999982,-1,-2,4,4,43917.6,29.1,203421.19999999998,74.2
157,Charlie Sitton,added Charlie Sitton to DAL,-1611.2,-0.2,1984-06-19 00:00:00,1,DAL,/players/s/sittoch01.html,62.0,draft,-1611.2,-0.2,0.0,0.0,False,-1611.2,-0.2,-44093.600000000006,5.799999999999982,-169,-158,38,38,-1611.2,-0.2,0.0,0.0
159,Tom Sluby,added Tom Sluby to DAL,-513.4,0.0,1984-06-19 00:00:00,1,DAL,/players/s/slubyto01.html,62.0,draft,-513.4,0.0,0.0,0.0,False,-513.4,0.0,-44607.00000000001,5.799999999999982,-71,-148,41,41,-513.4,0.0,0.0,0.0
176,Detlef Schrempf,added Detlef Schrempf to DAL,-5854.6,1.0999999999999999,1985-06-18 00:00:00,1,DAL,/players/s/schrede01.html,68.0,draft,-5854.6,1.0999999999999999,0.0,0.0,False,-5854.6,1.0999999999999999,-34784.00000000001,8.599999999999982,3,3,8,8,60474.6,32.4,28111.2,19.9
177,Bill Wennington,added Bill Wennington to DAL,-12823.900000000001,-1.7000000000000002,1985-06-18 00:00:00,1,DAL,/players/w/wennibi01.html,68.0,draft,-12823.900000000001,-1.7000000000000002,0.0,0.0,False,-12823.900000000001,-1.7000000000000002,-47607.90000000001,6.899999999999982,-144,-141,16,16,-36038.0,-4.2,3.5,9.2
178,Uwe Blab,added Uwe Blab to DAL,-6648.3,-1.0,1985-06-18 00:00:00,1,DAL,/players/b/blabuw01.html,68.0,draft,-6648.3,-1.0,0.0,0.0,False,-6648.3,-1.0,-54256.20000000001,5.899999999999982,-137,-130,17,17,-10616.400000000001,-1.7,0.0,5.4
