,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
2,Damon Stoudamire,added Damon Stoudamire to TOR,6449.6,5.800000000000001,1995-06-28 00:00:00,1,TOR,/players/s/stoudda01.html,2.0,draft,6449.6,5.800000000000001,0.0,0.0,False,6449.6,5.800000000000001,3770.6000000000004,5.300000000000001,1,0,7,7,8731.8,16.8,8731.8,13.2
3,Jimmy King,added Jimmy King to TOR,-4166.4,-0.6,1995-06-28 00:00:00,1,TOR,/players/k/kingji02.html,2.0,draft,-4166.4,-0.6,0.0,0.0,False,-4166.4,-0.6,-395.7999999999993,4.700000000000001,-11,2,35,35,-4093.9999999999995,-0.6,-4365.4,-0.1
24,Marcus Camby,added Marcus Camby to TOR,-3392.9,1.1,1996-06-26 00:00:00,1,TOR,/players/c/cambyma01.html,13.0,draft,-3392.9,1.1,0.0,0.0,False,-3392.9,1.1,-6661.4000000000015,13.100000000000001,-3,-3,2,2,65973.2,31.3,134397.6,57.6
46,Tracy McGrady,added Tracy McGrady to TOR,13859.0,5.9,1997-06-25 00:00:00,1,TOR,/players/m/mcgratr01.html,29.0,draft,13859.0,5.9,0.0,0.0,False,13859.0,5.9,-29523.80000000001,17.300000000000004,7,7,9,9,159421.6,55.7,0.0,9.6
76,Trevor Ariza,added Trevor Ariza to NYK,-1467.3,0.7,2004-06-24 00:00:00,1,NYK,/players/a/arizatr01.html,41.0,draft,-1467.3,0.7,0.0,0.0,False,-1467.3,0.7,-23492.400000000012,26.000000000000004,38,36,43,43,19771.8,21.8,-4458.400000000001,-0.2
96,Channing Frye,added Channing Frye to NYK,-8684.4,-0.4,2005-06-28 00:00:00,1,NYK,/players/f/fryech01.html,49.0,draft,-8684.4,-0.4,0.0,0.0,False,-8684.4,-0.4,-46694.00000000002,28.80000000000001,-7,-33,8,8,-7908.8,8.0,8276.4,12.4
97,David Lee,added David Lee to NYK,16055.0,9.7,2005-06-28 00:00:00,1,NYK,/players/l/leeda02.html,49.0,draft,16055.0,9.7,0.0,0.0,False,16055.0,9.7,-30639.000000000022,38.500000000000014,26,25,30,30,26722.300000000003,19.2,-1895.7,0.2
124,Renaldo Balkman,added Renaldo Balkman to NYK,-576.9000000000001,0.9,2006-06-28 00:00:00,1,NYK,/players/b/balkmre01.html,59.0,draft,-576.9000000000001,0.9,0.0,0.0,False,-576.9000000000001,0.9,-98270.80000000002,23.80000000000001,4,9,20,20,306.40000000000003,1.6,-52.199999999999996,0.5
125,Mardy Collins,added Mardy Collins to NYK,-6946.300000000001,-0.9999999999999999,2006-06-28 00:00:00,1,NYK,/players/c/collima01.html,59.0,draft,-6946.300000000001,-0.9999999999999999,0.0,0.0,False,-6946.300000000001,-0.9999999999999999,-105217.10000000002,22.80000000000001,-28,-23,29,29,-12192.400000000001,-1.7,-1865.6000000000001,0.0
129,Wilson Chandler,added Wilson Chandler to NYK,-10347.0,1.3,2007-06-28 00:00:00,1,NYK,/players/c/chandwi01.html,63.0,draft,-10347.0,1.3,0.0,0.0,False,-10347.0,1.3,-132858.90000000002,23.400000000000013,7,-30,23,23,-26373.100000000002,3.5,0.0,0.8
