,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Reggie Theus,added Reggie Theus to CHI,4317.0,8.5,1978-06-09 00:00:00,1,CHI,/players/t/theusre01.html,1.0,draft,4317.0,8.5,0.0,0.0,False,4317.0,8.5,4317.0,8.5,4,3,9,9,3460.3,18.5,107.80000000000001,7.3
22,Dave Greenwood,added Dave Greenwood to CHI,-3865.7000000000007,6.500000000000001,1979-06-25 00:00:00,1,CHI,/players/g/greenda01.html,13.0,draft,-3865.7000000000007,6.500000000000001,0.0,0.0,False,-3865.7000000000007,6.500000000000001,-11147.7,15.0,-11,-191,2,2,-16358.999999999998,7.4,85655.0,33.1
46,Sam Worthen,added Sam Worthen to CHI,-1795.5,0.0,1980-06-10 00:00:00,1,CHI,/players/w/worthsa01.html,23.0,draft,-1795.5,0.0,0.0,0.0,False,-1795.5,0.0,1584.7999999999993,20.9,-84,-157,26,26,-1934.0,0.0,0.0,0.1
47,James Wilkes,added James Wilkes to CHI,-2459.2,0.1,1980-06-10 00:00:00,1,CHI,/players/w/wilkeja02.html,23.0,draft,-2459.2,0.1,0.0,0.0,False,-2459.2,0.1,-874.4000000000005,21.0,-60,-136,50,50,-3062.0,0.0,0.0,0.0
69,Orlando Woolridge,added Orlando Woolridge to CHI,7130.4,7.2,1981-06-09 00:00:00,1,CHI,/players/w/woolror01.html,34.0,draft,7130.4,7.2,0.0,0.0,False,7130.4,7.2,-839.6000000000022,25.2,-1,-2,6,6,2404.1,12.8,9151.8,19.8
73,Roger Burkman,added Roger Burkman to CHI,-60.0,0.1,1981-06-09 00:00:00,1,CHI,/players/b/burkmro01.html,34.0,draft,-60.0,0.1,0.0,0.0,False,-60.0,0.1,-899.6000000000022,25.3,99,-48,130,130,-60.0,0.1,,
89,Quintin Dailey,added Quintin Dailey to CHI,-11842.2,0.6000000000000001,1982-06-29 00:00:00,1,CHI,/players/d/dailequ01.html,46.0,draft,-11842.2,0.6000000000000001,0.0,0.0,False,-11842.2,0.6000000000000001,-17800.700000000004,25.900000000000002,-16,-214,7,7,-23123.0,0.3,14970.0,16.6
91,Wallace Bryant,added Wallace Bryant to CHI,-1711.8000000000002,-0.3,1982-06-29 00:00:00,1,CHI,/players/b/bryanwa01.html,46.0,draft,-1711.8000000000002,-0.3,0.0,0.0,False,-1711.8000000000002,-0.3,-19512.500000000004,25.6,-168,-165,30,30,-3487.5,-0.2,0.0,0.0
92,Rod Higgins,added Rod Higgins to CHI,-5376.400000000001,1.0,1982-06-29 00:00:00,1,CHI,/players/h/higgiro01.html,46.0,draft,-5376.400000000001,1.0,0.0,0.0,False,-5376.400000000001,1.0,-24888.900000000005,26.6,20,-60,31,31,0.0,8.8,0.0,0.0
115,Sidney Green,added Sidney Green to CHI,-13656.800000000001,-1.6,1983-06-28 00:00:00,1,CHI,/players/g/greensi02.html,58.0,draft,-13656.800000000001,-1.6,0.0,0.0,False,-13656.800000000001,-1.6,-57929.00000000001,30.4,-220,-219,5,5,-42390.4,-3.9,24121.600000000002,21.0
