,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
19,Kenneth Faried,added Kenneth Faried to DEN,6652.5,7.1000000000000005,2011-06-23 00:00:00,1,DEN,/players/f/farieke01.html,3.0,draft,6652.5,7.1000000000000005,0.0,0.0,False,6652.5,7.1000000000000005,-26102.9,13.799999999999997,9,10,22,22,5864.0,7.5,-69.3,1.4
35,Evan Fournier,added Evan Fournier to DEN,-4957.9,-0.30000000000000004,2012-06-28 00:00:00,1,DEN,/players/f/fournev01.html,11.0,draft,-4957.9,-0.30000000000000004,0.0,0.0,False,-4957.9,-0.30000000000000004,-25625.4,16.999999999999996,7,-37,20,20,-21465.4,4.3,-918.4,0.6
36,Quincy Miller,added Quincy Miller to DEN,-3158.5,-0.4,2012-06-28 00:00:00,1,DEN,/players/m/millequ01.html,11.0,draft,-3158.5,-0.4,0.0,0.0,False,-3158.5,-0.4,-28783.9,16.599999999999998,-10,7,38,38,-3642.6,-0.5,-5908.5,-0.1
70,Bruno Caboclo,added Bruno Caboclo to TOR,0.0,0.0,2014-06-26 00:00:00,1,TOR,/players/c/cabocbr01.html,26.0,draft,-1153.6000000000001,-0.30000000000000004,0.0,0.0,False,0.0,0.0,-16735.2,20.4,-19,-11,20,20,-3491.1000000000004,-0.2,-668.0999999999999,2.7
86,Delon Wright,added Delon Wright to TOR,0.0,0.0,2015-06-25 00:00:00,1,TOR,/players/w/wrighde01.html,36.0,draft,7351.9,3.3999999999999995,0.0,0.0,False,0.0,0.0,-6834.700000000001,25.899999999999995,13,15,20,20,21232.5,11.1,0.0,3.0
104,Jakob Pöltl,added Jakob Pöltl to TOR,0.0,0.0,2016-06-23 00:00:00,1,TOR,/players/p/poeltja01.html,51.0,draft,5509.5,4.3,0.0,0.0,False,0.0,0.0,-5019.600000000003,34.19999999999999,1,3,9,9,15984.0,10.9,6054.0,10.8
105,Pascal Siakam,added Pascal Siakam to TOR,0.0,0.0,2016-06-23 00:00:00,1,TOR,/players/s/siakapa01.html,51.0,draft,30778.9,15.7,0.0,0.0,False,0.0,0.0,-5019.600000000003,34.19999999999999,25,25,27,27,39274.0,19.6,-896.4000000000001,0.0
123,OG Anunoby,added OG Anunoby to TOR,0.0,0.0,2017-06-22 00:00:00,1,TOR,/players/a/anunoog01.html,64.0,draft,443.8000000000002,6.0,0.0,0.0,False,0.0,0.0,38179.6,49.999999999999986,13,9,23,23,2970.8,8.3,-195.0,0.1
176,Dewan Hernandez,added Dewan Hernandez to TOR,0.0,0.0,2019-06-20 00:00:00,1,TOR,/players/h/hernade01.html,103.0,draft,-268.8,-0.1,0.0,0.0,False,0.0,0.0,71709.8,58.89999999999997,24,44,59,59,-268.8,-0.1,-21783.8,-1.7
191,Malachi Flynn,added Malachi Flynn to TOR,0.0,0.0,2020-11-18 00:00:00,1,TOR,/players/f/flynnma01.html,118.0,draft,-7331.2,-0.5,0.0,0.0,False,0.0,0.0,99773.39999999998,76.19999999999997,-20,-15,29,29,-7997.6,-0.5,-1551.0,0.0
192,Jalen Harris,added Jalen Harris to TOR,0.0,0.0,2020-11-18 00:00:00,1,TOR,/players/h/harrija01.html,118.0,draft,51.6,0.1,0.0,0.0,False,0.0,0.0,99773.39999999998,76.19999999999997,32,45,59,59,51.6,0.1,-18808.2,-2.4
213,Scottie Barnes,added Scottie Barnes to TOR,0.0,0.0,2021-07-29 00:00:00,1,TOR,/players/b/barnesc01.html,136.0,draft,15928.399999999998,8.7,0.0,0.0,False,0.0,0.0,110031.2,86.09999999999997,1,1,4,4,16189.1,8.9,10653.5,6.8
214,Dalano Banton,added Dalano Banton to TOR,0.0,0.0,2021-07-29 00:00:00,1,TOR,/players/b/bantoda01.html,136.0,draft,-2297.1,-0.1,0.0,0.0,False,0.0,0.0,110031.2,86.09999999999997,21,7,46,46,-4713.0,0.4,-6539.5,-0.3
