,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
1,Chuck Person,added Chuck Person to IND,0.0,0.0,1986-06-17 00:00:00,1,IND,/players/p/persoch01.html,0.0,draft,-6493.7,6.8,0.0,0.0,False,0.0,0.0,0.0,0.0,-6,-151,4,4,-20258.699999999997,9.2,59278.1,27.2
2,Greg Dreiling,added Greg Dreiling to IND,-13544.700000000003,-2.0,1986-06-17 00:00:00,1,IND,/players/d/dreilgr01.html,0.0,draft,-13544.700000000003,-2.0,0.0,0.0,False,-13544.700000000003,-2.0,-13544.700000000003,-2.0,-135,-131,26,26,-22477.3,-3.5,0.0,0.6
20,Reggie Miller,added Reggie Miller to IND,166487.90000000002,66.0,1987-06-22 00:00:00,1,IND,/players/m/millere01.html,9.0,draft,166487.90000000002,66.0,0.0,0.0,False,166487.90000000002,66.0,140715.00000000003,72.6,9,8,11,11,166666.5,66.1,2901.6000000000004,9.0
21,Brian Rowsom,added Brian Rowsom to IND,-134.4,0.0,1987-06-22 00:00:00,1,IND,/players/r/rowsobr01.html,9.0,draft,-134.4,0.0,0.0,0.0,False,-134.4,0.0,140580.60000000003,72.6,11,-104,34,34,-1747.2,0.1,0.0,0.0
29,Rik Smits,added Rik Smits to IND,-5505.299999999999,10.399999999999999,1988-06-28 00:00:00,1,IND,/players/s/smitsri01.html,16.0,draft,-5505.299999999999,10.399999999999999,0.0,0.0,False,-5505.299999999999,10.399999999999999,133931.10000000003,83.1,-8,-46,2,2,-4620.0,10.4,64068.0,32.6
45,George McCloud,added George McCloud to IND,-11475.8,-0.9,1989-06-27 00:00:00,1,IND,/players/m/mccloge01.html,25.0,draft,-11475.8,-0.9,0.0,0.0,False,-11475.8,-0.9,174044.10000000003,90.69999999999999,-6,-39,7,7,-13943.2,5.3,21280.5,19.4
51,Antonio Davis,added Antonio Davis to IND,-8393.7,3.3000000000000003,1990-06-27 00:00:00,1,IND,/players/d/davisan01.html,30.0,draft,-8393.7,3.3000000000000003,0.0,0.0,False,-8393.7,3.3000000000000003,152138.0,92.39999999999998,33,-5,45,45,-33909.200000000004,4.4,-21640.699999999997,-1.5
52,Kenny Williams,added Kenny Williams to IND,187.0,1.4,1990-06-27 00:00:00,1,IND,/players/w/willike03.html,30.0,draft,187.0,1.4,0.0,0.0,False,187.0,1.4,152325.0,93.79999999999998,30,38,46,46,291.8,1.5,-25489.5,-1.5
56,Dale Davis,added Dale Davis to IND,13008.800000000001,13.1,1991-06-26 00:00:00,1,IND,/players/d/davisda01.html,36.0,draft,13008.800000000001,13.1,0.0,0.0,False,13008.800000000001,13.1,180823.1,113.09999999999998,7,5,13,13,14803.0,18.4,0.0,3.6
57,Sean Green,added Sean Green to IND,-2216.8,-0.4,1991-06-26 00:00:00,1,IND,/players/g/greense01.html,36.0,draft,-2216.8,-0.4,0.0,0.0,False,-2216.8,-0.4,178606.30000000002,112.69999999999997,-1,7,41,41,-4697.0,-0.8,-11271.6,-0.7
