,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
18,Roy Hinson,added Roy Hinson to CLE,-3041.4000000000005,2.7,1983-06-28 00:00:00,1,CLE,/players/h/hinsoro01.html,9.0,draft,-3041.4000000000005,2.7,0.0,0.0,False,-3041.4000000000005,2.7,26301.4,12.0,4,-29,20,20,-17097.300000000003,3.4
19,Stewart Granger,added Stewart Granger to CLE,-2952.0,-0.4,1983-06-28 00:00:00,1,CLE,/players/g/grangst01.html,9.0,draft,-2952.0,-0.4,0.0,0.0,False,-2952.0,-0.4,23349.4,11.6,-25,-10,24,24,-4681.2,-0.7
20,John Garris,added John Garris to CLE,-26.700000000000003,0.2,1983-06-28 00:00:00,1,CLE,/players/g/garrijo01.html,9.0,draft,-26.700000000000003,0.2,0.0,0.0,False,-26.700000000000003,0.2,23322.7,11.799999999999999,-2,16,27,27,-26.700000000000003,0.2
21,Paul Thompson,added Paul Thompson to CLE,1569.1999999999998,1.7,1983-06-28 00:00:00,1,CLE,/players/t/thomppa01.html,9.0,draft,1569.1999999999998,1.7,0.0,0.0,False,1569.1999999999998,1.7,24891.9,13.499999999999998,27,28,50,50,-310.5,1.5
42,Ron Anderson,added Ron Anderson to CLE,-1931.6,-0.1,1984-06-19 00:00:00,1,CLE,/players/a/anderro01.html,16.0,draft,-1931.6,-0.1,0.0,0.0,False,-1931.6,-0.1,16652.600000000002,14.299999999999999,12,-23,27,27,-19645.600000000002,2.6
43,Ben McDonald,added Ben McDonald to CLE,0.0,0.0,1984-06-19 00:00:00,1,CLE,/players/m/mcdonbe01.html,16.0,draft,-1064.0,-0.1,0.0,0.0,False,0.0,0.0,16652.600000000002,14.299999999999999,-3,1,50,50,-15506.400000000001,-2.1
71,Hot Rod Williams,added Hot Rod Williams to CLE,30139.7,18.2,1985-06-18 00:00:00,1,CLE,/players/w/williho01.html,28.0,draft,30139.7,18.2,0.0,0.0,False,30139.7,18.2,22476.700000000004,31.0,37,36,45,45,26327.0,19.9
90,Dennis Hopson,added Dennis Hopson to BRK,-10101.7,0.19999999999999996,1987-06-22 00:00:00,1,BRK,/players/h/hopsode01.html,38.0,draft,-10101.7,0.19999999999999996,0.0,0.0,False,-10101.7,0.19999999999999996,15962.900000000005,27.999999999999993,-17,-42,3,3,-12765.3,0.7
91,Jamie Waller,added Jamie Waller to BRK,-646.1,-0.1,1987-06-22 00:00:00,1,BRK,/players/w/walleja01.html,38.0,draft,-646.1,-0.1,0.0,0.0,False,-646.1,-0.1,15316.800000000005,27.89999999999999,17,26,48,48,-646.1,-0.1
113,Chris Morris,added Chris Morris to BRK,18531.1,12.3,1988-06-28 00:00:00,1,BRK,/players/m/morrich01.html,52.0,draft,18531.1,12.3,0.0,0.0,False,18531.1,12.3,14310.600000000002,38.099999999999994,-3,-4,4,4,16873.2,13.7
114,Charles Shackleford,added Charles Shackleford to BRK,-7008.799999999999,-0.7,1988-06-28 00:00:00,1,BRK,/players/s/shackch01.html,52.0,draft,-7008.799999999999,-0.7,0.0,0.0,False,-7008.799999999999,-0.7,7301.800000000003,37.39999999999999,-19,-12,32,32,-13842.0,-1.2
137,Mookie Blaylock,added Mookie Blaylock to BRK,-1795.5,2.8,1989-06-27 00:00:00,1,BRK,/players/b/blaylmo01.html,64.0,draft,-1795.5,2.8,0.0,0.0,False,-1795.5,2.8,11882.400000000001,39.699999999999996,10,10,12,12,93078.0,39.2
138,Stanley Brundy,added Stanley Brundy to BRK,-396.8,0.0,1989-06-27 00:00:00,1,BRK,/players/b/brundst01.html,64.0,draft,-396.8,0.0,0.0,0.0,False,-396.8,0.0,11485.600000000002,39.699999999999996,8,18,32,32,-396.8,0.0
