,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp
1,James Worthy,added James Worthy to LAL,55933.3,29.1,1982-06-29 00:00:00,1,LAL,/players/w/worthja01.html,0.0,draft,55933.3,29.1,0.0,0.0,False,55933.3,29.1,55933.3,29.1,-2,-2,1,1,57001.899999999994,29.2
30,Earl Jones,added Earl Jones to LAL,-126.70000000000002,0.0,1984-06-19 00:00:00,1,LAL,/players/j/jonesea01.html,11.0,draft,-126.70000000000002,0.0,0.0,0.0,False,-126.70000000000002,0.0,60373.10000000001,42.7,-11,2,23,23,-620.0,-0.1
39,A.C. Green,added A.C. Green to LAL,6958.900000000001,11.7,1985-06-18 00:00:00,1,LAL,/players/g/greenac01.html,15.0,draft,6380.200000000001,12.5,0.0,0.0,False,6958.900000000001,11.7,64375.70000000001,54.0,13,-23,23,23,-7310.400000000001,16.6
82,David Rivers,added David Rivers to LAL,-1496.0,-0.2,1988-06-28 00:00:00,1,LAL,/players/r/riverda01.html,36.0,draft,-1496.0,-0.2,0.0,0.0,False,-1496.0,-0.2,57979.30000000002,50.19999999999998,-22,-7,25,25,-5144.0,-0.7
89,Vlade Divac,added Vlade Divac to LAL,30107.0,15.3,1989-06-27 00:00:00,1,LAL,/players/d/divacvl01.html,42.0,draft,30107.0,15.3,0.0,0.0,False,30107.0,15.3,87014.30000000002,66.79999999999998,23,23,26,26,77827.4,36.3
98,Elden Campbell,added Elden Campbell to LAL,-11893.7,4.9,1990-06-27 00:00:00,1,LAL,/players/c/campbel01.html,52.0,draft,-11893.7,4.9,0.0,0.0,False,-11893.7,4.9,69225.90000000002,71.29999999999998,19,-8,27,27,-12888.0,9.5
99,Tony Smith,added Tony Smith to LAL,-9516.6,0.1,1990-06-27 00:00:00,1,LAL,/players/s/smithto02.html,52.0,draft,-9516.6,0.1,0.0,0.0,False,-9516.6,0.1,59709.300000000025,71.39999999999998,28,14,51,51,-14590.0,0.0
125,Anthony Peeler,added Anthony Peeler to LAL,-5494.7,1.6,1992-06-24 00:00:00,1,LAL,/players/p/peelean01.html,73.0,draft,-5494.7,1.6,0.0,0.0,False,-5494.7,1.6,45772.700000000026,81.39999999999999,1,-26,15,15,-14324.8,6.6
126,Duane Cooper,added Duane Cooper to LAL,-3741.0,-0.6,1992-06-24 00:00:00,1,LAL,/players/c/coopedu01.html,73.0,draft,-3741.0,-0.6,0.0,0.0,False,-3741.0,-0.6,42031.700000000026,80.8,-5,9,36,36,-4764.099999999999,-0.8
136,George Lynch,added George Lynch to LAL,-4045.6000000000004,0.9,1993-06-30 00:00:00,1,LAL,/players/l/lynchge01.html,79.0,draft,-4045.6000000000004,0.9,0.0,0.0,False,-4045.6000000000004,0.9,7698.300000000023,69.20000000000002,1,-17,12,12,-7073.200000000001,7.3
