,name,transaction,transaction_bpm,transaction_vorp,transaction_date,transaction_direction,team,href,transaction_id,transaction_type,draft_bpm,draft_vorp,trade_bpm,trade_vorp,did_bpm_replace_for_draft_transaction,actual_bpm,actual_vorp,running_bpm,running_vorp,draft_grade_vorp,draft_grade_bpm,draft_pick_vorp,draft_pick_bpm,total_bpm,total_vorp,expected_bpm,expected_vorp
3,Devin Vassell,added Devin Vassell to SAS,0.0,0.0,2020-11-18 00:00:00,1,SAS,/players/v/vassede01.html,2.0,draft,-4262.6,3.0,0.0,0.0,False,0.0,0.0,15162.400000000001,6.9,1,-26,11,11,-4201.0,3.1,564.0,2.9
4,Tre Jones,added Tre Jones to SAS,0.0,0.0,2020-11-18 00:00:00,1,SAS,/players/j/jonestr01.html,2.0,draft,-4399.7,1.9000000000000001,0.0,0.0,False,0.0,0.0,15162.400000000001,6.9,26,5,41,41,-3222.0,2.5,-6162.799999999999,-0.3
14,Joshua Primo,added Joshua Primo to SAS,0.0,0.0,2021-07-29 00:00:00,1,SAS,/players/p/primojo01.html,11.0,draft,-5410.9,-0.7999999999999999,0.0,0.0,False,0.0,0.0,12513.4,15.3,-40,-31,12,12,-5660.4,-0.9,42.0,2.2
15,Joe Wieskamp,added Joe Wieskamp to SAS,0.0,0.0,2021-07-29 00:00:00,1,SAS,/players/w/wieskjo01.html,11.0,draft,-799.5,-0.1,0.0,0.0,False,0.0,0.0,12513.4,15.3,-2,16,41,41,-1351.5,-0.2,-5074.8,-0.1
56,Jeremy Sochan,added Jeremy Sochan to SAS,0.0,0.0,2022-06-23 00:00:00,1,SAS,/players/s/sochaje01.html,38.0,draft,-14925.0,-1.2,0.0,0.0,False,0.0,0.0,-52097.200000000004,-3.1999999999999984,-42,-47,9,9,-15045.0,-1.2,2485.5,2.0
57,Malaki Branham,added Malaki Branham to SAS,0.0,0.0,2022-06-23 00:00:00,1,SAS,/players/b/branhma01.html,38.0,draft,-18263.5,-2.9,0.0,0.0,False,0.0,0.0,-52097.200000000004,-3.1999999999999984,-38,-37,20,20,-18212.1,-2.9,-519.0,0.1
58,Blake Wesley,added Blake Wesley to SAS,0.0,0.0,2022-06-23 00:00:00,1,SAS,/players/w/weslebl01.html,38.0,draft,-12268.5,-2.0,0.0,0.0,False,0.0,0.0,-52097.200000000004,-3.1999999999999984,-32,-28,25,25,-12699.6,-2.1,-864.0,0.0
92,Victor Wembanyama,added Victor Wembanyama to SAS,0.0,0.0,2023-06-22 00:00:00,1,SAS,/players/w/wembavi01.html,63.0,draft,20876.7,7.1,0.0,0.0,False,0.0,0.0,-115822.40000000001,-17.7,0,0,1,1,20708.100000000002,7.1,20708.100000000002,7.1
94,Sidy Cissoko,added Sidy Cissoko to SAS,0.0,0.0,2023-06-22 00:00:00,1,SAS,/players/c/cissosi01.html,63.0,draft,-521.1,0.0,0.0,0.0,False,0.0,0.0,-115822.40000000001,-17.7,16,25,44,44,-969.0,-0.1,-5309.2,-0.5
117,Stephon Castle,added Stephon Castle to SAS,0.0,0.0,2024-06-26 00:00:00,1,SAS,/players/c/castlst01.html,82.0,draft,-6700.8,-0.6,0.0,0.0,False,0.0,0.0,-98695.70000000001,-6.999999999999998,-45,-52,4,4,-6918.400000000001,-0.6,42.0,0.4
121,Harrison Ingram,added Harrison Ingram to SAS,0.0,0.0,2024-06-27 00:00:00,1,SAS,/players/i/ingraha01.html,84.0,draft,-52.5,0.0,0.0,0.0,False,0.0,0.0,-96596.50000000001,-6.699999999999998,28,36,48,48,-42.0,0.0,-4546.8,-0.5
