,date,Transaction,value,Running Score
1,1992-06-24,lost Jay Humphries to UTA,9015,9015
2,1992-06-24,lost Larry Krystkowiak to UTA,3405,12420
3,1992-06-24,added Blue Edwards to MIL,-3743,8676
4,1992-06-24,added Eric Murdock to MIL,19895,28572
5,1992-06-24,added Lee Mayberry to MIL,0,28572
6,1992-06-24,added Todd Day to MIL,-8479,20092
7,1992-06-24,added Lee Mayberry to MIL,-15732,4359
8,1992-07-01,lost Tracy Murray to POR,2365,6725
9,1992-07-01,added Alaa Abdelnaby to MIL,-556,6169
10,1992-07-01,lost Dale Ellis to SAS,-3178,2990
11,1992-07-01,added Tracy Murray to MIL,0,2990
12,1992-08-04,lost Lester Conner to ORL,0,2990
13,1992-08-04,added Sam Vincent to MIL,0,2990
14,1992-08-04,added Voshon Lenard to MIL,0,2990
15,1992-08-31,added Anthony Pullard to MIL,-284,2705
16,1992-10-01,added Stephen Thompson to MIL,0,2705
17,1992-10-08,added Michael Smith to MIL,0,2705
18,1992-12-04,lost Alaa Abdelnaby to BOS,5784,8490
19,1992-12-04,added Jon Barry to MIL,-1879,6611
20,1992-12-04,added Eric Snow to MIL,0,6611
21,1993-01-10,added Alan Ogg to MIL,-96,6515
22,1993-02-01,added Dan O'Sullivan to MIL,70,6585
23,1993-02-22,added Derek Strong to MIL,0,6585
24,1993-02-22,added Alex Stivrins to MIL,-185,6400
25,1993-02-25,lost Alvin Robertson to DET,-1035,5365
26,1993-02-25,added Orlando Woolridge to MIL,-241,5123
27,1993-03-14,added Derek Strong to MIL,-2319,2804
28,1993-06-30,added Vin Baker to MIL,4250,7054
29,1993-07-07,added Ken Norman to MIL,-5839,1214
30,1993-11-19,added Greg Foster to MIL,-279,935
31,1994-01-15,lost Anthony Avent to ORL,8320,9255
32,1994-01-15,added Anthony Cook to MIL,-964,8290
33,1994-01-15,added Eric Mobley to MIL,0,8290
34,1994-02-24,lost Frank Brickowski to CHH,1175,9466
35,1994-02-24,added Mike Gminski to MIL,-766,8699
36,1994-02-24,added Paul Grant to MIL,-17,8682
37,1994-02-24,lost Danny Schayes to LAL,691,9374
38,1994-06-22,lost Ken Norman to ATL,4860,14234
39,1994-06-22,added Roy Hinson to MIL,0,14234
40,1994-06-29,added Glenn Robinson to MIL,7169,21404
41,1994-06-29,added Eric Mobley to MIL,-1094,20309
42,1994-06-29,added Voshon Lenard to MIL,0,20309
43,1994-06-29,lost Blue Edwards to BOS,1166,21475
44,1994-06-29,lost Derek Strong to BOS,3763,25239
45,1994-06-29,added Ed Pinckney to MIL,-584,24654
46,1994-08-03,added Marty Conlon to MIL,-8306,16348
47,1994-10-06,added Derrick Phelps to MIL,0,16348
48,1994-10-06,added Alton Lister to MIL,-3224,13123
49,1994-10-06,added Aaron Williams to MIL,0,13123
50,1994-10-07,added Johnny Newman to MIL,-14241,-1117
51,1994-10-26,added Danny Young to MIL,0,-1117
52,1994-11-09,added Aaron Williams to MIL,-648,-1765
53,1994-11-10,added Danny Young to MIL,254,-1511
54,1995-03-22,added Tate George to MIL,-108,-1620
55,1995-06-28,added Gary Trent to MIL,0,-1620
56,1995-06-28,added Rashard Griffith to MIL,0,-1620
57,1995-06-28,added Eric Snow to MIL,0,-1620
58,1995-06-28,lost Gary Trent to POR,2539,918
59,1995-06-28,lost Paul Grant to POR,0,918
60,1995-06-28,added Shawn Respert to MIL,-2211,-1292
61,1995-06-28,lost Eric Snow to SEA,2748,1455
62,1995-06-28,added Jeff Nordgaard to MIL,0,1455
63,1995-10-02,added Voshon Lenard to MIL,0,1455
64,1995-10-05,added Emanual Davis to MIL,0,1455
65,1995-10-06,added Bob McCann to MIL,0,1455
66,1995-10-06,added Randolph Keys to MIL,-1060,394
67,1995-10-06,added Mike Peplowski to MIL,0,394
68,1995-10-18,lost Bob McCann to WSB,2938,3333
69,1995-10-18,added Kevin Duckworth to MIL,-887,2445
70,1995-11-02,added Terry Cummings to MIL,-4087,-1641
71,1995-11-26,lost Todd Day to BOS,2219,578
72,1995-11-26,lost Alton Lister to BOS,6161,6739
73,1995-11-26,added Sherman Douglas to MIL,-1513,5225
74,1995-11-27,lost Eric Mobley to VAN,5633,10859
75,1995-11-27,lost Eric Murdock to VAN,-2664,8195
76,1995-11-27,added Benoit Benjamin to MIL,-3431,4764
77,1995-12-01,added Jerry Reynolds to MIL,76,4840
78,1996-02-27,added Mike Peplowski to MIL,-34,4805
79,1996-06-26,added Stephon Marbury to MIL,0,4805
80,1996-06-26,added Moochie Norris to MIL,0,4805
81,1996-06-26,added Jeff Nordgaard to MIL,-177,4628
82,1996-06-26,lost Stephon Marbury to MIN,-1209,3419
83,1996-06-26,added Ray Allen to MIL,50486,53905
84,1996-06-26,added Rasho Nesterović to MIL,0,53905
85,1996-07-11,lost Rasho Nesterović to MIN,13090,66995
86,1996-07-11,added Andrew Lang to MIL,-4910,62085
87,1996-08-06,added Armen Gilliam to MIL,-3674,58411
88,1996-09-03,added Joe Wolf to MIL,-1890,56521
89,1996-09-25,lost Marty Conlon to PHO,0,56521
90,1996-09-25,lost James Posey to PHO,0,56521
91,1996-09-25,added Elliot Perry to MIL,-1770,54750
92,1996-10-03,added Darrin Hancock to MIL,-292,54457
93,1996-10-03,added Stacey King to MIL,0,54457
94,1996-10-03,added Keith Tower to MIL,-532,53925
95,1996-10-03,added David Wood to MIL,24,53949
96,1996-12-04,lost Darrin Hancock to PHO,0,53949
97,1996-12-04,added Chucky Brown to MIL,-943,53005
98,1997-02-20,lost Shawn Respert to TOR,1876,54881
99,1997-02-20,added Acie Earl to MIL,-167,54714
100,1997-02-21,added Cuonzo Martin to MIL,-375,54338
101,1997-03-13,added Jimmy Carruth to MIL,-63,54275
102,2008-11-21,,0,54275
103,2008-11-21,lost Cuttino Mobley to NYK,0,54275
104,2008-11-21,lost Tim Thomas to NYK,-154,54121
105,2008-11-21,added Mardy Collins to LAC,-5334,48787
106,2008-11-21,added Zach Randolph to LAC,136,48923
107,2008-12-28,added Fred Jones to LAC,0,48923
108,2009-01-01,added Hassan Adams to LAC,0,48923
109,2009-01-05,lost Nikola Radičević to DEN,0,48923
110,2009-01-05,added Cheikh Samb to LAC,-484,48439
111,2009-01-09,added Fred Jones to LAC,-4036,44402
112,2009-02-16,lost Peyton Siva to DET,1433,45836
113,2009-02-16,added Alex Acker to LAC,-787,45048
114,2009-02-16,added Trey Thompkins to LAC,-678,44370
115,2009-06-25,added Blake Griffin to LAC,68795,113166
116,2009-07-17,lost Zach Randolph to MEM,-13017,100148
117,2009-07-17,added Quentin Richardson to LAC,0,100148
118,2009-07-20,lost Quentin Richardson to MIN,0,100148
119,2009-07-20,added Mark Madsen to LAC,0,100148
120,2009-07-20,added Craig Smith to LAC,-1630,98518
121,2009-07-20,added Sebastian Telfair to LAC,-2502,96016
122,2009-08-12,added Rasual Butler to LAC,-8109,87906
123,2009-09-30,added Kareem Rush to LAC,-203,87703
124,2010-01-22,added JamesOn Curry to LAC,0,87703
125,2010-01-26,lost Jordan McRae to NOH,0,87703
126,2010-01-26,added Bobby Brown to LAC,-1184,86518
127,2010-02-16,lost Marcus Camby to POR,-5733,80785
128,2010-02-16,added Steve Blake to LAC,-1371,79414
129,2010-02-16,added Travis Outlaw to LAC,-748,78665
130,2010-02-17,lost Al Thornton to WAS,4301,82967
131,2010-02-17,lost Sebastian Telfair to CLE,361,83329
132,2010-02-17,added Drew Gooden to LAC,-1377,81951
