date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2023-06-22 00:00:00,added Brandin Podziemski to GSW,0.0,0,0.0,0.0,draft,Brandin Podziemski
2023-06-23 00:00:00,added Trayce Jackson-Davis to GSW,0.0,0,0.0,0.0,trade,Trayce Jackson-Davis
2023-07-03 00:00:00,added Brandin Podziemski to GSW,789.5999999999999,789,2.0,2.0,signing,Brandin Podziemski
2023-07-06 00:00:00,lost Patrick Baldwin Jr. to WAS,2298.1,3087,0.3,2.3,trade,Patrick Baldwin Jr.
2023-07-06 00:00:00,lost Jordan Poole to WAS,8349.0,11436,-0.0,2.3,trade,Jordan Poole
2023-07-06 00:00:00,lost Ryan Rollins to WAS,-330.0,11106,-0.1,2.2,trade,Ryan Rollins
2023-07-06 00:00:00,added Chris Paul to GSW,1531.0,12637,1.2,3.3999999999999995,trade,Chris Paul
2023-07-06 00:00:00,added Trayce Jackson-Davis to GSW,4320.8,16958,2.2,5.6,signing,Trayce Jackson-Davis
2023-07-06 00:00:00,added Cory Joseph to GSW,-1391.2,15567,-0.2,5.4,signing,Cory Joseph
2023-07-08 00:00:00,added Draymond Green to GSW,4342.4,19909,2.8,8.2,signing,Draymond Green
2023-07-12 00:00:00,added Dario Saric to GSW,1098.0,21007,0.9,9.1,signing,Dario Saric
2023-07-22 00:00:00,added Lester Quinones to GSW,-1300.1999999999998,19707,-0.1,9.0,signing,Lester Quinones
2023-09-25 00:00:00,added Usman Garuba to GSW,-196.2,19511,0.0,9.0,signing,Usman Garuba
2023-09-28 00:00:00,added Rudy Gay to GSW,0.0,19511,0.0,9.0,signing,Rudy Gay
2023-09-28 00:00:00,added Jerome Robinson to GSW,-672.3000000000001,18839,-0.1,8.9,signing,Jerome Robinson
2023-11-07 00:00:00,added Gui Santos to GSW,-1305.6,17533,0.2,9.1,signing,Gui Santos
2024-02-08 00:00:00,lost Cory Joseph to IND,-0.0,17533,-0.0,9.1,trade,Cory Joseph
2024-02-08 00:00:00,added Quinten Post to GSW,0.0,17533,0.0,9.1,trade,Quinten Post
2024-02-22 00:00:00,added Pat Spencer to GSW,-584.6,16948,0.0,9.1,signing,Pat Spencer
2024-06-27 00:00:00,added Quinten Post to GSW,66.0,17014,0.4,9.5,draft,Quinten Post
2024-06-27 00:00:00,lost Quinten Post to OKC,-0.0,17014,-0.0,9.5,trade,Quinten Post
2024-06-27 00:00:00,added Lindy Waters III to GSW,-2030.5,14984,-0.2,9.3,trade,Lindy Waters III
2024-07-03 00:00:00,added Reece Beekman to GSW,104.0,15088,0.0,9.3,signing,Reece Beekman
2024-07-06 00:00:00,added Klay Thompson to GSW,0.0,15088,0.0,9.3,signing,Klay Thompson
2024-07-06 00:00:00,lost future 2nd round pick to MIN,2007.806660727049,17096,-0.7548536621205768,8.545146337879423,multitrade,future 2nd round pick
2024-07-06 00:00:00,lost Klay Thompson to DAL,1751.4,18847,-0.5,8.045146337879423,multitrade,Klay Thompson
2024-07-06 00:00:00,added Kyle Anderson to GSW,1244.3,20091,0.6,8.645146337879423,multitrade,Kyle Anderson
2024-07-06 00:00:00,added Buddy Hield to GSW,-1825.0,18266,0.4,9.045146337879425,multitrade,Buddy Hield
2024-07-06 00:00:00,added Quinten Post to GSW,0.0,18266,0.0,9.045146337879425,trade,Quinten Post
2024-07-08 00:00:00,added De'Anthony Melton to GSW,-96.8,18170,0.0,9.045146337879425,signing,De'Anthony Melton
2024-07-16 00:00:00,added Daeqwon Plowden to GSW,0.0,18170,0.0,9.045146337879425,signing,Daeqwon Plowden
2024-09-25 00:00:00,added Kevin Knox to GSW,0.0,18170,0.0,9.045146337879425,signing,Kevin Knox
2024-09-26 00:00:00,added Quinten Post to GSW,66.0,18236,0.4,9.445146337879423,signing,Quinten Post
2024-12-15 00:00:00,lost Reece Beekman to BRK,2478.0,20714,0.4,9.845146337879424,trade,Reece Beekman
2024-12-15 00:00:00,lost De'Anthony Melton to BRK,-0.0,20714,-0.0,9.845146337879424,trade,De'Anthony Melton
2024-12-15 00:00:00,added Dennis Schroder to GSW,-3265.6,17448,-0.5,9.345146337879424,trade,Dennis Schroder
2024-12-15 00:00:00,added future 2nd round pick to GSW,-2007.806660727049,15440,0.7548536621205768,10.1,trade,future 2nd round pick
2024-12-15 00:00:00,lost future 2nd round pick to BRK,2007.806660727049,17448,-0.7548536621205768,9.345146337879424,trade,future 2nd round pick
2024-12-15 00:00:00,lost future 2nd round pick to BRK,2007.806660727049,19456,-0.7548536621205768,8.590292675758846,trade,future 2nd round pick
2024-12-15 00:00:00,lost future 2nd round pick to BRK,2007.806660727049,21464,-0.7548536621205768,7.835439013638269,trade,future 2nd round pick
2025-01-28 00:00:00,added Jackson Rowe to GSW,52.0,21516,0.0,7.835439013638269,signing,Jackson Rowe
2025-02-06 00:00:00,lost Kyle Anderson to MIA,-246.0,21270,-0.3,7.535439013638269,multitrade,Kyle Anderson
2025-02-06 00:00:00,lost Andrew Wiggins to MIA,-522.0,20748,-0.4,7.135439013638269,multitrade,Andrew Wiggins
