,team_shortcode,team,start_year,end_year,name,href,draft_total_bpm,draft_total_vorp,trade_total_bpm,trade_total_vorp,signing_total_bpm,signing_total_vorp,final_bpm,final_vorp,draft_rating_vorp,draft_rating_bpm,draft_num_players,trade_num,signing_num_players,trade_rating_vorp,trade_rating_bpm,signing_rating_vorp,signing_rating_bpm,draft_rating_percentile_vorp,draft_rating_grade_vorp,trade_rating_percentile_vorp,trade_rating_grade_vorp,signing_rating_percentile_vorp,signing_rating_grade_vorp,draft_rating_percentile_bpm,draft_rating_grade_bpm,trade_rating_percentile_bpm,trade_rating_grade_bpm,signing_rating_percentile_bpm,signing_rating_grade_bpm,is_noob,is_active,bpm_rank,vorp_rank
0,"['BOS', 'UTA']","['Boston Celtics', 'Utah Jazz']",2021,2026,Danny Ainge,/executives/aingeda01x.html,-45202.100000000006,66.70000000000002,358960.7,65.5,22916.600000000006,57.400000000000176,336675.2,189.6000000000002,0.8541666666666666,0.5833333333333334,48,306,201,0.08641975308641975,0.18518518518518517,0.08092485549132948,-0.20809248554913296,48.62385321100918,C,72.46376811594203,B,82.11920529801324,A-,56.88073394495413,C+,78.26086956521739,B+,86.75496688741723,A-,False,True,2.0,4.0
1,['CLE'],['Cleveland Cavaliers'],2017,2026,Koby Altman,/executives/altmako01x.html,-17444.299999999996,14.8,27126.30000000001,-6.099999999999999,-27425.500000000065,26.199999999999992,-17743.500000000047,34.89999999999999,1.7777777777777777,-0.5555555555555556,9,103,132,0.10714285714285714,0.10714285714285714,-0.08130081300813008,-0.3983739837398374,54.12844036697248,C+,74.6376811594203,B+,40.397350993377486,C-,53.211009174311926,C+,65.21739130434783,B-,60.264900662251655,B-,False,True,83.0,56.0
2,['GSW'],['Golden State Warriors'],1997,1997,Al Attles,/executives/attleal01x.html,22777.29999999999,72.5,-201428.80000000005,-91.40000000000002,-43253.00000000003,-0.3000000000000256,-221904.5000000001,-19.200000000000042,17.2,19.466666666666665,30,61,26,-0.037037037037037035,0.0,-0.16,-0.64,99.08256880733946,S,41.30434782608695,C-,19.867549668874172,F,99.08256880733946,S,50.72463768115942,C,12.582781456953642,F,False,False,157.0,146.0
3,"['DEN', 'ATL']","['Denver Nuggets', 'Atlanta Hawks']",1990,2003,Pete Babcock,/executives/babcope99x.html,-93329.9,11.8,122656.7,13.900000000000004,-78453.9,23.499999999999947,-49127.099999999984,49.19999999999995,-6.7368421052631575,-6.526315789473684,19,122,125,-0.05405405405405406,0.10810810810810811,-0.11382113821138211,-0.5609756097560976,21.10091743119266,D-,38.405797101449274,D+,33.77483443708609,D+,28.440366972477065,D,65.94202898550725,B-,22.516556291390728,D-,False,False,109.0,43.0
4,['TOR'],['Toronto Raptors'],2004,2006,Rob Babcock,/executives/babcoro99x.html,-32755.100000000002,-3.7,-64888.90000000001,-25.8,24817.700000000037,16.10000000000001,-72826.29999999997,-13.399999999999993,-15.0,-9.0,5,11,5,,,0.2,0.2,2.7522935779816513,F-,,,94.70198675496688,A+,18.34862385321101,F,,,100.0,S,True,False,124.0,141.0
5,"['SAS', 'CHA', 'NOP']","['San Antonio Spurs', 'Charlotte Hornets', 'New Orleans Pelicans']",2002,2004,Bob Bass,/executives/bassbo99x.html,252470.30000000002,121.9,-326544.7,-165.20000000000005,-9877.500000000087,35.900000000000034,-83951.9000000001,-7.400000000000008,2.3225806451612905,6.129032258064516,31,203,141,-0.09333333333333334,-0.16,-0.07352941176470588,-0.3382352941176471,56.88073394495413,C+,30.434782608695652,D,43.70860927152318,C-,77.98165137614679,B+,23.18840579710145,D-,73.50993377483444,B+,False,False,130.0,136.0
6,['LAC'],['Los Angeles Clippers'],1986,2008,Elgin Baylor,/executives/bayloel01x.html,-240164.50000000006,34.0,39988.89999999996,0.2000000000000064,-181714.40000000014,8.599999999999994,-381890.00000000023,42.800000000000004,-3.3902439024390243,-5.048780487804878,41,138,151,-0.022222222222222223,-0.06666666666666667,-0.19463087248322147,-0.6510067114093959,36.69724770642202,D+,43.47826086956522,C-,12.582781456953642,F,32.11009174311926,D,35.507246376811594,D+,11.920529801324504,F,False,False,163.0,46.0
7,['NYK'],['New York Knicks'],1987,1991,Al Bianchi,/executives/biancal01x.html,-6986.9,0.7000000000000003,53207.49999999999,17.899999999999995,10521.300000000008,16.400000000000006,56741.9,35.0,0.25,8.75,4,19,12,0.0,-0.14285714285714285,0.16666666666666666,-0.5,45.87155963302752,C-,55.79710144927536,C+,90.06622516556291,A,84.40366972477064,A-,25.36231884057971,D-,40.397350993377486,C-,False,False,33.0,55.0
8,"['DEN', 'CHA']","['Denver Nuggets', 'Charlotte Hornets']",2003,2007,Bernie Bickerstaff,/executives/bickebe99x.html,-42275.4,31.100000000000005,8167.399999999996,-11.899999999999999,-63928.89999999997,13.099999999999977,-98036.89999999998,32.29999999999998,-6.5,-15.785714285714286,14,87,63,0.08823529411764706,-0.08823529411764706,-0.19047619047619047,-0.47619047619047616,22.01834862385321,D-,73.18840579710145,B+,14.56953642384106,F,6.422018348623853,F,31.159420289855074,D,41.05960264900662,C-,False,False,134.0,61.0
9,['IND'],['Indiana Pacers'],2013,2017,Larry Bird,/executives/birdla01x.html,62001.00000000001,54.7,-72077.49999999999,-9.700000000000003,-40375.399999999994,22.099999999999994,-50451.89999999997,67.1,4.333333333333333,-3.6666666666666665,12,88,69,0.1724137931034483,-0.13793103448275862,0.03125,-0.453125,73.39449541284404,B+,80.43478260869566,A-,73.50993377483444,B+,36.69724770642202,D+,26.08695652173913,D-,47.682119205298015,C,False,False,112.0,32.0
10,['PHO'],['Phoenix Suns'],2010,2013,Lance Blanks,/executives/blankla01x.html,-11731.6,1.7000000000000002,5580.2,6.600000000000002,-17258.6,11.09999999999999,-23410.0,19.39999999999999,,,2,28,18,0.0,0.0,-0.1111111111111111,-0.6666666666666666,,,55.79710144927536,C+,35.09933774834437,D+,,,50.72463768115942,C,9.933774834437086,F,True,False,91.0,77.0
11,['DEN'],['Denver Nuggets'],2022,2026,Calvin Booth,/executives/boothca01x.html,-5195.9,1.4,17953.917456314863,-6.206165576088356,-43420.799999999996,-2.2000000000000006,-30662.782543685134,-7.006165576088357,,,1,30,30,-0.375,-0.125,-0.13793103448275862,-0.6551724137931034,,,7.971014492753623,F,25.165562913907284,D-,,,27.536231884057973,D,11.258278145695364,F,True,True,96.0,135.0
12,['NOP'],['New Orleans Pelicans'],2005,2010,Jeff Bower,/executives/bowerje99x.html,0.0,0.0,31450.0,1.3,-278.1000000000058,-0.10000000000000009,31171.899999999994,1.2,,,0,51,14,0.3,0.35,-0.07142857142857142,-0.07142857142857142,,,89.85507246376811,A,44.370860927152314,C-,,,92.7536231884058,A,94.70198675496688,A+,True,False,42.0,115.0
13,['PHI'],['Philadelphia 76ers'],2018,2020,Elton Brand,/executives/brandel99x.html,-364.0,-0.1,-22905.499999999985,-9.6,18546.199999999993,20.7,-4723.299999999992,10.999999999999998,,,1,44,26,0.6666666666666666,0.5833333333333334,0.2,-0.08,,,99.27536231884058,S,94.70198675496688,A+,,,97.82608695652173,S,93.37748344370861,A+,True,False,71.0,95.0
14,['MIN'],['Minnesota Timberwolves'],1990,1992,Jim Brewer,/executives/breweji01x.html,-10641.900000000001,-1.2000000000000002,-9225.3,-3.4000000000000004,-2671.2999999999993,-0.20000000000000018,-22538.5,-4.800000000000001,,,2,3,3,,,,,,,,,,,,,,,,,True,False,90.0,131.0
15,"['CHA', 'DEN', 'NOP']","['Charlotte Hornets', 'Denver Nuggets', 'New Orleans Pelicans']",2004,2005,Allan Bristow,/executives/bristal01x.html,-5873.4,-0.7,-119886.79999999997,-50.4,-8020.400000000032,-0.40000000000000147,-133780.6,-51.5,,,1,69,23,-0.4,-0.25,-0.045454545454545456,0.0,,,4.3478260869565215,F,51.65562913907285,C,,,15.217391304347826,F,98.67549668874172,S,True,False,149.0,159.0
16,['PHI'],['Philadelphia 76ers'],2018,2018,Brett Brown,/executives/brownbr99x.html,-2105.2,0.0,-11986.5,-9.100000000000001,-13021.500000000004,1.3000000000000007,-27113.200000000004,-7.800000000000001,,,1,18,8,0.2857142857142857,-0.14285714285714285,0.2857142857142857,-0.42857142857142855,,,88.40579710144928,A,98.01324503311258,S,,,25.36231884057971,D-,52.317880794701985,C,True,False,95.0,137.0
17,['PHI'],['Philadelphia 76ers'],1997,1998,Larry Brown,/executives/brownla01x.html,547.1,1.4,9443.800000000003,2.8999999999999932,-2909.4000000000037,-0.3999999999999919,7081.499999999999,3.9000000000000012,,,2,27,4,0.0,0.7142857142857143,,,,,55.79710144927536,C+,,,,,99.27536231884058,S,,,True,False,54.0,110.0
18,['POR'],['Portland Trail Blazers'],2011,2012,Chad Buchanan,/executives/buchach99x.html,-4962.7,-0.9,119369.2,41.9,-4729.19999999998,2.0000000000000013,109677.30000000002,43.0,,,1,18,5,,,0.4,-0.6,,,,,99.33774834437087,S,,,,,15.894039735099337,F,True,False,22.0,45.0
19,"['OKC', 'POR']","['Oklahoma City Thunder', 'Portland Trail Blazers']",1986,1992,Bucky Buckwalter,/executives/buckwbu99x.html,39032.8,30.900000000000002,-15650.699999999997,-5.6000000000000005,21973.1,16.399999999999995,45355.200000000004,41.699999999999996,4.071428571428571,10.214285714285714,14,39,26,0.14285714285714285,0.2857142857142857,-0.08,-0.36,70.64220183486239,B,77.53623188405797,B+,41.72185430463576,C-,89.90825688073394,A,89.85507246376811,A,67.54966887417218,B,False,False,39.0,48.0
20,['ATL'],['Atlanta Hawks'],2014,2017,Mike Budenholzer,/executives/budenmi01x.html,-10358.9,-0.7000000000000001,18762.499999999996,1.6999999999999997,-12621.999999999995,10.5,-4218.399999999996,11.5,,,1,29,34,0.0,-0.2,0.0,-0.36363636363636365,,,55.79710144927536,C+,68.87417218543047,B,,,20.28985507246377,D-,66.88741721854305,B-,True,False,69.0,94.0
21,['SAS'],['San Antonio Spurs'],2002,2019,R.C. Buford,/executives/buforrc99x.html,2119.100000000003,31.2,40264.49999999999,-6.199999999999998,218325.19999999984,148.30000000000007,260708.79999999984,173.30000000000007,6.705882352941177,3.2941176470588234,17,77,174,-0.037037037037037035,0.2222222222222222,0.1987179487179487,-0.24358974358974358,80.73394495412845,A-,41.30434782608695,C-,91.3907284768212,A,70.64220183486239,B,85.5072463768116,A-,84.76821192052981,A-,False,False,7.0,6.0
22,['BRK'],['Brooklyn Nets'],1996,1999,John Calipari,/executives/calipjo99x.html,37658.09999999999,18.0,-13276.900000000001,-8.3,-28393.700000000004,-0.7999999999999972,-4012.500000000016,8.900000000000004,,,1,41,25,-0.125,0.0,-0.24,-0.56,,,24.63768115942029,D-,9.933774834437086,F,,,50.72463768115942,C,24.503311258278146,D-,True,False,68.0,99.0
23,['BOS'],['Boston Celtics'],1994,1997,M.L. Carr,/executives/carrml01x.html,-30159.199999999993,11.8,-2479.0999999999995,0.6000000000000003,-9626.000000000025,11.5,-42264.30000000002,23.900000000000002,-14.0,-9.2,5,14,26,,,-0.11538461538461539,-0.38461538461538464,4.587155963302752,F,,,33.11258278145695,D+,17.431192660550458,F,,,63.57615894039735,B-,True,False,105.0,72.0
24,"['UTA', 'NYK']","['Utah Jazz', 'New York Knicks']",1999,1999,Dave Checketts,/executives/checkda99x.html,-12008.500000000002,-1.7999999999999998,-18297.8,-4.199999999999999,-8902.299999999997,-1.0,-39208.6,-6.999999999999999,,,3,9,8,,,-0.5,-0.75,,,,,3.3112582781456954,F,,,,,3.3112582781456954,F,True,False,102.0,134.0
25,"['POR', 'CHA']","['Portland Trail Blazers', 'Charlotte Hornets']",2011,2018,Rich Cho,/executives/chori99x.html,-13060.2,4.0,34989.799999999996,3.5,-6727.499999999993,12.600000000000001,15202.100000000002,20.1,-11.25,-20.75,4,76,77,0.11538461538461539,0.34615384615384615,-0.0136986301369863,-0.1780821917808219,13.761467889908257,F,75.3623188405797,B+,60.264900662251655,B-,0.9174311926605505,F-,92.02898550724638,A,88.74172185430463,A,False,False,48.0,74.0
26,"['PHO', 'TOR', 'PHI']","['Phoenix Suns', 'Toronto Raptors', 'Philadelphia 76ers']",2016,2018,Bryan Colangelo,/executives/colanbr99x.html,195195.49999999997,135.5,-235130.09999999998,-166.5,109106.6,109.99999999999994,69171.99999999999,78.99999999999996,3.3846153846153846,-2.4615384615384617,26,264,152,-0.25301204819277107,-0.08433734939759036,0.04827586206896552,-0.4206896551724138,65.13761467889908,B-,15.217391304347826,F,75.49668874172185,B+,44.03669724770642,C-,31.884057971014492,D,54.966887417218544,C+,False,False,32.0,28.0
27,['PHO'],['Phoenix Suns'],1968,1994,Jerry Colangelo,/executives/colanje99x.html,153283.9,153.6,203432.99999999997,36.49999999999999,-55304.300000000105,8.10000000000008,301412.59999999986,198.20000000000007,11.76923076923077,9.923076923076923,52,199,48,0.013157894736842105,-0.039473684210526314,-0.06666666666666667,-0.4666666666666667,95.41284403669725,A+,56.52173913043478,C+,45.033112582781456,C-,87.1559633027523,A,39.130434782608695,D+,45.6953642384106,C-,False,False,5.0,3.0
28,['DET'],['Detroit Pistons'],1995,1998,Doug Collins,/executives/collido01x.html,-4090.0000000000005,5.8,5793.300000000003,-4.3000000000000025,-35270.50000000001,-0.9999999999999973,-33567.200000000004,0.49999999999999967,6.0,9.0,7,27,10,0.0,-0.2857142857142857,0.3,-0.7,78.89908256880734,B+,55.79710144927536,C+,98.67549668874172,S,85.3211009174312,A-,13.768115942028986,F,5.960264900662252,F,False,False,99.0,116.0
29,"['DEN', 'MIN']","['Denver Nuggets', 'Minnesota Timberwolves']",2022,2026,Tim Connelly,/executives/conneti99x.html,227835.5,95.39999999999999,-23162.0008423134,-37.459578544430826,-86045.20000000001,21.299999999999983,118628.29915768659,79.24042145556915,9.928571428571429,7.857142857142857,14,148,141,-0.10869565217391304,-0.13043478260869565,-0.03937007874015748,-0.4251968503937008,89.90825688073394,A,27.536231884057973,D,52.980132450331126,C,81.65137614678899,A-,26.81159420289855,D-,52.980132450331126,C,False,True,21.0,27.0
30,['POR'],['Portland Trail Blazers'],2021,2026,Joe Cronin,/executives/cronijo99x.html,-51888.69999999999,-4.2,-41433.789949933824,-27.565496333152236,-22299.80000000004,4.000000000000004,-115622.28994993385,-27.76549633315223,-12.285714285714286,-17.571428571428573,7,55,55,-0.38461538461538464,-0.6923076923076923,-0.04081632653061224,-0.42857142857142855,9.174311926605505,F,5.797101449275362,F,52.317880794701985,C,2.7522935779816513,F-,1.4492753623188406,F-,52.317880794701985,C,False,True,142.0,151.0
31,['SAC'],['Sacramento Kings'],2013,2015,Pete D'Alessandro,/executives/dalespe99x.html,-34969.4,-3.4,-5982.5,-10.2,-9114.899999999987,3.8999999999999964,-50066.79999999999,-9.700000000000003,,,3,34,21,-0.3,-0.3,-0.05263157894736842,-0.47368421052631576,,,10.144927536231885,F,49.00662251655629,C,,,13.043478260869565,F,43.70860927152318,C-,True,False,111.0,140.0
32,"['DEN', 'PHO']","['Denver Nuggets', 'Phoenix Suns']",2006,2007,Mike D'Antoni,/executives/dantomi01x.html,0.0,0.0,-35974.3,-19.200000000000003,-6606.600000000006,0.10000000000000142,-42580.90000000001,-19.1,,,0,4,6,,,0.0,-0.6666666666666666,,,,,68.87417218543047,B,,,,,9.933774834437086,F,True,False,106.0,145.0
33,['HOU'],['Houston Rockets'],1996,2007,Carroll Dawson,/executives/dawsoca99x.html,35423.1,34.699999999999996,199175.80000000002,35.3,-54647.89999999999,15.800000000000018,179951.00000000003,85.80000000000001,2.2,-1.9,10,110,60,0.3142857142857143,0.4,-0.016666666666666666,-0.5,55.96330275229358,C+,91.30434782608695,A,58.27814569536424,C+,47.706422018348626,C,94.20289855072464,A+,40.397350993377486,C-,False,False,13.0,24.0
34,['LAC'],['Los Angeles Clippers'],2012,2012,Vinny Del Negro,/executives/delnevi01x.html,0.0,0.0,2191.5999999999995,0.4999999999999999,-7873.999999999999,4.499999999999999,-5682.4,4.999999999999999,,,0,8,4,,,,,,,,,,,,,,,,,True,False,72.0,108.0
35,['NOP'],['New Orleans Pelicans'],2010,2019,Dell Demps,/executives/dempsde01x.html,71827.0,29.099999999999998,-86913.59999999998,-41.100000000000016,-111149.20000000001,5.000000000000025,-126235.79999999999,-6.999999999999992,-10.75,-12.25,4,126,137,-0.07317073170731707,0.07317073170731707,-0.1259259259259259,-0.4,14.678899082568808,F,34.78260869565217,D+,29.13907284768212,D,11.926605504587156,F,57.971014492753625,C+,59.602649006622514,C+,False,False,145.0,133.0
36,['PHI'],['Philadelphia 76ers'],2012,2013,Tony DiLeo,/executives/dileoto99x.html,0.0,0.0,-600.0,-0.1,-6205.5,-0.7,-6805.5,-0.7999999999999999,,,0,1,7,,,-0.5714285714285714,-0.7142857142857143,,,,,0.6622516556291391,F-,,,,,4.635761589403973,F,True,False,75.0,122.0
37,['SAC'],['Sacramento Kings'],2015,2020,Vlade Divac,/executives/divacvl99x.html,2055.199999999996,15.5,35782.1,1.8999999999999997,-85917.49999999999,15.800000000000011,-48080.2,33.20000000000001,-8.2,-8.6,5,65,71,0.17647058823529413,0.11764705882352941,0.12307692307692308,-0.5538461538461539,19.26605504587156,F,81.15942028985508,A-,85.43046357615894,A-,21.10091743119266,D-,68.1159420289855,B,25.827814569536425,D-,False,False,108.0,60.0
