date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2023-01-11 00:00:00,added Derrick Favors to ATL,0.0,0,0.0,0.0
2023-01-17 00:00:00,added Donovan Williams to ATL,-60.8,-60,0.0,0.0
2023-02-09 00:00:00,lost Rayan Rupert to POR,6357.5,6296,1.1,1.1
2023-02-09 00:00:00,lost Oso Ighodaro to POR,-0.0,6296,-0.0,1.1
2023-02-09 00:00:00,added Saddiq Bey to ATL,-3397.1,2899,0.5,1.6
2023-02-09 00:00:00,lost Justin Holiday to HOU,-0.0,2899,-0.0,1.6
2023-02-09 00:00:00,lost Frank Kaminsky to HOU,-218.3,2681,-0.1,1.5
2023-02-09 00:00:00,lost Ulrich Chomche to HOU,-0.0,2681,-0.0,1.5
2023-02-09 00:00:00,added Bruno Fernando to ATL,-1773.6,907,-0.1,1.4
2023-02-09 00:00:00,added Garrison Mathews to ATL,-4308.3,-3400,-0.1,1.2999999999999998
2023-06-22 00:00:00,added Kobe Bufkin to ATL,0.0,-3400,0.0,1.2999999999999998
2023-06-22 00:00:00,added Seth Lundy to ATL,0.0,-3400,0.0,1.2999999999999998
2023-06-28 00:00:00,added Mouhamed Gueye to ATL,0.0,-3400,0.0,1.2999999999999998
2023-07-03 00:00:00,added Mouhamed Gueye to ATL,-438.5,-3839,0.2,1.4999999999999998
2023-07-03 00:00:00,added Kobe Bufkin to ATL,-1378.0,-5217,-0.2,1.2999999999999998
2023-07-06 00:00:00,added Miles Norris to ATL,0.0,-5217,0.0,1.2999999999999998
2023-07-06 00:00:00,added Seth Lundy to ATL,-660.4,-5877,-0.1,1.1999999999999995
2023-07-07 00:00:00,lost John Collins to UTA,490.9000000000001,-5386,-1.4,-0.2000000000000001
2023-07-07 00:00:00,added Rudy Gay to ATL,0.0,-5386,0.0,-0.2000000000000001
2023-07-08 00:00:00,lost Alpha Kaba to HOU,-0.0,-5386,-0.0,-0.2000000000000001
2023-07-08 00:00:00,added Usman Garuba to ATL,0.0,-5386,0.0,-0.2000000000000001
2023-07-08 00:00:00,added TyTy Washington Jr. to ATL,0.0,-5386,0.0,-0.2000000000000001
2023-07-12 00:00:00,lost Usman Garuba to OKC,-0.0,-5386,-0.0,-0.2000000000000001
2023-07-12 00:00:00,lost Rudy Gay to OKC,-0.0,-5386,-0.0,-0.2000000000000001
2023-07-12 00:00:00,lost Ty Ty Washington to OKC,-0.0,-5386,-0.0,-0.2000000000000001
2023-07-12 00:00:00,added Patty Mills to ATL,-767.5999999999999,-6154,-0.1,-0.3000000000000001
2023-07-21 00:00:00,added Wesley Matthews to ATL,-1156.4,-7310,-0.1,-0.4000000000000001
2023-09-12 00:00:00,added Trent Forrest to ATL,-1821.6,-9132,-0.3,-0.7000000000000002
2023-12-22 00:00:00,added Vit Krejci to ATL,-2001.7,-11133,-0.2,-0.9000000000000001
2024-03-04 00:00:00,added Dylan Windler to ATL,-65.7,-11199,0.0,-0.9000000000000001
2024-06-26 00:00:00,added Zaccharie Risacher to ATL,0.0,-11199,0.0,-0.9000000000000001
2024-06-27 00:00:00,lost A.J. Griffin to HOU,-0.0,-11199,-0.0,-0.9000000000000001
2024-06-27 00:00:00,added Nikola Djurisic to ATL,0.0,-11199,0.0,-0.9000000000000001
