date,Transaction,single_value,value
2017-08-15,added Tyrone Wallace to LAC,-2978.5000000000005,-2978
2017-08-25,added Marshall Plumlee to LAC,0.0,-2978
2017-09-14,added C.J. Williams to LAC,0.0,-2978
2017-09-25,lost DeAndre Liggins to ATL,-0.0,-2978
2017-09-28,added LaDontae Henton to LAC,0.0,-2978
2017-10-13,added Ike Iroegbu to LAC,0.0,-2978
2017-10-14,added C.J. Williams to LAC,0.0,-2978
2018-01-29,lost Blake Griffin to DET,-12618.799999999996,-15597
2018-01-29,lost Brice Johnson to DET,-0.0,-15597
2018-01-29,lost Willie Reed to DET,24.3,-15572
2018-01-29,added Avery Bradley to LAC,-726.0,-16298
2018-01-29,added Tobias Harris to LAC,6887.7,-9411
2018-01-29,added Boban Marjanović to LAC,1862.8,-7548
2018-01-29,added Miles Bridges to LAC,0.0,-7548
2018-01-29,added Jaylen Hands to LAC,0.0,-7548
2018-03-04,added Sean Kilpatrick to LAC,-171.0,-7719
2018-04-09,added C.J. Williams to LAC,-1484.7,-9204
2018-06-21,added Miles Bridges to LAC,0.0,-9204
2018-06-21,added Jerome Robinson to LAC,0.0,-9204
2018-06-21,lost Miles Bridges to CHO,51.900000000001455,-9152
2018-06-21,lost Vernon Carey Jr. to CHO,837.5,-8314
2018-06-21,lost Scottie Lewis to CHO,-42.0,-8356
2018-06-21,added Shai Gilgeous-Alexander to LAC,0.0,-8356
2018-06-26,lost Austin Rivers to WAS,3619.9,-4736
2018-06-26,added Marcin Gortat to LAC,-976.3,-5713
2018-07-04,added Shai Gilgeous-Alexander to LAC,-1087.0,-6800
2018-07-05,added Jerome Robinson to LAC,-3741.2,-10541
2018-07-05,added Ángel Delgado to LAC,-180.0,-10721
2018-07-09,added Avery Bradley to LAC,-6729.799999999999,-17451
2018-07-09,added Mike Scott to LAC,-1122.0,-18573
2018-07-10,added Luc Mbah a Moute to LAC,-183.0,-18756
2018-07-23,lost Maarty Leunen to DAL,-0.0,-18756
2018-07-23,added Johnathan Motley to LAC,-296.4,-19052
2018-07-23,added Renaldas Seibutis to LAC,0.0,-19052
2018-07-24,added Montrezl Harrell to LAC,12193.5,-6859
2018-08-07,lost Sam Dekker to CLE,185.9,-6673
2018-08-07,lost Renaldas Seibutis to CLE,-0.0,-6673
2018-08-07,added Vladimir Veremeenko to LAC,0.0,-6673
2018-09-07,added Tyrone Wallace to LAC,-4019.2,-10692
2018-10-12,added Jamel Artis to LAC,0.0,-10692
2018-10-15,lost Wesley Johnson to NOP,1168.7,-9523
2018-10-15,added Alexis Ajinça to LAC,0.0,-9523
2019-02-06,lost Tobias Harris to PHI,-13169.0,-22692
2019-02-06,lost Boban Marjanović to PHI,-1006.5,-23699
2019-02-06,lost Mike Scott to PHI,6952.1,-16747
2019-02-06,added Wilson Chandler to LAC,-1378.6,-18125
2019-02-06,added Mike Muscala to LAC,0.0,-18125
2019-02-06,added Landry Shamet to LAC,-3882.0,-22007
2019-02-06,added Saddiq Bey to LAC,0.0,-22007
2019-02-06,added Tre Mann to LAC,0.0,-22007
2019-02-06,added Jeremiah Robinson-Earl to LAC,0.0,-22007
2019-02-06,added James Nnaji to LAC,0.0,-22007
2019-02-07,lost Avery Bradley to MEM,397.8,-21609
2019-02-07,added JaMychal Green to LAC,-706.5,-22316
2019-02-07,added Garrett Temple to LAC,-1581.0,-23897
2019-02-07,lost Mike Muscala to LAL,-185.5,-24082
2019-02-07,added Michael Beasley to LAC,0.0,-24082
2019-02-07,added Ivica Zubac to LAC,-366.7999999999993,-24449
