date,Transaction,single_value,value
1996-06-26 00:00:00,added Brian Evans to ORL,-631.9,-631
1996-06-26 00:00:00,added Amal McCaskill to ORL,-610.4,-1242
1996-07-31 00:00:00,added Gerald Wilkins to ORL,-14330.999999999998,-15573
1996-08-09 00:00:00,lost Kenny Gattison to UTA,-0.0,-15573
1996-08-09 00:00:00,lost Brooks Thompson to UTA,120.8,-15452
1996-08-09 00:00:00,lost Andrei Kirilenko to UTA,-110307.9,-125760
1996-08-09 00:00:00,added Felton Spencer to ORL,11.4,-125749
1996-08-26 00:00:00,added Derek Strong to ORL,-9096.9,-134845
1996-09-03 00:00:00,added LeRon Ellis to ORL,0.0,-134845
1996-10-19 00:00:00,added Danny Schayes to ORL,-7768.4,-142614
1996-11-02 00:00:00,lost Jon Koncak to GSW,-0.0,-142614
1996-11-02 00:00:00,lost Donald Royal to GSW,2086.9,-140527
1996-11-02 00:00:00,lost Felton Spencer to GSW,14162.4,-126365
1996-11-02 00:00:00,added Clifford Rozier to ORL,0.0,-126365
1996-11-02 00:00:00,added Rony Seikaly to ORL,-5102.5,-131467
1996-11-02 00:00:00,added Laron Profit to ORL,0.0,-131467
1996-11-26 00:00:00,added Dell Demps to ORL,-42.0,-131509
1996-12-18 00:00:00,added Kenny Smith to ORL,-300.8,-131810
1997-06-25 00:00:00,added Johnny Taylor to ORL,-1205.0,-133015
1997-06-25 00:00:00,added Eric Washington to ORL,0.0,-133015
1997-06-25 00:00:00,lost Eric Washington to DEN,8060.2,-124955
1997-06-25 00:00:00,lost Kris Clack to DEN,-0.0,-124955
1997-06-25 00:00:00,added Jason Lawson to ORL,384.0,-124571
1997-09-05 00:00:00,added Bo Outlaw to ORL,26524.1,-98047
1997-09-08 00:00:00,added Tim Kempton to ORL,-198.0,-98245
1997-09-24 00:00:00,lost Dennis Scott to DAL,2336.1,-95908
1997-09-24 00:00:00,added Derek Harper to ORL,-2289.3,-98198
1997-09-24 00:00:00,added Ed O'Bannon to ORL,0.0,-98198
1997-09-30 00:00:00,added Rick Brunson to ORL,0.0,-98198
1997-10-28 00:00:00,lost Brian Shaw to GSW,3803.6,-94394
1997-10-28 00:00:00,lost David Vaughn to GSW,1771.0,-92623
1997-10-28 00:00:00,added Mark Price to ORL,-572.0,-93195
1997-12-10 00:00:00,added Carl Thomas to ORL,201.0,-92994
1997-12-23 00:00:00,added Donald Royal to ORL,-280.8,-93275
1998-01-05 00:00:00,added Vernon Maxwell to ORL,-963.3,-94238
1998-02-19 00:00:00,lost Brian Evans to NJN,111.10000000000002,-94127
1998-02-19 00:00:00,lost Rony Seikaly to NJN,1921.6,-92206
1998-02-19 00:00:00,added David Benoit to ORL,-745.1999999999999,-92951
1998-02-19 00:00:00,added Yinka Dare to ORL,0.0,-92951
1998-02-19 00:00:00,added Kevin Edwards to ORL,-297.0,-93248
1998-02-19 00:00:00,added Matt Harpring to ORL,0.0,-93248
1998-02-22 00:00:00,added Spud Webb to ORL,-387.6,-93635
1998-03-02 00:00:00,added Kevin Ollie to ORL,0.0,-93635
1998-03-22 00:00:00,added Kevin Ollie to ORL,-712.8,-94348
1998-06-24 00:00:00,added Michael Doleac to ORL,-11276.4,-105625
1998-06-24 00:00:00,added Keon Clark to ORL,0.0,-105625
1998-06-24 00:00:00,added Matt Harpring to ORL,-1692.1999999999998,-107317
1998-06-24 00:00:00,added Miles Simon to ORL,0.0,-107317
1999-01-21 00:00:00,added Jonathan Kerner to ORL,-110.5,-107427
1999-01-21 00:00:00,added Isaac Austin to ORL,-2266.2000000000003,-109693
1999-01-21 00:00:00,added Damon Jones to ORL,0.0,-109693
1999-01-21 00:00:00,lost Keon Clark to DEN,4379.4,-105314
1999-01-21 00:00:00,lost Johnny Taylor to DEN,2290.0,-103024
1999-01-21 00:00:00,added Keyon Dooling to ORL,0.0,-103024
1999-01-21 00:00:00,added Miles Simon to ORL,-330.6,-103355
1999-01-26 00:00:00,added Doug Overton to ORL,33.0,-103322
1999-02-05 00:00:00,added Dominique Wilkins to ORL,-604.8,-103926
1999-03-08 00:00:00,added Kevin Ollie to ORL,-52.4,-103979
1999-03-14 00:00:00,added B.J. Armstrong to ORL,-342.0,-104321
1999-06-30 00:00:00,added Laron Profit to ORL,0.0,-104321
1999-06-30 00:00:00,added Louis Bullock to ORL,0.0,-104321
1999-06-30 00:00:00,lost Horace Grant to SEA,1881.6,-102439
1999-06-30 00:00:00,lost Olumide Oyedeji to SEA,1989.0,-100450
1999-06-30 00:00:00,lost Bobby Simmons to SEA,-0.0,-100450
1999-06-30 00:00:00,added Dale Ellis to ORL,0.0,-100450
1999-06-30 00:00:00,added Don MacLean to ORL,0.0,-100450
1999-06-30 00:00:00,added Corey Maggette to ORL,-3425.0,-103875
1999-06-30 00:00:00,added Billy Owens to ORL,0.0,-103875
1999-08-03 00:00:00,lost Nick Anderson to SAC,1169.0,-102706
1999-08-03 00:00:00,added Tariq Abdul-Wahad to ORL,-964.0,-103670
1999-08-03 00:00:00,added Kendrick Perkins to ORL,0.0,-103670
1999-08-05 00:00:00,lost Anfernee Hardaway to PHO,-6623.5,-110294
1999-08-05 00:00:00,added Pat Garrity to ORL,-18711.6,-129005
1999-08-05 00:00:00,added Danny Manning to ORL,0.0,-129005
1999-08-05 00:00:00,added Jason Collins to ORL,0.0,-129005
1999-08-05 00:00:00,added Amar'e Stoudemire to ORL,0.0,-129005
1999-08-11 00:00:00,lost Isaac Austin to WAS,3753.6,-125252
1999-08-11 00:00:00,added Terry Davis to ORL,0.0,-125252
1999-08-11 00:00:00,added Tim Legler to ORL,0.0,-125252
1999-08-11 00:00:00,added Jeff McInnis to ORL,0.0,-125252
1999-08-11 00:00:00,added Ben Wallace to ORL,3526.2000000000003,-121726
1999-08-13 00:00:00,lost Billy Owens to PHI,2021.8,-119704
1999-08-13 00:00:00,added Harvey Grant to ORL,0.0,-119704
1999-08-13 00:00:00,added Anthony Parker to ORL,-370.0,-120074
1999-08-19 00:00:00,lost Dale Ellis to MIL,421.2,-119653
1999-08-19 00:00:00,lost Danny Manning to MIL,3164.2000000000003,-116488
1999-08-19 00:00:00,added Chris Gatling to ORL,-936.9,-117425
1999-08-19 00:00:00,added Armen Gilliam to ORL,0.0,-117425
1999-08-27 00:00:00,lost Matt Barnes to VAN,-0.0,-117425
1999-08-27 00:00:00,lost Don MacLean to HOU,-0.0,-117425
1999-08-27 00:00:00,lost Jason Collins to HOU,-0.0,-117425
1999-08-27 00:00:00,added Lee Mayberry to ORL,0.0,-117425
1999-08-27 00:00:00,added Makhtar N'Diaye to ORL,0.0,-117425
1999-08-27 00:00:00,added Rodrick Rhodes to ORL,0.0,-117425
1999-08-27 00:00:00,added Michael Smith to ORL,0.0,-117425
1999-09-17 00:00:00,added Monty Williams to ORL,-7166.300000000001,-124592
1999-09-20 00:00:00,added John Amaechi to ORL,-14641.0,-139233
1999-09-20 00:00:00,added Chucky Atkins to ORL,-1300.8000000000002,-140533
1999-09-22 00:00:00,lost Laron Profit to WAS,2723.2,-137810
1999-09-22 00:00:00,added Omar Cook to ORL,0.0,-137810
1999-11-15 00:00:00,added Earl Boykins to ORL,174.4,-137636
1999-12-21 00:00:00,added Kiwane Garris to ORL,-328.90000000000003,-137965
2000-02-01 00:00:00,lost Tariq Abdul-Wahad to DEN,4869.7,-133095
2000-02-01 00:00:00,lost Chris Gatling to DEN,770.0,-132325
2000-02-01 00:00:00,added Chauncey Billups to ORL,0.0,-132325
2000-02-01 00:00:00,added Ron Mercer to ORL,-3585.3,-135910
2000-02-01 00:00:00,added Johnny Taylor to ORL,-168.2,-136078
2000-02-24 00:00:00,lost Viktor Sanikidze to ATL,-0.0,-136078
2000-02-24 00:00:00,added Anthony Johnson to ORL,-1698.4,-137777
2000-06-28 00:00:00,added Mike Miller to ORL,-754.1,-138531
2000-06-28 00:00:00,added Keyon Dooling to ORL,-5735.799999999999,-144267
2000-06-28 00:00:00,added Courtney Alexander to ORL,0.0,-144267
2000-06-28 00:00:00,lost Courtney Alexander to DAL,2926.4,-141340
2000-06-28 00:00:00,added Brandon Armstrong to ORL,0.0,-141340
2000-06-28 00:00:00,lost Keyon Dooling to LAC,11208.8,-130131
2000-06-28 00:00:00,lost Corey Maggette to LAC,-17895.4,-148027
2000-06-28 00:00:00,lost Derek Strong to LAC,1276.6,-146750
2000-06-28 00:00:00,added Marcus Williams to ORL,0.0,-146750
2000-08-03 00:00:00,lost Chucky Atkins to DET,10370.2,-136380
2000-08-03 00:00:00,lost Ben Wallace to DET,-61910.4,-198290
2000-08-03 00:00:00,added Grant Hill to ORL,12788.2,-185502
2000-08-03 00:00:00,added Dee Brown to ORL,-1230.0,-186732
2000-08-03 00:00:00,lost Matt Harpring to CLE,2099.5,-184633
2000-08-03 00:00:00,added Andrew DeClercq to ORL,-14652.200000000004,-199285
2000-08-03 00:00:00,lost Fran Vázquez to TOR,-0.0,-199285
2000-08-03 00:00:00,added Tracy McGrady to ORL,89547.6,-109737
2000-08-10 00:00:00,added Troy Hudson to ORL,-7671.6,-117409
2000-08-15 00:00:00,added Don Reid to ORL,-6066.2,-123475
2000-09-21 00:00:00,added Ed O'Bannon to ORL,0.0,-123475
2000-11-02 00:00:00,added Elliot Perry to ORL,-136.5,-123612
2001-01-07 00:00:00,added James Robinson to ORL,-295.0,-123907
2001-01-29 00:00:00,added Cory Alexander to ORL,-1362.0,-125269
2001-06-02 00:00:00,lost Brandon Armstrong to HOU,-0.0,-125269
