date,Transaction,single_value,value
1990-06-27 00:00:00,added Dee Brown to BOS,11796,11796
1990-08-17 00:00:00,added Dave Popson to BOS,0,11796
1990-10-02 00:00:00,added Stojko Vranković to BOS,-1789,10006
1990-12-22 00:00:00,added Derek Smith to BOS,33,10040
1990-12-27 00:00:00,added Dave Popson to BOS,-563,9476
1991-03-25 00:00:00,added A.J. Wynder to BOS,0,9476
1991-04-12 00:00:00,added A.J. Wynder to BOS,-206,9270
1991-06-26 00:00:00,added Rick Fox to BOS,7401,16671
1991-09-25 00:00:00,added Kennard Winchester to BOS,0,16671
1991-10-02 00:00:00,added Steve Scheffler to BOS,0,16671
1991-10-29 00:00:00,added Larry Robinson to BOS,-155,16515
1991-10-30 00:00:00,added Kevin Pritchard to BOS,0,16515
1991-11-06 00:00:00,added Rickey Green to BOS,-770,15745
1991-11-27 00:00:00,added Kevin Pritchard to BOS,-40,15704
1992-01-10 00:00:00,added Tony Massenburg to BOS,-368,15336
1992-01-10 00:00:00,lost Brian Shaw to MIA,1984,17320
1992-01-10 00:00:00,added Sherman Douglas to BOS,-6141,11179
1992-01-18 00:00:00,added Kenny Battle to BOS,9,11188
1992-06-24 00:00:00,added Jon Barry to BOS,0,11188
1992-06-24 00:00:00,added Darren Morningstar to BOS,0,11188
1992-09-10 00:00:00,added Xavier McDaniel to BOS,-7058,4130
1992-09-16 00:00:00,added Kenny Battle to BOS,2,4133
1992-09-21 00:00:00,added Marcus Webb to BOS,-107,4026
1992-10-02 00:00:00,added Joe Wolf to BOS,-151,3874
1992-10-08 00:00:00,added Bart Kofoed to BOS,0,3874
1992-12-02 00:00:00,added Bart Kofoed to BOS,-20,3854
1992-12-04 00:00:00,lost Jon Barry to MIL,1879,5733
1992-12-04 00:00:00,lost Eric Snow to MIL,0,5733
1992-12-04 00:00:00,added Alaa Abdelnaby to BOS,-5784,-50
1992-12-24 00:00:00,added John Bagley to BOS,-950,-1001
1993-01-11 00:00:00,added Lorenzo Williams to BOS,0,-1001
1993-02-01 00:00:00,added Lorenzo Williams to BOS,-90,-1092
1993-06-30 00:00:00,added Acie Earl to BOS,-9319,-10411
1993-09-01 00:00:00,added Jimmy Oliver to BOS,-2322,-12733
1993-09-15 00:00:00,added Chris Corchiani to BOS,-1120,-13854
1993-09-17 00:00:00,added Brian Oliver to BOS,0,-13854
1993-09-30 00:00:00,added Matt Wenstrom to BOS,-136,-13991
1994-03-06 00:00:00,added Tony Harris to BOS,24,-13966
1994-03-29 00:00:00,added Todd Lichti to BOS,-19,-13986
