date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2010-07-10 00:00:00,lost LeBron James to MIA,-109362.2,-109362,-33.2,-33.2
2010-07-10 00:00:00,added Milan Mačvan to CLE,0.0,-109362,0.0,-33.2
2010-07-10 00:00:00,added Jae Crowder to CLE,0.0,-109362,0.0,-33.2
2010-07-10 00:00:00,added Nemanja Nedović to CLE,0.0,-109362,0.0,-33.2
2010-07-10 00:00:00,added Timothé Luwawu-Cabarrot to CLE,0.0,-109362,0.0,-33.2
2010-07-21 00:00:00,added Samardo Samuels to CLE,-9653.5,-119015,-1.6,-34.8
2010-07-26 00:00:00,lost Sebastian Telfair to MIN,2488.5,-116527,0.3,-34.5
2010-07-26 00:00:00,lost Delonte West to MIN,-0.0,-116527,-0.0,-34.5
2010-07-26 00:00:00,added Ryan Hollins to CLE,-7652.799999999999,-124180,-1.2,-35.7
2010-07-26 00:00:00,added Ramon Sessions to CLE,36.29999999999996,-124143,1.7000000000000002,-34.0
2010-07-26 00:00:00,added Jeff Withey to CLE,0.0,-124143,0.0,-34.0
2010-07-30 00:00:00,added Joey Graham to CLE,-3398.8,-127542,-0.6,-34.6
2010-09-25 00:00:00,added Cedric Jackson to CLE,0.0,-127542,0.0,-34.6
2010-09-25 00:00:00,added Manny Harris to CLE,-3265.5,-130808,-0.4,-35.0
2010-12-28 00:00:00,added Alonzo Gee to CLE,-14564.3,-145372,-0.5,-35.5
2011-02-24 00:00:00,lost Jeff Withey to BOS,-0.0,-145372,-0.0,-35.5
2011-02-24 00:00:00,added Semih Erden to CLE,-2123.2,-147495,-0.3,-35.8
2011-02-24 00:00:00,added Luke Harangody to CLE,-1810.2,-149305,-0.2,-36.0
2011-02-24 00:00:00,lost Jamario Moon to LAC,528.1999999999999,-148777,-0.0,-36.0
2011-02-24 00:00:00,lost Mo Williams to LAC,1007.0,-147770,-0.9,-36.9
2011-02-24 00:00:00,added Baron Davis to CLE,1482.0,-146288,0.6,-36.3
2011-02-24 00:00:00,added Kyrie Irving to CLE,0.0,-146288,0.0,-36.3
2011-06-23 00:00:00,added Kyrie Irving to CLE,46063.9,-100224,18.1,-18.2
2011-06-23 00:00:00,added Tristan Thompson to CLE,-28664.9,-128889,1.7,-16.5
2011-06-23 00:00:00,added Justin Harper to CLE,0.0,-128889,0.0,-16.5
2011-06-23 00:00:00,added Milan Mačvan to CLE,0.0,-128889,0.0,-16.5
2011-06-23 00:00:00,lost Justin Harper to ORL,831.6,-128057,0.2,-16.3
2011-06-23 00:00:00,added Allen Crabbe to CLE,0.0,-128057,0.0,-16.3
2011-06-23 00:00:00,added Joe Harris to CLE,-2849.3,-130907,-0.4,-16.7
2011-06-30 00:00:00,lost J.J. Hickson to SAC,2640.4,-128266,0.3,-16.4
2011-06-30 00:00:00,added Omri Casspi to CLE,-3000.5000000000005,-131267,0.1,-16.299999999999997
2011-06-30 00:00:00,added Jordan Bell to CLE,0.0,-131267,0.0,-16.299999999999997
2011-12-15 00:00:00,added Mychel Thompson to CLE,-674.5,-131941,-0.1,-16.4
2012-02-10 00:00:00,added Ben Uzoh to CLE,76.7,-131865,0.0,-16.4
2012-02-21 00:00:00,added Manny Harris to CLE,-1048.8,-132913,0.0,-16.4
2012-03-15 00:00:00,lost Christian Eyenga to LAL,36.1,-132877,-0.0,-16.4
2012-03-15 00:00:00,lost Ramon Sessions to LAL,70.10000000000001,-132807,-0.3,-16.7
2012-03-15 00:00:00,added Jason Kapono to CLE,0.0,-132807,0.0,-16.7
2012-03-15 00:00:00,added Luke Walton to CLE,-3368.6,-136176,-0.3,-17.0
2012-03-15 00:00:00,added Jared Cunningham to CLE,0.0,-136176,0.0,-17.0
2012-03-15 00:00:00,added Nemanja Nedović to CLE,0.0,-136176,0.0,-17.0
2012-03-16 00:00:00,added Donald Sloan to CLE,-4028.5,-140204,-0.6,-17.6
2012-03-30 00:00:00,added Lester Hudson to CLE,-533.8,-140738,0.0,-17.6
2012-04-21 00:00:00,added D.J. Kennedy to CLE,-395.3,-141133,-0.1,-17.700000000000003
2012-06-28 00:00:00,added Dion Waiters to CLE,-8839.2,-149973,0.0999999999999999,-17.6
2012-06-28 00:00:00,added Jared Cunningham to CLE,-1988.0,-151961,-0.3,-17.900000000000002
2012-06-28 00:00:00,added Bernard James to CLE,0.0,-151961,0.0,-17.900000000000002
2012-06-28 00:00:00,added Jae Crowder to CLE,-4038.0,-155999,-0.3,-18.200000000000003
2012-06-29 00:00:00,lost Jae Crowder to DAL,1128.7,-154870,-1.1,-19.300000000000004
2012-06-29 00:00:00,lost Jared Cunningham to DAL,39.0,-154831,-0.0,-19.300000000000004
2012-06-29 00:00:00,lost Bernard James to DAL,1320.2,-153511,-0.0,-19.300000000000004
2012-06-29 00:00:00,added Kelenna Azubuike to CLE,0.0,-153511,0.0,-19.300000000000004
2012-06-29 00:00:00,added Tyler Zeller to CLE,-10439.8,-163950,-1.1,-20.40000000000001
2012-07-20 00:00:00,added Jon Leuer to CLE,-846.3000000000001,-164797,-0.2,-20.600000000000005
2012-07-25 00:00:00,lost D.J. Kennedy to MEM,-0.0,-164797,-0.0,-20.600000000000005
2012-07-25 00:00:00,added Jeremy Pargo to CLE,-1206.9,-166004,-0.1,-20.700000000000006
2012-07-25 00:00:00,added Vasilije Micić to CLE,0.0,-166004,0.0,-20.700000000000006
2012-08-08 00:00:00,added C.J. Miles to CLE,3862.0,-162142,2.2,-18.500000000000007
2012-11-29 00:00:00,added Kevin Jones to CLE,-1369.4,-163511,-0.2,-18.700000000000006
2012-12-25 00:00:00,added Shaun Livingston to CLE,-227.0,-163738,0.5,-18.200000000000006
2013-01-22 00:00:00,lost Jon Leuer to MEM,1569.1999999999998,-162169,-0.5,-18.700000000000006
2013-01-22 00:00:00,added Wayne Ellington to CLE,-492.5,-162661,0.4,-18.300000000000008
2013-01-22 00:00:00,added Josh Selby to CLE,0.0,-162661,0.0,-18.300000000000008
2013-01-22 00:00:00,added Marreese Speights to CLE,-2235.1,-164896,-0.2,-18.500000000000007
2013-01-22 00:00:00,added Harry Giles to CLE,0.0,-164896,0.0,-18.500000000000007
2013-03-20 00:00:00,added Chris Quinn to CLE,-717.5999999999999,-165614,-0.1,-18.60000000000001
2013-06-27 00:00:00,added Anthony Bennett to CLE,0.0,-165614,0.0,-18.60000000000001
2013-06-27 00:00:00,added Sergey Karasev to CLE,-1310.4,-166924,-0.3,-18.90000000000001
2013-06-27 00:00:00,added Allen Crabbe to CLE,0.0,-166924,0.0,-18.90000000000001
2013-06-27 00:00:00,added Carrick Felix to CLE,-129.2,-167054,0.0,-18.90000000000001
2013-06-27 00:00:00,lost Allen Crabbe to POR,6191.6,-160862,-1.0,-19.90000000000001
2013-06-27 00:00:00,added Sir'Dominic Pointer to CLE,0.0,-160862,0.0,-19.90000000000001
2013-06-27 00:00:00,added Paul Zipser to CLE,0.0,-160862,0.0,-19.90000000000001
2013-07-12 00:00:00,added Jarrett Jack to CLE,-4729.2,-165591,-0.1,-20.00000000000001
2013-07-12 00:00:00,added Earl Clark to CLE,-1814.8,-167406,-0.1,-20.10000000000001
2013-07-19 00:00:00,added Andrew Bynum to CLE,-912.0,-168318,0.0,-20.10000000000001
2013-08-20 00:00:00,added Anthony Bennett to CLE,-4906.2,-173224,-0.9,-21.00000000000001
2013-09-30 00:00:00,added Elliot Williams to CLE,0.0,-173224,0.0,-21.00000000000001
2014-01-06 00:00:00,lost Andrew Bynum to CHI,-0.0,-173224,-0.0,-21.00000000000001
2014-01-06 00:00:00,lost Sir'Dominic Pointer to CHI,-0.0,-173224,-0.0,-21.00000000000001
2014-01-06 00:00:00,lost Paul Zipser to CHI,8735.6,-164489,1.3,-19.70000000000001
2014-01-06 00:00:00,lost Jordan Bell to CHI,-5.4,-164494,-0.0,-19.70000000000001
2014-01-06 00:00:00,added Luol Deng to CLE,-1217.7,-165712,0.4,-19.30000000000001
