date,Transaction,single_value,value
1996-06-26,added Allen Iverson to PHI,110039.5,110039
1996-06-26,added Mark Hendrickson to PHI,-1535.1,108504
1996-06-26,added Ryan Minor to PHI,0.0,108504
1996-06-26,added Jamie Feick to PHI,0.0,108504
1996-07-16,added Don MacLean to PHI,-2932.0,105572
1996-07-23,added Lucious Harris to PHI,-2032.5,103539
1996-08-22,added Michael Cage to PHI,-997.6,102542
1996-09-11,added Mark Davis to PHI,-4199.0,98343
1996-10-01,added Michael Hawkins to PHI,0.0,98343
1996-10-03,added Doug Overton to PHI,-3803.9,94539
1996-10-17,added Mark Bradtke to PHI,-1154.6,93384
1997-01-15,added Adrian Caldwell to PHI,0.0,93384
1997-01-18,added Joe Courtney to PHI,-535.6,92849
1997-02-04,added Adrian Caldwell to PHI,-2372.5,90476
1997-04-05,added Frankie King to PHI,0.0,90476
1997-04-15,added Frankie King to PHI,-76.7,90400
