date,Transaction,single_value,value
1991-06-26,added Greg Anthony to NYK,7266.200000000001,7266
1991-07-03,lost Leonard White to LAC,-0.0,7266
1991-07-03,added Joe Wylie to NYK,0.0,7266
1991-07-30,added Anthony Mason to NYK,9461.2,16727
1991-08-14,added Patrick Eddie to NYK,-323.7,16403
1991-09-30,added Carlton McKinney to NYK,-282.6,16121
1991-10-01,lost Jerrod Mustaf to PHO,3661.2,19782
1991-10-01,lost Trent Tucker to PHO,-0.0,19782
1991-10-01,lost Brian Davis to PHO,-0.0,19782
1991-10-01,lost Anthony Goldwire to PHO,-0.0,19782
1991-10-01,added Xavier McDaniel to NYK,-3047.2000000000003,16735
1991-10-03,lost Maurice Cheeks to ATL,-543.0,16192
1991-10-03,added Tim McCormick to NYK,-248.4,15943
1991-10-03,added Charlie Ward to NYK,0.0,15943
1991-10-03,added Jeff Sanders to NYK,0.0,15943
1991-11-14,added Kennard Winchester to NYK,422.4,16366
1992-02-20,lost Brian Quinnett to DAL,625.5999999999999,16991
1992-02-20,added James Donaldson to NYK,-842.4,16149
1992-06-24,added Hubert Davis to NYK,6621.3,22770
1992-06-24,lost Loren Meyer to DAL,10059.4,32830
1992-06-24,added Rolando Blackman to NYK,-2457.3,30372
1992-09-13,lost Amal McCaskill to MIN,-0.0,30372
1992-09-13,added Tony Campbell to NYK,-1373.1,28999
1992-09-22,lost Geert Hammink to ORL,96.4,29096
1992-09-22,lost Mark Jackson to LAC,-5651.199999999999,23444
1992-09-22,lost Constantin Popa to LAC,-0.0,23444
1992-09-22,added Bo Kimble to NYK,-484.00000000000006,22960
1992-09-22,added Doc Rivers to NYK,6873.3,29834
1992-09-22,added Charles Smith to NYK,-5384.1,24450
1992-10-08,added Eric Anderson to NYK,-445.3,24004
1992-11-15,added Herb Williams to NYK,-8562.6,15442
1993-10-05,added Anthony Bonner to NYK,-399.60000000000014,15042
1993-12-18,added Corey Gaines to NYK,553.8,15596
1994-01-05,added Gerald Paddio to NYK,-113.6,15482
1994-01-06,lost Tony Campbell to DAL,2505.0,17987
1994-01-06,lost John Thomas to DAL,-0.0,17987
1994-01-06,added Derek Harper to NYK,4742.8,22730
1994-06-29,added Monty Williams to NYK,-2333.0,20397
1994-06-29,added Charlie Ward to NYK,29906.8,50304
1994-10-06,added Ron Grandison to NYK,-10.400000000000006,50293
1994-10-13,lost Paul Rogers to LAL,-0.0,50293
1994-10-13,added Doug Christie to NYK,-913.9,49379
1995-01-03,added Greg Kite to NYK,-254.4,49125
1995-09-01,lost Pat Riley to MIA,-0.0,49125
1995-09-01,added Walter McCarty to NYK,0.0,49125
1995-10-06,added Anthony Tucker to NYK,0.0,49125
1995-11-08,added Gary Grant to NYK,-238.4,48887
1996-02-08,lost Charles Smith to SAS,2753.8,51640
1996-02-08,lost Monty Williams to SAS,4123.8,55764
1996-02-08,added Brad Lohaus to NYK,487.5,56252
1996-02-08,added J.R. Reid to NYK,-1273.0,54979
1996-02-08,added John Wallace to NYK,0.0,54979
1996-02-18,lost Doug Christie to TOR,-11331.5,43647
1996-02-18,lost Herb Williams to TOR,201.5,43849
1996-02-18,added Victor Alexander to NYK,0.0,43849
1996-02-18,added Willie Anderson to NYK,-1190.4,42658
1996-02-24,added Matt Fish to NYK,45.900000000000006,42704
1996-02-28,added Herb Williams to NYK,-1836.0,40868
1996-03-12,added Ron Grandison to NYK,0.0,40868
1996-03-29,added Ron Grandison to NYK,96.9,40965
1996-06-26,added John Wallace to NYK,-3257.4999999999995,37708
1996-06-26,added Walter McCarty to NYK,-864.0,36844
1996-06-26,added Dontae' Jones to NYK,0.0,36844
1996-07-14,added Chris Childs to NYK,-8098.200000000001,28746
1996-07-14,added Allan Houston to NYK,6979.799999999999,35725
1996-07-14,lost Brad Lohaus to CHH,-0.0,35725
1996-07-14,lost Anthony Mason to CHH,-20747.300000000003,14978
1996-07-14,added Larry Johnson to NYK,8197.1,23175
1996-07-24,lost Hubert Davis to TOR,3052.7000000000003,26228
1996-07-24,added John Thomas to NYK,0.0,26228
1996-07-26,added Buck Williams to NYK,-736.0,25492
1996-09-04,added Herb Williams to NYK,-1442.6,24049
1996-10-02,added Chris Jent to NYK,-2.0,24047
1996-10-02,added Eric Leckner to NYK,0.0,24047
1996-10-14,added Scott Brooks to NYK,376.5,24424
1997-06-25,added John Thomas to NYK,0.0,24424
1997-10-01,added Pete Myers to NYK,120.0,24544
1997-10-10,lost John Wallace to TOR,8869.4,33413
1997-10-10,lost Bryce Drew to POR,-0.0,33413
1997-10-10,added Chris Dudley to NYK,-6364.7,27048
1997-10-10,added Quentin Richardson to NYK,-9464.8,17584
1997-10-22,lost Scott Brooks to BOS,-0.0,17584
1997-10-22,lost Dontae' Jones to BOS,991.9,18575
1997-10-22,lost Walter McCarty to BOS,14023.4,32599
1997-10-22,lost John Thomas to BOS,1288.0,33887
1997-10-22,added Chris Mills to NYK,-873.2,33014
1997-10-22,added DeMarco Johnson to NYK,0.0,33014
1997-10-22,added Lavor Postell to NYK,-2213.6000000000004,30800
1997-10-23,added Rick Brunson to NYK,0.0,30800
1998-01-06,added Anthony Bowie to NYK,89.60000000000001,30890
1998-01-30,added Brooks Thompson to NYK,0.0,30890
1998-02-09,added Brooks Thompson to NYK,-169.39999999999998,30720
1998-02-19,lost Ron Grandison to PHI,-0.0,30720
1998-02-19,lost Herb Williams to PHI,-0.0,30720
1998-02-19,added Terry Cummings to NYK,-1163.8000000000002,29557
1998-02-28,added Ben Davis to NYK,0.0,29557
1998-03-20,added Ben Davis to NYK,-228.8,29328
1998-06-24,added DeMarco Johnson to NYK,-381.1,28947
1998-06-24,added Sean Marks to NYK,0.0,28947
1998-06-25,lost Sean Marks to TOR,322.8,29269
1998-06-25,lost Charles Oakley to TOR,12814.6,42084
1998-06-25,added Marcus Camby to NYK,14170.399999999998,56254
1999-01-21,added Ben Davis to NYK,134.4,56389
1999-01-21,added Rick Brunson to NYK,-2030.7,54358
1999-01-21,lost Terry Cummings to GSW,1454.3,55812
1999-01-21,lost Chris Mills to GSW,4250.400000000001,60063
1999-01-21,lost John Starks to GSW,867.1999999999998,60930
1999-01-21,added Latrell Sprewell to NYK,4615.899999999999,65546
1999-01-22,added Kurt Thomas to NYK,-5467.599999999999,60078
1999-01-24,added Dennis Scott to NYK,-885.8,59192
1999-02-01,added David Wingate to NYK,-822.0,58370
1999-03-11,lost Quentin Richardson to PHI,-0.0,58370
1999-03-11,added Mirsad Türkcan to NYK,-202.5,58168
1999-08-19,,0.0,58168
1999-08-19,lost Chris Gatling to ORL,936.9,59105
1999-08-19,lost Armen Gilliam to ORL,-0.0,59105
1999-08-19,added Dale Ellis to MIL,-421.2,58684
1999-08-19,added Danny Manning to MIL,-3164.2000000000003,55520
1999-08-20,added J.R. Reid to MIL,-2167.2000000000003,53352
1999-09-22,added Darvin Ham to MIL,-5698.8,47654
2000-01-18,lost Dale Ellis to CHH,1368.0,49022
2000-01-18,added Jason Hart to MIL,0.0,49022
2000-01-18,added Chris Owens to MIL,0.0,49022
2000-02-16,added Mirsad Türkcan to MIL,-370.5,48651
2000-04-20,added Maceo Baston to MIL,0.0,48651
2000-06-27,lost Vinny Del Negro to GSW,2296.8,50948
2000-06-27,lost J.R. Reid to CLE,-58.5,50889
2000-06-27,lost Robert Traylor to CLE,5920.2,56810
2000-06-27,added Jason Caffey to MIL,-9149.1,47660
2000-06-27,added Billy Owens to MIL,0.0,47660
2000-06-28,added Jason Collier to MIL,0.0,47660
2000-06-28,added Michael Redd to MIL,46791.2,94452
2000-06-28,added Jason Hart to MIL,-102.0,94350
2000-06-28,lost Jason Collier to HOU,3486.6,97836
2000-06-28,lost Jeryl Sasser to HOU,-0.0,97836
2000-06-28,added Joel Przybilla to MIL,-7137.099999999999,90699
2000-08-22,lost Billy Owens to DET,1506.6999999999998,92206
2000-08-22,added Lindsey Hunter to MIL,2402.4,94608
2000-09-27,added Mark Pope to MIL,-4521.0,90087
2000-11-24,added Jerome Kersey to MIL,-72.89999999999999,90014
2001-06-27,added Andre Hutson to MIL,0.0,90014
2001-06-28,lost Lindsey Hunter to LAL,2424.0,92438
2001-06-28,added Greg Foster to MIL,-244.8,92194
2001-10-01,added Mark Strickland to MIL,0.0,92194
2001-10-01,added Byron Houston to MIL,0.0,92194
2001-10-22,lost Scott Williams to DEN,4053.5,96247
2001-10-22,lost Josh Smith to DEN,-0.0,96247
2001-10-22,added Aleksandar Radojević to MIL,0.0,96247
2001-10-22,added Kevin Willis to MIL,0.0,96247
2001-10-22,lost Kevin Willis to HOU,2595.0,98842
2001-10-22,added Dan Gadzuric to MIL,0.0,98842
2001-10-25,added Anthony Mason to MIL,-4852.4,93990
2002-03-05,added Greg Anthony to MIL,-2322.6,91667
2002-06-26,added Marcus Haislip to MIL,-2838.6,88828
2002-06-26,added Dan Gadzuric to MIL,-14663.1,74165
2002-06-26,added Ronald Murray to MIL,-268.8,73896
2002-06-26,added Chris Owens to MIL,0.0,73896
2002-06-26,lost Rashard Griffith to ORL,-0.0,73896
2002-06-26,added Jamal Sampson to MIL,-25.6,73871
2002-06-26,lost Chris Owens to MEM,3.0,73874
2002-06-26,added Szymon Szewczyk to MIL,0.0,73874
2002-08-02,lost Glenn Robinson to ATL,2072.8,75947
2002-08-02,added Toni Kukoč to MIL,8780.0,84727
2002-08-02,added Leon Smith to MIL,0.0,84727
2002-08-02,added T.J. Ford to MIL,0.0,84727
2002-08-23,added Mike Wilks to MIL,0.0,84727
2002-09-06,added Kevin Ollie to MIL,-1239.7,83487
2002-09-25,added Laron Profit to MIL,0.0,83487
2002-09-26,added Cedric Henderson to MIL,0.0,83487
2003-02-20,lost Ray Allen to SEA,-50577.7,32909
2003-02-20,lost Ronald Murray to SEA,11620.0,44529
2003-02-20,lost Kevin Ollie to SEA,-154.0,44375
2003-02-20,lost Luke Ridnour to SEA,7324.1,51699
2003-02-20,added Desmond Mason to MIL,-10359.0,41340
2003-02-20,added Gary Payton to MIL,1410.5,42751
2003-06-26,added T.J. Ford to MIL,-6601.2,36150
2003-06-26,added Szymon Szewczyk to MIL,0.0,36150
2003-06-26,added Keith Bogans to MIL,0.0,36150
2003-06-26,lost Keith Bogans to ORL,4927.2,41077
2003-06-27,lost Sam Cassell to MIN,-14313.6,26763
2003-06-27,lost Ervin Johnson to MIN,3468.5,30232
2003-06-27,added Anthony Peeler to MIL,0.0,30232
2003-06-27,added Joe Smith to MIL,-4714.1,25518
2003-08-08,,0.0,25518
2003-08-08,added Gilbert Arenas to WAS,48535.3,74053
2003-08-25,added Chris Whitney to WAS,-74.4,73979
2003-10-01,added Mitchell Butler to WAS,-1269.6,72709
2003-11-05,lost Jahidi White to PHO,3960.6,76670
2003-11-05,added Brevin Knight to WAS,-717.6,75952
2004-01-16,added Torraye Braggs to WAS,-189.2,75763
2004-06-24,added Devin Harris to WAS,0.0,75763
2004-06-24,added Peter John Ramos to WAS,-200.0,75563
2004-06-24,lost Devin Harris to DAL,-6648.499999999998,68914
2004-06-24,lost Christian Laettner to DAL,-0.0,68914
2004-06-24,lost Jerry Stackhouse to DAL,3017.5,71932
2004-06-24,added Antawn Jamison to WAS,16739.5,88671
2004-07-29,added Anthony Peeler to WAS,-1005.1,87666
2004-08-02,added Michael Ruffin to WAS,-6976.1,80690
2004-08-04,added Samaki Walker to WAS,-938.0,79752
2004-10-01,added Laron Profit to WAS,-813.1999999999999,78939
2004-10-01,added Gerald Fitch to WAS,0.0,78939
2004-10-01,added Billy Thomas to WAS,0.0,78939
2005-03-17,added Damone Brown to WAS,-942.4,77996
2005-06-28,added Andray Blatche to WAS,-13189.7,64807
2005-08-02,lost Kwame Brown to LAL,6251.700000000001,71058
