date,Transaction,single_value,value
1990-02-21,lost Michael Cutright to NJN,-0.0,0
1990-02-21,added Joe Barry Carroll to DEN,-1653.6999999999998,-1653
1990-06-21,lost Fat Lever to DAL,-1883.3,-3537
1990-06-21,added Willie Burton to DEN,0.0,-3537
1990-06-21,added LaBradford Smith to DEN,0.0,-3537
1990-06-22,lost Willie Burton to MIA,13278.5,9741
1990-06-22,lost Dave Jamerson to MIA,-0.0,9741
1990-06-22,added Mahmoud Abdul-Rauf to DEN,-4116.699999999999,5624
1997-11-30,,0.0,5624
1997-11-30,added Oliver Miller to TOR,-2930.4,2694
1997-12-01,added Tim Kempton to TOR,-387.2,2307
1998-01-06,added Bob McCann to TOR,-87.0,2220
1998-01-06,added Lloyd Daniels to TOR,-270.6,1949
1998-02-13,lost Carlos Rogers to POR,33.5,1983
1998-02-13,lost Damon Stoudamire to POR,-8799.0,-6815
1998-02-13,lost Walt Williams to POR,-4114.8,-10930
1998-02-13,added Kenny Anderson to TOR,0.0,-10930
1998-02-13,added Gary Trent to TOR,-1846.0,-12776
1998-02-13,added Alvin Williams to TOR,-3959.2,-16735
1998-02-13,added Bryce Drew to TOR,0.0,-16735
1998-02-13,added Mirsad Türkcan to TOR,0.0,-16735
1998-02-13,added Tyson Wheeler to TOR,0.0,-16735
1998-02-18,lost Kenny Anderson to BOS,-3024.800000000001,-19760
1998-02-18,lost Popeye Jones to BOS,659.2,-19101
1998-02-18,lost Žan Tabak to BOS,1090.4,-18011
1998-02-18,added Chauncey Billups to TOR,-3680.0,-21691
1998-02-18,added Dee Brown to TOR,2080.2000000000003,-19610
1998-02-18,added Roy Rogers to TOR,-869.4,-20480
1998-02-18,added John Thomas to TOR,-5937.700000000001,-26418
1998-06-09,lost Roy Rogers to HOU,-0.0,-26418
1998-06-09,lost Bryce Drew to HOU,5140.8,-21277
1998-06-09,lost Mirsad Türkcan to HOU,-0.0,-21277
1998-06-09,added Kevin Willis to TOR,-13708.6,-34985
1998-06-24,added Antawn Jamison to TOR,0.0,-34985
1998-06-24,added Tyson Wheeler to TOR,0.0,-34985
1998-06-24,lost Antawn Jamison to GSW,-3090.4,-38076
1998-06-24,added Vince Carter to TOR,73299.29999999999,35223
1998-06-25,lost Marcus Camby to NYK,-14170.399999999998,21052
1998-06-25,added Sean Marks to TOR,-322.8,20729
1998-06-25,added Charles Oakley to TOR,-12814.6,7915
1999-01-21,lost Chauncey Billups to DEN,-21545.2,-13629
1999-01-21,lost Tyson Wheeler to DEN,-153.3,-13783
1999-01-21,added Jonathan Bender to TOR,0.0,-13783
1999-01-21,added Željko Rebrača to TOR,0.0,-13783
1999-01-21,added Micheal Williams to TOR,-199.5,-13982
1999-01-21,added Morris Peterson to TOR,0.0,-13982
1999-01-21,added Negele Knight to TOR,-571.1999999999999,-14553
1999-01-21,added Michael Stewart to TOR,-6329.099999999999,-20883
1999-01-22,added LaMark Baker to TOR,-127.4,-21010
1999-01-22,added William Cunningham to TOR,-3.4,-21013
1999-06-30,added Jonathan Bender to TOR,0.0,-21013
1999-06-30,added Aleksandar Radojević to TOR,-290.4,-21304
1999-08-01,lost Jonathan Bender to IND,8852.400000000001,-12451
1999-08-01,added Antonio Davis to TOR,-17203.4,-29655
1999-08-05,added Dell Curry to TOR,276.79999999999995,-29378
1999-09-23,added Muggsy Bogues to TOR,-3014.4000000000005,-32392
1999-10-04,added Antonio Lang to TOR,0.0,-32392
2000-01-14,added Antonio Lang to TOR,-278.4,-32671
2000-06-28,added Morris Peterson to TOR,-3058.5999999999995,-35729
2000-06-28,added DeeAndre Hulett to TOR,0.0,-35729
2000-08-03,lost Tracy McGrady to ORL,-89547.6,-125277
2000-08-03,added Fran Vázquez to TOR,0.0,-125277
2000-08-11,added Mark Jackson to TOR,3243.6,-122033
2000-08-25,added Kornél Dávid to TOR,-322.0,-122355
2000-09-30,lost Doug Christie to SAC,-23773.300000000003,-146129
2000-09-30,added Corliss Williamson to TOR,-3278.2000000000003,-149407
2000-10-02,added Garth Joseph to TOR,-48.8,-149456
2000-10-20,added Tyrone Corbin to TOR,-1509.3,-150965
2000-10-25,added Vladimir Stepania to TOR,0.0,-150965
2001-01-12,lost Garth Joseph to DEN,268.8,-150696
2001-01-12,lost Aleksandar Radojević to DEN,-0.0,-150696
2001-01-12,lost Kevin Willis to DEN,3706.5,-146990
2001-01-12,lost Ousmane Cisse to DEN,-0.0,-146990
2001-01-12,added Keon Clark to TOR,-561.5,-147551
2001-01-12,added Tracy Murray to TOR,-1404.3,-148955
2001-01-12,added Mamadou N'Diaye to TOR,-1367.2,-150323
2001-02-22,lost Tyrone Corbin to DET,-0.0,-150323
2001-02-22,lost Kornél Dávid to DET,89.7,-150233
2001-02-22,lost Corliss Williamson to DET,5221.1,-145012
2001-02-22,lost Fran Vázquez to DET,-0.0,-145012
2001-02-22,added Eric Montross to TOR,-4226.9,-149239
2001-02-22,added Jerome Williams to TOR,30.79999999999984,-149208
2001-02-22,lost Muggsy Bogues to NYK,-0.0,-149208
2001-02-22,lost Mark Jackson to NYK,-3315.6000000000004,-152524
2001-02-22,added Chris Childs to TOR,-8929.2,-161453
2001-02-22,added Kareem Rush to TOR,0.0,-161453
2001-06-27,added Michael Bradley to TOR,-5360.799999999999,-166814
2001-07-18,lost Željko Rebrača to DET,4846.3,-161967
2001-07-18,added Tito Maddox to TOR,0.0,-161967
2001-07-18,lost Charles Oakley to CHI,7053.299999999999,-154914
2001-07-18,lost Jason Jennings to CHI,-0.0,-154914
2001-07-18,added Brian Skinner to TOR,0.0,-154914
2001-08-02,lost Boštjan Nachbar to HOU,1727.1,-153187
2001-08-02,lost Tito Maddox to HOU,49.0,-153138
2001-08-02,added Hakeem Olajuwon to TOR,-551.2,-153689
2001-09-28,added Carlos Arroyo to TOR,-326.4,-154015
2001-10-26,lost Brian Skinner to CLE,2656.8,-151359
2001-10-26,added Don MacLean to TOR,0.0,-151359
2002-01-10,added Jermaine Jackson to TOR,-448.0,-151807
2002-03-28,added Derrick Dial to TOR,-75.0,-151882
2002-06-26,added Kareem Rush to TOR,0.0,-151882
2002-06-26,lost Tracy Murray to LAL,1331.7,-150550
2002-06-26,lost Kareem Rush to LAL,8560.3,-141990
2002-06-26,lost Luke Walton to LAL,6073.099999999999,-135917
2002-06-26,added Lindsey Hunter to TOR,-2153.6,-138070
2002-06-26,added Chris Jefferies to TOR,-3691.6,-141762
2002-06-26,added Remon van de Hare to TOR,0.0,-141762
2002-07-26,added Nate Huffman to TOR,-494.0,-142256
2002-09-25,lost Michael Stewart to CLE,1849.6,-140406
2002-09-25,lost Jared Dudley to CLE,-0.0,-140406
2002-09-25,added Lamond Murray to TOR,-1968.4,-142375
2002-09-25,added Albert Miralles to TOR,0.0,-142375
2002-09-28,added Jelani McCoy to TOR,-5194.599999999999,-147569
2002-10-21,added Voshon Lenard to TOR,-1929.0,-149498
2002-11-06,added Greg Foster to TOR,-4689.299999999999,-154187
2002-11-20,added Jermaine Jackson to TOR,-1401.4,-155589
2003-01-13,added Damone Brown to TOR,-1058.0,-156647
2003-01-17,added Rafer Alston to TOR,1661.3000000000002,-154986
2003-01-18,added Art Long to TOR,-664.0,-155650
2003-01-27,added Zendon Hamilton to TOR,-37.2,-155687
2003-02-10,added Maceo Baston to TOR,13.299999999999995,-155673
