date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2021-07-31 00:00:00,lost Josh Richardson to BOS,-326.1,-326,-0.6,-0.6,trade,Josh Richardson
2021-07-31 00:00:00,added Moses Brown to DAL,-811.1999999999998,-1137,-0.1,-0.7,trade,Moses Brown
2021-08-03 00:00:00,added Nate Hinton to DAL,0.0,-1137,0.0,-0.7,signing,Nate Hinton
2021-08-06 00:00:00,added Reggie Bullock to DAL,-8809.2,-9946,-0.1,-0.7999999999999999,signing,Reggie Bullock
2021-08-09 00:00:00,added Tim Hardaway Jr. to DAL,-10270.6,-20217,0.1999999999999999,-0.6000000000000001,signing,Tim Hardaway Jr.
2021-08-09 00:00:00,added Sterling Brown to DAL,-1821.2,-22038,-0.1,-0.7000000000000001,signing,Sterling Brown
2021-08-09 00:00:00,added Boban Marjanović to DAL,-563.2,-22601,-0.1,-0.8,signing,Boban Marjanović
2021-08-13 00:00:00,added Eugene Omoruyi to DAL,72.0,-22529,0.0,-0.8,signing,Eugene Omoruyi
2021-08-18 00:00:00,added E.J. Onu to DAL,0.0,-22529,0.0,-0.8,signing,E.J. Onu
2021-08-18 00:00:00,added Feron Hunt to DAL,0.0,-22529,0.0,-0.8,signing,Feron Hunt
2021-08-18 00:00:00,added Carlik Jones to DAL,0.0,-22529,0.0,-0.8,signing,Carlik Jones
2021-09-03 00:00:00,added JaQuori McLaughlin to DAL,-149.6,-22679,0.0,-0.8,signing,JaQuori McLaughlin
2021-09-16 00:00:00,added Frank Ntilikina to DAL,-5368.4,-28047,-0.7,-1.5,signing,Frank Ntilikina
2021-10-15 00:00:00,added Justin Jackson to DAL,0.0,-28047,0.0,-1.5,signing,Justin Jackson
2021-10-15 00:00:00,added E.J. Onu to DAL,0.0,-28047,0.0,-1.5,signing,E.J. Onu
2021-12-20 00:00:00,added Theo Pinson to DAL,0.0,-28047,0.0,-1.5,signing,Theo Pinson
2021-12-21 00:00:00,added Marquese Chriss to DAL,0.0,-28047,0.0,-1.5,signing,Marquese Chriss
2021-12-22 00:00:00,added George King to DAL,-381.9,-28429,-0.1,-1.6,signing,George King
2021-12-23 00:00:00,added Carlik Jones to DAL,-328.7,-28758,-0.1,-1.7000000000000002,signing,Carlik Jones
2021-12-23 00:00:00,added Brandon Knight to DAL,-299.0,-29057,0.0,-1.7000000000000002,signing,Brandon Knight
2021-12-23 00:00:00,added Charlie Brown Jr. to DAL,-39.0,-29096,0.0,-1.7000000000000002,signing,Charlie Brown Jr.
2021-12-29 00:00:00,added Isaiah Thomas to DAL,-54.6,-29150,0.0,-1.7000000000000002,signing,Isaiah Thomas
