date,Transaction,single_value,value
2012-06-28 00:00:00,added Andrew Nicholson to ORL,-12675.8,-12675
2012-06-28 00:00:00,added Kyle O'Quinn to ORL,-1624.4,-14300
2012-07-11 00:00:00,lost Ryan Anderson to NOH,-5006.0,-19306
2012-07-11 00:00:00,added Gustavo Ayón to ORL,-1142.0,-20448
2012-08-10 00:00:00,lost Jason Richardson to PHI,1008.8,-19439
2012-08-10 00:00:00,lost Earl Clark to LAL,954.1,-18485
2012-08-10 00:00:00,lost Chris Duhon to LAL,2378.0,-16107
2012-08-10 00:00:00,lost Dwight Howard to LAL,-1700.2,-17807
2012-08-10 00:00:00,added Arron Afflalo to ORL,-10883.5,-28691
2012-08-10 00:00:00,added Al Harrington to ORL,-535.5,-29226
2012-08-10 00:00:00,added Romero Osby to ORL,0.0,-29226
2012-08-10 00:00:00,added Dario Šarić to ORL,0.0,-29226
2012-08-10 00:00:00,added Christian Eyenga to ORL,0.0,-29226
2012-08-10 00:00:00,added Josh McRoberts to ORL,-1301.5,-30528
2012-08-10 00:00:00,added Wesley Iwundu to ORL,-10809.4,-41337
2012-08-10 00:00:00,added Maurice Harkless to ORL,-5772.6,-47110
2012-08-10 00:00:00,added Nikola Vučević to ORL,46428.0,-682
2012-08-10 00:00:00,added Landry Shamet to ORL,0.0,-682
2012-09-06 00:00:00,added E'Twaun Moore to ORL,-6278.2,-6960
2012-09-29 00:00:00,added Armon Johnson to ORL,0.0,-6960
2012-09-29 00:00:00,added DeQuan Jones to ORL,-3613.5,-10573
2013-02-21 00:00:00,lost Josh McRoberts to CHA,-3998.2,-14571
2013-02-21 00:00:00,added Hakim Warrick to ORL,0.0,-14571
2013-02-21 00:00:00,lost Gustavo Ayón to MIL,81.5,-14490
2013-02-21 00:00:00,lost J.J. Redick to MIL,1608.0,-12882
2013-02-21 00:00:00,lost Ish Smith to MIL,165.6,-12716
2013-02-21 00:00:00,added Tobias Harris to ORL,-110.5,-12827
2013-02-21 00:00:00,added Doron Lamb to ORL,-4889.9,-17717
2013-02-21 00:00:00,added Beno Udrih to ORL,-959.4,-18676
2013-06-27 00:00:00,added Victor Oladipo to ORL,-466.7000000000003,-19143
2013-06-27 00:00:00,added Romero Osby to ORL,0.0,-19143
2013-07-18 00:00:00,added Jason Maxiell to ORL,-2049.6,-21192
2013-07-25 00:00:00,added Ronnie Price to ORL,-1621.1,-22814
2014-02-25 00:00:00,added Adonis Thomas to ORL,-153.60000000000002,-22967
2014-02-25 00:00:00,added Dewayne Dedmon to ORL,0.0,-22967
2014-03-17 00:00:00,added Dewayne Dedmon to ORL,-4481.2,-27448
2014-06-26 00:00:00,added Aaron Gordon to ORL,0.0,-27448
2014-06-26 00:00:00,added Dario Šarić to ORL,0.0,-27448
2014-06-26 00:00:00,lost Dario Šarić to PHI,3754.9,-23693
2014-06-26 00:00:00,lost Willy Hernangómez to PHI,-0.0,-23693
2014-06-26 00:00:00,lost Landry Shamet to PHI,2105.2,-21588
2014-06-26 00:00:00,added Elfrid Payton to ORL,0.0,-21588
2014-06-27 00:00:00,lost Arron Afflalo to DEN,3325.0,-18263
2014-06-27 00:00:00,added Evan Fournier to ORL,-3759.6,-22023
2014-06-27 00:00:00,added Devyn Marble to ORL,0.0,-22023
2014-07-02 00:00:00,added Elfrid Payton to ORL,-2248.499999999999,-24271
2014-07-02 00:00:00,added Aaron Gordon to ORL,7.199999999999648,-24264
2014-07-11 00:00:00,added Ben Gordon to ORL,-3318.0,-27582
2014-07-14 00:00:00,added Channing Frye to ORL,-2277.2,-29859
2014-07-14 00:00:00,lost Milovan Raković to CHI,-0.0,-29859
2014-07-14 00:00:00,added Anthony Randolph to ORL,0.0,-29859
2014-07-24 00:00:00,added Devyn Marble to ORL,-2542.2,-32402
2014-09-29 00:00:00,added Kadeem Batts to ORL,0.0,-32402
2014-09-29 00:00:00,added Drew Crawford to ORL,0.0,-32402
2014-09-29 00:00:00,added Seth Curry to ORL,0.0,-32402
2014-09-29 00:00:00,added Peyton Siva to ORL,0.0,-32402
2015-06-25 00:00:00,added Mario Hezonja to ORL,0.0,-32402
2015-06-25 00:00:00,added Tyler Harvey to ORL,0.0,-32402
2015-06-25 00:00:00,lost Luke Ridnour to MEM,-0.0,-32402
2015-06-25 00:00:00,added Jānis Timma to ORL,0.0,-32402
2015-07-09 00:00:00,added C.J. Watson to ORL,-5611.200000000001,-38013
2015-07-09 00:00:00,lost Kyle O'Quinn to NYK,-6940.4,-44953
2015-07-09 00:00:00,lost Ignas Brazdeikis to NYK,505.7,-44447
2015-07-09 00:00:00,added Carsen Edwards to ORL,0.0,-44447
2015-07-10 00:00:00,added Mario Hezonja to ORL,-10008.8,-54456
2015-07-14 00:00:00,added Tobias Harris to ORL,966.0,-53490
2015-07-14 00:00:00,added Jason Smith to ORL,-2598.2000000000003,-56088
2015-07-14 00:00:00,lost Maurice Harkless to POR,-697.7999999999996,-56786
2015-07-27 00:00:00,added Shabazz Napier to ORL,-1800.0,-58586
2015-08-04 00:00:00,added Melvin Ejim to ORL,0.0,-58586
2015-09-24 00:00:00,added Keith Appling to ORL,0.0,-58586
2015-09-24 00:00:00,added Nnanna Egwu to ORL,0.0,-58586
2015-09-24 00:00:00,added Jordan Sibert to ORL,0.0,-58586
2015-09-24 00:00:00,added Greg Stiemsma to ORL,0.0,-58586
2016-01-12 00:00:00,added Joe Harris to ORL,0.0,-58586
2016-01-18 00:00:00,added Keith Appling to ORL,-407.7,-58994
2016-02-16 00:00:00,lost Tobias Harris to DET,-9563.6,-68558
2016-02-16 00:00:00,added Ersan İlyasova to ORL,-1072.8,-69630
2016-02-16 00:00:00,added Brandon Jennings to ORL,-361.6,-69992
2016-02-18 00:00:00,lost Channing Frye to CLE,-487.0,-70479
2016-02-18 00:00:00,added Jared Cunningham to ORL,0.0,-70479
2016-02-18 00:00:00,added Vernon Carey Jr. to ORL,0.0,-70479
2016-06-23 00:00:00,lost Ersan İlyasova to OKC,167.4,-70312
2016-06-23 00:00:00,lost Victor Oladipo to OKC,1111.0,-69201
2016-06-23 00:00:00,lost Domantas Sabonis to OKC,7344.0,-61857
2016-06-23 00:00:00,added Serge Ibaka to ORL,1197.0,-60660
2016-06-23 00:00:00,added Domantas Sabonis to ORL,0.0,-60660
2016-06-23 00:00:00,added Stephen Zimmerman to ORL,0.0,-60660
2016-06-23 00:00:00,added Jake Layman to ORL,0.0,-60660
2016-06-23 00:00:00,lost Jake Layman to POR,2945.1000000000004,-57714
2016-06-23 00:00:00,added Jaylen Hands to ORL,0.0,-57714
2016-06-29 00:00:00,lost Jaylen Hands to DET,-0.0,-57714
2016-06-29 00:00:00,added Jodie Meeks to ORL,-1328.4,-59043
2016-07-07 00:00:00,lost Shabazz Napier to POR,-869.7,-59913
2016-07-07 00:00:00,added Jeff Green to ORL,-5522.400000000001,-65435
2016-07-07 00:00:00,added Bismack Biyombo to ORL,-9325.6,-74761
2016-07-07 00:00:00,added Evan Fournier to ORL,-6719.700000000001,-81480
2016-07-07 00:00:00,added D.J. Augustin to ORL,-6103.5,-87584
2016-07-07 00:00:00,added Stephen Zimmerman to ORL,-896.4000000000001,-88480
2016-07-15 00:00:00,lost Devyn Marble to LAC,-0.0,-88480
2016-07-15 00:00:00,lost Vernon Carey Jr. to LAC,-0.0,-88480
2016-07-15 00:00:00,added C.J. Wilcox to ORL,-874.8,-89355
2016-09-08 00:00:00,added Cliff Alexander to ORL,0.0,-89355
2016-09-08 00:00:00,added Branden Dawson to ORL,0.0,-89355
