date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2013-06-27 00:00:00,added Michael Carter-Williams to PHI,-3989.0,-3989,0.9,0.9,draft,Michael Carter-Williams
2013-06-27 00:00:00,added Glen Rice Jr. to PHI,0.0,-3989,0.0,0.9,draft,Glen Rice Jr.
2013-06-27 00:00:00,added Pierre Jackson to PHI,0.0,-3989,0.0,0.9,draft,Pierre Jackson
2013-06-27 00:00:00,lost Glen Rice Jr. to WAS,999.8,-2989,0.1,1.0,trade,Glen Rice Jr.
2013-06-27 00:00:00,added Arsalan Kazemi to PHI,0.0,-2989,0.0,1.0,trade,Arsalan Kazemi
2013-06-27 00:00:00,added Nate Wolters to PHI,0.0,-2989,0.0,1.0,trade,Nate Wolters
2013-06-27 00:00:00,lost Ricky Ledo to DAL,474.1,-2515,0.1,1.1,trade,Ricky Ledo
2013-06-27 00:00:00,added Russ Smith to PHI,0.0,-2515,0.0,1.1,trade,Russ Smith
2013-06-27 00:00:00,lost Nate Wolters to MIL,3009.4,494,-0.0,1.1,trade,Nate Wolters
2013-06-27 00:00:00,added Ricky Ledo to PHI,0.0,494,0.0,1.1,trade,Ricky Ledo
2013-06-27 00:00:00,added Nemanja Dangubić to PHI,0.0,494,0.0,1.1,trade,Nemanja Dangubić
2013-07-12 00:00:00,lost Jrue Holiday to NOP,-26497.5,-26003,-13.8,-12.7,trade,Jrue Holiday
2013-07-12 00:00:00,lost Pierre Jackson to NOP,-0.0,-26003,-0.0,-12.7,trade,Pierre Jackson
2013-07-12 00:00:00,added Nerlens Noel to PHI,718.5000000000002,-25284,2.6,-10.1,trade,Nerlens Noel
2013-07-12 00:00:00,added Elfrid Payton to PHI,0.0,-25284,0.0,-10.1,trade,Elfrid Payton
2013-07-13 00:00:00,added Furkan Aldemir to PHI,0.0,-25284,0.0,-10.1,trade,Furkan Aldemir
2013-07-13 00:00:00,added Royce White to PHI,0.0,-25284,0.0,-10.1,trade,Royce White
2013-07-15 00:00:00,added James Anderson to PHI,-6003.400000000001,-31288,-0.3,-10.400000000000002,signing,James Anderson
2013-07-15 00:00:00,added Tim Ohlbrecht to PHI,0.0,-31288,0.0,-10.400000000000002,signing,Tim Ohlbrecht
2013-08-22 00:00:00,added Tony Wroten to PHI,-9534.1,-40822,-0.8999999999999999,-11.300000000000002,trade,Tony Wroten
2013-09-24 00:00:00,added Hollis Thompson to PHI,-17441.2,-58263,-1.2000000000000002,-12.500000000000004,signing,Hollis Thompson
2013-09-28 00:00:00,added Solomon Alabi to PHI,0.0,-58263,0.0,-12.500000000000004,signing,Solomon Alabi
2013-09-28 00:00:00,added Mac Koshwal to PHI,0.0,-58263,0.0,-12.500000000000004,signing,Mac Koshwal
2013-10-05 00:00:00,added Gani Lawal to PHI,0.0,-58263,0.0,-12.500000000000004,signing,Gani Lawal
2013-10-16 00:00:00,added Daniel Orton to PHI,-1004.0,-59267,-0.1,-12.600000000000003,signing,Daniel Orton
2013-10-28 00:00:00,added Brandon Davies to PHI,-5176.4,-64443,-0.8,-13.400000000000004,signing,Brandon Davies
2013-11-20 00:00:00,added Elliot Williams to PHI,-6479.2,-70923,-1.1,-14.500000000000004,signing,Elliot Williams
2013-11-20 00:00:00,added Lorenzo Brown to PHI,-1164.8,-72087,-0.2,-14.700000000000005,signing,Lorenzo Brown
2014-01-14 00:00:00,added Dewayne Dedmon to PHI,0.0,-72087,0.0,-14.700000000000005,signing,Dewayne Dedmon
2014-01-24 00:00:00,added Dewayne Dedmon to PHI,-923.2,-73011,-0.1,-14.800000000000002,signing,Dewayne Dedmon
