,Transaction Date,Transaction,Score,Running Score
1,2017-06-22 00:00:00,added D.J. Wilson to MIL,0,0
2,2017-06-22 00:00:00,added Sindarius Thornwell to MIL,0,0
3,2017-06-23 00:00:00,lost Sindarius Thornwell to LAC,4245,4245
4,2017-07-06 00:00:00,added Sterling Brown to MIL,0,4245
5,2017-07-06 00:00:00,added D.J. Wilson to MIL,-4069,175
6,2017-07-06 00:00:00,added Bronson Koenig to MIL,0,175
7,2017-07-07 00:00:00,added JeQuan Lewis to MIL,0,175
8,2017-07-07 00:00:00,added Sterling Brown to MIL,-5490,-5315
9,2017-07-08 00:00:00,added Jalen Moore to MIL,0,-5315
10,2017-07-31 00:00:00,added Tony Snell to MIL,-5634,-10949
11,2017-09-06 00:00:00,added James Young to MIL,0,-10949
12,2017-09-18 00:00:00,added Jason Terry to MIL,-1628,-12577
13,2017-09-19 00:00:00,added Brandon Rush to MIL,0,-12577
14,2017-09-21 00:00:00,added Kendall Marshall to MIL,0,-12577
15,2017-09-24 00:00:00,added Gerald Green to MIL,0,-12577
16,2017-09-24 00:00:00,added Joel Anthony to MIL,0,-12577
17,2017-10-05 00:00:00,added Xavier Munford to MIL,0,-12577
18,2017-10-17 00:00:00,added Gary Payton II to MIL,-561,-13139
19,2017-10-20 00:00:00,added Joel Bolomboy to MIL,-190,-13329
20,2017-11-07 00:00:00,lost Greg Monroe to PHO,-976,-14306
21,2017-11-07 00:00:00,lost Desmond Bane to PHO,0,-14306
22,2017-11-07 00:00:00,added Eric Bledsoe to MIL,6269,-8036
23,2017-12-18 00:00:00,added Sean Kilpatrick to MIL,-533,-8569
24,2018-01-07 00:00:00,added Xavier Munford to MIL,-237,-8807
25,2018-01-15 00:00:00,added Marshall Plumlee to MIL,-234,-9041
26,2018-02-05 00:00:00,lost Rashad Vaughn to BRK,21,-9019
27,2018-02-05 00:00:00,lost Hamidou Diallo to BRK,0,-9019
28,2018-02-05 00:00:00,added Tyler Zeller to MIL,-852,-9872
29,2018-03-04 00:00:00,added Shabazz Muhammad to MIL,702,-9170
30,2018-03-11 00:00:00,added Brandon Jennings to MIL,0,-9170
31,2018-04-01 00:00:00,added Brandon Jennings to MIL,-697,-9867
32,2018-06-21 00:00:00,added Donte DiVincenzo to MIL,0,-9867
33,2018-07-10 00:00:00,added Donte DiVincenzo to MIL,-259,-10126
34,2018-07-16 00:00:00,added Ersan İlyasova to MIL,-2436,-12563
35,2018-07-17 00:00:00,added Brook Lopez to MIL,5108,-7455
36,2018-07-23 00:00:00,added Travis Trice to MIL,0,-7455
37,2018-07-24 00:00:00,added Trevon Duval to MIL,146,-7309
38,2018-07-26 00:00:00,added Jaylen Morris to MIL,-11,-7320
39,2018-07-31 00:00:00,added Brandon McCoy to MIL,0,-7320
40,2018-08-01 00:00:00,added Pat Connaughton to MIL,2259,-5061
41,2018-08-07 00:00:00,added Jordan Barnett to MIL,0,-5061
42,2018-09-17 00:00:00,added Robert Johnson to MIL,0,-5061
43,2018-09-17 00:00:00,added James Young to MIL,0,-5061
44,2018-09-19 00:00:00,added Ike Nwamu to MIL,0,-5061
45,2018-09-21 00:00:00,added Christian Wood to MIL,-80,-5142
46,2018-09-21 00:00:00,added Tim Frazier to MIL,0,-5142
47,2018-09-21 00:00:00,added Shabazz Muhammad to MIL,0,-5142
48,2018-10-15 00:00:00,added Jodie Meeks to MIL,0,-5142
49,2018-12-07 00:00:00,lost Matthew Dellavedova to CLE,8920,3778
50,2018-12-07 00:00:00,lost John Henson to CLE,-453,3324
51,2018-12-07 00:00:00,lost Sandro Mamukelashvili to CLE,0,3324
52,2018-12-07 00:00:00,lost MarJon Beauchamp to CLE,0,3324
53,2018-12-07 00:00:00,added George Hill to MIL,-1149,2175
54,2018-12-07 00:00:00,added Greg Brown III to MIL,0,2175
55,2018-12-07 00:00:00,added Jason Smith to MIL,-276,1899
56,2019-01-15 00:00:00,added Bonzie Colson to MIL,-343,1556
57,2019-02-07 00:00:00,lost Jason Smith to NOP,176,1732
58,2019-02-07 00:00:00,lost Jordan Bone to NOP,0,1732
59,2019-02-07 00:00:00,lost Elijah Hughes to NOP,0,1732
60,2019-02-07 00:00:00,lost Sam Merrill to NOP,0,1732
61,2019-02-07 00:00:00,lost Greg Brown III to NOP,0,1732
62,2019-02-07 00:00:00,lost Thon Maker to DET,2268,4000
63,2019-02-07 00:00:00,added Nikola Mirotić to MIL,640,4640
64,2019-02-25 00:00:00,added Isaiah Canaan to MIL,-124,4516
65,2019-03-03 00:00:00,added Pau Gasol to MIL,-141,4375
66,2019-03-04 00:00:00,added Eric Bledsoe to MIL,10006,14381
67,2019-03-19 00:00:00,added Tim Frazier to MIL,-759,13622
68,2019-06-20 00:00:00,added Kevin Porter Jr. to MIL,0,13622
69,2019-06-20 00:00:00,lost Kevin Porter Jr. to DET,0,13622
70,2019-06-20 00:00:00,lost Tony Snell to DET,2953,16576
71,2019-06-20 00:00:00,added Jon Leuer to MIL,0,16576
72,2019-07-06 00:00:00,added Malcolm Brogdon to MIL,0,16576
73,2019-07-06 00:00:00,lost Malcolm Brogdon to IND,-9825,6750
74,2019-07-06 00:00:00,added R.J. Hampton to MIL,0,6750
