date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
1998-06-24 00:00:00,added Raef LaFrentz to DEN,6997.6,6997,5.3,5.3
1998-06-24 00:00:00,added Tyronn Lue to DEN,0.0,6997,0.0,5.3
1998-06-24 00:00:00,added Tremaine Fowlkes to DEN,0.0,6997,0.0,5.3
1998-06-24 00:00:00,added Ryan Bowen to DEN,-227.60000000000025,6770,2.3000000000000003,7.6
1998-06-24 00:00:00,lost Tony Battie to LAL,-0.0,6770,-0.0,7.6
1998-06-24 00:00:00,lost Tyronn Lue to LAL,2840.8,9610,0.3,7.899999999999999
1998-06-24 00:00:00,added Nick Van Exel to DEN,6727.5,16338,6.4,14.3
1999-01-21 00:00:00,lost Jonathan Bender to TOR,-0.0,16338,-0.0,14.3
1999-01-21 00:00:00,lost Dean Garrett to MIN,4081.0,20419,-0.1999999999999999,14.1
1999-01-21 00:00:00,lost Bobby Jackson to MIN,66.20000000000005,20485,-1.0,13.1
1999-01-21 00:00:00,added Chauncey Billups to DEN,21545.2,42030,9.9,23.0
1999-01-21 00:00:00,added Tyson Wheeler to DEN,153.3,42184,0.0,23.0
1999-01-21 00:00:00,lost Keyon Dooling to ORL,5735.799999999999,47919,-0.6,22.4
1999-01-21 00:00:00,added Keon Clark to DEN,-4379.4,43540,0.4000000000000001,22.8
1999-01-21 00:00:00,added Johnny Taylor to DEN,-2290.0,41250,-0.2,22.6
1999-01-22 00:00:00,added Kelly McCarty to DEN,-30.4,41220,0.0,22.6
1999-01-22 00:00:00,added Cory Alexander to DEN,-3434.8,37785,-0.3,22.3
1999-01-22 00:00:00,added Antonio McDyess to DEN,8461.2,46246,5.9,28.2
1999-01-23 00:00:00,added Loren Meyer to DEN,-1183.0,45063,-0.3,27.899999999999995
1999-01-23 00:00:00,added Monty Williams to DEN,-120.0,44943,0.0,27.899999999999995
1999-03-03 00:00:00,added Carl Herrera to DEN,-1431.0,43512,-0.2,27.7
1999-06-30 00:00:00,added James Posey to DEN,-1168.8000000000002,42343,3.5,31.2
1999-06-30 00:00:00,added Chris Herren to DEN,-2388.0,39955,-0.3,30.899999999999995
1999-06-30 00:00:00,added Francisco Elson to DEN,-7396.3,32559,-0.2,30.7
1999-08-03 00:00:00,lost Danny Fortson to BOS,1027.2,33586,-0.2,30.5
1999-08-03 00:00:00,lost Eric Washington to BOS,-0.0,33586,-0.0,30.5
1999-08-03 00:00:00,lost Eric Williams to BOS,15323.4,48909,-0.0999999999999999,30.399999999999995
1999-08-03 00:00:00,lost Kedrick Brown to BOS,2386.4,51296,-0.1,30.299999999999997
1999-08-03 00:00:00,added Popeye Jones to DEN,-1122.0,50174,-0.1,30.199999999999992
1999-08-03 00:00:00,added Ron Mercer to DEN,-3660.8,46513,-0.2,29.999999999999996
1999-08-03 00:00:00,added Dwayne Schintzius to DEN,0.0,46513,0.0,29.999999999999996
1999-08-03 00:00:00,added George McCloud to DEN,-8469.6,38043,0.9,30.89999999999999
1999-09-02 00:00:00,added Shawnelle Scott to DEN,-1234.8000000000002,36809,-0.2,30.699999999999992
1999-10-01 00:00:00,added Roy Rogers to DEN,-639.0,36170,0.0,30.699999999999992
2000-02-01 00:00:00,lost Chauncey Billups to ORL,-0.0,36170,-0.0,30.699999999999992
2000-02-01 00:00:00,lost Ron Mercer to ORL,3585.3,39755,0.4,31.09999999999999
2000-02-01 00:00:00,lost Johnny Taylor to ORL,168.2,39923,-0.0,31.09999999999999
2000-02-01 00:00:00,added Tariq Abdul-Wahad to DEN,-4869.7,35053,-0.6000000000000001,30.49999999999999
2000-02-01 00:00:00,added Chris Gatling to DEN,-770.0,34283,0.2,30.69999999999999
2000-06-23 00:00:00,lost Joseph Forte to UTA,-0.0,34283,-0.0,30.69999999999999
2000-06-23 00:00:00,added Mamadou N'Diaye to DEN,0.0,34283,0.0,30.69999999999999
2000-06-27 00:00:00,lost Chris Gatling to MIA,2507.9,36791,0.2,30.899999999999988
2000-06-27 00:00:00,lost Eddie House to MIA,5162.9,41954,-0.6000000000000001,30.299999999999983
2000-06-27 00:00:00,added Voshon Lenard to DEN,-5231.299999999999,36723,1.9,32.19999999999999
2000-06-27 00:00:00,added Mark Strickland to DEN,-1395.9,35327,-0.1,32.09999999999999
2000-06-28 00:00:00,added Mamadou N'Diaye to DEN,0.0,35327,0.0,32.09999999999999
2000-06-28 00:00:00,added Dan McClintock to DEN,-458.2000000000001,34869,-0.1,31.999999999999982
2000-09-25 00:00:00,lost Popeye Jones to WAS,4410.0,39279,-0.2,31.799999999999983
2000-09-25 00:00:00,lost Rod Grizzard to WAS,-0.0,39279,-0.0,31.799999999999983
2000-09-25 00:00:00,added Tracy Murray to DEN,-324.0,38955,0.0,31.799999999999983
