date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp,transaction_type,player_name
2014-03-20 00:00:00,added Shannon Brown to NYK,-636.4,-636,-0.1,-0.1,signing,Shannon Brown
2014-04-16 00:00:00,added Lamar Odom to NYK,0.0,-636,0.0,-0.1,signing,Lamar Odom
2014-06-25 00:00:00,lost Tyson Chandler to DAL,-5943.6,-6580,-2.7,-2.8000000000000003,trade,Tyson Chandler
2014-06-25 00:00:00,lost Raymond Felton to DAL,3900.6,-2679,-0.2,-3.0000000000000004,trade,Raymond Felton
2014-06-25 00:00:00,added José Calderón to NYK,-5024.4,-7703,0.3999999999999999,-2.6000000000000005,trade,José Calderón
2014-06-25 00:00:00,added Samuel Dalembert to NYK,-1686.4,-9390,-0.1,-2.7000000000000006,trade,Samuel Dalembert
2014-06-25 00:00:00,added Wayne Ellington to NYK,-1618.2,-11008,-0.1,-2.8000000000000007,trade,Wayne Ellington
2014-06-25 00:00:00,added Shane Larkin to NYK,-5222.0,-16230,-0.4,-3.2000000000000006,trade,Shane Larkin
2014-06-25 00:00:00,added Thanasis Antetokounmpo to NYK,0.0,-16230,0.0,-3.2000000000000006,trade,Thanasis Antetokounmpo
2014-06-25 00:00:00,added Cleanthony Early to NYK,0.0,-16230,0.0,-3.2000000000000006,trade,Cleanthony Early
2014-06-26 00:00:00,added Cleanthony Early to NYK,0.0,-16230,0.0,-3.2000000000000006,draft,Cleanthony Early
2014-06-26 00:00:00,added Thanasis Antetokounmpo to NYK,0.0,-16230,0.0,-3.2000000000000006,draft,Thanasis Antetokounmpo
2014-06-27 00:00:00,added Louis Labeyrie to NYK,0.0,-16230,0.0,-3.2000000000000006,trade,Louis Labeyrie
2014-07-13 00:00:00,added Carmelo Anthony to NYK,14409.6,-1820,6.9,3.7,signing,Carmelo Anthony
2014-07-18 00:00:00,added Jason Smith to NYK,-6783.0,-8603,-0.8,2.8999999999999995,signing,Jason Smith
2014-08-01 00:00:00,added Cleanthony Early to NYK,-4688.8,-13292,-0.8,2.1,signing,Cleanthony Early
2014-08-06 00:00:00,lost Wayne Ellington to SAC,-0.0,-13292,-0.0,2.1,trade,Wayne Ellington
2014-08-06 00:00:00,lost Jeremy Tyler to SAC,-0.0,-13292,-0.0,2.1,trade,Jeremy Tyler
2014-08-06 00:00:00,added Quincy Acy to NYK,-3989.7,-17282,-0.3,1.7999999999999996,trade,Quincy Acy
2014-08-06 00:00:00,added Travis Outlaw to NYK,0.0,-17282,0.0,1.7999999999999996,trade,Travis Outlaw
2014-09-09 00:00:00,added Langston Galloway to NYK,0.0,-17282,0.0,1.7999999999999996,signing,Langston Galloway
2014-09-09 00:00:00,added Travis Wear to NYK,-3696.0,-20978,-0.6,1.1999999999999995,signing,Travis Wear
2014-09-17 00:00:00,added Orlando Sánchez to NYK,0.0,-20978,0.0,1.1999999999999995,signing,Orlando Sánchez
2014-10-08 00:00:00,added D.J. Mbenga to NYK,0.0,-20978,0.0,1.1999999999999995,signing,D.J. Mbenga
2014-10-23 00:00:00,added Jordan Vandenberg to NYK,0.0,-20978,0.0,1.1999999999999995,signing,Jordan Vandenberg
2014-10-27 00:00:00,lost Travis Outlaw to PHI,-0.0,-20978,-0.0,1.1999999999999995,trade,Travis Outlaw
2014-10-27 00:00:00,lost Isaac Bonga to PHI,-0.0,-20978,-0.0,1.1999999999999995,trade,Isaac Bonga
2014-10-27 00:00:00,lost Nicolas Claxton to PHI,-0.0,-20978,-0.0,1.1999999999999995,trade,Nicolas Claxton
2014-10-27 00:00:00,added Arnett Moultrie to NYK,0.0,-20978,0.0,1.1999999999999995,trade,Arnett Moultrie
2015-01-05 00:00:00,lost Iman Shumpert to CLE,7431.9,-13546,-0.3,0.8999999999999997,multitrade,Iman Shumpert
2015-01-05 00:00:00,lost J.R. Smith to CLE,5539.9,-8006,-2.4,-1.5000000000000002,multitrade,J.R. Smith
2015-01-05 00:00:00,added Lou Amundson to NYK,0.0,-8006,0.0,-1.5000000000000002,multitrade,Lou Amundson
2015-01-05 00:00:00,added Alex Kirk to NYK,0.0,-8006,0.0,-1.5000000000000002,multitrade,Alex Kirk
2015-01-05 00:00:00,added Carsen Edwards to NYK,0.0,-8006,0.0,-1.5000000000000002,multitrade,Carsen Edwards
2015-01-05 00:00:00,added Lance Thomas to NYK,0.0,-8006,0.0,-1.5000000000000002,multitrade,Lance Thomas
2015-01-07 00:00:00,added Langston Galloway to NYK,0.0,-8006,0.0,-1.5000000000000002,signing,Langston Galloway
2015-01-10 00:00:00,added Lou Amundson to NYK,0.0,-8006,0.0,-1.5000000000000002,signing,Lou Amundson
2015-01-10 00:00:00,added Lance Thomas to NYK,-6136.0,-14142,-1.0,-2.5,signing,Lance Thomas
2015-01-27 00:00:00,added Langston Galloway to NYK,-5384.1,-19526,0.4,-2.1,signing,Langston Galloway
2015-01-30 00:00:00,added Lou Amundson to NYK,-3346.2,-22872,-0.3999999999999999,-2.5,signing,Lou Amundson
2015-02-19 00:00:00,lost Pablo Prigioni to HOU,80.4,-22792,-0.2,-2.7,trade,Pablo Prigioni
2015-02-19 00:00:00,added Alexey Shved to NYK,1861.2,-20931,0.7,-2.0,trade,Alexey Shved
2015-02-19 00:00:00,added Ognjen Jaramaz to NYK,0.0,-20931,0.0,-2.0,trade,Ognjen Jaramaz
2015-02-19 00:00:00,added Kyle Guy to NYK,0.0,-20931,0.0,-2.0,trade,Kyle Guy
2015-03-19 00:00:00,added Ricky Ledo to NYK,0.0,-20931,0.0,-2.0,signing,Ricky Ledo
2015-04-08 00:00:00,added Ricky Ledo to NYK,-1631.0,-22562,-0.3,-2.3,signing,Ricky Ledo
2015-06-25 00:00:00,added Kristaps Porziņģis to NYK,0.0,-22562,0.0,-2.3,draft,Kristaps Porziņģis
2015-06-25 00:00:00,lost Tim Hardaway Jr. to ATL,-299.4,-22861,-1.6,-3.9,multitrade,Tim Hardaway Jr.
2015-06-25 00:00:00,added Jerian Grant to NYK,0.0,-22861,0.0,-3.9,multitrade,Jerian Grant
2015-06-25 00:00:00,lost Tyler Bey to PHI,-0.0,-22861,-0.0,-3.9,trade,Tyler Bey
2015-06-25 00:00:00,lost Filip Petrušev to PHI,14.7,-22846,-0.0,-3.9,trade,Filip Petrušev
2015-06-25 00:00:00,added Willy Hernangómez to NYK,0.0,-22846,0.0,-3.9,trade,Willy Hernangómez
2015-07-09 00:00:00,added Arron Afflalo to NYK,-6875.9,-29722,-0.5,-4.4,signing,Arron Afflalo
2015-07-09 00:00:00,added Robin Lopez to NYK,-443.8,-30166,1.0,-3.4000000000000004,signing,Robin Lopez
2015-07-09 00:00:00,added Derrick Williams to NYK,430.5,-29736,0.8,-2.6000000000000005,signing,Derrick Williams
2015-07-09 00:00:00,lost Carsen Edwards to ORL,-0.0,-29736,-0.0,-2.6000000000000005,trade,Carsen Edwards
2015-07-09 00:00:00,added Kyle O'Quinn to NYK,0.0,-29736,0.0,-2.6000000000000005,trade,Kyle O'Quinn
2015-07-09 00:00:00,added Ignas Brazdeikis to NYK,-505.7,-30241,-0.1,-2.7000000000000006,trade,Ignas Brazdeikis
2015-07-09 00:00:00,added Kyle O'Quinn to NYK,6940.4,-23301,3.5,0.7999999999999994,signing,Kyle O'Quinn
2015-07-10 00:00:00,added Lance Thomas to NYK,-4201.600000000002,-27503,-0.3999999999999997,0.3999999999999997,signing,Lance Thomas
2015-07-28 00:00:00,added Kristaps Porziņģis to NYK,5286.9,-22216,4.3,4.699999999999999,signing,Kristaps Porziņģis
2015-07-29 00:00:00,added Jerian Grant to NYK,-3921.5,-26137,-0.3,4.4,signing,Jerian Grant
2015-07-30 00:00:00,added Lou Amundson to NYK,-1407.6,-27545,-0.3,4.1,signing,Lou Amundson
2015-08-07 00:00:00,added Thanasis Antetokounmpo to NYK,0.0,-27545,0.0,4.1,signing,Thanasis Antetokounmpo
