date,Transaction,single_value,value
1995-05-30 00:00:00,added Kevin Pritchard to MEM,0.0,0
1995-06-28 00:00:00,added Bryant Reeves to MEM,0.0,0
1995-06-28 00:00:00,added Lawrence Moten to MEM,0.0,0
1995-10-05 00:00:00,added Litterial Green to MEM,0.0,0
1995-10-05 00:00:00,added Ashraf Amaya to MEM,0.0,0
1995-10-05 00:00:00,added Rich Manning to MEM,0.0,0
1995-10-18 00:00:00,added Chris King to MEM,0.0,0
1995-11-01 00:00:00,lost Kevin Pritchard to ORL,-0.0,0
1995-11-01 00:00:00,lost Larry Stewart to ORL,-0.0,0
1995-11-01 00:00:00,added Anthony Avent to MEM,0.0,0
1995-11-03 00:00:00,added Darrick Martin to MEM,0.0,0
1995-11-27 00:00:00,lost Benoit Benjamin to MIL,3431.6,3431
1995-11-27 00:00:00,added Eric Mobley to MEM,0.0,3431
1995-11-27 00:00:00,added Eric Murdock to MEM,0.0,3431
1996-01-12 00:00:00,lost Darrick Martin to MIN,4301.1,7732
1996-01-12 00:00:00,added Amal McCaskill to MEM,0.0,7732
1996-01-12 00:00:00,added Rich Manning to MEM,0.0,7732
1996-02-22 00:00:00,lost Kenny Gattison to ORL,-0.0,7732
1996-02-22 00:00:00,lost Amal McCaskill to ORL,610.4,8343
1996-02-22 00:00:00,added Jeff Turner to MEM,0.0,8343
1996-04-03 00:00:00,added Cuonzo Martin to MEM,0.0,8343
1996-04-13 00:00:00,added Cuonzo Martin to MEM,0.0,8343
1996-06-19 00:00:00,lost Othella Harrington to HOU,10363.0,18706
1996-06-19 00:00:00,lost Randy Livingston to HOU,3629.7,22335
1996-06-19 00:00:00,lost Serge Zwikker to HOU,-0.0,22335
1996-06-19 00:00:00,added Tim Breaux to MEM,0.0,22335
1996-06-19 00:00:00,added Pete Chilcutt to MEM,0.0,22335
1996-06-19 00:00:00,added Roy Rogers to MEM,0.0,22335
1996-06-19 00:00:00,added Chris Robinson to MEM,0.0,22335
1996-06-19 00:00:00,added C.J. Bruton to MEM,0.0,22335
1996-06-26 00:00:00,added Shareef Abdur-Rahim to MEM,0.0,22335
1996-06-26 00:00:00,added Roy Rogers to MEM,0.0,22335
1996-06-26 00:00:00,added Chris Robinson to MEM,0.0,22335
1996-07-16 00:00:00,lost Ruben Patterson to LAL,590.4,22926
1996-07-16 00:00:00,lost John Celestand to LAL,1406.0,24332
1996-07-16 00:00:00,added George Lynch to MEM,0.0,24332
