date,Transaction,single_value,value
2017-02-23,lost Marcelo Huertas to HOU,-0.0,0
2017-02-23,added Tyler Ennis to LAL,-313.60000000000014,-313
2017-02-23,added Brad Newley to LAL,0.0,-313
2017-02-23,lost Lou Williams to HOU,295.5,-18
2017-02-23,added Corey Brewer to LAL,-2509.4,-2527
2017-02-23,added Tony Bradley to LAL,0.0,-2527
2017-02-28,added David Nwaba to LAL,0.0,-2527
2017-03-21,added David Nwaba to LAL,-873.4000000000001,-3400
2017-06-22,added Lonzo Ball to LAL,0.0,-3400
2017-06-22,added Tony Bradley to LAL,0.0,-3400
2017-06-22,lost Tony Bradley to UTA,-428.4,-3829
2017-06-22,added Thomas Bryant to LAL,0.0,-3829
2017-06-22,added Josh Hart to LAL,0.0,-3829
2017-06-22,lost Timofey Mozgov to BRK,1400.1,-2429
2017-06-22,lost D'Angelo Russell to BRK,-7559.399999999999,-9988
2017-06-22,added Kyle Kuzma to LAL,0.0,-9988
2017-06-22,added Brook Lopez to LAL,1561.5,-8427
2017-07-03,added Lonzo Ball to LAL,1353.1,-7073
2017-07-03,added Kyle Kuzma to LAL,-9669.5,-16743
2017-07-03,added Josh Hart to LAL,-2375.6,-19119
2017-07-13,added Kentavious Caldwell-Pope to LAL,737.4000000000001,-18381
2017-07-13,added Alex Caruso to LAL,-1971.0,-20352
2017-07-26,added Tyler Ennis to LAL,-1434.3,-21787
2017-07-30,added Thomas Bryant to LAL,1777.2,-20009
2017-08-04,added Vander Blue to LAL,0.0,-20009
2017-08-11,added V.J. Beachem to LAL,0.0,-20009
2017-08-14,added Briante Weber to LAL,0.0,-20009
2017-09-19,added Andrew Bogut to LAL,-604.8,-20614
2017-10-12,added Travis Wear to LAL,0.0,-20614
2017-10-18,added Vander Blue to LAL,-378.0,-20992
2018-01-15,added Gary Payton II to LAL,-299.0,-21291
2018-01-19,added Nigel Hayes to LAL,-18.7,-21310
2018-02-08,lost Jordan Clarkson to CLE,130.39999999999986,-21179
2018-02-08,lost Larry Nance Jr. to CLE,-8344.6,-29524
2018-02-08,added Channing Frye to LAL,-225.0,-29749
2018-02-08,added Isaiah Thomas to LAL,-3092.9,-32842
2018-02-08,added Moritz Wagner to LAL,0.0,-32842
2018-03-02,added Travis Wear to LAL,0.0,-32842
2018-03-09,added Derrick Williams to LAL,-151.20000000000002,-32993
2018-03-23,added Travis Wear to LAL,-843.6,-33837
2018-04-09,added Andre Ingram to LAL,275.2,-33561
2018-06-21,added Moritz Wagner to LAL,0.0,-33561
2018-06-21,added Sviatoslav Mykhailiuk to LAL,0.0,-33561
2018-07-01,added Moritz Wagner to LAL,-1917.8,-35479
2018-07-01,added Malik Newman to LAL,0.0,-35479
2018-07-06,lost Bruno Fernando to PHI,-0.0,-35479
2018-07-06,added Isaac Bonga to LAL,0.0,-35479
2018-07-06,added Isaac Bonga to LAL,-576.0,-36055
2018-07-06,added Kentavious Caldwell-Pope to LAL,-3378.1000000000004,-39433
2018-07-06,added Rajon Rondo to LAL,-4731.6,-44165
2018-07-09,added LeBron James to LAL,104393.8,60228
2018-07-10,added Lance Stephenson to LAL,-1684.5,58543
2018-07-10,added Sviatoslav Mykhailiuk to LAL,-2184.0,56359
2018-07-10,added JaVale McGee to LAL,4034.4,60394
2018-07-18,added Joel Berry to LAL,0.0,60394
2018-07-21,added Johnathan Williams to LAL,0.0,60394
2018-07-23,added Michael Beasley to LAL,-415.5,59978
2018-07-24,added Travis Wear to LAL,0.0,59978
2018-10-19,added Johnathan Williams to LAL,-1190.4,58788
2018-11-06,added Tyson Chandler to LAL,-1414.8,57373
2019-02-06,lost Sviatoslav Mykhailiuk to DET,3554.7,60928
2019-02-06,lost Luka Garza to DET,972.5,61900
2019-02-06,added Reggie Bullock to LAL,-1152.8000000000002,60747
2019-02-07,lost Michael Beasley to LAC,-0.0,60747
2019-02-07,lost Ivica Zubac to LAC,-12090.6,48657
2019-02-07,added Mike Muscala to LAL,185.5,48842
2019-03-11,added Andre Ingram to LAL,-294.0,48548
2019-03-21,added Scott Machado to LAL,104.5,48653
2019-03-31,added Jemerrio Jones to LAL,13.6,48666
