date,Transaction,single_value_bpm,value_bpm,single_value_vorp,value_vorp
2009-06-24 00:00:00,lost Randy Foye to WAS,2000.4,2000,-0.3,-0.3
2009-06-24 00:00:00,lost Mike Miller to WAS,-2346.5,-346,-1.5,-1.8
2009-06-24 00:00:00,added Oleksiy Pecherov to MIN,-1877.4,-2223,-0.3,-2.1
2009-06-24 00:00:00,added Darius Songaila to MIN,0.0,-2223,0.0,-2.1
2009-06-24 00:00:00,added Etan Thomas to MIN,0.0,-2223,0.0,-2.1
2009-06-24 00:00:00,added Ricky Rubio to MIN,0.0,-2223,0.0,-2.1
2009-06-25 00:00:00,added Ricky Rubio to MIN,9397.200000000004,7173,8.9,6.800000000000001
2009-06-25 00:00:00,added Jonny Flynn to MIN,-12976.0,-5802,-1.6,5.200000000000001
2009-06-25 00:00:00,added Ty Lawson to MIN,0.0,-5802,0.0,5.200000000000001
2009-06-25 00:00:00,added Wayne Ellington to MIN,-11701.9,-17504,-1.2,4.000000000000001
2009-06-25 00:00:00,added Nick Calathes to MIN,0.0,-17504,0.0,4.000000000000001
2009-06-25 00:00:00,added Henk Norel to MIN,0.0,-17504,0.0,4.000000000000001
2009-06-25 00:00:00,lost Ty Lawson to DEN,-28662.5,-46166,-13.8,-9.8
2009-06-25 00:00:00,added Luke Babbitt to MIN,0.0,-46166,0.0,-9.8
2009-06-25 00:00:00,lost Nick Calathes to DAL,-0.0,-46166,-0.0,-9.8
2009-06-25 00:00:00,added Magnum Rolle to MIN,0.0,-46166,0.0,-9.8
2009-07-20 00:00:00,lost Mark Madsen to LAC,-0.0,-46166,-0.0,-9.8
2009-07-20 00:00:00,lost Craig Smith to LAC,1630.2,-44536,-0.5,-10.3
2009-07-20 00:00:00,lost Sebastian Telfair to LAC,2502.6,-42033,0.3,-10.0
2009-07-20 00:00:00,added Quentin Richardson to MIN,0.0,-42033,0.0,-10.0
2009-07-27 00:00:00,lost Etan Thomas to OKC,1605.0,-40428,0.2,-9.8
2009-07-27 00:00:00,lost Dexter Pittman to OKC,-0.0,-40428,-0.0,-9.8
2009-07-27 00:00:00,lost Magnum Rolle to OKC,-0.0,-40428,-0.0,-9.8
2009-07-27 00:00:00,added Chucky Atkins to MIN,0.0,-40428,0.0,-9.8
2009-07-27 00:00:00,added Damien Wilkins to MIN,-2060.5,-42489,0.3,-9.5
2009-08-11 00:00:00,added Ryan Hollins to MIN,-5625.799999999999,-48115,-0.8,-10.3
2009-08-13 00:00:00,lost Quentin Richardson to MIA,-2706.6,-50821,-1.7,-12.0
2009-08-13 00:00:00,added Mark Blount to MIN,0.0,-50821,0.0,-12.0
2009-09-09 00:00:00,lost Bobby Brown to NOH,1574.4,-49247,0.2,-11.8
2009-09-09 00:00:00,lost Darius Songaila to NOH,5217.0,-44030,0.6,-11.2
2009-09-09 00:00:00,added Antonio Daniels to MIN,0.0,-44030,0.0,-11.2
2009-09-14 00:00:00,added Ramon Sessions to MIN,-5196.0,-49226,-0.4,-11.6
2009-09-17 00:00:00,added Sasha Pavlović to MIN,-5437.400000000001,-54663,-0.9,-12.500000000000002
2009-09-28 00:00:00,added Jason Hart to MIN,19.0,-54644,0.0,-12.500000000000002
2009-09-28 00:00:00,added Alonzo Gee to MIN,0.0,-54644,0.0,-12.500000000000002
2009-09-28 00:00:00,added Devin Green to MIN,0.0,-54644,0.0,-12.500000000000002
2009-10-20 00:00:00,added Nathan Jawai to MIN,-1565.6,-56210,-0.2,-12.7
2009-12-29 00:00:00,lost Jason Hart to PHO,-0.0,-56210,-0.0,-12.7
2009-12-29 00:00:00,added Alando Tucker to MIN,-237.5,-56447,0.0,-12.7
2009-12-29 00:00:00,added Hamady N'Diaye to MIN,0.0,-56447,0.0,-12.7
2010-02-17 00:00:00,lost Brian Cardinal to NYK,-0.0,-56447,-0.0,-12.7
2010-02-17 00:00:00,added Darko Miličić to MIN,-7248.000000000001,-63695,-0.5,-13.2
2010-03-23 00:00:00,added Brian Cardinal to MIN,-1174.8000000000002,-64870,-0.2,-13.4
2010-04-13 00:00:00,added Greg Stiemsma to MIN,0.0,-64870,0.0,-13.4
2010-06-24 00:00:00,added Wesley Johnson to MIN,-6602.2,-71472,0.2,-13.2
2010-06-24 00:00:00,added Luke Babbitt to MIN,0.0,-71472,0.0,-13.2
2010-06-24 00:00:00,added Trevor Booker to MIN,0.0,-71472,0.0,-13.2
2010-06-24 00:00:00,added Paulão Prestes to MIN,0.0,-71472,0.0,-13.2
2010-06-24 00:00:00,added Hamady N'Diaye to MIN,0.0,-71472,0.0,-13.2
2010-06-24 00:00:00,lost Luke Babbitt to POR,4466.7,-67006,0.4,-12.8
2010-06-24 00:00:00,lost Ryan Gomes to POR,-0.0,-67006,-0.0,-12.8
2010-06-24 00:00:00,added Martell Webster to MIN,-3246.2,-70252,0.3,-12.5
2010-06-24 00:00:00,lost Trevor Booker to WAS,3007.8,-67244,-1.6,-14.1
2010-06-24 00:00:00,lost Hamady N'Diaye to WAS,567.3,-66677,0.1,-14.0
2010-06-24 00:00:00,added Nemanja Bjelica to MIN,-2519.4,-69196,1.1,-12.9
2010-06-24 00:00:00,added Lazar Hayward to MIN,-1274.0,-70470,-0.1,-13.0
2010-07-12 00:00:00,lost Bojan Bogdanović to MIA,-0.0,-70470,-0.0,-13.0
2010-07-12 00:00:00,lost Markel Brown to MIA,-0.0,-70470,-0.0,-13.0
2010-07-12 00:00:00,added Michael Beasley to MIN,-6532.5,-77003,0.1,-12.9
2010-07-13 00:00:00,lost Al Jefferson to UTA,-15628.7,-92631,-7.7,-20.6
2010-07-13 00:00:00,added Kosta Koufos to MIN,-1982.4,-94614,-0.3,-20.9
2010-07-13 00:00:00,added Donatas Motiejūnas to MIN,0.0,-94614,0.0,-20.9
2010-07-13 00:00:00,added Terrence Jones to MIN,0.0,-94614,0.0,-20.9
2010-07-21 00:00:00,added Luke Ridnour to MIN,-2854.2,-97468,2.6,-18.3
2010-07-26 00:00:00,lost Ryan Hollins to CLE,7652.799999999999,-89815,1.2,-17.1
2010-07-26 00:00:00,lost Ramon Sessions to CLE,-36.29999999999996,-89851,-1.7000000000000002,-18.8
2010-07-26 00:00:00,lost Jeff Withey to CLE,-0.0,-89851,-0.0,-18.8
2010-07-26 00:00:00,added Sebastian Telfair to MIN,-2488.5,-92340,-0.3,-19.1
2010-07-26 00:00:00,added Delonte West to MIN,0.0,-92340,0.0,-19.1
2010-08-09 00:00:00,added Anthony Tolliver to MIN,-4882.8,-97223,0.3999999999999999,-18.700000000000003
2010-09-24 00:00:00,added Maurice Ager to MIN,-20.3,-97243,0.0,-18.700000000000003
2010-09-24 00:00:00,added Jason Hart to MIN,0.0,-97243,0.0,-18.700000000000003
2010-11-12 00:00:00,added Sundiata Gaines to MIN,-539.5,-97783,-0.1,-18.800000000000004
2011-02-22 00:00:00,lost Corey Brewer to NYK,-0.0,-97783,-0.0,-18.800000000000004
2011-02-22 00:00:00,lost Kosta Koufos to DEN,-1401.2000000000005,-99184,-1.7,-20.500000000000004
2011-02-22 00:00:00,added Richaun Holmes to MIN,0.0,-99184,0.0,-20.500000000000004
2011-02-22 00:00:00,added Eddy Curry to MIN,0.0,-99184,0.0,-20.500000000000004
2011-02-22 00:00:00,added Anthony Randolph to MIN,-876.6,-100060,0.3,-20.200000000000003
2011-06-23 00:00:00,added Derrick Williams to MIN,-6532.2,-106593,0.1,-20.1
2011-06-23 00:00:00,added Donatas Motiejūnas to MIN,0.0,-106593,0.0,-20.1
2011-06-23 00:00:00,lost Jonny Flynn to HOU,796.5,-105796,0.1,-20.0
2011-06-23 00:00:00,lost Donatas Motiejūnas to HOU,8980.6,-96815,0.1,-19.9
2011-06-23 00:00:00,lost Will Barton to HOU,-0.0,-96815,-0.0,-19.9
2011-06-23 00:00:00,added Brad Miller to MIN,-146.0,-96961,0.0,-19.9
2011-06-23 00:00:00,added Nikola Mirotić to MIN,0.0,-96961,0.0,-19.9
2011-06-23 00:00:00,added Chandler Parsons to MIN,0.0,-96961,0.0,-19.9
2011-06-23 00:00:00,added Andre Roberson to MIN,0.0,-96961,0.0,-19.9
2011-06-23 00:00:00,lost Nikola Mirotić to CHI,-10309.7,-107271,-5.4,-25.3
2011-06-23 00:00:00,added Norris Cole to MIN,0.0,-107271,0.0,-25.3
2011-06-23 00:00:00,added Malcolm Lee to MIN,-1299.1,-108570,-0.1,-25.4
2011-06-23 00:00:00,lost Norris Cole to MIA,25416.4,-83154,3.5,-21.9
2011-06-23 00:00:00,added Bojan Bogdanović to MIN,0.0,-83154,0.0,-21.9
2011-06-23 00:00:00,lost Bojan Bogdanović to NJN,14407.5,-68746,0.9000000000000001,-21.0
2011-06-23 00:00:00,added Lorenzo Brown to MIN,-1372.5,-70119,-0.1,-21.1
